start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,storm_id,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,rain_vol_26,rain_max_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,rain_vol_27,rain_max_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,rain_vol_28,rain_max_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,rain_vol_29,rain_max_29,tmean_29,area_30,bounds_30,clon_idx_30,clat_idx_30,PSu_30,PSv_30,tmin_30,rain_vol_30,rain_max_30,tmean_30,area_31,bounds_31,clon_idx_31,clat_idx_31,PSu_31,PSv_31,tmin_31,rain_vol_31,rain_max_31,tmean_31,area_32,bounds_32,clon_idx_32,clat_idx_32,PSu_32,PSv_32,tmin_32,rain_vol_32,rain_max_32,tmean_32,area_33,bounds_33,clon_idx_33,clat_idx_33,PSu_33,PSv_33,tmin_33,rain_vol_33,rain_max_33,tmean_33,area_34,bounds_34,clon_idx_34,clat_idx_34,PSu_34,PSv_34,tmin_34,rain_vol_34,rain_max_34,tmean_34,area_35,bounds_35,clon_idx_35,clat_idx_35,PSu_35,PSv_35,tmin_35,rain_vol_35,rain_max_35,tmean_35,area_36,bounds_36,clon_idx_36,clat_idx_36,PSu_36,PSv_36,tmin_36,rain_vol_36,rain_max_36,tmean_36,area_37,bounds_37,clon_idx_37,clat_idx_37,PSu_37,PSv_37,tmin_37,rain_vol_37,rain_max_37,tmean_37,area_38,bounds_38,clon_idx_38,clat_idx_38,PSu_38,PSv_38,tmin_38,rain_vol_38,rain_max_38,tmean_38,area_39,bounds_39,clon_idx_39,clat_idx_39,PSu_39,PSv_39,tmin_39,rain_vol_39,rain_max_39,tmean_39,area_40,bounds_40,clon_idx_40,clat_idx_40,PSu_40,PSv_40,tmin_40,rain_vol_40,rain_max_40,tmean_40,tmin_min,mcs_thld
2006-07-27 07:00:00,104316,"2675,474,538,384",2917.68,275.38,0.0,0.0,204.17,118188.36341536626,60.687817055027836,224.07,88970.0,"2655,448,619,354",2930.1,288.76,-0.54,0.135,200.03,176896.44100952838,65.27957232873737,225.69,87786.0,"2622,462,636,332",2929.22,286.21,-2.31,-0.8699999999999999,203.54,133155.5723061253,56.77903682758777,223.98,93773.0,"2620,428,629,319",2914.83,281.86,-1.95,0.27,206.96,88595.7260985174,53.36150828649458,224.8,102011.0,"2584,444,715,347",2900.7,284.9,-8.535,0.345,206.98,59679.12647209796,43.846175359151424,227.17,59027.0,"2538,456,372,384",2742.28,273.73,-7.86,3.09,206.22,39232.20464267392,80.50843856555696,228.03,52644.0,"2486,399,394,325",2686.06,264.03,-9.57,1.77,203.14,32334.663217651734,55.67603446370123,226.57,44662.0,"2446,415,345,255",2627.13,293.0,-7.1850000000000005,2.205,205.76,26351.31899977412,57.85551315575812,222.41,52688.0,"2405,467,375,273",2598.91,321.9,-7.050000000000001,0.8400000000000001,207.86,15187.246401326642,26.953895679531126,222.2,61305.0,"2367,481,392,276",2556.94,337.28,-8.100000000000001,0.405,210.07,8188.086906945302,34.01669547899725,224.65,99127.0,"2325,628,458,429",2544.07,407.47,-7.995,-3.465,200.43,42221.23710069559,59.06079664427276,225.73,83244.0,"2308,646,471,430",2546.35,446.44,-10.635,-3.78,205.41,17056.661903543696,36.56228967694334,225.56,65453.0,"2285,662,448,362",2541.03,487.12,-4.005,-3.075,204.27,10422.789354025505,52.411978431093274,224.97,54661.0,"2269,675,449,307",2512.93,495.64,-4.9350000000000005,2.145,208.4,4860.646866651402,23.837342957360576,226.93,16695.0,"2490,581,200,177",2587.62,492.89,-9.135,-0.18,210.5,109.4213478945336,5.313454953878303,229.9,10694.0,"2478,571,178,174",2565.62,458.21,-5.07,-15.044999999999998,213.56,614.2221365451555,9.438090566222389,230.13,7713.0,"2451,511,171,123",2545.53,434.17,-22.455,-2.325,221.73,4198.699649055116,20.02122662071041,232.97,5336.0,"2486,444,136,62",2555.44,413.31,1.17,1.0499999999999998,204.78,5595.043138485287,27.78069415616533,230.1,6513.0,"2497,480,113,107",2557.6,420.64,-15.69,-3.06,216.16,8543.45454933194,28.259165740941096,227.0,5386.0,"2475,451,124,91",2538.2,400.7,-22.155,7.875,224.74,11101.784399496215,52.8391963628884,232.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.03,20
2006-07-27 07:00:00,2329,"3222,358,71,64",3257.95,324.29,0.0,0.0,209.18,18247.50085776769,98.80277592412678,226.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.18,1
2006-07-27 07:00:00,5875,"16,517,109,103",73.72,457.11,0.0,0.0,219.88,3917.001787803092,40.578013263496246,231.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.88,1
2006-07-27 07:00:00,17071,"0,715,142,243",50.33,609.23,0.0,0.0,204.08,70819.75102969007,78.18025607555103,220.51,20320.0,"0,720,122,298",48.68,583.47,-2.37,0.495,201.1,75093.68796266499,61.71472935557628,221.85,32021.0,"0,830,160,386",60.83,652.25,-4.335,2.94,200.52,104449.55415231208,53.144881328536705,216.73,37892.0,"0,882,256,449",68.73,676.19,-6.84,-0.06,203.06,84206.416449969,70.68771428647571,219.06,39719.0,"0,880,163,461",61.03,662.3,-15.12,-1.065,202.04,91621.84460108767,116.44574962067266,220.52,58361.0,"0,880,354,436",119.05,686.64,-14.265,-0.48,201.59,93073.0843259954,105.8729635419223,223.68,44269.0,"0,850,244,415",88.24,680.21,-6.824999999999999,-2.52,200.85,63659.021093678064,51.33836049832476,223.5,39910.0,"0,845,227,402",89.89,672.81,-18.39,-1.965,203.32,68910.26489724602,77.49096548841058,224.19,42583.0,"0,870,211,449",88.82,673.96,-12.12,-0.705,203.16,64507.97889374184,56.32428383141798,224.48,42786.0,"0,881,199,432",87.33,690.96,-16.695,-1.02,202.42,59298.43748931937,84.00482507385054,223.0,49647.0,"0,892,235,409",91.25,681.13,-10.005,-4.425000000000001,202.13,60308.71123495591,54.58431526836223,223.71,47423.0,"0,893,208,407",80.99,677.18,-3.735,-1.53,204.57,50870.36793819557,76.07231709496747,224.69,30013.0,"0,759,186,288",68.47,618.31,-2.4000000000000004,-6.720000000000001,208.21,25429.851024926178,61.16439775783083,225.44,22905.0,"0,751,160,280",54.45,617.59,-5.1450000000000005,1.275,208.29,12415.373920222055,28.74614414437052,227.31,15035.0,"0,726,135,260",44.81,605.84,-9.36,-7.605,210.11,3869.7478140563,45.631445962128794,230.3,7246.0,"0,694,92,213",33.46,597.68,-2.61,-2.4000000000000004,219.39,129.87042751878673,0.5194999845649964,234.24,739.0,"31,614,43,33",54.73,597.51,0.495,-0.21,223.83,18.718906715550617,0.13227504423784714,234.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.52,16
2006-07-27 07:00:00,5668,"323,667,93,146",366.59,602.16,0.0,0.0,223.59,8985.399419995792,22.474403354646334,234.73,3236.0,"306,663,55,124",332.42,592.83,-17.325000000000003,11.145,212.89,6553.923411447509,56.52143181878539,230.95,2469.0,"287,612,50,90",313.09,572.79,-20.34,1.065,210.2,2326.2819639089253,47.53668607835358,227.46,2217.0,"264,587,64,50",299.17,565.93,-20.295,-11.88,217.81,1141.5074397324659,7.760039373222255,231.35,945.0,"254,571,49,31",276.78,555.93,-17.16,-20.985,229.0,5.556504111759277,0.05508330829389354,236.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.2,3
2006-07-27 07:00:00,63051,"19,1010,349,359",201.63,813.16,0.0,0.0,202.01,39813.816303252395,77.09719806243913,222.71,54890.0,"32,974,296,381",190.97,801.36,-5.715,0.48,198.99,51996.329114568616,71.96644862780718,227.09,30046.0,"44,942,356,329",220.78,779.65,-12.405,-3.51,206.95,19335.341923435186,59.91601595235926,228.87,12490.0,"213,791,170,147",303.25,725.89,-15.330000000000002,-0.54,211.0,12064.273410072024,65.90932039015111,228.36,11445.0,"192,797,175,158",284.53,724.82,-4.38,-1.665,211.77,8233.10964135275,18.435719416264835,229.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.99,5
2006-07-27 07:00:00,992,"3257,746,42,81",3285.98,719.7,0.0,0.0,222.54,66.11495077701858,0.0,235.19,913.0,"3274,738,25,58",3290.83,713.57,0.015,-1.4249999999999998,218.88,1.4165213676282356,0.0,230.3,1539.0,"3259,734,40,54",3284.1,710.12,-3.03,-6.584999999999999,218.66,0.0001652828338219732,2.1911302020800142e-08,228.17,2358.0,"3230,728,69,70",3275.55,702.44,-11.295,-7.365,219.52,0.000341607942210081,0.0,230.04,3539.0,"3208,726,91,83",3265.98,690.0,-23.715,-5.73,221.41,0.0007770180435773466,2.681382216037552e-09,231.88,3072.0,"3189,718,110,71",3254.1,686.0,-25.65,-8.16,220.35,8.798891684870079e-05,0.0,233.6,1500.0,"3219,693,80,45",3266.63,673.85,-2.685,-12.645,224.41,1.8187983478572053e-05,1.258124624655559e-10,232.98,1248.0,"3235,688,64,32",3265.04,673.82,-32.160000000000004,-7.695,229.46,1.2671609913955417e-05,0.0,235.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.66,3
2006-07-27 07:00:00,1067,"390,749,38,41",410.25,727.68,0.0,0.0,219.01,3184.9731299094537,17.257031974643454,230.65,2429.0,"361,766,57,69",389.96,732.24,-12.915,2.055,215.92,7684.172238238753,21.252049085572832,230.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.92,1
2006-07-27 07:00:00,3556,"907,1028,112,112",953.04,980.46,0.0,0.0,221.55,1.3211293494503376,0.0260284448244568,233.3,1311.0,"886,952,58,55",915.5,923.99,-18.855,2.565,225.05,7.037656606909035e-10,0.0,232.91,1422.0,"854,938,72,58",893.28,908.18,-20.505,-13.26,221.76,0.0,0.0,232.22,703.0,"840,897,45,30",861.32,882.73,-12.825,-6.959999999999999,227.76,4.646781326666775e-08,0.0,234.48,1271.0,"786,901,97,54",834.61,869.56,-22.86,-13.35,231.64,0.0003675153226231773,1.7628264717965416e-09,237.18,708.0,"783,868,49,30",802.3,850.73,-17.91,-22.23,231.89,0.001262712305163317,4.520543341354184e-06,236.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.55,1
2006-07-27 07:00:00,27936,"983,1216,215,215",1098.34,1103.69,0.0,0.0,213.83,19961.992219468746,24.409643534450662,227.83,20248.0,"998,1198,160,189",1078.0,1106.61,-6.495,2.685,218.81,9583.701596642157,8.084767756517508,232.68,13876.0,"980,1184,153,169",1049.21,1099.14,-5.61,-0.255,223.19,2057.7863330821488,6.207403350182113,234.95,7827.0,"956,1139,133,118",1032.72,1075.93,-10.14,-1.92,225.55,399.1667429611586,0.9476983419033834,235.85,4431.0,"940,1126,120,113",1013.13,1060.75,-15.03,-10.8,226.31,26.736429331438696,0.40669494909770415,236.39,2410.0,"957,1101,84,70",1004.84,1068.39,-16.47,0.645,226.51,2.330039834169627,0.13934160783462862,234.35,1259.0,"943,1084,54,37",973.12,1064.43,-15.87,-2.7,228.7,0.3511557401075661,1.0643698120543072e-06,234.67,1880.0,"933,1096,78,54",972.12,1066.08,-16.830000000000002,-4.275,227.96,1.4817651998021233,1.5637659213041426e-05,235.61,962.0,"929,1084,36,48",947.8,1062.57,-15.435,0.405,229.75,2.3447806697391047e-05,1.8332842318950374e-08,236.48,615.0,"917,1083,27,57",929.64,1059.13,-15.794999999999998,-3.4799999999999995,232.87,5.576485402673627e-06,4.963416421489178e-10,237.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.83,6
