start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,tmean_29,area_30,bounds_30,clon_idx_30,clat_idx_30,PSu_30,PSv_30,tmin_30,tmean_30,area_31,bounds_31,clon_idx_31,clat_idx_31,PSu_31,PSv_31,tmin_31,tmean_31,area_32,bounds_32,clon_idx_32,clat_idx_32,PSu_32,PSv_32,tmin_32,tmean_32,area_33,bounds_33,clon_idx_33,clat_idx_33,PSu_33,PSv_33,tmin_33,tmean_33,area_34,bounds_34,clon_idx_34,clat_idx_34,PSu_34,PSv_34,tmin_34,tmean_34,area_35,bounds_35,clon_idx_35,clat_idx_35,PSu_35,PSv_35,tmin_35,tmean_35,area_36,bounds_36,clon_idx_36,clat_idx_36,PSu_36,PSv_36,tmin_36,tmean_36,area_37,bounds_37,clon_idx_37,clat_idx_37,PSu_37,PSv_37,tmin_37,tmean_37,area_38,bounds_38,clon_idx_38,clat_idx_38,PSu_38,PSv_38,tmin_38,tmean_38,area_39,bounds_39,clon_idx_39,clat_idx_39,PSu_39,PSv_39,tmin_39,tmean_39,area_40,bounds_40,clon_idx_40,clat_idx_40,PSu_40,PSv_40,tmin_40,tmean_40,area_41,bounds_41,clon_idx_41,clat_idx_41,PSu_41,PSv_41,tmin_41,tmean_41,tmin_min,mcs_thld
20060814_0700,15860,"1919,422,320,157",2140.74,353.9,0.0,0.0,217.28,233.0,11463.0,"2080,423,134,161",2150.24,349.19,-14.940000000000001,-1.845,216.62,232.79,4040.0,"2057,376,130,55",2123.1,347.99,-15.015,-3.87,222.86,233.87,6783.0,"2030,438,156,121",2115.76,375.87,-13.5,-0.39,217.38,231.94,8923.0,"2002,447,168,133",2101.49,376.72,-19.86,0.255,222.54,233.14,14796.0,"2018,454,149,226",2099.73,336.26,-1.6949999999999998,0.855,220.89,235.49,7873.0,"2013,370,133,125",2081.96,323.78,-7.050000000000001,3.33,219.47,232.91,10381.0,"1996,378,149,107",2070.19,326.97,-2.295,-6.5249999999999995,220.96,233.47,11568.0,"1972,387,168,127",2059.93,326.08,-3.165,-1.875,225.41,235.44,9857.0,"1947,390,183,132",2045.84,321.68,-6.0,0.18,225.29,238.02,919.0,"2040,309,61,47",2075.13,288.43,-14.61,1.7249999999999999,236.22,239.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.62,10
20060814_0700,966,"2242,498,37,72",2256.77,464.19,0.0,0.0,232.56,237.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.56,0
20060814_0700,47502,"2310,751,335,314",2460.92,593.97,0.0,0.0,209.65,227.33,36419.0,"2302,755,254,318",2422.7,588.49,-6.675000000000001,-0.585,212.28,231.53,20006.0,"2283,646,171,184",2369.84,554.38,-4.965,-0.34500000000000003,215.73,231.93,15904.0,"2273,650,159,182",2361.21,560.02,-3.7350000000000003,-1.53,219.7,233.6,8083.0,"2284,647,137,182",2349.96,567.5,-11.370000000000001,-3.3899999999999997,221.11,234.79,3392.0,"2276,642,130,66",2348.29,607.65,-13.274999999999999,-4.74,223.67,233.51,2933.0,"2285,631,111,93",2339.06,596.3,-15.299999999999999,-3.33,225.33,234.78,1996.0,"2295,620,82,61",2332.14,594.8,-16.59,-13.905,228.32,236.07,635.0,"2282,601,38,45",2304.06,576.11,-17.355,-13.575000000000001,230.7,237.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.65,7
20060814_0700,2104,"2066,582,50,72",2093.11,546.52,0.0,0.0,217.75,232.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.75,0
20060814_0700,46775,"1947,798,366,240",2135.74,674.48,0.0,0.0,201.86,223.46,21921.0,"1929,741,204,200",2033.7,648.83,-8.535,0.5249999999999999,214.16,229.72,11156.0,"1914,736,117,136",1974.03,664.48,-4.3950000000000005,-3.33,219.55,229.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.86,3
20060814_0700,2879,"106,679,75,65",146.38,648.09,0.0,0.0,221.83,231.31,2050.0,"78,669,82,50",125.98,645.94,-9.405,-2.055,225.33,234.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.83,1
20060814_0700,74993,"295,1022,346,384",483.36,838.97,0.0,0.0,200.12,228.08,58416.0,"286,1024,329,380",463.95,842.26,-1.5750000000000002,-0.6000000000000001,201.88,230.92,20109.0,"273,822,264,183",403.11,716.75,-1.065,-1.0499999999999998,205.85,226.53,27738.0,"196,828,279,196",339.2,726.27,-2.7,-0.405,207.33,223.77,19607.0,"209,763,263,138",356.1,685.92,-1.47,-2.055,211.35,227.15,21723.0,"192,767,276,152",345.25,680.52,-0.75,-2.955,211.05,228.4,22749.0,"176,762,284,162",332.2,671.65,-1.56,-1.56,213.6,228.55,23505.0,"160,765,292,195",325.17,668.36,-1.875,-0.48,213.44,228.04,25084.0,"148,758,287,212",310.49,657.24,-4.155,-0.54,211.95,228.46,27332.0,"137,736,336,216",301.08,644.56,-3.7649999999999997,0.855,212.57,229.08,26131.0,"146,731,239,196",280.24,640.64,-3.06,-5.025,216.19,229.8,27346.0,"138,732,224,227",262.98,629.12,-4.875,-3.3899999999999997,217.75,232.12,24560.0,"118,722,232,244",247.42,620.01,-5.205,-3.705,217.66,234.02,15917.0,"119,724,189,214",223.25,635.78,-1.755,-2.91,215.55,233.69,9831.0,"109,723,193,177",216.56,645.74,-4.6049999999999995,-1.77,209.88,232.55,5661.0,"135,658,159,120",226.82,617.18,-2.7600000000000002,-4.9799999999999995,211.29,228.34,6394.0,"161,656,124,89",226.86,615.99,-3.6750000000000003,-1.755,210.4,226.68,7554.0,"147,650,133,94",216.84,607.93,0.0,-0.0,210.39,224.07,8670.0,"128,645,139,102",200.54,602.42,-2.94,1.8900000000000001,213.12,224.15,10179.0,"106,646,148,118",181.34,596.32,-14.865,-0.30000000000000004,212.73,226.26,10567.0,"76,648,171,141",163.6,592.75,-3.5250000000000004,2.88,210.15,227.76,12493.0,"26,650,185,156",129.06,593.23,-7.3500000000000005,-1.965,209.34,226.53,12611.0,"9,641,180,105",97.73,593.04,-8.97,-4.635,203.14,223.45,13246.0,"7,649,163,126",83.03,589.77,-3.21,-0.795,207.69,221.56,14850.0,"7,651,220,132",77.8,585.77,-5.3549999999999995,-0.42000000000000004,207.64,223.27,21383.0,"7,722,161,206",73.55,621.1,-0.9299999999999999,-1.2449999999999999,204.62,224.01,17763.0,"6,718,139,189",66.43,627.14,-1.965,-1.545,207.39,223.71,8253.0,"6,643,123,109",54.46,578.41,0.09,-1.275,207.28,222.95,7598.0,"6,628,100,113",45.88,574.0,1.4849999999999999,0.195,209.23,224.06,6298.0,"6,635,107,129",37.04,573.55,-0.51,-1.7249999999999999,213.25,227.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.12,30
20060814_0700,1247,"8,687,62,45",41.26,665.2,0.0,0.0,215.46,229.21,2695.0,"8,692,68,63",42.04,664.53,3.5999999999999996,-3.2249999999999996,214.18,225.77,4554.0,"7,694,98,70",45.51,656.29,-0.36,0.03,215.25,227.17,4832.0,"7,685,84,75",42.84,645.73,-1.02,-10.74,218.99,229.98,4311.0,"4,690,67,93",36.36,640.21,-4.83,-0.255,209.91,229.36,3346.0,"4,676,57,81",30.3,637.34,-4.785,0.07500000000000001,212.79,224.86,2331.0,"7,661,41,81",24.32,628.41,-1.71,0.07500000000000001,219.22,228.66,930.0,"7,649,34,58",18.54,627.33,0.9450000000000001,-9.45,228.09,235.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.91,6
20060814_0700,7013,"1556,753,129,98",1632.72,702.59,0.0,0.0,219.37,231.04,4437.0,"1577,740,90,93",1622.66,697.85,-9.885,-13.02,220.42,232.22,2287.0,"1567,737,64,54",1597.82,710.03,-11.955,-3.7649999999999997,229.88,235.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.37,3
20060814_0700,11574,"1159,792,160,116",1235.85,740.47,0.0,0.0,200.61,220.56,13377.0,"1131,803,182,121",1226.56,746.48,-1.365,3.3600000000000003,199.76,220.93,16513.0,"1115,814,188,140",1215.59,752.59,-1.7399999999999998,1.41,200.35,219.36,19831.0,"1079,830,212,146",1195.29,762.46,-3.255,-0.915,200.52,218.98,23368.0,"1055,852,225,171",1180.55,771.04,-2.4000000000000004,-0.06,201.61,218.44,33775.0,"929,877,343,198",1134.74,773.41,-6.165000000000001,2.82,201.11,218.81,40776.0,"897,898,363,222",1113.99,782.86,-9.225000000000001,1.7399999999999998,200.93,218.03,50115.0,"859,923,391,261",1093.0,789.42,-4.905,1.41,200.92,218.42,58718.0,"823,940,406,271",1067.65,792.15,-6.720000000000001,2.19,201.55,219.32,63222.0,"886,959,335,307",1056.74,796.89,-2.6550000000000002,0.585,202.45,219.19,71508.0,"867,975,334,338",1033.24,799.61,-6.5249999999999995,1.08,199.65,220.64,76882.0,"846,1018,325,387",1001.1,808.47,-2.4000000000000004,-0.045,195.96,221.97,79972.0,"747,1027,406,392",952.58,825.94,-3.4499999999999997,-0.255,198.2,222.29,90182.0,"688,1110,383,475",899.37,880.16,-6.645,-0.9750000000000001,195.58,220.42,90840.0,"659,1139,389,438",860.07,918.81,-3.705,-0.78,197.76,219.57,89701.0,"629,1156,380,452",821.73,935.87,-7.395,-2.325,196.12,219.07,103001.0,"461,1153,485,452",750.77,926.82,-4.485,-4.4399999999999995,194.23,218.88,102871.0,"434,1157,481,473",717.38,932.36,0.48,-0.18,195.36,218.73,92648.0,"433,1164,444,437",679.7,954.44,-4.665,-1.98,194.54,216.05,93231.0,"468,1185,384,462",656.0,972.43,-2.565,-1.785,193.6,214.28,88761.0,"464,1202,307,434",619.42,1001.01,-2.685,-0.375,193.73,212.55,99206.0,"442,1214,312,530",598.94,999.36,-2.82,-0.10500000000000001,195.89,214.88,101125.0,"406,1233,341,414",580.57,1024.77,-1.71,2.8499999999999996,199.57,216.69,110037.0,"365,1254,390,443",558.02,1036.15,-2.4899999999999998,-0.06,202.31,221.46,110565.0,"332,1264,414,461",533.19,1041.7,-2.34,0.51,205.54,225.48,102346.0,"300,1279,388,488",500.17,1045.28,-3.585,0.675,209.58,228.02,86334.0,"278,1289,483,440",483.72,1066.24,-3.63,3.3600000000000003,211.26,230.24,37585.0,"264,1296,359,309",428.93,1133.42,-8.100000000000001,6.0600000000000005,212.36,230.32,12669.0,"391,1298,200,234",469.86,1181.4,-9.555,5.745,218.75,232.39,6692.0,"378,1295,166,128",458.77,1229.29,-10.649999999999999,9.584999999999999,219.71,232.58,2917.0,"425,1289,80,71",473.9,1249.05,-15.09,6.195,217.38,230.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.6,31
