storm_id,start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,rain_vol_26,rain_max_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,rain_vol_27,rain_max_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,rain_vol_28,rain_max_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,rain_vol_29,rain_max_29,tmean_29,area_30,bounds_30,clon_idx_30,clat_idx_30,PSu_30,PSv_30,tmin_30,rain_vol_30,rain_max_30,tmean_30,area_31,bounds_31,clon_idx_31,clat_idx_31,PSu_31,PSv_31,tmin_31,rain_vol_31,rain_max_31,tmean_31,area_32,bounds_32,clon_idx_32,clat_idx_32,PSu_32,PSv_32,tmin_32,rain_vol_32,rain_max_32,tmean_32,area_33,bounds_33,clon_idx_33,clat_idx_33,PSu_33,PSv_33,tmin_33,rain_vol_33,rain_max_33,tmean_33,area_34,bounds_34,clon_idx_34,clat_idx_34,PSu_34,PSv_34,tmin_34,rain_vol_34,rain_max_34,tmean_34,area_35,bounds_35,clon_idx_35,clat_idx_35,PSu_35,PSv_35,tmin_35,rain_vol_35,rain_max_35,tmean_35,tmin_min,mcs_thld
1,2006-08-20 07:00:00,1323,"2139,295,112,23",2190.81,283.71,0.0,0.0,221.9,2913.268433615371,31.975087259425873,233.7,1381.0,"2113,301,81,32",2159.08,284.84,-2.895,0.36,221.36,1039.11242461922,15.56002725184485,230.91,2336.0,"2087,309,134,43",2152.55,287.58,-8.145,1.335,226.07,2456.305338575217,65.21775032372474,232.75,2416.0,"2062,310,132,40",2135.54,287.91,-6.33,2.205,222.71,823.7469967582674,4.000932217412152,233.82,965.0,"2120,313,54,37",2147.41,294.79,0.03,-0.24,228.28,1329.3707935525763,21.605994136671047,234.79,447.0,"2100,316,34,19",2117.62,307.25,-23.37,0.2249999999999999,229.68,0.0012276174085061556,6.861049034054237e-10,235.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.36,2
2,2006-08-20 07:00:00,5077,"2035,383,182,81",2130.17,347.56,0.0,0.0,222.38,3307.077744512258,29.20175666135117,235.07,981.0,"2088,381,55,23",2118.76,370.17,-0.6900000000000001,9.765,222.21,2268.2478960358985,11.60000648728808,231.01,1390.0,"2056,384,80,29",2095.49,368.45,-17.475,-3.5250000000000004,224.35,226.9200942872888,2.103000901461111,232.05,1536.0,"2031,385,111,33",2080.34,366.7,-7.62,-1.395,227.74,399.17479614350185,11.990116034903048,234.65,1851.0,"2015,377,129,31",2085.05,360.95,-1.23,-3.135,225.45,1260.7446897918405,1.763012776639715,233.64,1708.0,"2028,377,96,32",2075.65,358.01,-12.03,-2.22,224.14,1236.222477712468,8.001181225483052,233.64,1419.0,"2014,370,90,26",2050.33,355.82,-2.61,-3.03,229.03,129.64774228564775,1.0668768253966363,234.64,665.0,"1996,365,47,23",2016.58,351.63,2.01,-5.6850000000000005,233.91,46.928681217483145,0.7073705265972716,237.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.21,1
3,2006-08-20 07:00:00,93754,"314,999,404,609",523.55,688.22,0.0,0.0,198.55,140197.18431690955,109.27896042794907,226.32,44435.0,"284,668,372,283",469.95,557.76,-1.725,-1.125,200.32,127143.14403451327,85.53178906728725,224.79,47032.0,"252,736,388,380",453.15,570.71,-1.65,-0.24,200.16,137681.6301457098,86.64077315669338,224.19,36456.0,"185,705,304,267",333.15,576.65,-1.6350000000000002,0.705,201.87,168229.48994110108,180.98890842411706,218.61,55005.0,"169,706,380,302",356.37,554.17,-2.7,-2.925,203.07,168321.23727422228,204.19185089022363,222.1,76641.0,"159,834,478,451",361.55,579.45,-1.59,-1.095,201.26,146722.49921912988,88.31990411567631,222.85,77300.0,"126,839,435,437",327.0,591.14,-3.18,-0.255,200.36,145661.02893622365,96.2274749547017,222.13,84182.0,"102,847,454,460",309.99,589.52,-1.53,-1.005,198.87,131151.34922075932,96.42119903864752,222.54,88795.0,"86,822,457,455",297.31,581.38,-0.81,-3.015,200.06,129072.37747744712,71.2983687350571,223.15,87789.0,"66,820,466,471",277.93,578.51,-0.8999999999999999,-3.1049999999999995,200.18,115165.98898062599,96.76865151256432,223.47,86298.0,"52,816,413,468",259.43,574.73,-0.5549999999999999,-2.595,199.06,104496.63258904783,72.19829534161775,224.01,80835.0,"51,800,396,460",247.47,578.09,-0.81,-3.1049999999999995,202.84,82544.09825072257,51.406174102809615,224.48,78738.0,"45,765,378,430",231.93,577.95,-1.245,-3.375,200.41,54877.88239212597,77.22286666129068,226.1,75009.0,"0,745,419,435",206.71,580.36,-0.375,-3.195,200.69,34697.6574087607,63.14523342292413,227.77,50765.0,"0,746,311,303",141.22,601.84,0.045,-0.885,204.71,26622.225968815994,58.44204157099122,226.61,39721.0,"0,716,259,290",116.97,594.98,-0.42,-1.44,207.76,20319.38189145379,34.97302130818275,228.35,25393.0,"0,683,195,276",79.78,576.56,-1.185,-4.725,206.09,14306.11348905305,83.05376247660482,229.58,10436.0,"0,641,119,195",49.46,571.0,-0.0,0.0,210.38,6473.699386125887,49.894203547109726,228.63,8826.0,"0,631,93,270",34.11,541.6,-1.185,-3.765,214.92,1133.5458887270258,18.618403657326866,228.87,6830.0,"0,630,78,289",31.66,524.78,0.15,-4.35,218.3,39.511874929966126,0.9023221708998945,230.79,1614.0,"16,618,52,49",38.69,594.57,-0.03,-0.255,227.99,0.22531749270278228,0.00013612945256450524,234.83,747.0,"12,608,30,43",28.77,588.82,-12.93,-10.455,228.93,578.2620615345737,0.0034953900909769596,236.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.55,20
4,2006-08-20 07:00:00,2836,"245,548,67,81",279.45,500.7,0.0,0.0,201.07,23042.352968861487,145.50111280474226,222.12,3832.0,"227,525,81,69",265.05,493.13,-6.885,1.605,202.8,29206.5302801654,81.01866247495217,219.61,8661.0,"207,571,137,126",273.84,504.74,-6.375,-1.59,201.96,44943.25381842326,78.6636227038236,218.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.07,3
5,2006-08-20 07:00:00,10226,"638,694,190,198",724.84,619.79,0.0,0.0,219.04,444.01698780821215,0.9187370722506779,234.93,3000.0,"640,665,84,143",674.47,595.15,-11.55,-5.85,223.39,60.160125274547916,0.1888289540613777,233.69,1426.0,"650,621,38,93",667.96,570.04,-10.35,-3.45,225.45,0.1423073582786822,3.395210947747664e-05,234.87,497.0,"644,585,30,41",658.14,558.46,-17.490000000000002,-19.995,229.46,0.00027064208698713167,0.0,236.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.04,2
6,2006-08-20 07:00:00,18626,"2141,766,264,147",2281.73,701.21,0.0,0.0,204.92,31377.33431822129,62.27518373961034,225.18,17800.0,"2090,745,262,143",2264.31,682.98,-1.6350000000000002,-1.86,208.2,22491.64858404194,75.54935997266148,224.47,20588.0,"2027,743,319,142",2242.0,676.2,-5.115,-0.63,209.36,10287.994755336402,34.62409082653132,224.49,23059.0,"2000,742,338,150",2224.01,669.82,-6.779999999999999,-0.66,213.19,3750.6148209037697,19.856589868454343,226.62,23495.0,"1973,750,353,165",2207.59,661.89,-6.855,-2.94,217.9,952.9316110698836,33.391909215659645,229.36,23048.0,"1933,734,384,159",2178.41,655.4,-4.14,-5.745,221.05,1892.226090630727,37.14865784061794,231.34,35526.0,"2015,716,501,230",2264.68,601.81,-5.76,-3.075,213.55,16740.00661993473,86.34156508128308,230.51,27072.0,"2118,644,365,251",2284.84,523.63,-5.22,-0.885,215.05,24289.609006154635,62.02467897475603,229.68,36344.0,"2091,658,364,343",2243.14,496.39,-8.235,-1.26,205.89,38553.91831243487,51.67855594923584,230.61,35995.0,"2031,663,361,352",2218.31,484.09,-2.94,3.735,210.74,30751.22027581764,61.911558544654014,230.9,15713.0,"2008,484,256,134",2160.33,418.78,-1.62,-0.75,215.5,11758.559799012059,31.534419161656647,231.94,10671.0,"2042,467,191,114",2140.47,412.9,-0.735,-0.045,221.11,574.560956618709,5.58348251748324,233.07,3167.0,"2031,466,125,82",2096.38,431.28,-10.065,-0.93,231.59,35.88249889368524,0.09327014536792415,237.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.92,13
7,2006-08-20 07:00:00,21105,"2474,866,183,222",2572.96,753.84,0.0,0.0,207.88,10719.411575052554,21.87444811276873,228.01,11584.0,"2486,879,140,180",2552.75,792.01,-10.74,1.485,207.68,5199.387014411794,28.725816920759158,229.54,11819.0,"2479,884,129,183",2537.71,795.96,-14.25,4.3950000000000005,209.08,242.2456503398518,1.1807077319907007,228.17,21110.0,"2465,893,123,336",2529.68,733.55,-13.38,1.86,214.68,3818.4961400620628,14.05569170467624,228.85,20059.0,"2433,905,145,348",2509.41,742.07,-16.365000000000002,1.86,216.72,1464.5844997746274,17.880531621407577,229.4,15231.0,"2433,913,133,240",2494.09,796.28,-17.475,2.655,217.71,2.8911651691142435,0.03225249856155237,230.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.68,6
8,2006-08-20 07:00:00,20517,"2687,967,190,219",2798.97,851.0,0.0,0.0,205.93,45034.70215628943,110.04344059606676,228.77,16657.0,"2714,971,142,227",2788.83,857.47,-2.085,-7.89,202.22,39367.41443811068,67.77501534973649,225.53,16348.0,"2686,974,144,198",2762.21,868.32,-12.12,-2.16,203.1,27177.850714079974,49.40029127988539,220.57,23789.0,"2640,988,181,242",2734.52,865.85,-6.584999999999999,2.31,204.27,47548.567744084896,78.23633680246905,221.8,29110.0,"2613,961,214,230",2717.89,862.48,-5.415,0.18,197.3,53301.0813588044,68.86216240203424,221.39,34295.0,"2579,972,235,250",2695.09,864.26,-3.45,2.655,199.0,38269.03241235557,34.00958529750863,220.63,57549.0,"2375,979,429,306",2613.66,846.92,-5.61,0.39,202.4,24823.094163088834,41.43439041748614,223.24,57770.0,"2364,979,418,288",2590.5,846.38,-6.0,-1.44,205.64,14914.722726590446,30.443449894603585,223.31,89165.0,"2292,1128,447,410",2544.93,914.4,-4.005,-2.835,200.52,77751.56717097005,61.643455459631376,222.48,101516.0,"2254,1128,466,404",2509.89,926.06,-6.285,-0.5249999999999999,202.68,93338.67839959174,115.32147912747547,223.13,106889.0,"2226,1130,487,410",2480.02,936.37,-3.885,-0.4349999999999999,203.72,84765.87772023771,58.692921550267215,224.41,120895.0,"2010,1156,687,451",2426.85,956.4,-2.715,-1.95,200.69,83256.98814997294,70.60896443143851,226.59,3826.0,"2409,795,89,86",2460.61,745.64,-13.935,-4.125,222.63,3.353996650034269e-09,0.0,233.56,2423.0,"2394,776,86,74",2440.94,739.53,-18.42,-1.665,226.11,0.0,0.0,236.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.3,14
9,2006-08-20 07:00:00,14716,"2139,988,207,216",2220.65,859.82,0.0,0.0,214.29,12229.349523580917,40.23301722590131,232.68,5286.0,"2139,964,82,109",2177.97,915.84,-12.135,-9.45,214.49,8210.178961129663,14.889733434853017,227.64,6292.0,"2120,963,87,125",2161.34,906.0,-13.71,-1.5750000000000002,216.46,8214.81709376626,19.89195574546787,229.41,6769.0,"2098,951,99,125",2144.69,894.66,-13.695,-2.13,215.86,7928.075221261002,16.277931281520203,229.96,6315.0,"2078,946,109,128",2131.69,887.95,-11.73,-5.535,218.43,1804.1277341702994,5.390495460386014,231.34,12351.0,"1993,915,173,157",2074.48,830.82,-2.7750000000000004,3.975,205.31,33619.28957747476,44.99857804794358,223.46,19284.0,"1950,890,189,193",2044.98,794.61,-7.005,-3.3000000000000003,206.48,60815.84335370782,51.649013199119786,220.35,27545.0,"1912,901,219,223",2026.67,789.89,-4.485,-2.13,200.24,60458.30429686227,98.27343539006785,220.81,35083.0,"1884,911,259,240",2008.67,786.7,-3.12,-6.18,197.98,52342.21077535132,63.21269857691887,222.26,41367.0,"1866,913,317,253",1997.67,778.01,-2.16,-0.66,198.54,47894.42192526732,74.57542727478993,223.39,73170.0,"1642,1068,549,419",1922.06,850.11,-6.09,-3.99,194.54,60812.674369294524,85.80846912973699,222.4,91205.0,"1587,1056,596,423",1864.4,862.64,-3.495,-4.71,194.99,49361.80546767424,57.68833215294413,222.02,99337.0,"1423,1099,583,361",1749.42,912.84,-3.03,-1.365,196.54,58453.646311107215,87.96999992667642,221.42,85246.0,"1517,1041,455,295",1757.19,884.33,-1.41,-2.0250000000000004,197.41,72748.28427981511,90.3624789763717,221.44,80979.0,"1480,1037,457,313",1732.61,871.46,-2.115,1.29,196.95,74160.7605719313,73.02447347218504,221.91,80194.0,"1470,1023,434,318",1711.96,855.15,-1.5,-3.84,197.63,78500.526878013,60.19232402515516,220.79,94257.0,"1371,1150,526,460",1667.82,871.07,-0.93,-5.58,200.62,101073.79721533284,65.59357512519362,220.42,111946.0,"1356,1100,541,491",1663.89,843.3,0.18,0.165,198.8,142872.51397989588,113.85839276606768,222.32,107654.0,"1363,1106,542,484",1647.48,830.87,-0.78,-4.515,197.35,146415.06524178197,80.88117781758609,221.26,104851.0,"1361,1059,535,450",1632.8,812.03,-0.51,-1.86,199.06,139242.64506718627,70.48763036851925,219.46,109240.0,"1352,1049,534,435",1614.78,803.62,-0.66,-0.72,200.5,141838.61200280953,84.83848069587073,220.14,109738.0,"1316,1039,554,439",1592.67,800.38,-1.005,-2.01,201.78,142544.19186420363,86.40318531353492,221.71,105721.0,"1312,1008,512,406",1570.35,796.87,-0.36,-2.4000000000000004,199.54,152088.0733648556,97.1692251148881,223.04,98338.0,"1286,983,504,370",1547.88,789.76,-1.29,-2.355,197.72,132591.44975357043,69.59482996113836,223.97,82167.0,"1263,961,480,353",1510.95,780.2,-1.605,-2.325,203.51,107172.20458647356,78.42646346875038,224.0,65809.0,"1316,936,385,343",1511.64,767.25,-0.375,-6.6000000000000005,206.48,68144.45801089884,50.970419714788065,224.22,63211.0,"1291,925,352,313",1490.52,769.82,-0.765,-1.5,213.78,38924.76405056131,31.213724853429266,227.76,60536.0,"1278,915,356,310",1484.25,758.44,-0.66,-2.0250000000000004,217.94,21985.48565084589,29.51896534385385,231.67,42926.0,"1255,854,366,233",1486.5,738.67,-0.795,2.595,217.52,6055.293394669062,9.668268594658246,233.18,25792.0,"1347,808,273,215",1513.95,711.1,-1.485,-0.81,220.37,725.7128980411508,0.9206086922029947,233.51,22593.0,"1368,805,239,216",1509.84,705.27,-1.77,-5.28,219.9,199.77272518109635,0.2063205347724318,232.98,30324.0,"1214,804,369,217",1428.08,712.65,-12.345,-4.815,217.63,72.05749989610183,0.13739344637488798,231.74,30274.0,"1181,799,388,211",1397.61,704.64,-12.285,-5.745,219.05,73.58833006046396,0.1461244633523002,232.05,22344.0,"1184,803,376,190",1363.45,691.8,-22.200000000000003,-10.635,210.25,1319.0886004300994,25.68105613546792,231.88,5689.0,"1213,693,175,93",1305.63,639.02,-9.945,-20.04,221.25,2.117985767063585e-07,7.935590304858947e-10,232.1,1190.0,"1290,677,81,45",1328.75,651.93,-27.33,-13.005,231.56,0.0,0.0,237.88,194.54,35
10,2006-08-20 07:00:00,11137,"1094,911,205,120",1202.62,859.66,0.0,0.0,212.56,420.5388081958145,1.170251436610772,228.41,4694.0,"1146,892,116,78",1204.05,848.81,-24.435,-18.855,222.3,8.034157197986461,0.08904037601339734,232.11,1398.0,"1161,880,62,50",1191.55,856.02,-38.535,1.59,233.11,0.002384639830408686,0.0,237.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.56,2
