storm_id,start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,rain_vol_26,rain_max_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,rain_vol_27,rain_max_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,rain_vol_28,rain_max_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,rain_vol_29,rain_max_29,tmean_29,area_30,bounds_30,clon_idx_30,clat_idx_30,PSu_30,PSv_30,tmin_30,rain_vol_30,rain_max_30,tmean_30,tmin_min,mcs_thld
1,2006-07-25 07:00:00,8860,"2605,83,185,75",2694.4,39.87,0.0,0.0,217.11,13573.22192536469,22.42382118451629,230.42,7568.0,"2570,75,228,67",2686.16,38.3,-3.24,1.185,223.7,6679.538090691991,10.382548910346044,234.25,5236.0,"2627,69,140,61",2699.68,36.26,-0.18,-0.105,224.85,5916.782915725511,25.10735245371919,234.96,3224.0,"2610,67,122,58",2670.97,33.89,-0.51,-0.105,231.62,2838.2700790231115,5.651665430508083,237.29,1146.0,"2601,45,80,36",2641.73,26.83,-13.919999999999998,0.21,235.96,180.7108662907996,1.4189180020341112,238.96,977.0,"2593,40,73,30",2629.62,22.3,-0.0,-2.145,234.61,91.53759106495504,0.6208734235256995,238.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.11,4
2,2006-07-25 07:00:00,27430,"2666,223,319,191",2858.34,135.73,0.0,0.0,218.89,10464.226564103064,26.089151201947267,232.59,11877.0,"2794,216,177,141",2882.4,150.8,-0.63,-0.06,225.64,122.42188193289395,0.2997515551603222,235.4,8679.0,"2806,211,148,117",2879.17,153.1,-4.86,-2.175,227.15,22.911793799662064,0.1179160262687866,235.92,4024.0,"2820,198,106,106",2873.55,146.81,-11.34,1.5750000000000002,228.43,0.3269448008973388,0.0053921334279554,236.43,998.0,"2813,169,70,34",2844.28,151.42,-17.009999999999998,-5.01,229.13,3.54015451115054e-05,6.948512010096617e-08,235.92,525.0,"2804,162,34,21",2822.04,150.74,-15.705000000000002,2.595,227.46,0.3264538690787563,0.0,234.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.89,4
3,2006-07-25 07:00:00,708,"2736,223,31,30",2751.77,208.22,0.0,0.0,218.47,12795.217031819557,83.59963153105127,231.7,8541.0,"2649,258,115,142",2712.81,179.18,-5.595,7.665000000000001,210.63,41109.68376863121,60.62656501942072,227.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.63,1
4,2006-07-25 07:00:00,37924,"2675,450,306,198",2846.63,353.68,0.0,0.0,217.87,31247.878272892933,32.82435087437967,229.8,35692.0,"2553,448,418,195",2822.81,353.05,-0.705,1.59,215.21,21364.958054093884,30.348592807845897,234.36,33513.0,"2531,376,417,264",2724.11,262.73,-8.100000000000001,0.27,212.0,73404.36309215472,56.07255747205139,229.94,30751.0,"2531,365,216,249",2651.4,246.56,-8.49,4.695,209.23,69208.98633061949,93.60792042442723,227.54,36836.0,"2488,417,248,295",2634.17,275.99,-5.76,2.13,209.96,80466.2119547643,55.13879323125572,228.79,33810.0,"2497,419,246,237",2623.58,297.95,-4.485,8.475000000000001,209.35,71066.3980688692,63.146947317415695,228.23,38663.0,"2472,442,236,249",2600.63,319.8,-5.46,4.53,206.81,71003.77770336006,68.81419946762236,228.64,36868.0,"2458,530,246,273",2589.61,375.8,-4.92,1.77,207.25,71416.79576416148,58.10457857548943,227.9,39157.0,"2434,535,245,281",2568.17,395.18,-2.625,-1.77,205.91,70305.6395796443,92.79313214836196,227.92,47444.0,"2379,655,275,311",2533.8,488.6,-11.205,3.015,207.65,86916.65190637154,83.48853693382321,226.68,48091.0,"2343,652,297,307",2511.3,510.39,-4.949999999999999,3.84,205.22,95028.05679905014,57.53266232645002,227.41,43338.0,"2310,682,331,304",2484.03,535.67,-2.745,-0.75,207.52,81636.1160543537,62.76702889415217,228.17,26914.0,"2323,642,237,211",2445.43,540.13,-1.41,13.5,216.38,32199.807785492056,60.97331715544661,230.69,11876.0,"2333,593,220,103",2439.03,533.62,-4.035,15.255,218.05,23183.58713463974,42.96392714960726,230.37,12071.0,"2301,579,218,103",2405.86,526.1,-11.115,19.755,219.45,18561.34332331152,44.4380458331217,232.28,6215.0,"2353,582,118,83",2412.48,541.58,-11.715,5.835,222.93,3000.84285347846,12.639119319167754,233.58,4314.0,"2353,581,79,84",2390.38,539.52,-13.755,1.2000000000000002,222.01,897.2683373319632,7.232063013009251,236.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.22,17
5,2006-07-25 07:00:00,39500,"3066,712,233,298",3218.03,590.73,0.0,0.0,207.83,59691.78536041891,90.5172693435364,227.23,40459.0,"3055,742,244,341",3206.76,603.5,-4.71,4.125,208.52,38960.21523421665,149.44428730154544,231.32,64199.0,"3016,1003,283,577",3174.19,729.2,-8.385,3.255,204.24,118196.99624033476,118.35777852915136,228.31,58371.0,"2968,1010,324,377",3114.54,801.26,-12.69,3.465,201.3,137555.00321628054,99.97918995082256,222.15,73533.0,"2925,1023,372,438",3084.49,798.01,-9.78,2.145,203.28,132265.7842653002,73.4600237932703,222.19,81976.0,"2820,1019,454,393",3049.4,795.59,-7.365,1.92,203.52,110676.8915191457,55.01344421678233,222.8,87365.0,"2849,1017,380,406",3017.36,804.7,-5.91,1.17,204.42,90657.66408175528,44.76256199594063,223.96,86587.0,"2808,1025,383,397",2971.48,822.39,-4.095,1.59,200.1,98052.83787964092,50.49589300071705,224.88,89016.0,"2762,1018,370,379",2936.42,824.82,-4.965,1.32,199.86,121065.9159370909,88.55859592481539,225.8,85874.0,"2720,1050,390,417",2892.23,830.39,-5.46,0.36,197.86,126317.129158028,82.46166450965808,225.74,104099.0,"2659,1216,413,576",2836.43,910.71,-3.795,-9.15,197.4,139599.23614749825,62.16043886664808,223.69,106719.0,"2619,1249,390,607",2792.88,956.76,-5.19,-3.315,196.12,148457.83004280736,63.54498760129212,222.74,97044.0,"2581,1263,334,562",2749.75,983.49,-6.465,4.59,196.82,157085.5155169776,55.2829080673248,222.01,85937.0,"2546,1166,355,457",2722.01,957.86,-4.32,1.125,198.76,186515.58071486856,65.45263287653319,221.8,108399.0,"2397,1159,486,591",2661.56,908.41,-6.074999999999999,1.38,198.81,237500.45698201272,99.95985972106295,222.1,91390.0,"2430,1166,400,477",2648.21,942.88,-1.23,-0.345,199.77,211123.03001445805,75.46741931462043,219.67,95838.0,"2414,1139,393,470",2617.22,935.82,-2.445,3.045,198.15,207208.08142432163,68.68939835587909,219.78,95793.0,"2391,1135,355,455",2585.68,936.8,0.255,0.015,196.9,205287.81404808772,128.31863034957928,220.21,90972.0,"2374,1142,351,457",2554.33,929.06,-1.665,0.5549999999999999,196.68,173591.85980136323,75.7586676579285,220.44,88193.0,"2359,1150,362,443",2526.18,919.53,-2.52,1.515,200.64,121425.9855240008,50.424649722922624,221.27,88461.0,"2335,1178,360,466",2508.14,917.68,-1.14,1.965,204.8,88951.20016167755,60.23465452566191,224.43,68934.0,"2322,1089,345,385",2493.46,880.76,-1.59,0.21,209.11,47391.961402162975,65.19609407881407,225.84,65139.0,"2317,1091,340,374",2478.75,872.62,-1.53,-0.3,210.0,23686.4272483208,19.00053782463113,230.17,32129.0,"2295,938,344,218",2489.01,827.76,-1.95,-1.155,218.96,2650.6869302741843,3.4510383492413483,233.56,10724.0,"2269,873,234,146",2383.97,794.55,-10.545,-2.145,223.46,387.6694401309302,0.6868263442980914,234.39,4760.0,"2265,833,144,85",2338.43,790.07,-27.405,-2.79,225.46,66.71187149804776,0.1728507952007514,234.73,1919.0,"2248,825,127,67",2314.97,784.67,-26.43,-0.66,230.94,6.86135842610924,0.0336933937490781,236.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.12,26
6,2006-07-25 07:00:00,70909,"0,721,508,249",245.28,592.36,0.0,0.0,199.68,189333.24584971464,66.68957636575058,220.96,72714.0,"0,726,509,264",229.82,594.19,1.545,0.24,197.93,216911.4785532672,100.53747143097694,221.22,74259.0,"0,735,495,268",220.16,598.48,-0.5700000000000001,1.035,198.97,224728.5247293105,111.75459602577024,220.31,82228.0,"0,739,454,269",208.8,607.87,-0.24,0.15,200.53,218833.79534323595,153.93890862911283,220.13,103778.0,"0,915,501,454",232.39,640.06,-2.595,-1.395,200.92,230164.26160145173,129.17670373883345,220.97,110005.0,"0,936,507,475",230.97,649.52,-1.095,0.6000000000000001,199.62,233444.9174499329,109.9388744346792,222.04,111412.0,"0,957,509,496",227.33,653.75,-0.78,1.065,201.18,197258.7747032033,81.81337867006559,222.23,110500.0,"0,956,511,500",223.5,656.53,-2.325,1.365,200.02,185280.4143851386,89.02044849983378,222.81,110347.0,"0,939,512,489",222.99,654.41,-2.865,1.6350000000000002,200.97,144660.89606021103,62.61196016536792,223.72,67413.0,"0,845,299,375",130.6,646.69,-2.67,-0.705,203.48,87347.08026070526,65.82811011406855,224.79,62426.0,"0,871,285,398",113.46,647.56,-2.265,0.78,205.09,65962.96537729075,80.98568042081172,226.31,51080.0,"0,861,236,392",90.65,651.1,-3.945,2.46,209.1,37596.23129753958,43.95410104985267,227.38,40133.0,"0,876,225,407",74.63,647.86,-10.035,0.915,211.85,14969.740964046723,36.61880018917135,230.18,21102.0,"0,834,101,313",44.95,683.4,-5.67,1.14,223.18,1791.571402157692,25.09965972587036,233.3,8103.0,"0,795,67,260",25.19,680.23,-1.095,4.050000000000001,226.66,163.51753156459426,2.530018690149624,235.44,641.0,"8,786,15,66",13.45,755.39,0.0,0.0,229.94,0.0,0.0,236.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.93,15
7,2006-07-25 07:00:00,54581,"1787,858,430,281",1975.58,719.67,0.0,0.0,214.63,101678.66685632024,39.22645702504538,231.51,37321.0,"1759,798,406,223",1966.84,703.82,-4.215,-1.725,216.27,77489.9201952754,86.71022163097915,232.88,33218.0,"1721,789,432,215",1950.22,700.59,-10.11,-4.23,217.23,48803.15344632095,25.556532912505794,233.05,28334.0,"1712,786,400,232",1936.62,681.01,-6.66,-3.63,218.28,26255.33744867441,25.59716883751409,234.1,17840.0,"1834,782,256,237",1973.61,656.49,-3.315,-7.005,221.99,8271.690291113398,11.788225097342266,234.27,18686.0,"1788,777,288,249",1954.49,642.94,-11.67,-1.155,223.89,5801.242639118926,18.63079890240625,233.98,17176.0,"1742,776,316,275",1928.59,620.69,-10.605,-1.515,222.35,3858.603504049465,32.90648718180532,234.06,13669.0,"1694,697,339,207",1881.29,593.39,-16.919999999999998,-5.37,223.57,7752.049908156615,32.48590010644136,233.96,9661.0,"1647,690,323,207",1806.1,559.21,-5.205,-4.875,223.73,3381.132274294924,15.397731483826758,235.02,4680.0,"1607,562,197,90",1716.01,509.06,-25.065,-0.5549999999999999,227.88,1031.3986756697602,4.383234931364621,235.96,473.0,"1569,485,57,19",1598.49,477.1,-25.065,-5.19,232.3,0.0,0.0,237.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.63,10
8,2006-07-25 07:00:00,2495,"2264,667,89,79",2304.47,627.65,0.0,0.0,217.44,9660.06666282633,35.897443157665386,231.94,2657.0,"2270,665,82,55",2311.36,635.67,-6.705,2.76,219.34,12110.842789871456,20.405353555653203,231.07,3641.0,"2257,668,92,70",2299.98,630.05,-18.975,-1.005,221.75,4535.633505465219,10.568856704492989,232.16,4640.0,"2241,699,128,120",2294.94,633.36,-2.445,-1.905,223.56,1789.4799893072714,3.256039888137745,233.73,3412.0,"2229,672,103,109",2274.07,621.15,-24.69,-3.375,225.13,251.12742221277225,0.6224408569398175,235.23,852.0,"2215,600,57,38",2242.69,581.74,-26.04,-13.86,228.22,88.6526876520659,0.3686296383320586,235.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.44,5
9,2006-07-25 07:00:00,4458,"1281,801,85,83",1315.58,760.75,0.0,0.0,211.32,36237.70855103953,48.70823301033075,228.0,3854.0,"1263,802,88,71",1309.23,765.81,-2.64,0.705,215.08,16336.930291044597,39.4313558774076,227.48,3756.0,"1256,810,86,81",1297.04,768.83,-7.935,0.8999999999999999,219.11,4139.81045166784,5.25914650473424,232.12,1374.0,"1274,794,38,57",1295.15,767.1,-12.51,-3.1049999999999995,230.89,258.9059486174888,0.7658062173173191,236.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.32,3
10,2006-07-25 07:00:00,5423,"774,834,144,88",840.93,785.41,0.0,0.0,210.98,9202.05494447658,61.006622367622896,224.96,6699.0,"784,814,140,93",847.89,772.73,-7.935,0.6900000000000001,213.49,9964.878787139549,43.23989275406928,227.22,7660.0,"759,818,156,100",835.96,772.2,-5.1,-1.245,214.47,6004.862838039998,33.49663633696403,227.79,4963.0,"729,799,117,76",795.53,763.18,-19.86,-2.1,218.6,392.6201541354866,3.467544766608322,228.86,6197.0,"708,814,175,81",792.48,777.74,-22.41,1.905,220.85,3.953067967987151,0.0028524769599327,232.15,2373.0,"688,808,89,71",725.61,774.06,-30.645,7.529999999999999,225.52,0.1720063744565515,0.0006881024101184,233.62,1256.0,"667,817,62,51",692.54,793.5,-6.27,8.175,226.98,0.010984038393794,9.05614011344192e-05,234.45,949.0,"640,829,69,49",669.12,810.42,-22.995,4.89,228.61,0.0128907077796496,5.42550494257233e-07,234.49,576.0,"622,843,59,39",645.07,822.81,-12.48,7.545,229.04,0.0121807943737216,2.20445266188398e-07,235.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.98,6
