storm_id,start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,rain_vol_26,rain_max_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,rain_vol_27,rain_max_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,rain_vol_28,rain_max_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,rain_vol_29,rain_max_29,tmean_29,area_30,bounds_30,clon_idx_30,clat_idx_30,PSu_30,PSv_30,tmin_30,rain_vol_30,rain_max_30,tmean_30,area_31,bounds_31,clon_idx_31,clat_idx_31,PSu_31,PSv_31,tmin_31,rain_vol_31,rain_max_31,tmean_31,area_32,bounds_32,clon_idx_32,clat_idx_32,PSu_32,PSv_32,tmin_32,rain_vol_32,rain_max_32,tmean_32,tmin_min,mcs_thld
1,2006-07-26 07:00:00,2036,"26,529,97,41",73.87,506.96,0.0,0.0,221.95,5100.480500511457,32.357343078129205,230.84,5342.0,"0,563,170,90",70.36,501.73,-5.415,-1.62,214.84,27420.853714932666,64.6929515468239,230.56,6913.0,"0,557,166,89",71.03,497.64,-3.165,-2.31,214.23,38220.768803831226,133.45342968553095,229.56,9056.0,"0,560,155,102",68.85,501.75,-1.38,1.53,207.78,35043.63133426491,54.41115932470899,226.78,9923.0,"0,576,144,121",61.82,503.45,-1.89,-0.09,208.73,32703.56872258452,63.19424790093738,225.19,10474.0,"0,571,155,119",60.13,505.64,3.2700000000000005,0.3,213.9,32247.680663108928,49.66917715890275,226.63,10630.0,"0,606,144,150",53.67,511.52,-1.95,-0.5700000000000001,213.4,13520.300368952989,45.90458193988867,227.17,10774.0,"0,634,128,183",49.99,513.36,-1.965,0.255,219.17,7486.3515748351165,15.68141292467543,229.54,5708.0,"0,537,109,84",48.61,488.6,-0.045,15.525,215.75,1686.8883512630243,3.226652824887606,231.1,2839.0,"0,533,83,55",34.99,502.83,0.135,0.045,227.5,258.29536874484046,1.488461113622633,234.23,580.0,"0,527,31,57",11.24,499.84,-0.015,-0.0,225.14,2.197957623215304,0.0027932265461366,236.43,583.0,"0,518,8,69",4.0,484.79,-0.99,0.0,219.89,0.0,0.0,227.39,773.0,"0,521,8,89",3.96,476.82,0.0,7.095000000000001,220.68,0.0,0.0,226.97,622.0,"0,495,8,74",4.02,458.92,0.12,-8.22,218.36,0.0,0.0,225.07,674.0,"0,495,8,77",3.96,457.31,-0.0,-0.0,215.86,0.0,0.0,225.23,754.0,"0,513,8,87",3.86,468.51,-0.0,0.0,216.75,0.0,0.0,227.15,739.0,"0,505,8,89",3.94,461.28,-0.0,-0.015,221.42,0.0,0.0,229.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.78,9
2,2006-07-26 07:00:00,1768,"101,576,69,47",136.05,554.16,0.0,0.0,220.61,7174.769114786696,29.6901101316428,233.53,2886.0,"66,578,101,50",116.09,552.53,-17.384999999999998,0.09,219.31,6489.039340393711,32.00054615043736,231.14,4230.0,"39,589,153,65",103.14,553.95,-7.800000000000001,0.5249999999999999,222.62,6752.868617164188,18.229304151913027,233.01,1751.0,"67,575,99,38",119.9,557.51,-7.74,4.245,226.98,124.50134045344274,0.2320609590495511,235.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.31,2
3,2006-07-26 07:00:00,2824,"407,567,124,38",463.75,545.87,0.0,0.0,222.13,1635.846195217837,5.906981312185888,232.31,2799.0,"392,573,139,46",464.84,549.34,-0.3,0.03,219.76,4143.387576233168,26.07212963667653,230.09,3358.0,"381,575,150,50",458.89,550.1,-1.11,-1.47,215.41,5797.383699362415,26.84710802293729,228.26,6444.0,"352,577,230,91",487.55,534.5,-2.445,-5.37,213.44,36085.47982843224,58.17405504118423,228.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.44,4
4,2006-07-26 07:00:00,13399,"337,762,223,122",435.92,693.46,0.0,0.0,209.92,31598.269688172822,49.45811598779977,226.39,15480.0,"304,766,249,136",411.91,687.76,-10.185,0.855,204.71,30717.99979906227,71.08178020871037,226.75,26945.0,"134,848,340,256",325.77,713.67,-1.6350000000000002,0.015,203.34,41574.61715985824,83.03700628201601,228.16,23463.0,"181,756,301,173",359.8,674.45,-1.965,2.055,205.87,61776.78318390034,78.56052815926549,224.69,32104.0,"264,757,302,273",394.5,623.48,-4.7700000000000005,-1.71,202.29,112389.3800077522,62.4568509091868,223.76,32843.0,"232,761,263,214",354.37,647.9,-3.87,-0.48,201.87,87558.81324531265,115.1908988537667,223.3,51272.0,"183,763,353,297",353.37,608.8,-0.795,0.255,198.4,123324.17438161692,65.31301875459565,223.41,48716.0,"121,789,362,269",306.37,629.59,-2.865,-0.66,199.44,88350.64381769366,50.75660686641764,222.58,73364.0,"82,757,482,318",320.43,602.38,-3.2700000000000005,0.8999999999999999,200.84,174126.1173883016,81.84649822437092,223.87,84397.0,"27,763,520,321",294.91,602.24,-2.07,3.645000000000001,200.4,179202.29261500077,74.18122651889179,224.31,94803.0,"0,795,511,364",262.74,604.03,-2.04,-1.11,203.61,193347.41462299827,82.95150868218356,225.72,94687.0,"6,798,474,375",240.31,605.83,-3.405,-0.21,200.41,162797.28014359227,138.884149254954,227.16,81665.0,"0,809,421,379",211.41,610.43,-1.71,-0.285,197.96,138731.43413795135,87.21775934884323,226.91,72907.0,"0,824,403,403",185.4,611.41,-4.635,1.08,199.0,116473.71052672926,151.26141179914026,226.5,61951.0,"0,829,305,378",147.99,627.65,-3.735,-2.88,203.3,75455.78186338507,68.41770739064499,225.92,51538.0,"0,759,301,301",142.45,621.26,-1.335,1.095,201.55,77331.99925861345,61.79134705812946,224.68,48740.0,"0,748,291,284",142.45,619.92,-0.735,-0.735,207.94,70361.9567243529,63.41378516601874,225.99,45670.0,"0,734,294,240",144.39,615.19,-0.0,0.0,203.32,60206.32018630806,52.843979742258185,226.52,2228.0,"200,603,54,72",226.19,571.83,-1.62,3.06,212.86,2662.1303448857025,13.752981246945604,228.82,2277.0,"188,594,47,84",211.26,556.29,-7.35,-9.42,220.11,22.62094513950592,0.3798573384636085,231.13,1392.0,"160,581,56,46",188.34,554.65,-10.665,-0.39,229.03,0.0356708021179853,0.0003430345170654,235.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.96,20
5,2006-07-26 07:00:00,18730,"760,892,162,186",840.21,790.51,0.0,0.0,206.4,17769.520600018135,42.81802682666537,225.53,13396.0,"745,903,170,197",822.83,797.99,-9.615,-0.315,206.69,8722.87503255219,28.90474054310144,226.49,13284.0,"726,860,179,144",804.22,797.0,-7.709999999999999,-0.315,209.55,9549.81429605767,33.44642474001878,226.43,11194.0,"680,859,160,118",761.08,804.32,-9.135,-1.845,209.96,13718.477086327017,66.62283442682873,226.18,14639.0,"655,869,228,149",759.73,800.6,-16.185,-1.245,208.05,13909.850630350133,49.39409945848552,228.73,11508.0,"627,871,157,142",702.47,802.58,-17.085,-5.415,207.78,9424.779395438542,60.71694747690232,227.22,14571.0,"598,923,165,200",678.78,813.53,-13.77,-6.015,209.24,3523.3913651555376,11.207809199178095,227.64,16981.0,"482,891,262,165",623.25,800.39,-11.955,-9.285,204.88,9980.785425526858,40.914069640245216,227.24,17436.0,"452,892,275,170",600.63,793.18,-21.315,-8.805,202.96,14404.31833308717,51.31888228331949,225.41,16053.0,"474,824,236,119",594.25,769.58,-13.23,-5.64,199.93,16963.007541018815,31.845668676512105,223.24,21543.0,"390,847,289,204",547.85,759.15,-19.215,-6.675000000000001,199.09,35418.320341853505,71.88345213293671,222.62,23751.0,"357,896,267,211",495.79,779.65,-10.65,-5.34,197.57,47871.26508492554,48.75117975147018,218.57,25290.0,"325,879,242,200",463.39,766.81,-2.7,-1.365,195.14,50437.57256068737,144.59741844358948,216.45,28162.0,"308,873,238,214",439.97,764.57,-7.74,-1.755,195.62,55096.79519526915,69.51288756309219,216.39,30815.0,"309,884,207,245",419.69,762.47,-5.324999999999999,-0.165,195.25,59232.94378809915,61.65896402555176,216.48,32480.0,"284,889,218,260",394.55,772.9,-7.005,1.98,196.88,74633.78042735596,108.50712564373435,216.47,40938.0,"254,954,247,325",371.03,804.52,-8.040000000000001,1.41,194.49,138815.72173404656,122.47723209621272,215.46,48270.0,"225,969,251,344",346.53,813.42,0.0,-0.0,194.03,160441.61191786878,107.3026776399408,214.37,92110.0,"0,991,455,503",252.99,747.12,-2.73,0.54,195.98,203545.3815731392,74.84095008875526,218.22,70713.0,"139,1002,314,382",296.91,813.09,-1.815,-0.12,195.22,127857.7406517184,107.39204035248052,215.32,77342.0,"101,1006,318,550",271.73,803.95,-2.1,-0.66,197.35,95103.4091859136,82.88659347236576,215.91,86677.0,"90,1018,310,592",254.13,797.59,-2.535,-1.6800000000000002,198.55,76570.11169209307,75.92312662982069,218.3,88225.0,"69,1024,321,582",234.24,795.03,-3.1500000000000004,-0.645,199.41,67415.19272060043,56.22784713085147,219.98,111579.0,"0,1018,384,577",186.91,756.99,-3.99,-0.765,198.58,112575.51033716036,125.49703078698433,222.75,115366.0,"0,1022,441,561",182.39,758.82,-1.5,-0.705,200.79,111502.0860028598,105.72318334773092,224.39,118707.0,"0,1028,430,580",185.73,736.73,-1.7399999999999998,1.185,201.73,123697.96509474836,73.43370788493706,225.82,82603.0,"0,869,425,432",166.67,673.44,-3.12,-0.075,202.58,85922.39721302435,91.90442300946587,225.35,40851.0,"0,863,205,423",72.46,659.79,-3.015,-0.8999999999999999,203.97,52375.22117408825,46.51308234010871,223.78,30973.0,"0,819,185,387",55.5,638.91,-10.38,-0.615,203.09,72117.25198220834,65.80674879170276,224.37,30774.0,"0,804,170,364",59.21,610.04,-3.99,1.995,201.68,100355.0238044964,75.29063129520532,222.76,28771.0,"0,804,210,377",62.88,622.87,-6.0600000000000005,-0.06,199.54,96181.78407103862,86.54345486672185,220.04,17113.0,"0,667,122,227",49.52,572.14,-2.34,0.36,201.33,69380.27063110247,72.55956457711049,217.2,16513.0,"0,676,111,215",47.43,578.93,-0.48,0.27,201.43,54039.99558443759,79.01022118671082,217.23,194.03,33
6,2006-07-26 07:00:00,14094,"179,842,154,134",262.27,783.17,0.0,0.0,211.27,7231.847883750031,19.10684691253808,225.71,10942.0,"156,838,148,106",235.39,785.85,-15.18,-1.6800000000000002,216.57,182.3078159595321,0.4002242159196534,230.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.27,2
7,2006-07-26 07:00:00,30377,"1080,985,225,204",1195.33,883.76,0.0,0.0,205.88,33168.48361045652,32.66631100829653,225.79,23343.0,"1063,959,207,170",1172.79,874.64,-3.42,-1.125,209.2,19670.615831030256,35.63640956613716,229.48,16480.0,"1043,952,197,174",1135.56,859.99,-8.16,-3.255,216.19,3819.071785531425,3.383367633162412,228.84,13009.0,"1020,902,173,122",1113.71,842.03,-8.43,-0.36,214.8,5694.164302593854,44.12880810212418,230.78,12482.0,"991,902,203,135",1089.71,828.67,-14.895,-11.115,213.27,13404.033257617237,31.607338800442815,230.54,14091.0,"961,915,222,158",1061.22,824.84,-8.385,-6.779999999999999,205.44,13490.590132707724,37.9631951576818,228.4,15456.0,"930,920,238,176",1033.78,824.81,-15.6,-6.0600000000000005,210.1,9924.14897113055,27.920905246869232,229.52,15232.0,"891,915,264,174",1000.55,831.31,-10.65,-1.6350000000000002,202.63,14618.253369597109,55.606961240052726,228.66,13152.0,"866,934,167,178",945.62,842.42,7.74,-3.555,199.07,15406.867824500809,28.70969649567268,222.35,33007.0,"669,1002,342,263",864.41,866.38,-12.855,-4.08,195.47,87219.16010479684,63.34043732084769,217.53,41992.0,"654,993,349,270",845.77,861.61,-9.0,-3.45,194.93,78886.09551670232,87.34951786261485,215.57,48322.0,"635,989,349,278",821.68,859.82,-7.77,-6.51,195.21,69400.55144352934,78.93697245319312,215.64,54618.0,"617,1012,360,317",798.16,860.48,-2.61,-1.41,195.98,42164.83417680115,44.15102936763441,217.06,56728.0,"601,1020,369,318",765.16,867.35,-3.075,-5.205,198.03,47914.67935347049,71.34036969463651,217.99,57828.0,"582,1018,305,322",739.66,864.56,-5.6850000000000005,-4.365,199.71,62595.26910199746,56.16623297101905,220.55,40181.0,"564,1005,286,253",695.75,891.42,-7.154999999999999,-0.66,205.82,3527.351687488057,38.55513300090035,223.16,36148.0,"543,997,283,334",658.06,876.0,-15.345,-1.7399999999999998,208.13,4641.247937556354,44.10275635551698,227.61,25875.0,"476,979,334,285",621.91,878.96,0.12,-0.0,210.26,53.66635731160823,0.5361805418922673,229.69,9217.0,"578,1073,204,193",704.22,959.87,-18.075000000000003,-3.99,218.77,2.9950011078237084,0.0219330428903181,232.19,3997.0,"636,1065,89,140",691.46,986.08,-19.485,-5.055,219.42,1.3698010620297014,0.0091273040676625,231.89,2689.0,"621,1045,89,109",676.52,983.8,-20.655,-2.745,215.82,0.1608178671640887,0.0006431867706845,231.97,1611.0,"651,1036,45,99",672.25,989.76,-18.99,-11.085,216.02,6.745326810891243e-09,0.0,230.29,1450.0,"631,1029,52,77",657.22,989.19,-23.49,-6.84,219.34,0.0,0.0,230.26,1215.0,"614,1028,53,81",643.7,984.95,-25.35,-8.61,219.92,0.0,0.0,231.43,1086.0,"601,1014,51,71",630.1,975.37,-19.05,-9.51,219.87,8.875151177637781e-09,0.0,231.24,1139.0,"586,998,46,67",612.84,961.77,-25.665,-16.56,222.64,0.2670426987298709,9.774617239013438e-08,231.27,1098.0,"567,992,44,71",594.56,951.87,-20.925,-6.495,225.11,0.0013409377030087,1.90372305492833e-06,234.79,484.0,"546,936,41,30",565.56,920.8,-27.0,-19.695,224.39,2.1907336881678825e-08,0.0,232.03,570.0,"521,927,47,33",544.14,910.57,-18.9,-9.495,225.72,3.35899187136675e-07,1.0211516589022084e-07,232.09,479.0,"502,920,44,35",521.51,902.44,-30.015,-6.449999999999999,227.37,2.8076450886977173e-07,2.226406104020912e-09,233.82,469.0,"478,909,39,35",496.38,892.99,-25.53,-2.61,228.32,0.0003605276535771,2.9144998791454983e-08,233.8,,,,,,,,,,,,,,,,,,,,,194.93,21
8,2006-07-26 07:00:00,13272,"1992,1093,165,230",2086.07,969.93,0.0,0.0,220.08,0.0118343388048624,0.0002010401374933,235.09,7129.0,"2010,1007,122,167",2068.69,917.53,-9.06,-11.895,224.98,1.826133593621537e-05,3.6764482973477373e-07,235.44,4377.0,"1998,994,111,165",2059.36,900.47,-14.385,-18.33,227.07,2.618199766627863e-05,5.28526049221861e-07,235.75,4128.0,"1969,979,122,173",2040.56,885.7,-21.615,-10.485,226.99,0.0015990570167193,1.966166523084796e-06,234.76,4815.0,"1950,1013,145,225",2029.64,890.11,-22.005,-9.435,226.6,0.0050018534283339,1.106589332520562e-05,235.09,5494.0,"1916,1017,156,254",2007.03,879.09,-24.36,6.27,227.58,0.0359522995302644,7.732779111724834e-05,235.13,3861.0,"1950,972,94,163",1997.71,890.71,-22.53,0.06,230.38,0.2421178632587754,0.0027009649638659,235.63,2525.0,"1941,942,76,137",1975.82,885.67,-29.85,-8.16,230.62,6.449054839520835,0.0138060478180758,237.6,830.0,"1938,932,57,36",1968.05,913.48,-27.87,-7.62,230.32,24.968654435599596,0.0351745023682469,236.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.08,8
9,2006-07-26 07:00:00,16417,"315,1165,193,290",408.37,1010.83,0.0,0.0,219.73,32.984397904476765,0.2362507639783438,233.5,5883.0,"348,1026,116,140",398.29,940.91,-22.14,1.215,224.39,0.0418642513388274,0.0004155883977716,235.69,876.0,"363,910,78,17",400.16,902.39,-10.395,-24.855,223.08,0.0,0.0,232.79,1047.0,"354,919,78,24",389.88,907.31,-7.035,9.51,223.79,0.0,0.0,233.19,941.0,"319,922,85,23",362.65,910.61,-21.915,5.79,226.79,1.6442291031624034e-09,0.0,234.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.73,2
10,2006-07-26 07:00:00,13241,"2333,1033,204,153",2408.63,968.53,0.0,0.0,222.79,2116.300736194496,2.468638167413681,236.28,2143.0,"2362,990,56,80",2395.27,947.07,-6.209999999999999,0.5549999999999999,230.43,192.13930755514443,0.5794150632331929,237.12,1478.0,"2359,993,49,76",2384.44,956.48,-9.12,2.76,233.42,56.66474141717191,0.1868251110268678,238.38,898.0,"2343,997,49,29",2367.53,981.43,-30.165,1.32,232.98,74.46244765718369,0.1993955529854474,237.9,2175.0,"2308,1000,66,98",2345.76,954.83,-23.46,-0.135,231.15,60.74772385605466,0.6847746512237703,237.57,758.0,"2286,950,52,48",2315.04,920.79,-26.205,0.06,236.21,5.191753406181223,0.0816749048617031,239.05,467.0,"2245,927,58,25",2280.42,912.69,-33.63,3.78,238.13,0.6641865948165385,0.0018332601564665,239.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.79,1
