storm_id,start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,rain_vol_26,rain_max_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,rain_vol_27,rain_max_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,rain_vol_28,rain_max_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,rain_vol_29,rain_max_29,tmean_29,area_30,bounds_30,clon_idx_30,clat_idx_30,PSu_30,PSv_30,tmin_30,rain_vol_30,rain_max_30,tmean_30,area_31,bounds_31,clon_idx_31,clat_idx_31,PSu_31,PSv_31,tmin_31,rain_vol_31,rain_max_31,tmean_31,area_32,bounds_32,clon_idx_32,clat_idx_32,PSu_32,PSv_32,tmin_32,rain_vol_32,rain_max_32,tmean_32,area_33,bounds_33,clon_idx_33,clat_idx_33,PSu_33,PSv_33,tmin_33,rain_vol_33,rain_max_33,tmean_33,area_34,bounds_34,clon_idx_34,clat_idx_34,PSu_34,PSv_34,tmin_34,rain_vol_34,rain_max_34,tmean_34,area_35,bounds_35,clon_idx_35,clat_idx_35,PSu_35,PSv_35,tmin_35,rain_vol_35,rain_max_35,tmean_35,area_36,bounds_36,clon_idx_36,clat_idx_36,PSu_36,PSv_36,tmin_36,rain_vol_36,rain_max_36,tmean_36,area_37,bounds_37,clon_idx_37,clat_idx_37,PSu_37,PSv_37,tmin_37,rain_vol_37,rain_max_37,tmean_37,area_38,bounds_38,clon_idx_38,clat_idx_38,PSu_38,PSv_38,tmin_38,rain_vol_38,rain_max_38,tmean_38,area_39,bounds_39,clon_idx_39,clat_idx_39,PSu_39,PSv_39,tmin_39,rain_vol_39,rain_max_39,tmean_39,area_40,bounds_40,clon_idx_40,clat_idx_40,PSu_40,PSv_40,tmin_40,rain_vol_40,rain_max_40,tmean_40,area_41,bounds_41,clon_idx_41,clat_idx_41,PSu_41,PSv_41,tmin_41,rain_vol_41,rain_max_41,tmean_41,tmin_min,mcs_thld
1,2006-07-31 07:00:00,10708,"2648,242,106,195",2704.04,161.17,0.0,0.0,210.79,20733.05974959432,32.52729346237887,227.86,5383.0,"2665,252,120,73",2719.74,209.75,-2.955,-2.175,211.97,10380.32991198158,51.600827144268095,225.32,7550.0,"2647,259,128,90",2709.88,210.33,-10.155,-4.14,210.08,5369.959231487419,16.327861389544655,226.51,6376.0,"2634,264,84,99",2677.26,216.32,5.699999999999999,-11.67,217.5,1724.9817411685783,17.250764225150256,227.89,6158.0,"2615,265,89,105",2659.16,214.56,-22.215,-1.47,222.31,71.18472087966349,0.9019333274209588,231.95,4782.0,"2595,260,85,107",2635.91,210.34,-16.575000000000003,-6.6000000000000005,223.62,283.028978287028,0.0528749336612955,233.61,2576.0,"2572,248,82,73",2615.71,211.07,-21.84,-4.44,221.43,331.7385033448372,0.0105960308299667,233.98,2060.0,"2544,203,75,73",2584.34,174.82,-21.51,-5.88,222.86,0.0176847613381584,0.000567691616074,234.44,1579.0,"2511,194,83,33",2555.69,178.95,-20.82,-14.835,229.26,5.1180576953608324e-08,2.728051130319276e-09,234.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.08,7
2,2006-07-31 07:00:00,13689,"2445,257,179,126",2543.3,198.97,0.0,0.0,220.52,2604.5926369687577,7.396373099323479,231.01,8393.0,"2453,248,155,108",2538.09,207.82,-0.705,0.4499999999999999,222.7,219.66603477626256,0.4448546236088679,235.3,3002.0,"2466,239,73,107",2506.81,193.5,-6.33,-7.23,230.01,2.9405264431376232,0.0059379252326931,237.32,735.0,"2486,179,28,43",2500.73,155.96,-19.905,-14.46,230.63,1.7413564346536402e-06,0.0,236.73,610.0,"2476,168,26,43",2489.0,141.34,-16.875,-14.13,233.22,2.081426172592755e-07,2.5489236882843447e-10,237.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.52,3
3,2006-07-31 07:00:00,5875,"3117,294,105,82",3176.73,255.51,0.0,0.0,212.51,26341.682143950005,47.43100722912212,226.08,5208.0,"3120,300,95,78",3170.91,262.61,-2.91,5.28,217.86,14371.91708415887,23.27780780850232,227.21,5350.0,"3115,310,83,95",3159.79,261.55,-8.084999999999999,0.09,224.07,5250.569688049563,9.03369957155099,232.33,3300.0,"3108,311,73,75",3147.47,273.86,-19.59,1.89,223.84,1506.2467693830424,3.6026045577734958,234.71,1565.0,"3091,279,67,46",3131.28,256.74,-12.27,-1.35,231.19,61.53985530365503,0.2751281234086598,237.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.51,4
4,2006-07-31 07:00:00,1787,"2117,280,74,58",2153.48,253.24,0.0,0.0,216.43,2152.053483309444,19.411484679660877,229.44,3629.0,"2088,286,117,99",2140.52,236.38,0.915,-2.085,218.51,3707.30609020856,9.788278049862663,230.82,8022.0,"2035,288,162,124",2110.68,236.43,-13.065,-10.935,221.67,5382.823753544787,36.27955346579264,231.88,6553.0,"2030,278,168,137",2113.49,215.0,-14.055,-3.825,217.73,1814.4345674193264,15.241904951395096,232.16,15324.0,"1902,320,301,195",2061.18,240.72,-5.64,-8.565,220.42,17389.500359688536,90.32572631818296,232.32,8353.0,"1925,313,207,95",2029.5,270.03,-5.28,-11.73,213.83,5269.986811439862,10.829797548172298,231.07,16530.0,"1909,307,278,208",2037.14,226.04,-22.71,-10.41,218.02,3330.011938522709,6.185313193780557,232.86,15834.0,"1883,317,311,177",2049.87,233.53,-9.705,-6.24,214.05,9259.424219837276,30.373281054756937,232.99,10987.0,"1934,313,246,171",2039.9,245.51,-6.18,2.415,212.07,2549.6613230519806,10.008372728725703,232.7,9712.0,"1899,304,247,152",2023.68,237.27,-5.175000000000001,-6.300000000000001,222.85,49.09603106499407,0.8066771568994797,234.15,3001.0,"2016,291,98,56",2070.46,261.72,-0.765,-13.95,230.44,0.5292601880123453,0.0010677655842327,236.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.07,10
5,2006-07-31 07:00:00,39166,"572,949,265,681",716.83,623.73,0.0,0.0,214.29,12683.120505858176,17.851511657642554,233.83,6800.0,"740,696,86,212",778.94,585.49,-2.67,-1.875,223.8,4891.079503730263,30.872763927434807,233.62,10840.0,"700,790,123,317",766.46,611.92,-0.78,-7.334999999999999,223.68,1661.1589099283926,1.7222689297396283,233.67,21296.0,"673,794,154,365",754.9,593.18,-2.295,-13.155,221.11,6962.769484897652,11.78480315419857,233.56,26751.0,"679,792,144,383",748.34,581.99,-2.34,-4.5600000000000005,219.25,15974.040156942574,15.269250557642032,233.06,24668.0,"660,787,160,404",751.02,579.29,-2.46,-3.2700000000000005,217.99,7719.708236562211,6.271174421085698,231.22,23347.0,"649,777,164,423",750.96,565.09,-1.77,-9.63,215.18,2843.754012835956,6.22691428416657,230.16,22707.0,"637,771,174,449",747.13,550.54,-2.805,-9.525,215.86,1047.4647810802253,4.152152933865994,229.35,25741.0,"624,794,181,504",737.98,550.56,-1.965,-7.62,215.4,887.8476843944876,2.060490959290131,228.83,29002.0,"618,782,179,521",724.73,535.59,-5.355,-9.165,214.38,11432.14751271205,34.305921560971285,228.48,33024.0,"611,772,199,540",718.86,533.35,-3.51,-10.74,213.85,12379.295282462852,33.05893741098299,229.96,31028.0,"602,761,201,557",714.64,523.72,-2.85,-8.129999999999999,211.81,7949.422910777041,19.28413397808168,231.65,10974.0,"640,473,119,298",698.78,326.99,-4.0200000000000005,-7.875,218.55,0.4353623152050627,0.0001156592958659,233.58,5823.0,"627,444,112,221",690.11,327.31,-7.02,-10.185,223.77,1.140857730466869,0.0040892733504006,236.01,838.0,"630,256,37,36",649.95,239.1,-9.09,-24.39,233.76,0.0107468890902221,1.0485409371611996e-05,237.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.81,14
6,2006-07-31 07:00:00,1330,"2084,310,62,35",2114.52,294.18,0.0,0.0,218.04,5786.827815281822,52.13490805076374,231.41,2451.0,"2064,302,75,48",2100.32,278.27,1.14,-7.68,219.06,1232.007559772188,15.57647822751532,229.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.04,1
7,2006-07-31 07:00:00,1817,"1968,326,94,42",2014.57,306.16,0.0,0.0,226.19,6907.8211967890775,19.373641316634863,234.6,1494.0,"1979,319,75,41",2019.52,300.25,1.44,-9.78,223.4,5670.374699323633,59.67543626081508,233.01,2930.0,"1957,316,125,52",2020.84,293.09,-27.78,-9.75,218.15,10053.03317377885,41.09849775183729,231.13,4607.0,"1930,321,152,73",2008.31,283.69,-6.720000000000001,-7.86,220.33,6387.37829092967,49.513630264778826,230.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.15,2
8,2006-07-31 07:00:00,46587,"265,562,392,257",470.88,442.55,0.0,0.0,204.68,221204.6520227148,88.24954240367813,225.54,53379.0,"149,551,515,270",446.47,428.28,-0.255,-3.57,201.54,219912.4292777148,72.19925231862041,225.82,52427.0,"137,544,523,284",440.03,413.44,0.015,-3.375,202.47,203994.36373533637,81.73407364812056,225.12,56190.0,"117,551,521,306",430.16,402.55,-0.4649999999999999,-5.1450000000000005,205.82,180850.2434832136,105.31613064522952,225.99,62373.0,"117,555,523,311",430.14,395.26,-0.135,-4.71,208.14,175590.6323578318,67.16279945121569,227.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.54,5
9,2006-07-31 07:00:00,6138,"125,427,126,119",191.57,376.87,0.0,0.0,219.87,33308.94973973192,45.06867374005256,232.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.87,1
10,2006-07-31 07:00:00,4497,"87,531,127,74",144.96,494.32,0.0,0.0,221.64,13250.159503400571,49.619880773560304,231.78,3645.0,"85,508,118,57",132.19,485.02,-16.02,-5.07,221.71,14375.508038214548,52.36843820882512,234.52,3386.0,"66,510,151,75",138.75,471.56,-11.715,-23.295,225.49,11114.307188564317,21.8956181254045,234.44,2640.0,"94,504,118,66",158.09,469.62,-7.199999999999999,-14.52,225.71,6116.766095760163,8.612364639264944,235.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.64,4
