storm_id,start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,rain_vol_26,rain_max_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,rain_vol_27,rain_max_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,rain_vol_28,rain_max_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,rain_vol_29,rain_max_29,tmean_29,area_30,bounds_30,clon_idx_30,clat_idx_30,PSu_30,PSv_30,tmin_30,rain_vol_30,rain_max_30,tmean_30,area_31,bounds_31,clon_idx_31,clat_idx_31,PSu_31,PSv_31,tmin_31,rain_vol_31,rain_max_31,tmean_31,area_32,bounds_32,clon_idx_32,clat_idx_32,PSu_32,PSv_32,tmin_32,rain_vol_32,rain_max_32,tmean_32,area_33,bounds_33,clon_idx_33,clat_idx_33,PSu_33,PSv_33,tmin_33,rain_vol_33,rain_max_33,tmean_33,area_34,bounds_34,clon_idx_34,clat_idx_34,PSu_34,PSv_34,tmin_34,rain_vol_34,rain_max_34,tmean_34,area_35,bounds_35,clon_idx_35,clat_idx_35,PSu_35,PSv_35,tmin_35,rain_vol_35,rain_max_35,tmean_35,area_36,bounds_36,clon_idx_36,clat_idx_36,PSu_36,PSv_36,tmin_36,rain_vol_36,rain_max_36,tmean_36,area_37,bounds_37,clon_idx_37,clat_idx_37,PSu_37,PSv_37,tmin_37,rain_vol_37,rain_max_37,tmean_37,area_38,bounds_38,clon_idx_38,clat_idx_38,PSu_38,PSv_38,tmin_38,rain_vol_38,rain_max_38,tmean_38,area_39,bounds_39,clon_idx_39,clat_idx_39,PSu_39,PSv_39,tmin_39,rain_vol_39,rain_max_39,tmean_39,tmin_min,mcs_thld
1,2006-08-04 07:00:00,51686,"2684,468,615,412",2933.06,305.9,0.0,0.0,220.33,4.916279866991204,0.0233352287751912,233.13,46606.0,"2677,460,622,410",2939.35,274.12,1.785,-12.075,213.75,3.34686455406118,0.0421015085805947,230.92,50474.0,"2750,459,549,413",2955.04,263.65,2.235,-1.59,213.61,1.1652919588743498,0.0040278286780249,227.52,64790.0,"2745,465,554,439",2956.2,251.81,3.12,1.665,212.95,0.9759828292753766,0.0019110111206781,227.14,75475.0,"2721,468,578,449",2951.97,249.77,-0.93,-0.4349999999999999,211.81,3.1820072195031117,0.0203108574294165,227.09,75196.0,"2682,468,617,460",2937.27,252.4,-0.15,0.015,210.32,503.5485353395819,0.0021264765150409,226.15,72763.0,"2639,452,660,445",2913.52,255.74,-1.53,-0.495,208.74,473.0022087960652,0.0019916599200414,224.83,72378.0,"2629,439,670,432",2899.57,243.73,-2.97,-0.885,208.39,2375.442474189116,0.0195652962200576,224.36,76561.0,"2445,434,854,427",2840.55,217.5,-4.7700000000000005,-3.795,209.51,3422.0167375123874,15.726284745495672,224.85,73059.0,"2439,432,860,424",2806.3,200.42,-1.17,-4.635,208.66,8955.065757301978,4.9606642234186445e-06,225.19,67066.0,"2431,422,868,414",2789.53,191.81,-1.455,-3.0,209.43,1409.9553227153126,5.715806985143916e-07,227.46,37734.0,"2417,240,485,240",2671.04,114.75,-0.36,-9.0,210.89,5.413465150369118e-06,2.483946068027233e-08,227.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.39,12
2,2006-08-04 07:00:00,1593,"1707,361,114,125",1764.88,294.06,0.0,0.0,224.62,0.475652176661916,0.0091289553724952,236.0,1619.0,"1713,350,101,119",1765.63,294.56,-18.165,-8.175,223.71,1.3987150765776458e-07,0.0,235.3,1803.0,"1736,340,82,69",1772.77,307.73,-3.96,-13.35,226.38,0.0003704732806197,6.105873228171792e-07,234.15,1026.0,"1738,333,60,38",1765.04,314.06,-24.045,-11.88,226.32,0.0014011668650026,2.2469831014192515e-06,234.17,996.0,"1718,331,63,35",1750.58,311.12,-22.65,-6.9750000000000005,224.43,2.5111669554126956e-08,1.2981708194994454e-10,233.27,1676.0,"1701,358,83,64",1741.3,319.43,-14.925,-2.505,220.51,4.630145634314791e-06,2.621523590312035e-08,232.49,1622.0,"1679,326,70,41",1710.77,306.24,-24.615,-0.75,218.46,1.6021299513838107e-06,2.526755725462445e-09,229.94,1964.0,"1657,336,81,51",1695.21,307.2,-21.765,-1.305,220.58,7.18810113724261e-07,0.0,232.01,3788.0,"1597,333,143,84",1661.5,289.66,-15.435,0.495,221.29,5.13051213866141e-07,3.436127385608972e-09,233.65,2481.0,"1570,300,91,59",1619.08,268.49,-24.165,0.12,223.75,9.738275070004488e-07,2.891853290520005e-09,233.64,2399.0,"1559,296,88,64",1602.06,266.4,-22.545,-0.045,225.38,1.1033227435024683e-09,0.0,235.36,2584.0,"1531,273,72,75",1566.87,234.7,-21.105,-0.8999999999999999,226.2,6.3984759085889e-09,8.222545296093356e-10,235.83,640.0,"1526,241,53,25",1553.71,226.99,-28.245,-16.875,232.41,0.0,0.0,237.25,472.0,"1506,237,58,23",1537.88,223.46,-17.294999999999998,-0.675,227.19,3.4901699981430365e-07,0.0,237.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.46,4
3,2006-08-04 07:00:00,220643,"1881,1102,616,864",2229.02,743.89,0.0,0.0,208.76,160561.86050429736,48.6403040797063,230.64,199673.0,"1945,1096,545,891",2251.33,738.01,-1.35,1.11,203.37,113345.88424651552,50.94086996881244,231.56,201911.0,"1961,1097,549,925",2272.34,704.73,-0.72,0.72,207.37,86075.5716231363,48.17839624094256,230.17,206735.0,"1939,1096,550,903",2262.61,703.72,-1.65,-0.945,212.04,61508.60644003757,63.85069714422004,229.22,214047.0,"1896,1119,582,998",2237.07,679.57,-2.55,-1.455,210.55,45106.148504172415,41.54411263334751,228.96,207502.0,"1892,1123,589,1010",2228.36,675.95,-2.415,-0.81,211.26,46779.282772416365,46.74160469010245,228.35,209054.0,"1884,1127,579,1030",2206.28,664.27,-3.885,0.285,210.55,48454.10938810965,60.95270210368028,227.82,207371.0,"1856,1135,591,1041",2173.83,660.18,-4.965,-1.035,210.92,53215.864907449104,68.51389032670295,227.52,225488.0,"1687,1149,848,1064",2136.6,656.93,-4.38,-1.89,207.36,63318.67234745219,51.02715234046979,227.94,176587.0,"1744,955,683,725",2103.8,626.08,-4.53,0.2249999999999999,206.67,67563.95501687277,54.71027254426474,227.92,156520.0,"1763,898,595,727",2066.54,596.31,-4.125,-3.4799999999999995,207.02,95844.3346672548,77.18334630912103,228.77,146519.0,"1637,895,690,702",2031.85,585.65,-4.095,1.875,201.66,125845.23575733604,68.00331951660448,229.82,89782.0,"1606,725,697,450",2059.42,514.74,-1.455,-0.105,218.08,6370.275416763431,19.075840100617757,233.27,20370.0,"1917,511,285,208",2064.55,410.57,-0.675,-7.1850000000000005,218.84,386.5588208656081,2.1325633729899223,232.23,16459.0,"1893,508,292,202",2057.62,407.4,-2.325,0.6900000000000001,220.63,120.38752683385732,0.2040878211701498,232.03,12094.0,"1933,506,246,197",2057.21,406.42,-1.08,0.405,222.29,81.75015076513826,0.1453956217616994,231.69,9676.0,"1907,465,235,157",2039.33,393.53,-5.91,0.735,224.7,1.81319446512342,0.0273256802103142,233.1,9589.0,"1887,474,244,168",2035.0,389.95,-0.0,0.0,222.39,0.5464449469662176,0.0058265006993855,233.67,9770.0,"1873,456,234,161",2019.94,372.68,4.08,-0.36,219.28,0.4878596780388162,0.010500510411662,233.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.66,19
4,2006-08-04 07:00:00,45112,"0,753,387,448",192.23,559.74,0.0,0.0,199.01,152879.89090427625,70.12960660769477,222.35,35526.0,"0,714,337,368",167.48,537.55,0.09,1.17,200.36,119875.25394667976,60.90885483707942,220.47,45228.0,"0,729,327,390",147.68,546.05,0.2249999999999999,1.65,196.83,124166.80450766374,140.83845081452145,220.33,60041.0,"0,827,416,498",180.16,585.45,-0.195,3.75,197.73,154618.33854097602,192.61303740136043,221.29,52772.0,"154,834,356,348",329.83,646.56,-1.83,-2.34,208.1,88288.83638760034,51.63512248142675,225.17,50698.0,"141,802,369,304",344.67,634.2,-1.155,-0.33,205.72,101991.51618816434,59.104431647233326,225.23,53052.0,"134,752,374,280",350.23,623.66,-0.645,-4.305,204.02,122485.11983023252,64.40817589294421,224.55,61690.0,"124,800,381,376",348.83,626.11,-1.365,-5.475,201.32,138602.1543510266,57.762214723850605,224.02,68789.0,"120,799,383,381",340.87,621.26,-1.395,-8.295,200.94,146287.10825883911,80.4187033762107,223.98,71504.0,"117,775,383,371",333.16,616.84,-1.0499999999999998,-9.045,201.32,134934.02048176687,61.91826717811088,224.61,126634.0,"0,764,594,462",243.84,562.11,-1.14,-8.625,203.46,277063.9508145719,79.36048959579661,225.12,111830.0,"0,770,457,485",211.89,552.55,-0.66,-2.0250000000000004,204.71,244214.58854790503,67.73250937399803,225.55,105697.0,"0,768,448,491",196.47,542.61,-2.115,-3.12,204.21,214898.4266152438,88.66378703549883,227.14,92923.0,"0,768,401,514",172.79,531.36,-0.5249999999999999,-4.199999999999999,206.55,191200.6834078148,64.45293020669581,228.45,78550.0,"0,709,379,480",156.05,504.12,-0.12,-2.865,205.32,181638.10543310505,60.916448822797264,229.49,64250.0,"0,697,358,437",156.48,516.53,-1.11,-0.78,205.58,165713.96707077845,144.25312525052303,229.39,27817.0,"0,658,156,372",62.95,467.69,-0.18,0.78,208.08,72200.86151816895,88.21306645657388,229.47,18857.0,"0,523,158,238",65.77,429.39,0.0,0.0,207.3,47849.23889546648,66.46137096690522,229.67,15240.0,"0,522,145,234",62.55,416.47,-1.305,-6.51,211.48,29175.14502083607,37.02568301028519,230.77,6053.0,"0,512,94,118",41.15,450.48,-1.29,-4.83,213.91,2707.3712676435152,3.834744372759236,227.79,5312.0,"0,509,95,129",42.65,444.19,-1.305,-5.055,217.2,1218.698518292009,11.614690780529694,230.37,2483.0,"0,496,40,89",18.69,449.97,-1.605,-1.5,222.7,78.68207923138574,0.7550867851284268,230.45,2001.0,"0,495,38,92",17.16,450.42,-0.21,-3.4799999999999995,223.61,35.163285409120626,0.150808857647987,232.81,666.0,"14,471,25,46",26.14,450.17,-1.485,2.7750000000000004,229.48,76.97804893456049,0.9378580126391316,236.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.83,22
5,2006-08-04 07:00:00,1676,"1837,560,63,90",1868.47,518.45,0.0,0.0,232.91,0.6628169912746874,0.0117668829579855,237.69,2675.0,"1867,644,60,104",1897.38,585.14,7.14,23.235,232.43,0.6062666020545133,0.0117916610575244,236.91,6164.0,"1855,625,154,93",1919.42,584.75,-3.24,-0.5549999999999999,229.76,0.949637270948965,0.0027178377448686,237.3,8357.0,"1752,609,200,138",1851.31,543.03,-6.045,-0.5249999999999999,226.63,211.85085897372943,1.258103573640131,235.52,12953.0,"1743,602,257,132",1866.35,530.26,-3.915,-4.44,223.83,621.3925888768757,2.4020824211977243,235.31,17307.0,"1731,619,288,170",1865.72,524.47,-3.795,-0.42,222.56,538.3720484048282,4.118439274942,234.26,14373.0,"1722,582,222,117",1844.51,519.58,-12.015,-0.39,221.16,841.4812145058513,7.3718880954944765,232.38,12695.0,"1707,580,211,116",1819.35,519.47,-20.235,-0.36,219.22,2163.505429493376,34.85284600227366,231.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.22,7
6,2006-08-04 07:00:00,3247,"0,622,46,109",17.52,566.09,0.0,0.0,203.3,4531.707861176727,11.756466006749202,217.37,4317.0,"0,629,58,122",21.8,570.89,2.7750000000000004,1.98,201.54,8557.938995973971,8.89088676207304,220.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.54,2
7,2006-08-04 07:00:00,10721,"321,730,149,187",407.22,628.3,0.0,0.0,208.66,27247.90132373491,45.4618940065883,229.94,7920.0,"337,779,141,168",417.72,684.19,1.785,-1.92,208.0,13363.866838795324,37.36160444938646,229.08,10433.0,"381,736,117,185",444.93,630.01,4.545,17.1,202.08,35826.91189102411,48.51046005659419,223.13,8153.0,"378,652,129,118",446.2,591.54,-0.15,3.315,204.63,31476.75465352357,54.04102641350384,220.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.08,4
8,2006-08-04 07:00:00,7636,"9,785,170,96",102.24,737.77,0.0,0.0,215.15,550.1594130695021,1.157167807873997,230.75,2196.0,"30,774,83,67",70.84,739.53,-3.885,0.315,216.88,20.93149907509698,0.0660364284246885,230.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.15,1
9,2006-08-04 07:00:00,16724,"2791,874,222,164",2910.86,795.34,0.0,0.0,202.2,37722.7673622713,40.86464174330301,224.15,15879.0,"2813,870,173,185",2892.45,787.96,-4.3950000000000005,-7.89,207.48,23558.559728458367,36.15936028276671,227.11,16354.0,"2807,864,146,193",2876.92,781.73,-7.305,-1.4249999999999998,217.07,11254.549650873292,23.03153173238274,230.12,18762.0,"2754,864,178,206",2857.53,783.18,-7.125,-3.765,219.44,6096.069847010817,9.704436865930884,232.76,14723.0,"2738,859,180,145",2838.67,792.2,-6.6000000000000005,-2.715,221.25,2003.482218391979,3.5074194465113986,233.93,5690.0,"2806,857,96,137",2861.52,788.29,-24.18,-4.86,224.46,503.2611649445487,0.4317501913031543,236.42,1321.0,"2845,825,30,78",2860.25,787.19,-19.11,0.4499999999999999,228.38,111.11498012248816,0.3581954687009571,237.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.2,6
10,2006-08-04 07:00:00,15391,"115,951,240,156",232.6,872.21,0.0,0.0,204.1,4170.474302104622,13.173696078191815,227.07,13886.0,"127,965,211,153",220.2,879.57,-6.135,2.955,202.58,3264.9777747470584,63.32403607776928,226.94,4745.0,"115,880,108,67",170.8,844.72,-8.205,0.6000000000000001,203.09,1083.7057945161798,8.41680664007977,219.25,5080.0,"86,887,129,68",162.18,852.23,-3.825,11.28,205.66,99.52748159204305,2.9419698782569808,218.97,4929.0,"79,892,126,63",152.8,860.26,-5.550000000000001,11.82,210.22,18.158194571809748,0.1269792928207088,222.21,4109.0,"94,897,100,62",145.37,867.12,-4.785,6.105,212.24,59.65981235440969,0.1330178603878894,226.16,3514.0,"86,905,97,58",135.02,876.86,-10.995,10.62,217.2,60.54534510624003,1.1974136813779552,229.63,3133.0,"72,916,100,59",120.39,886.97,-17.655,14.4,218.69,1.772372889203934,0.0081694906673378,229.64,1858.0,"56,916,76,42",93.31,895.57,-18.105,5.1450000000000005,219.5,0.0015396640068688,2.3563772802123853e-05,230.0,1303.0,"39,924,59,31",70.83,908.33,-13.575,0.375,222.11,7.132018353440625e-05,3.0133375804022045e-07,231.17,653.0,"40,931,43,22",62.46,920.27,0.105,4.155,224.4,0.0,0.0,233.59,584.0,"28,942,43,25",49.69,928.51,-11.85,0.855,222.0,0.0,0.0,233.1,2010.0,"0,1091,48,170",11.23,988.25,-13.755,0.945,205.63,3.752489589910782e-08,0.0,222.28,1505.0,"0,1106,8,172",3.93,1020.78,0.0,0.375,207.2,0.0,0.0,221.3,1273.0,"0,1114,8,144",3.99,1041.65,-1.125,-0.0,211.79,0.0,0.0,221.01,1149.0,"0,1113,8,131",3.94,1048.3,-0.0,0.4349999999999999,214.96,0.0,0.0,226.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.58,8
