storm_id,start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,rain_vol_26,rain_max_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,rain_vol_27,rain_max_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,rain_vol_28,rain_max_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,rain_vol_29,rain_max_29,tmean_29,area_30,bounds_30,clon_idx_30,clat_idx_30,PSu_30,PSv_30,tmin_30,rain_vol_30,rain_max_30,tmean_30,area_31,bounds_31,clon_idx_31,clat_idx_31,PSu_31,PSv_31,tmin_31,rain_vol_31,rain_max_31,tmean_31,area_32,bounds_32,clon_idx_32,clat_idx_32,PSu_32,PSv_32,tmin_32,rain_vol_32,rain_max_32,tmean_32,area_33,bounds_33,clon_idx_33,clat_idx_33,PSu_33,PSv_33,tmin_33,rain_vol_33,rain_max_33,tmean_33,area_34,bounds_34,clon_idx_34,clat_idx_34,PSu_34,PSv_34,tmin_34,rain_vol_34,rain_max_34,tmean_34,area_35,bounds_35,clon_idx_35,clat_idx_35,PSu_35,PSv_35,tmin_35,rain_vol_35,rain_max_35,tmean_35,area_36,bounds_36,clon_idx_36,clat_idx_36,PSu_36,PSv_36,tmin_36,rain_vol_36,rain_max_36,tmean_36,area_37,bounds_37,clon_idx_37,clat_idx_37,PSu_37,PSv_37,tmin_37,rain_vol_37,rain_max_37,tmean_37,area_38,bounds_38,clon_idx_38,clat_idx_38,PSu_38,PSv_38,tmin_38,rain_vol_38,rain_max_38,tmean_38,area_39,bounds_39,clon_idx_39,clat_idx_39,PSu_39,PSv_39,tmin_39,rain_vol_39,rain_max_39,tmean_39,area_40,bounds_40,clon_idx_40,clat_idx_40,PSu_40,PSv_40,tmin_40,rain_vol_40,rain_max_40,tmean_40,tmin_min,mcs_thld
1,2006-08-05 07:00:00,3410,"3037,35,246,35",3172.28,9.98,0.0,0.0,213.08,2.358974564395552e-05,3.340804755735215e-07,227.86,3054.0,"3013,26,239,26",3136.74,8.77,0.0,0.0,212.94,1.362498807252218e-06,8.329978828288464e-09,228.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.94,2
2,2006-08-05 07:00:00,4758,"3219,148,80,108",3267.65,93.38,0.0,0.0,212.49,303.21388132588686,0.0039123706482596,230.89,4454.0,"3161,138,138,112",3255.63,78.54,-0.78,-0.0,213.98,241.34440727142717,0.0217283136719302,229.24,8878.0,"2946,137,353,137",3162.22,45.31,-0.93,2.19,211.91,210.08884993049813,0.0272168375404394,227.49,11993.0,"2808,138,491,138",3121.97,41.15,-0.345,2.73,211.57,113.45255934043568,0.0154077722011762,226.45,17484.0,"2801,141,498,141",3098.84,41.98,-10.53,2.085,209.35,6.432555714687219,3.696205761407623e-06,224.0,22090.0,"2756,144,543,144",3073.18,45.29,-11.205,3.51,210.75,316.4530718220661,6.132631850275578e-06,223.58,26184.0,"2711,142,588,142",3049.4,50.13,-4.53,2.61,209.64,6417.128480854239,22.66399203095781,224.03,35053.0,"2654,140,645,140",3044.81,48.89,-17.4,1.92,203.59,8559.01004063049,16.1515863621031,224.46,38965.0,"2632,125,667,125",3020.38,48.97,-5.4,1.47,205.35,7174.146598163649,32.307076297061734,225.17,32165.0,"2678,128,530,128",3003.12,51.43,-0.09,1.83,202.91,7914.350232635438,45.74695835411056,224.85,29522.0,"2600,136,594,136",2981.81,55.4,-4.38,2.64,202.03,6231.286063830275,18.34939342499618,227.59,5664.0,"2656,55,292,48",2796.05,25.2,-0.0,-0.0,214.91,0.0,0.0,228.84,5716.0,"2605,51,292,45",2751.84,25.12,0.015,1.065,220.37,3.204374861746527e-08,0.0,230.84,4957.0,"2616,52,212,43",2719.65,24.81,-0.0,0.0,223.3,0.0,0.0,232.75,3542.0,"2586,64,191,55",2673.0,26.98,-23.700000000000003,-0.015,227.97,0.0,0.0,236.48,519.0,"2574,47,49,18",2594.97,36.53,-27.48,18.33,232.14,0.0,0.0,237.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.03,15
3,2006-08-05 07:00:00,61999,"0,592,504,516",213.49,424.89,0.0,0.0,209.07,141981.8844648016,111.52838091903595,228.94,70315.0,"18,670,482,639",223.84,432.52,-1.59,-0.99,205.2,125780.30862432274,57.86637424049856,228.89,77435.0,"0,662,503,514",209.46,436.97,-1.6800000000000002,-5.91,205.56,154767.9722496864,47.64152693043146,227.25,86533.0,"0,637,569,520",223.14,436.91,-0.8250000000000001,-1.5750000000000002,208.65,174250.14408778877,52.48958786980497,226.71,90982.0,"0,596,566,488",220.19,431.57,-1.335,-3.33,210.15,161557.04546365462,94.87846718648804,227.13,91125.0,"0,595,556,521",208.36,415.24,-4.7700000000000005,-3.03,205.5,131450.2500690598,81.72626521455325,227.1,94777.0,"0,576,539,568",200.44,400.58,-2.175,-4.095,206.7,117633.4611502684,54.06772572560993,227.26,95440.0,"0,574,505,574",194.63,391.54,-2.535,-6.27,209.53,109969.63610536016,73.0197873405332,227.44,93275.0,"0,571,489,565",191.3,390.55,-3.795,-7.199999999999999,208.11,75808.82847049525,51.29030740967893,227.86,89395.0,"0,580,477,491",189.39,395.55,-3.915,-4.5600000000000005,207.99,71415.99537898939,56.45336856231123,228.35,45740.0,"0,494,226,428",96.56,319.04,-2.55,-9.585,212.97,30613.93510557004,34.33452784256122,230.4,37620.0,"0,487,214,329",93.22,325.62,-1.71,-7.199999999999999,211.07,18644.715271697045,32.089676221296905,231.13,3685.0,"0,245,90,109",25.98,193.24,-24.6,0.3,227.41,17.854543328693623,0.306451872175967,235.53,1309.0,"0,230,42,101",10.79,179.77,0.0,-0.0,230.7,0.0103030603383528,0.0,237.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.2,13
4,2006-08-05 07:00:00,59012,"2281,457,551,354",2594.73,280.14,0.0,0.0,201.46,13009.286697958769,33.51025969115277,229.35,36022.0,"2302,378,515,212",2612.0,252.63,-2.37,-3.39,202.55,5841.324310540617,21.062692893675667,228.35,36545.0,"2313,369,470,214",2596.41,250.29,-9.015,-3.54,207.07,262.8310017671878,1.0984887923114774,227.48,34841.0,"2055,362,692,271",2433.54,263.69,-21.51,-2.43,212.82,0.035894503613511,0.0001764595207554,228.68,39502.0,"2022,340,698,257",2409.3,259.34,-22.635,-2.535,212.65,0.0005790382979067,1.6714883120828865e-05,228.18,41619.0,"2019,359,682,191",2396.24,263.5,-23.43,-1.845,212.22,0.0022982417367493,7.560538296464173e-07,227.64,88960.0,"1985,384,1074,268",2546.32,244.85,-9.405,0.795,211.2,150.77911869228066,0.3430855783698686,228.16,100130.0,"1951,387,1243,271",2581.0,251.04,-23.685,-0.2249999999999999,202.61,2831.417808963821,28.3970720576605,228.19,63121.0,"1911,328,1092,224",2436.66,223.58,-14.22,2.1,214.32,0.8778726304245452,0.007528327754347,229.31,49709.0,"1867,316,924,201",2338.77,216.93,-18.045,-0.18,214.6,1.3380719827006555,0.0010705459999293,229.51,35634.0,"1838,300,703,181",2246.48,218.06,-11.985,0.315,214.38,1.1347158075360486,0.060654194288812,230.78,10274.0,"2226,290,216,107",2330.77,236.67,-13.605,-1.35,217.74,0.0050668860521827,0.0001346805549721,231.82,4139.0,"2250,255,156,76",2321.53,222.66,-12.06,-1.395,220.52,4.956355150218456e-05,3.386998928903144e-06,232.16,5461.0,"2069,243,278,65",2212.85,214.2,-40.38,-8.43,220.26,0.0422845504013537,0.000259728391989,233.62,3899.0,"2126,242,184,67",2208.32,210.41,-37.335,-3.015,219.06,0.0067112673210453,1.900607670935973e-05,232.83,3865.0,"2087,241,196,57",2178.56,211.5,-9.54,-1.395,218.22,0.0913045803630696,0.0125014052628586,232.04,2167.0,"2113,243,154,36",2198.59,223.54,-21.975,0.0,223.71,0.0679018779318322,4.789374670382976e-05,233.99,2007.0,"2091,237,155,30",2173.92,221.41,0.81,0.105,223.2,2.789178629769058e-07,1.575247634521811e-10,233.85,3938.0,"1975,236,257,75",2082.97,202.23,-24.015,0.495,224.17,1.4237082100180945e-06,2.430353462766726e-10,233.69,2382.0,"1934,216,137,58",1996.64,188.84,-21.615,1.53,221.22,3.202325851763193e-06,0.0,233.14,2229.0,"1893,218,151,63",1962.55,187.96,-40.83,1.365,223.63,0.0,0.0,234.0,1309.0,"1857,201,89,46",1895.12,180.03,-53.415,3.33,226.19,0.0,0.0,234.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.46,19
5,2006-08-05 07:00:00,4668,"1340,295,198,102",1433.7,241.16,0.0,0.0,220.37,0.0331797454597528,0.0008658644276188,231.54,4007.0,"1306,283,193,100",1400.0,230.72,-17.490000000000002,-0.51,221.33,0.0400017950759649,0.0009711078426118,233.52,2402.0,"1272,283,196,83",1376.43,234.46,-21.39,-0.81,223.61,0.0002815552406284,1.8534738333307512e-07,234.38,2185.0,"1246,277,185,79",1353.55,231.59,-28.02,-0.78,225.08,0.0092996269575544,0.0001717217232719,233.78,1893.0,"1270,276,132,72",1334.28,231.47,-34.32,-0.4649999999999999,224.33,1.5716974260256364e-06,0.0,232.94,1918.0,"1250,280,127,79",1309.44,233.23,-29.49,1.4249999999999998,224.36,5.636876699068026e-05,1.0317616805561213e-07,233.11,3189.0,"1180,276,155,115",1263.27,217.78,-43.125,-3.39,220.3,1.160247222485507e-05,3.1754854213183237e-06,230.82,4187.0,"1142,277,152,124",1228.79,212.57,-23.235,5.445,219.64,0.0001217229275781,3.712993455286093e-08,230.76,4885.0,"1097,263,162,116",1183.19,199.96,-47.595,0.345,219.27,6.724853077961018e-06,5.1201307950740344e-08,231.92,4217.0,"1064,227,146,84",1137.24,182.88,-32.355000000000004,3.405,220.88,0.0151008221530959,0.0001127078911684,232.0,3970.0,"1026,222,151,82",1100.19,179.32,-23.715,0.255,223.13,0.404389332855296,0.0014676034499366,233.44,2590.0,"1009,219,136,60",1080.69,194.43,-24.84,13.275,226.61,4.09932546586994e-05,1.0083265271064936e-08,234.28,845.0,"977,195,78,30",1019.54,177.29,-49.095,-6.09,230.72,3.2658043097974156e-09,1.396660366142407e-09,237.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.27,9
6,2006-08-05 07:00:00,6646,"1704,288,290,94",1841.14,235.07,0.0,0.0,215.52,0.0023576782892782,5.115302400856664e-07,232.83,3934.0,"1742,265,250,84",1841.11,222.6,-3.1049999999999995,-11.04,215.37,3.628953532807339e-07,0.0,230.7,4610.0,"1700,269,301,108",1818.57,210.9,-5.415,-7.35,215.28,0.0,0.0,228.12,5037.0,"1659,256,314,109",1787.04,196.76,-7.334999999999999,-5.595,216.61,3.494227080869268e-05,3.981602677438839e-07,227.55,5520.0,"1619,246,325,112",1754.73,183.57,-2.07,-5.49,216.03,7.868437984340033e-05,9.328052312705416e-07,227.33,5047.0,"1578,218,286,96",1703.34,166.42,-6.0600000000000005,-3.09,216.58,1.4899957910658465e-07,2.479544222105629e-09,228.63,2525.0,"1625,190,137,62",1691.36,164.33,-12.945,-0.0,218.3,4.299406534065024e-07,1.5004994738703335e-09,230.42,2062.0,"1610,181,107,54",1652.58,153.86,-33.224999999999994,-0.66,222.14,0.0,0.0,232.94,773.0,"1571,161,47,37",1596.83,141.0,-48.42,-0.195,229.36,0.0,0.0,236.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.28,7
7,2006-08-05 07:00:00,10763,"2836,315,240,101",2953.89,268.81,0.0,0.0,216.71,1.2948143198227215,0.0323293318992439,230.12,10479.0,"2763,312,303,139",2916.96,243.69,-9.93,-2.655,217.52,0.3704114564054613,2.39676359256864e-06,231.6,13453.0,"2728,313,313,158",2878.9,225.24,-5.82,-0.4499999999999999,213.61,0.3871573748591336,0.0384347113590231,230.07,33550.0,"2511,363,613,219",2808.91,228.41,-8.879999999999999,0.945,209.52,64.69158281159301,0.5922720662088349,227.32,36637.0,"2444,368,666,233",2794.94,232.39,-15.09,-1.44,212.63,17.336050408984782,0.0750038914777135,227.11,40571.0,"2393,376,720,247",2773.77,230.99,-24.51,-0.615,211.15,1.98691144213096,0.016853748811532,228.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.52,6
8,2006-08-05 07:00:00,26801,"3020,455,279,199",3189.2,355.62,0.0,0.0,204.46,9683.507944866871,15.941462850275958,229.61,8790.0,"3154,356,145,101",3239.24,297.14,-3.675,1.32,206.77,2404.677633365625,6.397218167477614,224.34,10990.0,"3117,349,182,111",3213.18,290.69,-19.695,-0.63,210.35,49.42695328194279,0.0945212745600656,227.76,10615.0,"3107,343,175,113",3195.01,292.12,-17.445,0.375,214.59,61.36414451199048,0.1174584108054611,229.28,9874.0,"3079,342,181,113",3175.16,294.26,-8.325,0.66,212.5,45.3122113678219,0.5773748509893845,229.16,8268.0,"2993,342,236,91",3124.91,304.44,-17.205000000000002,1.815,210.95,22.8166170686437,0.0894603118623544,226.63,9618.0,"2937,344,279,101",3097.62,302.25,-7.050000000000001,2.265,213.01,48.92580037235049,0.2547160346037769,227.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.46,7
9,2006-08-05 07:00:00,47643,"1771,787,538,503",2073.88,568.55,0.0,0.0,211.95,4700.985672857473,13.641081529391268,230.56,37925.0,"1726,761,524,485",2042.75,563.4,-6.525,-0.975,214.31,1252.8569975268294,5.830200895190229,231.23,15532.0,"1946,726,277,218",2105.09,626.25,-4.1850000000000005,0.045,218.1,570.757218058883,2.4235031143031467,232.1,12336.0,"1950,699,227,204",2075.72,602.57,-11.52,-4.095,215.42,320.22300098477285,3.7287211116346266,230.25,20728.0,"1890,673,252,287",2015.08,530.1,-24.825000000000003,-4.98,216.05,25.054760044843608,0.2109728455664427,229.86,13902.0,"1851,663,260,203",2006.28,575.3,-19.065,2.535,213.79,61.379637287719625,0.0691747144379398,228.57,15662.0,"1803,658,278,213",1969.51,567.15,-13.065,4.455,214.22,93.71119469072929,0.3779274460278181,228.21,18405.0,"1755,655,296,230",1931.76,557.69,-16.14,-4.035,213.47,2645.23481324551,52.16169240593029,227.87,21750.0,"1677,653,345,246",1883.09,541.91,-21.525,5.82,213.94,5772.725562018225,23.968841415884462,228.24,33048.0,"1638,654,354,312",1838.98,500.6,-17.355,-4.35,214.85,6406.585810505359,31.325822574008043,228.83,23601.0,"1682,674,282,212",1838.7,560.73,-29.25,-1.6949999999999998,212.8,10872.780388805117,15.435646696467954,229.2,21796.0,"1634,701,303,247",1804.4,562.11,-10.32,-0.09,213.0,13656.64547569424,48.67932617900009,229.37,18818.0,"1602,704,309,262",1775.62,564.07,-11.4,-2.58,211.09,8940.49341458438,39.27996007769823,229.42,8773.0,"1534,525,282,133",1688.89,465.6,-3.57,-3.825,216.57,0.630821323956909,0.0189516231758783,231.1,8637.0,"1507,508,275,135",1652.14,447.63,-4.5,-3.045,216.51,0.5543008445851996,0.0121873102078159,230.89,7394.0,"1489,487,249,128",1623.97,435.56,-7.08,-0.48,221.1,0.0444029343140996,1.5637532894941744e-07,231.66,5270.0,"1456,463,227,119",1584.46,417.68,-23.79,-3.42,220.19,8.951922244483319e-06,1.6578532525898994e-07,232.72,3338.0,"1490,450,172,72",1578.85,407.62,1.245,1.065,218.64,0.0002706634939472,1.3330281280631744e-06,231.76,2368.0,"1475,431,156,59",1551.65,394.15,-21.615,-2.85,219.53,0.0018971251099345,4.302941163072944e-08,230.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.09,19
10,2006-08-05 07:00:00,2424,"2596,505,90,44",2645.86,483.15,0.0,0.0,227.41,0.0056892214368605,2.4898275835383103e-05,235.17,3907.0,"2568,512,143,57",2647.27,484.61,-0.405,0.405,226.57,0.1111951269724196,0.0001196040352704,235.52,2316.0,"2540,512,130,47",2603.79,492.47,-18.03,1.005,224.13,0.000591254933637,8.717477276679903e-06,234.3,1610.0,"2504,514,144,22",2568.96,503.23,-27.72,1.5,222.01,0.0080386296439476,1.1941620538595591e-06,232.46,3735.0,"2464,519,173,59",2554.49,495.25,-29.22,1.08,221.07,0.0653336429418823,0.0001433474914425,232.15,4845.0,"2435,523,218,58",2534.49,498.38,-33.72,1.44,220.5,0.0052215888634764,1.971946567108364e-06,232.05,2863.0,"2410,516,129,46",2473.22,494.77,-24.9,1.155,219.42,5.202944929973287e-07,8.784329259044788e-10,230.9,1866.0,"2391,518,90,30",2432.65,502.82,-31.605,1.65,218.36,1.2691198356830286e-05,1.5100233363871904e-09,229.99,3287.0,"2306,541,146,63",2375.05,507.74,4.83,3.54,212.28,5745.962854842582,24.85385037066767,229.04,1244.0,"2276,545,119,23",2330.58,534.05,-26.835,2.175,215.05,130.36321324897062,0.0016617870619608,227.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.28,7
