storm_id,start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,rain_vol_26,rain_max_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,rain_vol_27,rain_max_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,rain_vol_28,rain_max_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,rain_vol_29,rain_max_29,tmean_29,area_30,bounds_30,clon_idx_30,clat_idx_30,PSu_30,PSv_30,tmin_30,rain_vol_30,rain_max_30,tmean_30,area_31,bounds_31,clon_idx_31,clat_idx_31,PSu_31,PSv_31,tmin_31,rain_vol_31,rain_max_31,tmean_31,area_32,bounds_32,clon_idx_32,clat_idx_32,PSu_32,PSv_32,tmin_32,rain_vol_32,rain_max_32,tmean_32,area_33,bounds_33,clon_idx_33,clat_idx_33,PSu_33,PSv_33,tmin_33,rain_vol_33,rain_max_33,tmean_33,area_34,bounds_34,clon_idx_34,clat_idx_34,PSu_34,PSv_34,tmin_34,rain_vol_34,rain_max_34,tmean_34,area_35,bounds_35,clon_idx_35,clat_idx_35,PSu_35,PSv_35,tmin_35,rain_vol_35,rain_max_35,tmean_35,area_36,bounds_36,clon_idx_36,clat_idx_36,PSu_36,PSv_36,tmin_36,rain_vol_36,rain_max_36,tmean_36,area_37,bounds_37,clon_idx_37,clat_idx_37,PSu_37,PSv_37,tmin_37,rain_vol_37,rain_max_37,tmean_37,area_38,bounds_38,clon_idx_38,clat_idx_38,PSu_38,PSv_38,tmin_38,rain_vol_38,rain_max_38,tmean_38,area_39,bounds_39,clon_idx_39,clat_idx_39,PSu_39,PSv_39,tmin_39,rain_vol_39,rain_max_39,tmean_39,area_40,bounds_40,clon_idx_40,clat_idx_40,PSu_40,PSv_40,tmin_40,rain_vol_40,rain_max_40,tmean_40,area_41,bounds_41,clon_idx_41,clat_idx_41,PSu_41,PSv_41,tmin_41,rain_vol_41,rain_max_41,tmean_41,area_42,bounds_42,clon_idx_42,clat_idx_42,PSu_42,PSv_42,tmin_42,rain_vol_42,rain_max_42,tmean_42,area_43,bounds_43,clon_idx_43,clat_idx_43,PSu_43,PSv_43,tmin_43,rain_vol_43,rain_max_43,tmean_43,tmin_min,mcs_thld
1,2006-08-06 07:00:00,6449,"0,395,198,70",84.15,366.58,0.0,0.0,212.3,7558.873038374119,62.90798203094972,228.15,5045.0,"5,396,140,67",61.67,362.09,-2.985,1.11,213.27,3152.293477686137,33.68361784864947,227.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.3,2
2,2006-08-06 07:00:00,9966,"419,480,239,124",545.7,419.43,0.0,0.0,220.22,9112.21894694487,89.36178355630636,231.01,8297.0,"428,466,196,115",519.77,413.57,-0.72,1.2000000000000002,215.49,13435.954610648238,65.01052761658097,233.08,5410.0,"396,456,155,100",488.11,405.64,-14.505,-10.77,214.9,6587.6813079079,23.08968858313554,230.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.9,3
3,2006-08-06 07:00:00,1251,"0,472,48,65",16.84,434.62,0.0,0.0,213.61,431.0226744991703,3.3148103861904303,224.93,3856.0,"0,450,97,60",40.1,418.27,-1.86,-3.645000000000001,214.47,10727.200973253752,40.14708949707239,228.8,9792.0,"0,449,144,135",48.15,378.29,-0.5249999999999999,-5.550000000000001,208.98,14443.634827628395,33.956089978995166,227.54,10506.0,"0,443,127,138",49.56,373.95,-0.81,0.54,209.73,23357.72227132271,38.05809576506481,227.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.98,3
4,2006-08-06 07:00:00,13081,"125,500,252,73",254.83,463.81,0.0,0.0,206.44,41550.851326193246,58.88899925822313,223.23,18909.0,"83,512,357,100",255.01,461.37,-0.585,-3.825,208.18,39730.43395425432,75.21665449260945,224.84,28404.0,"72,522,387,126",261.5,460.31,-2.535,-6.51,207.78,42997.03011272829,84.86113993471146,226.01,56724.0,"33,587,527,222",301.91,476.7,-3.78,0.945,207.71,128953.57540857604,70.0585842928971,224.88,157449.0,"0,844,1030,532",477.15,557.43,-2.445,1.11,205.58,236178.37367236053,91.42625140576531,225.95,133060.0,"0,754,1013,403",448.99,517.23,-5.1,-0.8699999999999999,205.67,225108.44835384915,110.54302628220152,225.34,115928.0,"0,621,673,324",328.12,474.37,-2.415,-2.175,207.22,262110.0690367772,124.60553048615635,223.83,144982.0,"0,763,667,460",306.59,494.4,-2.73,-0.33,202.83,328775.504618997,79.7793502516147,224.37,177628.0,"0,762,950,470",361.77,514.51,-3.825,-0.045,203.47,321624.8227612996,74.35219661699462,224.84,187560.0,"0,770,917,485",349.52,514.79,-4.65,1.44,205.5,279499.7569554546,75.70707749476023,224.96,187286.0,"0,777,897,493",342.95,512.99,-1.935,-0.15,202.95,246466.2987374751,100.3045152282269,225.36,177824.0,"0,711,873,429",338.12,496.13,-2.37,-0.51,202.26,233540.8507079012,86.69279207015933,226.6,133465.0,"0,690,615,416",260.61,489.83,-0.93,0.795,202.74,162375.8431022179,119.98625872223546,226.65,120187.0,"0,694,611,434",257.24,503.11,-0.66,-1.155,203.47,141038.53468974764,66.06422420579426,225.84,103921.0,"0,700,530,448",225.68,501.88,-1.815,-0.495,203.64,93078.7597430699,69.9071276852279,226.5,83716.0,"1,753,590,395",264.48,550.9,-1.905,-1.125,203.63,83801.52927635377,51.28294930562449,224.67,59895.0,"0,729,342,367",144.49,543.18,-1.4249999999999998,-0.195,204.6,77764.03064154169,65.63595206021222,222.39,59663.0,"0,726,290,358",133.63,536.68,-0.0,0.0,205.42,60224.20782239731,70.04590529665342,222.51,59308.0,"0,713,284,364",125.79,539.08,-1.155,-0.8699999999999999,206.72,59317.7581752452,64.75196746505276,223.55,53587.0,"0,723,276,358",120.78,547.41,-0.675,0.06,207.21,59477.16621181183,57.97643223603684,224.16,46586.0,"0,714,249,291",112.82,557.54,-0.915,0.09,209.17,44269.365496111976,117.40833720583376,224.46,47270.0,"0,695,225,344",100.71,533.9,-2.34,-0.4349999999999999,208.4,63650.14726524913,67.77744706378643,225.87,40429.0,"0,686,187,344",78.77,524.94,-3.225,-0.795,210.06,47895.82256852308,42.4632376950244,224.95,33213.0,"0,690,167,360",68.45,498.68,-0.51,-0.375,209.64,40374.8289731221,52.60901462134941,224.84,33494.0,"0,691,190,366",70.96,500.99,0.18,-0.0,210.52,42882.45179931633,103.3576657879141,227.01,22193.0,"0,679,197,270",67.7,552.42,-1.725,0.12,207.77,17805.391751445204,43.138099511902006,225.25,17016.0,"0,691,193,236",68.03,584.21,3.285,-0.8250000000000001,207.84,13612.15384470944,58.436683296719096,222.61,14179.0,"0,670,200,167",73.02,607.4,-1.62,0.885,210.77,12949.768267892145,46.2885741071712,223.12,14663.0,"0,680,171,197",58.03,598.84,-7.32,1.395,208.34,25535.88369590737,71.95486564799178,223.33,13264.0,"0,699,145,206",46.46,596.97,-13.995,-1.35,208.23,29402.47138171063,40.98024148507665,221.12,12081.0,"0,699,132,195",46.07,600.19,-2.25,1.6350000000000002,207.54,31604.551773681047,46.96607449717897,220.06,11373.0,"0,703,124,198",43.22,605.85,-0.975,2.415,207.67,31237.257065353457,54.46310131586931,219.99,11017.0,"0,708,119,207",41.36,615.77,-0.21,0.15,211.06,23552.72494003492,57.1097917266959,222.83,7967.0,"0,723,136,133",47.32,648.05,1.395,3.975,206.86,12555.450489906068,52.71424952074823,223.21,7709.0,"0,726,126,157",50.14,654.75,0.24,7.83,207.02,7087.031710282405,16.148664393523443,221.88,7655.0,"0,726,129,122",48.1,662.94,-0.66,6.63,211.05,3518.841006962143,18.80921215988764,221.71,6772.0,"0,724,129,109",41.76,674.58,-0.51,10.11,212.08,1673.203241227459,26.425552205279587,225.66,4207.0,"0,721,136,86",47.01,688.66,19.41,8.850000000000001,218.88,788.5738515996161,4.371334200119574,230.36,522.0,"48,729,40,19",66.57,718.18,-1.11,15.87,230.08,0.0,0.0,235.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.26,38
5,2006-08-06 07:00:00,8221,"665,596,137,95",728.95,548.34,0.0,0.0,214.83,28810.94171845035,57.21085634982856,229.26,6837.0,"647,585,154,93",727.62,534.77,-2.85,-2.535,211.78,23728.54617753747,67.42121127059166,229.14,11943.0,"592,595,199,198",684.7,490.0,-8.565,-0.855,212.39,25794.47821656085,58.59266731339457,227.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.78,3
6,2006-08-06 07:00:00,46010,"2795,826,344,292",2969.08,685.38,0.0,0.0,208.31,16123.667929553802,10.985007780883311,228.15,20463.0,"2766,811,241,158",2903.75,737.29,-1.515,-2.19,215.37,2087.314832302091,4.209064873641474,232.81,11055.0,"2823,755,197,122",2921.58,697.12,-5.235,-3.015,221.29,726.8707963596156,2.5142975829590477,233.44,7744.0,"2824,722,178,96",2904.88,677.89,-14.355,-6.705,222.85,372.463780425112,1.2105386067293864,232.73,6864.0,"2757,724,185,99",2869.21,678.88,-16.785,-4.98,222.05,597.2759875489793,0.5415474864554202,231.32,7602.0,"2772,713,159,92",2848.87,673.76,-9.24,-4.275,219.15,1004.7488295949254,6.4880642076720125,230.98,8009.0,"2741,709,165,77",2821.53,672.3,-14.415,-1.6800000000000002,217.11,509.608950349592,1.1128193856567994,229.64,8085.0,"2712,707,178,73",2790.85,673.13,-8.040000000000001,0.075,220.56,500.5420378357916,3.587411240278964,230.7,6593.0,"2680,710,192,78",2762.86,673.07,-3.9,-0.015,218.7,515.5621695286927,1.2673669194124972,233.74,1647.0,"2652,680,69,32",2686.31,662.91,-39.45,1.7399999999999998,217.96,85.94859243314946,0.3169929197827579,232.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.31,9
7,2006-08-06 07:00:00,11067,"486,664,282,118",629.88,603.38,0.0,0.0,220.13,9015.684684791,45.292037485012685,233.17,6579.0,"549,656,189,107",638.3,598.78,-0.075,-2.955,212.81,7179.728158080619,31.626415634523788,231.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.81,2
8,2006-08-06 07:00:00,5695,"326,644,108,96",382.9,592.06,0.0,0.0,216.77,4031.3230538821535,14.001314432594564,233.4,6867.0,"207,588,252,56",331.03,558.92,-1.29,-15.18,210.58,4185.704216030738,13.918871665013985,229.03,18955.0,"194,651,520,156",455.73,562.08,-1.38,-6.375,206.48,42744.7286631339,84.90184648798895,228.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.48,3
9,2006-08-06 07:00:00,28824,"818,765,290,178",953.41,673.38,0.0,0.0,207.08,71285.29522690634,67.35263085198777,225.38,25174.0,"802,765,278,159",927.16,682.0,-3.225,2.175,206.38,60426.98484145285,50.110519439795446,224.75,24836.0,"794,770,265,163",919.55,683.59,-1.935,-0.075,207.01,39942.12334519422,64.45156392337925,223.24,43562.0,"528,763,519,442",805.2,594.78,-5.22,-0.72,208.72,50165.60198763084,56.95229603359176,226.31,585.0,"530,357,51,23",555.44,345.14,-17.895,0.15,229.06,504.5808267674715,0.0326321641540521,236.8,1628.0,"511,357,101,39",556.94,335.88,-0.8699999999999999,-0.765,218.24,6664.649470958863,43.82686158401624,232.14,1951.0,"477,346,106,48",530.36,322.1,-10.365,-1.86,218.91,885.155434666164,3.958444161947855,230.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.38,4
10,2006-08-06 07:00:00,42917,"444,913,382,279",611.59,772.24,0.0,0.0,205.96,56512.20472443068,57.4470566401519,225.6,35192.0,"432,903,295,267",578.86,758.67,-1.23,0.93,206.73,53702.466418529104,61.01156248021401,226.16,30565.0,"399,823,261,191",538.7,734.65,-1.065,-1.14,208.49,43976.15849845102,56.23636741665111,224.41,40654.0,"354,833,324,280",526.24,702.79,-4.65,1.185,208.34,45325.23931137483,59.46531731385871,226.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.96,4
