storm_id,start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,rain_vol_26,rain_max_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,rain_vol_27,rain_max_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,rain_vol_28,rain_max_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,rain_vol_29,rain_max_29,tmean_29,area_30,bounds_30,clon_idx_30,clat_idx_30,PSu_30,PSv_30,tmin_30,rain_vol_30,rain_max_30,tmean_30,area_31,bounds_31,clon_idx_31,clat_idx_31,PSu_31,PSv_31,tmin_31,rain_vol_31,rain_max_31,tmean_31,area_32,bounds_32,clon_idx_32,clat_idx_32,PSu_32,PSv_32,tmin_32,rain_vol_32,rain_max_32,tmean_32,area_33,bounds_33,clon_idx_33,clat_idx_33,PSu_33,PSv_33,tmin_33,rain_vol_33,rain_max_33,tmean_33,tmin_min,mcs_thld
1,2006-08-08 07:00:00,30959,"3015,376,284,218",3170.09,264.09,0.0,0.0,216.5,1598.2216928859907,2.784312491344649,230.32,17730.0,"3002,373,297,194",3159.9,268.43,-0.345,2.49,220.19,129.39592944505554,0.3202768519130138,234.27,6158.0,"2993,269,217,71",3119.26,232.87,-1.53,0.36,221.3,1.3120894456773296e-05,1.2008037620103532e-07,233.71,3682.0,"2973,262,187,56",3087.97,233.73,-15.21,1.365,221.49,7.939491086463976e-06,4.105277939399898e-07,232.55,1212.0,"3060,263,88,48",3100.02,242.35,1.095,6.735,222.26,2.2019066778473143e-05,1.1207937797863936e-06,231.54,933.0,"3054,259,71,45",3087.5,243.62,-9.69,3.855,222.54,1.2624816815110204e-05,4.1067624510495667e-08,231.91,754.0,"3055,260,35,37",3071.69,244.12,-10.155,2.985,222.74,1.3815546264043828e-05,0.0,232.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.5,4
2,2006-08-08 07:00:00,30907,"2121,807,209,420",2237.62,564.65,0.0,0.0,222.22,168.60086378120553,0.7691385562609087,233.22,25218.0,"2132,792,168,372",2221.61,570.38,-13.68,-5.37,222.55,15.482535796094362,0.1005683865047051,233.14,25336.0,"2090,779,190,381",2199.11,554.96,-14.01,2.58,223.68,13.616823478545989,0.0672935436045875,233.76,29249.0,"1849,750,405,342",2128.35,560.19,-14.88,0.105,219.36,28.19334584124143,0.2559898504049796,232.97,3424.0,"1931,517,120,81",1993.13,466.38,-12.63,4.800000000000001,224.27,0.0112720755042026,2.264051130549598e-05,233.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.36,5
3,2006-08-08 07:00:00,15742,"0,556,277,105",125.39,497.22,0.0,0.0,210.73,73100.62377896598,54.72887173822998,227.44,12392.0,"0,549,183,96",83.83,495.3,-4.199999999999999,0.795,207.16,50467.11802062501,57.94579273896215,223.54,21587.0,"0,600,266,149",111.7,512.45,-0.105,1.41,208.57,86296.35094138315,50.805136615557686,223.85,23903.0,"0,607,256,154",107.11,519.87,-0.06,0.165,209.77,89903.22398078897,54.71586436348902,223.96,26158.0,"0,607,245,153",107.35,527.88,-0.39,0.8699999999999999,210.38,88004.05508483612,79.60682020694412,223.75,27538.0,"0,623,238,167",106.88,534.92,-0.345,0.255,210.24,69899.19179699026,53.77584109376834,223.76,28795.0,"0,661,240,197",103.17,547.26,-0.255,1.035,213.31,64855.29020447239,55.19102326096776,224.62,40761.0,"0,782,331,323",137.69,581.11,-6.39,1.53,211.96,85960.4676473446,89.85174801166343,225.27,41861.0,"0,797,324,312",141.87,602.06,-5.73,0.66,208.97,73354.72313964105,49.19215404858262,226.0,39931.0,"0,732,302,234",136.1,613.44,-2.01,1.905,206.33,52382.61699035402,46.06714398840443,225.84,39454.0,"0,731,301,228",125.96,621.1,-3.945,0.135,208.31,27686.8188428738,46.92284102227677,226.33,37723.0,"0,753,321,234",119.96,628.53,-0.78,0.8400000000000001,212.28,14258.655942964377,47.07184180977945,228.5,32614.0,"0,745,315,223",114.79,633.86,-2.0250000000000004,-0.405,214.08,8001.454564110823,14.645078830734748,230.63,22083.0,"0,778,254,249",84.06,636.91,-3.3600000000000003,0.345,212.84,6282.2804341202645,23.599495666193476,233.0,9786.0,"0,691,152,156",63.74,615.67,-0.585,1.335,224.34,4358.118338160961,38.800605098022736,235.1,2586.0,"0,653,87,79",41.27,607.4,-3.42,3.735,226.04,1170.2947247031177,3.448810319455386,236.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.33,16
4,2006-08-08 07:00:00,118530,"1627,1108,552,542",1963.3,841.82,0.0,0.0,205.99,71257.51763348909,46.96615975902968,230.52,81156.0,"1610,1071,541,541",1948.81,807.33,-2.205,-4.065,205.39,61246.23523942742,48.4383581443339,230.1,61406.0,"1598,980,539,440",1916.46,765.18,-3.495,-3.66,207.12,46838.50456565499,64.49392146727388,228.23,40592.0,"1806,828,338,300",1979.93,710.01,-4.635,-0.015,205.87,27891.62781491129,60.88101179758745,226.72,92992.0,"1517,946,699,541",1951.17,678.31,-4.29,-0.81,207.48,29674.884713393265,61.17768911105825,228.59,111094.0,"1465,857,736,477",1943.29,647.74,-7.875,1.7999999999999998,207.3,19548.09093384107,66.24509817958315,228.67,108117.0,"1416,865,763,505",1922.82,652.06,-8.205,-1.86,210.42,18865.530792633304,37.32282347235865,228.04,99436.0,"1369,877,816,405",1890.18,661.1,-8.73,-1.6949999999999998,211.76,26901.13333600751,45.39456437686356,228.04,100562.0,"1316,872,874,438",1867.98,649.08,-10.065,-4.23,209.54,34971.88236284085,43.567673369447554,228.31,91668.0,"1591,827,581,476",1896.59,633.02,-11.04,-7.98,209.46,45207.88083125756,54.23037468277632,228.92,73599.0,"1552,807,575,399",1866.17,629.57,-6.540000000000001,-6.555,203.81,41668.13543634948,43.23021892545586,229.16,52559.0,"1530,713,532,284",1823.73,598.98,-1.155,-7.62,205.95,29678.16768434564,37.05304432950241,229.12,36534.0,"1608,673,377,211",1808.1,588.19,-1.065,-5.955,208.77,11840.450718747075,21.31269130025436,229.01,17743.0,"1576,663,319,111",1725.83,608.74,-1.755,-8.49,212.01,5325.761410665841,23.004682364000445,228.47,13393.0,"1569,652,301,103",1725.05,597.77,-3.45,-12.645,216.08,2278.722229996917,6.393935895362465,231.79,5397.0,"1617,641,153,93",1691.34,593.87,-2.205,-3.825,225.59,1154.7168326319186,2.2090794786924706,233.63,788.0,"1604,588,65,41",1636.28,567.42,-21.75,-10.77,234.16,0.3306416719197956,0.0009712824761299,237.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.81,16
5,2006-08-08 07:00:00,35714,"2792,897,249,282",2922.51,752.41,0.0,0.0,202.08,27506.88214129388,47.09620651855537,223.9,24695.0,"2812,857,204,230",2906.77,747.32,-3.45,0.4499999999999999,204.75,10203.128242078808,17.92264516821239,225.07,21224.0,"2782,857,204,185",2879.22,758.06,-7.59,-7.529999999999999,207.17,2846.5490570391707,6.715400557351737,223.79,24221.0,"2691,856,270,198",2844.42,759.67,-7.904999999999999,2.1,211.07,262.648325384322,0.5423947083023896,227.69,22094.0,"2704,856,239,212",2818.91,757.45,-25.665,1.26,214.9,561.3375059129022,0.2311452716969277,228.6,20557.0,"2676,857,208,269",2780.43,747.68,-28.74,-1.365,217.89,1048.3922554265553,22.38021925643389,229.66,19633.0,"2643,860,211,281",2744.24,746.23,-30.42,-1.71,211.45,968.5007786435028,13.440072674911004,230.65,10046.0,"2612,867,150,147",2695.47,805.11,-25.725,3.4799999999999995,213.0,3924.289040596291,25.318482717579727,229.31,10877.0,"2544,875,193,141",2658.54,810.68,-22.035,1.77,208.06,6458.275828900209,70.75981461469934,228.0,14554.0,"2452,886,249,160",2589.94,807.28,-19.875,-3.465,202.56,19549.92636315285,58.27862632625165,223.41,29797.0,"2420,941,269,228",2542.94,829.34,-20.685,-0.18,197.53,36703.21633201263,66.3761786775827,218.07,39985.0,"2355,952,316,242",2510.47,829.42,-13.71,0.99,196.36,49667.93046103877,45.42531213267207,218.12,47289.0,"2311,953,345,242",2473.51,831.87,-7.215,-0.8400000000000001,196.98,76127.77273019585,70.60254881973852,217.39,48864.0,"2275,953,287,257",2426.94,823.88,-4.68,0.375,196.3,69556.66504207393,84.46897236117321,216.71,51417.0,"2247,969,296,273",2409.01,833.48,-4.095,1.08,196.88,73188.85743661532,68.52567532225922,214.94,61160.0,"2223,987,380,281",2411.67,844.26,-2.265,0.09,200.35,48027.35111294906,39.83531889891414,216.96,60628.0,"2189,983,401,278",2392.03,843.19,-2.49,1.095,203.19,37786.94213203818,39.501372484783545,219.13,56997.0,"2158,982,358,268",2364.15,836.56,0.5549999999999999,-0.0,203.46,37224.9643709356,34.2157193763278,220.96,53887.0,"2156,986,321,272",2338.05,834.57,-4.305,-1.29,205.04,24786.62976140277,49.79165568344901,222.67,48033.0,"2149,984,319,284",2311.23,831.35,-1.86,0.36,202.99,19229.85955306493,36.6002104089398,223.7,46255.0,"2082,991,322,294",2289.11,825.65,-3.075,-0.66,203.77,11485.475955246648,45.42971690564652,225.88,38339.0,"2066,947,326,252",2272.11,803.66,-4.14,0.09,208.6,4784.77799037651,16.32089716178079,227.03,26289.0,"2071,899,301,207",2256.45,788.36,-5.88,0.24,210.88,996.7450440563574,11.07176801412849,228.51,11362.0,"2189,824,169,114",2273.26,762.55,-1.77,-2.73,217.48,7.142920948226733,0.0457622988595536,231.7,3652.0,"2220,786,120,66",2279.46,750.76,3.42,-5.355,223.13,0.2533885928047312,0.0013498168600296,233.92,578.0,"2224,748,48,18",2251.06,738.23,-27.99,-25.02,227.72,4.013431724725581e-09,1.1770707172985536e-11,234.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.3,25
6,2006-08-08 07:00:00,1356,"775,881,42,42",795.54,860.87,0.0,0.0,212.85,4886.54610838202,42.37841944793788,224.61,2261.0,"752,879,58,55",781.78,852.13,-3.435,-2.07,217.24,1250.5968027882425,3.801249522399466,224.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.85,1
7,2006-08-08 07:00:00,6926,"489,931,119,82",550.44,889.05,0.0,0.0,210.12,9466.182111278264,53.33769429637809,225.82,5237.0,"483,928,111,78",547.53,885.27,-1.6350000000000002,-8.64,212.89,6137.649776434953,44.787439334506544,226.43,4858.0,"481,919,92,78",533.33,879.92,-16.53,-0.2249999999999999,214.83,1918.485831924084,7.597948954574172,227.39,4129.0,"471,911,84,79",513.25,875.36,-15.419999999999998,0.045,219.88,220.81843298631696,0.6953807743162447,230.22,2682.0,"459,900,79,65",501.46,871.27,-0.165,-0.315,225.32,29.3904647548306,0.2786598478803278,233.92,1689.0,"442,894,72,68",483.49,865.96,-8.205,-3.915,229.57,4.7872160670904655,0.0047549710900342,236.66,909.0,"437,895,56,50",470.12,866.52,-17.37,-9.105,230.75,0.0314636368518493,0.0009236465100253,236.65,498.0,"400,857,46,25",426.64,847.96,-46.425,-1.4249999999999998,229.36,0.0207360553439702,1.4026472179985254e-05,235.77,644.0,"386,852,50,26",414.03,840.08,-7.14,-9.42,230.56,0.0856955062944279,0.0002922719463822,236.03,606.0,"378,846,47,29",403.04,832.01,-16.830000000000002,-11.115,230.46,0.0500065221793293,0.0001473690108642,236.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.12,5
8,2006-08-08 07:00:00,9131,"3111,991,102,127",3163.65,918.61,0.0,0.0,199.84,17965.39184056616,45.27690251587195,220.62,9843.0,"3072,951,138,99",3137.51,896.39,-21.075000000000003,-4.425000000000001,199.18,19830.107114611983,40.10647663852659,216.91,13200.0,"3028,951,168,113",3104.24,892.74,-17.294999999999998,-1.2000000000000002,200.91,13327.503702903754,30.97573621871282,214.3,16906.0,"2985,956,175,132",3074.47,890.18,-8.745000000000001,-0.48,203.48,14247.562458358489,66.9532997184758,215.34,22910.0,"2929,970,208,164",3041.08,892.91,-16.11,-4.17,198.27,29237.66741904024,113.38080203307344,218.7,27479.0,"2899,983,222,197",3012.36,890.57,-14.4,-1.845,198.01,30445.315810286236,42.53907538137873,220.09,31200.0,"2840,993,264,224",2973.02,889.22,-9.57,-0.915,198.66,39338.20709118974,107.52742476613967,219.73,35375.0,"2811,1007,251,254",2930.04,894.46,-20.04,-7.635,201.01,30487.86101696093,48.9929994823609,219.09,37079.0,"2777,1008,219,244",2894.37,898.73,-13.125,0.5549999999999999,202.8,18318.72757419148,46.29922509825809,219.63,35891.0,"2761,1006,217,251",2869.01,891.87,-5.8950000000000005,-1.755,205.22,14564.056092397095,63.57171430193738,222.33,31527.0,"2739,1000,197,247",2836.34,883.97,-8.265,-0.195,202.59,8330.274528201968,44.05562089068558,224.25,26550.0,"2707,983,197,226",2802.14,876.72,-13.215,0.045,201.81,1038.1471764902858,8.686571102049472,224.74,19504.0,"2677,964,203,165",2763.59,876.84,-10.965,-0.0,206.66,7.573114081152248,0.0496420318360495,221.53,18829.0,"2661,963,182,199",2737.53,869.9,-15.255,0.135,212.69,0.0602846357654444,2.7495686703763435e-06,225.2,15198.0,"2648,956,138,188",2716.89,869.43,-10.185,-0.345,218.25,26.360760809956897,0.0798523925727588,230.03,7631.0,"2634,932,126,134",2694.81,869.72,-11.34,-0.585,220.81,15.935211239064737,0.1709256239906919,233.49,1017.0,"2642,864,56,45",2673.26,843.84,-6.48,3.06,225.42,0.8492703856813263,0.0485381433069874,235.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.01,16
9,2006-08-08 07:00:00,2673,"722,928,62,57",751.76,900.82,0.0,0.0,214.99,2111.005960223072,9.803784881883198,226.15,2381.0,"716,925,60,53",748.05,897.92,-4.215,-3.735,218.54,781.4080390411991,3.664473672141572,229.54,5184.0,"708,919,89,105",753.7,865.15,-11.07,-5.355,220.81,405.17972793127547,3.0450067606690103,230.66,4172.0,"701,902,75,94",738.9,859.0,-10.71,-2.415,224.9,54.6429552901278,0.8662245086425115,234.84,796.0,"711,857,44,31",733.13,838.71,-15.165,-21.075000000000003,231.06,2.5497391590397885e-05,5.309113829414682e-08,236.28,597.0,"706,851,28,33",721.52,833.11,-13.755,-11.325,231.59,0.2111808281630114,1.4358628965848266e-08,236.16,714.0,"693,845,35,36",709.35,827.2,-12.735,-10.59,231.34,0.0092394095911308,4.863303581889151e-09,236.83,728.0,"673,833,47,36",695.09,816.2,-24.735,-16.455000000000002,228.76,2.1377002435077936,1.658568146349663e-09,235.26,1018.0,"652,830,66,46",683.98,808.68,-10.23,-4.23,224.75,3.1598689145457937,0.1292972789939927,234.96,2523.0,"586,823,118,55",630.42,795.05,-18.42,-7.305,212.43,388.0956500406776,0.8010421114396612,227.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.43,5
10,2006-08-08 07:00:00,16218,"1504,1080,137,203",1569.19,978.99,0.0,0.0,211.5,5248.272828410961,21.9916567158586,227.29,4484.0,"1512,934,103,68",1552.06,902.28,-8.895,-2.73,214.55,655.2391431155681,1.6093760186531172,231.13,2459.0,"1500,925,50,69",1525.12,890.88,-6.93,-8.205,224.1,115.2801562100102,0.2322990442623945,232.44,828.0,"1501,899,30,39",1515.22,883.21,-15.495,-1.92,229.58,32.80302162690785,0.1408757582048691,236.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.5,3
