storm_id,start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,rain_vol_26,rain_max_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,rain_vol_27,rain_max_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,rain_vol_28,rain_max_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,rain_vol_29,rain_max_29,tmean_29,tmin_min,mcs_thld
1,2006-08-09 07:00:00,12046,"3154,888,145,266",3255.61,775.83,0.0,0.0,224.29,21000.91629351867,2.995867566259438,234.01,16250.0,"3193,885,106,319",3267.84,722.19,-4.155,-1.935,218.76,20136.922236569462,6.657844209156812,233.37,19538.0,"3139,892,160,277",3254.3,740.74,-7.875,-0.675,215.81,11063.503527838244,5.624045868628059,231.17,31546.0,"3098,875,201,321",3231.74,714.57,-5.49,-2.88,217.37,6565.636440020448,2.0057045673446043,231.27,54187.0,"2849,856,450,315",3155.33,707.55,-10.8,-6.300000000000001,217.36,4337.784322533,2.025431776015893,231.14,50878.0,"2911,877,388,320",3165.16,707.42,-5.955,-0.15,218.35,3248.164054233104,1.5090647025143904,230.11,44506.0,"2978,881,321,335",3192.25,700.75,-6.9,-1.47,216.93,2423.8148936954085,9.074528139336294,230.12,106031.0,"2785,846,514,648",3091.33,510.93,-5.37,-5.324999999999999,209.97,59564.45516170213,68.15597296732614,228.85,271487.0,"2166,941,1133,822",2818.6,556.04,-5.055,-3.435,206.14,178128.819679106,93.4620237985719,226.36,304806.0,"2153,948,1146,799",2773.43,550.45,-4.35,-0.63,203.56,188943.78500639647,46.603366849008864,226.09,201647.0,"2157,950,989,587",2608.65,630.77,-2.055,-2.19,203.53,130737.2355392014,42.607015545056456,225.48,277378.0,"2132,915,1167,803",2697.19,522.02,-1.755,-3.135,204.31,139712.8438994472,61.06789247392229,226.11,177163.0,"2152,676,1052,464",2721.3,468.41,-1.455,-5.295,204.57,130443.00185698624,71.03964216612081,226.19,168581.0,"2113,670,1079,402",2700.1,469.48,-2.205,-1.6350000000000002,203.44,129305.57818027018,67.34648791777394,225.57,163024.0,"2161,648,1100,389",2680.38,473.17,-0.495,0.5700000000000001,201.81,103823.54619769345,58.67176929627684,224.86,158961.0,"2172,653,918,397",2629.43,483.48,-3.63,-1.65,203.46,78082.94853325778,33.02229554639,224.72,145408.0,"2138,672,840,347",2559.41,504.03,-0.645,-3.015,204.88,57645.5122142607,50.672809349781474,224.36,146430.0,"2093,678,810,369",2521.49,493.31,0.4349999999999999,-0.615,208.29,36783.33245677152,42.9141415790539,226.4,157617.0,"2048,695,906,400",2527.28,487.42,-1.905,-1.7999999999999998,202.09,39351.48338396553,45.55962452045305,228.9,108880.0,"2106,711,775,435",2537.4,497.43,0.135,1.0499999999999998,205.34,37869.43123782922,43.59131135117528,229.65,72695.0,"2094,631,754,359",2480.79,449.06,-4.98,-5.07,204.37,9402.722209121768,19.69198939879602,230.93,37267.0,"2068,632,548,260",2410.24,497.31,-8.145,-7.1850000000000005,210.68,3105.621718680447,9.566806263148637,229.66,38898.0,"2140,531,464,293",2404.71,402.35,-0.99,-2.67,216.32,857.1417160139788,0.8006620978813829,230.71,17579.0,"2184,522,407,117",2440.98,466.8,-6.615,-2.58,223.87,1099.0324125901864,3.31798659629067,234.14,3941.0,"2441,498,117,83",2500.68,450.07,-15.135,-5.655,226.14,121.03015873284262,0.2295326135227767,236.4,1428.0,"2426,456,75,35",2462.31,441.75,-2.385,-2.325,226.24,3.101499363469379,0.0025266796903028,236.27,814.0,"2399,452,59,25",2433.18,440.15,-6.9750000000000005,-1.515,226.2,0.0975144571534955,0.0018665284884029,235.77,967.0,"2369,453,74,25",2412.2,438.02,-21.84,-1.6800000000000002,227.31,49.40120899629825,0.2528028064688711,235.44,1464.0,"2341,464,108,41",2399.09,439.93,-26.325000000000003,-1.29,226.84,1206.1980648719446,1.2037360661785732,234.56,1750.0,"2321,464,126,48",2382.9,439.57,-13.875,6.6000000000000005,224.86,15.883815188710768,0.2546197324386351,234.0,201.81,25
2,2006-08-09 07:00:00,2301,"1914,696,83,39",1950.68,677.67,0.0,0.0,211.69,4966.5779155786495,35.50582638107242,222.45,2939.0,"1892,704,110,47",1945.14,683.64,-14.985,8.16,209.36,4298.202963307243,41.011860860626285,224.23,3528.0,"1881,713,110,48",1940.12,689.2,-1.605,5.19,215.17,710.4247243684175,6.221290435713424,225.29,3385.0,"1866,719,111,46",1923.87,694.69,-14.669999999999998,1.905,218.73,56.83929010766023,0.9266534635327206,229.91,2165.0,"1847,721,106,42",1905.26,699.62,-21.72,2.355,223.63,0.0851217657384279,0.0008622995770077,234.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.36,4
3,2006-08-09 07:00:00,1046,"40,706,41,43",60.14,687.01,0.0,0.0,213.6,4482.474789080057,40.541401739513255,224.07,1969.0,"24,731,54,72",50.92,692.07,-0.4499999999999999,1.395,214.96,1291.2368420912746,2.3669745496083348,226.35,3386.0,"0,744,65,94",28.44,692.61,-0.5700000000000001,0.21,214.08,20.93858441556514,0.2320255355997099,228.32,1538.0,"0,741,41,69",15.96,701.16,-0.0,-0.0,226.54,0.0212831818801411,6.115752624493245e-09,233.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.6,1
4,2006-08-09 07:00:00,61382,"980,1028,344,361",1137.55,810.17,0.0,0.0,202.55,64617.29224717425,31.378029653951504,227.62,31445.0,"959,986,226,312",1079.39,815.19,-1.38,-3.255,204.22,24181.564785508333,29.33046795631539,224.19,16186.0,"1020,979,173,163",1097.6,902.11,-2.43,-2.565,204.8,3531.529682985061,5.037828744099979,220.98,19669.0,"991,977,191,167",1089.51,898.53,-0.63,-1.845,200.78,8868.568789393154,17.19677428398804,222.48,22223.0,"952,965,234,160",1070.54,895.69,-0.4649999999999999,-1.11,200.33,20233.11213422992,30.425897873186777,221.73,26037.0,"912,963,271,161",1045.64,892.5,-3.165,-0.27,198.82,19907.69980941532,19.830746548214083,219.38,34401.0,"852,962,328,202",1000.67,878.25,-5.8950000000000005,-0.12,197.93,43213.31623333972,38.944838485510346,217.1,42516.0,"835,970,333,227",979.11,870.63,-1.845,-3.72,193.74,41679.45585036517,33.84268044194017,215.14,62549.0,"792,981,373,354",950.7,831.2,-2.265,-0.81,195.86,89828.70826746058,72.52656284489032,216.22,75676.0,"705,988,445,372",928.46,821.57,-0.975,-0.48,195.97,114016.33891998437,55.56055906756446,216.18,85424.0,"703,979,433,380",912.27,805.87,-0.765,-6.765,196.1,103732.50385863495,53.957352468454346,216.94,100256.0,"604,982,525,403",869.16,789.65,-2.085,-4.62,199.25,139795.33921478604,51.17396055665879,219.14,105253.0,"611,974,465,410",847.27,774.46,-1.62,-6.720000000000001,198.44,164521.51031137793,96.20779710417494,221.09,95171.0,"600,930,454,374",819.02,775.22,-0.72,-2.91,198.39,119798.97193409102,86.95655032803701,222.05,93035.0,"575,933,452,373",798.56,764.18,-1.29,-0.285,200.36,112895.93746035454,65.64614870429423,223.94,88988.0,"548,936,480,400",778.9,736.34,-1.26,-0.72,200.23,97884.20974645778,73.42313509719759,225.42,71439.0,"527,866,500,357",743.25,706.4,-0.855,-2.1,201.28,96155.92705507624,62.92393298020319,223.91,70924.0,"504,860,545,367",726.35,702.08,-0.12,0.495,203.26,76206.54821494927,77.56021510642402,225.03,66973.0,"490,853,558,381",719.42,694.52,-1.125,-0.48,202.55,60560.62373489941,55.45297737022608,226.63,35385.0,"545,843,292,395",710.26,674.22,-1.455,-1.5750000000000002,208.22,45004.47623564951,69.86906308268561,225.92,29221.0,"564,769,253,238",708.55,662.21,-0.735,-1.515,208.15,33714.64733331103,34.99738292811165,227.55,25431.0,"567,770,251,207",706.14,669.91,-0.165,-1.7999999999999998,209.69,21143.14321400376,34.026795809125964,230.14,16889.0,"559,778,239,205",682.84,676.1,-1.65,-0.12,212.9,11496.917444750485,29.77883131364368,230.6,9643.0,"590,746,183,141",662.87,679.35,-0.03,0.2249999999999999,217.82,7591.45549896301,63.27356650188073,230.82,8699.0,"476,720,222,254",619.21,631.35,4.14,-2.055,218.97,2746.0859785180373,10.41649734287394,233.3,3543.0,"585,699,95,98",635.01,650.03,-1.6949999999999998,-4.574999999999999,223.63,1296.6430862115938,10.92265880666242,233.79,2340.0,"595,676,71,61",632.07,646.28,-1.4249999999999998,-3.765,225.7,229.364674688817,0.6918145763820086,235.19,1055.0,"615,679,52,58",636.22,655.79,4.995,2.265,230.58,2.4645828802695178,0.0082741283509397,236.61,533.0,"617,682,37,30",638.45,667.65,0.27,3.165,233.25,2.4636138660709848,0.0501618017804221,237.64,,,,,,,,,,,193.74,27
5,2006-08-09 07:00:00,36492,"385,937,321,264",540.5,805.46,0.0,0.0,200.92,99909.70605121375,106.14652830712012,224.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.92,1
6,2006-08-09 07:00:00,3644,"3007,809,115,80",3075.09,764.67,0.0,0.0,226.03,0.6413881587944381,0.0025041114341534,235.09,9726.0,"2988,852,206,136",3106.23,776.19,-13.065,-10.395,223.23,44.80829265281334,0.1528378021545436,234.29,15332.0,"2925,880,343,190",3090.94,769.26,-10.68,-8.55,221.91,254.8879044097385,1.1298339307108438,233.76,18196.0,"2873,867,359,239",3049.83,738.53,-15.06,-11.79,222.68,280.69621630635,0.7045100662739084,233.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.91,4
7,2006-08-09 07:00:00,42906,"2746,1048,228,301",2858.03,906.85,0.0,0.0,208.68,32451.79827507615,35.417688948213225,229.18,24102.0,"2724,979,207,176",2822.76,897.59,-2.835,-4.574999999999999,211.94,32459.37963585893,64.71754203563182,228.83,21723.0,"2692,977,209,178",2796.49,884.32,-4.574999999999999,-1.185,209.93,39208.5198869342,70.277368787012,229.13,20053.0,"2661,952,222,165",2759.73,865.51,-17.865000000000002,-3.03,208.69,52193.76992731925,57.53428473915483,226.96,21928.0,"2619,947,237,179",2714.72,857.19,-16.005,-0.8999999999999999,205.37,62823.52388240512,61.67950615507866,223.26,26377.0,"2579,975,201,252",2667.82,847.37,-16.335,-8.31,204.38,59254.8007942929,72.7278984947773,221.16,37010.0,"2529,970,257,287",2647.58,823.77,-7.334999999999999,-10.74,205.72,51140.86718963335,66.03155893460868,221.85,54534.0,"2388,967,420,323",2603.66,802.41,-10.44,-3.12,203.9,71059.75934903203,70.71376099581698,222.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.9,8
8,2006-08-09 07:00:00,517,"364,785,36,19",383.55,774.25,0.0,0.0,210.2,10795.194192997698,43.08834325212158,226.02,2310.0,"346,800,58,51",376.32,773.95,-1.53,1.95,203.97,14606.49998706939,68.14982882407878,218.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.97,1
9,2006-08-09 07:00:00,62618,"447,1237,334,326",613.37,1074.45,0.0,0.0,195.3,144220.60454347305,55.94176176097163,218.1,97128.0,"401,1214,369,536",572.08,980.48,-3.6,0.12,197.61,254813.1890396421,96.73873279333569,222.61,103745.0,"323,1201,445,524",548.55,958.4,-3.09,-4.065,197.55,284659.27576287155,76.80175051771388,221.11,117786.0,"268,1249,496,567",531.86,944.09,-1.53,-1.965,199.61,270414.00223444024,105.47783749058998,221.62,103825.0,"350,1221,430,498",547.98,964.43,-0.5700000000000001,-0.075,199.51,185521.37373435168,123.2601839661061,221.93,92271.0,"320,1160,420,435",511.68,939.51,-0.945,-3.69,201.72,136994.03373290307,49.74419919016545,221.37,113856.0,"234,1161,444,520",453.4,893.31,-0.945,-0.27,200.9,219976.8749969471,83.48939069537326,222.39,116322.0,"218,1151,460,521",434.77,881.14,-1.785,-3.45,198.41,184107.9886652644,58.22260022849734,223.42,130607.0,"110,1123,566,510",401.44,872.02,-4.29,-2.28,199.87,194428.61361449683,76.77305625826816,224.21,132226.0,"146,1149,465,553",362.54,869.52,-2.835,-1.5750000000000002,200.35,191770.5569700256,89.57946573921619,224.24,137298.0,"89,1165,464,543",330.01,869.14,-1.905,-4.26,201.04,167568.79129947,78.08637872920897,224.72,138944.0,"75,1171,476,562",309.95,866.25,-1.155,-2.46,201.08,168469.289243033,123.4137506967836,225.78,135115.0,"50,1180,498,582",291.21,868.87,-1.095,-2.58,201.14,144390.16939673366,58.10718828568139,227.2,119765.0,"43,1184,474,596",262.11,856.81,-0.72,-1.335,202.86,120184.56658029558,64.54789628485251,228.64,91178.0,"27,1051,392,431",221.02,848.2,-1.665,-3.825,203.27,87215.65706437225,64.30284658615463,228.73,63610.0,"8,1073,353,437",167.78,813.51,-2.49,-1.02,205.73,59432.98318713936,66.44118393209072,227.12,51030.0,"7,1002,271,366",145.37,798.31,-0.5700000000000001,-7.41,206.1,51513.69268406796,61.4643454556856,227.0,45915.0,"7,993,261,371",124.07,780.05,0.0,-0.015,204.84,54462.26346482752,79.73627876426158,227.05,43528.0,"7,969,257,355",113.8,770.81,-1.56,-1.02,204.91,58383.831932915695,59.31106488301008,227.75,31016.0,"7,922,250,313",85.79,730.41,-1.41,-3.075,207.65,50559.25007809975,56.41334128764513,225.17,26154.0,"0,934,154,334",60.56,731.98,-0.405,-1.11,209.17,41245.742088499625,55.30180345440553,224.89,21842.0,"6,821,145,229",65.62,708.58,0.72,0.03,211.21,22507.012119000072,27.21692781314644,227.38,17807.0,"6,808,136,215",59.36,705.9,-0.945,-0.48,213.2,12631.43034949545,44.71741024115289,230.41,8728.0,"7,759,105,163",43.64,672.01,-0.75,-2.97,215.95,2042.6085727873783,7.73254761424028,229.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.3,24
10,2006-08-09 08:00:00,4856,"1131,812,84,138",1171.81,733.02,-0.12,-5.565,220.32,668.6215328970763,1.83364889007838,232.44,2367.0,"1132,758,70,95",1164.37,710.04,-0.3,-9.225,225.25,5.53523779582089,0.0103460350833686,234.52,704.0,"1133,715,37,49",1150.87,690.22,0.315,-7.545,230.84,9.862827382198074e-07,0.0,236.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.32,2
