storm_id,start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,rain_vol_26,rain_max_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,rain_vol_27,rain_max_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,rain_vol_28,rain_max_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,rain_vol_29,rain_max_29,tmean_29,area_30,bounds_30,clon_idx_30,clat_idx_30,PSu_30,PSv_30,tmin_30,rain_vol_30,rain_max_30,tmean_30,area_31,bounds_31,clon_idx_31,clat_idx_31,PSu_31,PSv_31,tmin_31,rain_vol_31,rain_max_31,tmean_31,area_32,bounds_32,clon_idx_32,clat_idx_32,PSu_32,PSv_32,tmin_32,rain_vol_32,rain_max_32,tmean_32,area_33,bounds_33,clon_idx_33,clat_idx_33,PSu_33,PSv_33,tmin_33,rain_vol_33,rain_max_33,tmean_33,area_34,bounds_34,clon_idx_34,clat_idx_34,PSu_34,PSv_34,tmin_34,rain_vol_34,rain_max_34,tmean_34,area_35,bounds_35,clon_idx_35,clat_idx_35,PSu_35,PSv_35,tmin_35,rain_vol_35,rain_max_35,tmean_35,tmin_min,mcs_thld
1,2006-08-12 07:00:00,32493,"200,791,306,272",380.04,661.1,0.0,0.0,199.24,101609.46668539774,80.58435304178258,222.38,31394.0,"212,805,284,293",383.81,667.05,-0.8699999999999999,2.16,198.37,92834.80400882114,60.50737743211117,221.79,35363.0,"124,803,372,306",362.99,655.89,-1.545,0.345,202.49,97198.52719938416,49.3552134459364,220.85,71768.0,"101,889,399,402",307.52,707.75,-1.6800000000000002,0.8999999999999999,199.99,140698.1678663023,95.25826496223488,219.0,39780.0,"108,826,398,346",368.08,669.6,-2.73,-0.795,205.28,57170.923002624535,67.38087102669097,224.2,3973.0,"86,624,186,90",167.01,579.1,-2.205,3.87,218.24,1770.1626012623256,12.253503182911434,232.26,1401.0,"143,627,101,43",191.02,607.32,-1.83,1.4249999999999998,216.55,1302.2893292534186,5.572321489387845,231.81,1374.0,"123,621,63,45",151.34,598.37,-2.925,-2.49,209.17,2334.209199000104,19.2043676478127,225.29,2262.0,"105,624,71,49",135.5,599.89,-0.735,-4.635,208.48,6731.182730616391,23.066102364736697,223.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.37,7
2,2006-08-12 07:00:00,82846,"2425,1065,330,485",2588.67,796.09,0.0,0.0,203.75,81967.3054605671,56.452061833801096,226.74,58102.0,"2401,926,309,335",2563.21,740.86,-4.59,-2.475,204.59,57750.51523954431,45.3149391736012,227.07,50463.0,"2375,904,326,327",2542.97,728.32,-3.645000000000001,-2.04,207.71,31635.812751059224,62.5625282908347,226.13,49943.0,"2344,914,343,352",2524.16,727.2,-7.755,-0.54,211.07,10424.884420701725,20.9113052153718,227.36,52245.0,"2310,924,361,377",2501.55,723.15,-10.845,2.55,208.43,28369.84282934174,53.60867790270181,228.51,44839.0,"2368,816,292,334",2519.02,641.19,-8.370000000000001,7.274999999999999,204.34,41815.162197463695,109.93284292543316,228.33,48875.0,"2313,819,328,353",2487.01,626.88,-8.595,1.275,207.64,32148.589708861306,41.1153982656685,226.67,45568.0,"2225,776,357,322",2436.58,605.41,-9.57,0.09,208.12,27146.6081225686,52.2786464577022,225.74,51892.0,"2145,675,396,337",2353.18,523.62,-9.585,2.58,208.6,31567.460895247517,53.57396742850567,225.61,55584.0,"2109,663,384,339",2318.0,505.25,-3.33,3.75,202.3,39781.44022126455,63.20501221631979,226.17,50820.0,"2095,653,360,309",2281.39,495.73,-2.91,2.295,205.23,31915.31503009825,41.046370108288514,226.7,51364.0,"2056,524,459,239",2290.28,400.84,-2.445,-2.04,202.37,41154.762373361096,55.23315325461565,223.27,55987.0,"2019,506,509,234",2285.06,396.83,-3.24,-5.205,201.51,27501.17098822988,54.531137051903,224.08,53333.0,"1992,506,550,229",2294.61,398.27,-5.565,0.105,199.33,20713.84422293459,53.11820654539042,223.92,54153.0,"2061,503,468,215",2287.17,394.35,-5.01,1.905,202.85,9631.97987763531,38.08941623793708,225.36,49384.0,"2046,481,444,194",2281.82,387.78,-0.93,1.065,204.99,2153.627207343224,21.653636667790742,227.09,36514.0,"2049,481,405,207",2281.74,386.36,-1.515,-0.165,209.62,293.6387609129166,0.4636209452547492,227.52,27382.0,"2117,464,308,154",2278.49,390.44,-0.03,-0.0,216.95,156.7790311823006,0.6976051786600959,227.85,26612.0,"2079,463,307,188",2259.86,382.75,-17.52,-0.3,221.39,270.83920262415984,2.2703363938044068,230.46,24718.0,"2050,464,313,167",2225.86,385.24,-10.035,0.8699999999999999,221.65,485.9500230732034,1.515072541959842,232.87,13468.0,"2036,477,257,146",2176.04,405.17,-6.765,1.965,225.44,341.50215756848263,4.077319402311269,234.53,4487.0,"2076,475,169,94",2160.29,435.91,-6.720000000000001,1.4249999999999998,227.22,46.713707050117,0.2946263762304387,236.43,1218.0,"2127,459,68,48",2154.39,428.12,-1.095,-8.504999999999999,232.88,20.80751408527629,0.5413262175829884,237.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.33,22
3,2006-08-12 07:00:00,29728,"1749,883,253,302",1894.63,721.45,0.0,0.0,212.42,37904.31362832648,58.66894905174198,233.08,24430.0,"1677,894,281,287",1869.74,746.06,-3.78,4.59,212.23,24639.49539686732,30.578186453441138,233.65,15873.0,"1648,906,298,253",1841.73,777.6,-8.61,6.2250000000000005,215.03,9557.544432828669,26.86536407338597,233.01,10231.0,"1777,888,156,179",1856.85,785.06,-7.529999999999999,4.245,220.31,3998.910230865195,20.524298904626978,231.85,9429.0,"1782,862,140,152",1854.14,780.43,-2.4000000000000004,8.399999999999999,220.57,2510.100496848177,1.762338321859825,231.56,12020.0,"1754,852,207,137",1855.77,786.37,-9.045,3.0,214.42,2177.965164474369,14.383443296239395,232.23,13180.0,"1731,854,221,131",1849.3,783.08,-13.53,1.6949999999999998,218.71,875.4156019932017,5.489388526769194,232.39,11701.0,"1713,861,212,143",1813.3,788.46,-13.2,0.585,220.44,397.8762477884752,3.414956231658238,232.86,9209.0,"1695,859,175,134",1794.08,790.28,-12.15,1.725,222.38,82.2481013263515,0.1103646373955712,234.23,4035.0,"1733,854,120,80",1804.71,816.35,0.255,3.5250000000000004,227.92,0.93307676481511,0.0090266847467634,235.47,1635.0,"1723,852,114,58",1792.47,825.13,-10.125,10.215,233.71,0.9543635471277808,0.0002486684050999,238.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.23,10
4,2006-08-12 07:00:00,5354,"1259,682,136,66",1323.35,652.85,0.0,0.0,217.38,12104.850170377573,19.076831619906915,231.0,4342.0,"1265,682,129,67",1326.04,654.15,0.705,-1.275,221.62,6838.169569043526,14.822949193160998,233.24,4384.0,"1250,683,130,60",1316.75,653.77,-12.165,-0.48,219.63,4147.9158171657045,15.173695300706392,234.89,2086.0,"1273,684,65,56",1304.26,657.52,-12.105,2.145,229.02,1520.733624584711,6.40258510318978,235.67,1185.0,"1263,684,58,46",1288.82,660.1,-9.255,1.935,233.58,161.32027826092067,1.4954857129745311,238.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.38,3
5,2006-08-12 07:00:00,10227,"107,750,133,108",177.93,695.84,0.0,0.0,199.94,13459.33253839704,35.278220576541585,219.37,8024.0,"118,758,111,117",174.72,707.05,-1.155,2.655,202.0,12067.71792238448,38.24489173379258,220.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.94,2
6,2006-08-12 07:00:00,760,"802,702,52,47",826.69,677.21,0.0,0.0,228.54,0.0866444816773388,1.4445957301143536e-08,236.43,1299.0,"801,699,75,38",836.14,682.05,-1.71,-4.995,222.61,0.0088991617543071,5.661082144172945e-07,231.85,3930.0,"805,732,134,71",873.09,694.99,-12.57,6.09,220.76,0.0447034373377807,2.1627298923333028e-05,231.26,4941.0,"823,741,114,79",876.26,702.27,-3.81,-5.865,220.61,0.1220170553040125,1.3642862998893238e-05,232.17,3057.0,"787,735,120,60",855.17,707.98,-0.4649999999999999,-11.295,225.27,0.001003207607498,2.016295511668121e-06,233.61,689.0,"824,711,38,29",843.24,697.27,-3.795,-16.32,230.86,0.0211123260525329,7.769452494062395e-05,235.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.61,3
7,2006-08-12 07:00:00,8608,"227,820,133,102",287.07,775.17,0.0,0.0,197.14,35064.237795681685,61.73375987019501,211.69,11380.0,"213,832,142,121",280.5,779.26,-3.99,1.56,197.41,47339.99390158824,51.51262770663007,210.38,24799.0,"119,861,238,195",241.22,763.27,-0.255,3.66,198.25,58065.30777339591,183.056676629659,212.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.14,3
8,2006-08-12 07:00:00,31329,"1496,1009,326,280",1673.52,816.73,0.0,0.0,208.07,33485.90778520606,46.29972752240522,227.33,26895.0,"1471,906,312,214",1649.66,799.04,-2.19,0.5549999999999999,208.92,30872.43459428085,38.622457494630034,230.26,20150.0,"1536,881,222,190",1661.4,787.81,-13.02,-0.945,212.52,20236.935548165144,41.40335084975568,230.03,17808.0,"1576,870,182,226",1664.6,755.78,-15.81,-1.26,214.16,14331.967005574756,23.372370768279687,230.95,14456.0,"1548,811,189,168",1640.29,743.33,-21.675,0.645,218.47,11909.59194024375,50.29753335913939,232.14,10819.0,"1516,808,205,144",1617.19,732.01,-8.295,-3.315,211.22,17108.739754335016,47.50803904239369,231.57,10282.0,"1473,775,230,102",1577.56,727.81,-5.5200000000000005,13.515,207.35,22138.91648395965,27.66011501846942,227.51,12929.0,"1448,783,220,112",1545.82,730.16,-10.08,-1.5,202.54,32071.716772470947,92.25988056308675,224.64,15427.0,"1411,798,191,124",1511.35,734.84,-2.055,-0.165,203.08,33342.01426136261,81.59730021799147,222.27,19365.0,"1364,824,220,161",1485.04,739.71,-6.33,-1.335,199.08,38568.86776406349,63.985452118423815,220.72,28519.0,"1345,878,258,224",1469.49,754.3,-7.02,0.09,195.87,60662.680512011786,60.769228318529215,219.81,30654.0,"1335,899,227,263",1440.14,758.71,-5.1450000000000005,-0.6900000000000001,195.81,66301.61049016584,66.40673638375571,217.55,37529.0,"1307,914,249,277",1419.13,771.33,-3.405,3.72,196.26,68527.20786733614,59.26467154709465,216.71,41014.0,"1272,933,272,309",1388.52,783.23,-4.905,-2.055,197.15,67559.86496317825,51.367815603698816,215.09,41952.0,"1238,947,229,297",1355.91,809.88,-3.06,1.11,197.55,52453.12094290673,47.872756803068526,214.38,41722.0,"1207,953,217,274",1329.13,815.2,-11.925,0.375,198.74,44331.196898694354,64.60195201920997,214.47,51058.0,"1123,958,289,278",1288.49,805.66,-4.1850000000000005,-0.48,195.9,42061.03454869503,63.59409895896082,217.74,51368.0,"1103,933,286,266",1265.05,795.81,2.0250000000000004,-0.0,194.58,32294.110489669813,32.52211195073264,219.97,52288.0,"1088,937,291,283",1247.42,794.37,-5.265,0.78,197.44,25991.28788626367,61.371218656116646,222.39,47092.0,"1065,943,289,301",1216.02,789.12,-7.439999999999999,1.815,202.77,24845.79217981163,48.70902402261444,222.52,58455.0,"892,964,429,313",1126.92,803.2,-1.275,-1.065,207.7,13000.199777384105,33.521017496450526,224.88,55550.0,"963,939,343,296",1129.77,788.11,-5.28,-0.735,213.53,12793.706820227928,22.67988206524867,227.43,53984.0,"946,945,345,334",1115.1,779.11,-3.2700000000000005,-1.02,215.48,14051.244929010263,15.638700211713804,232.66,12380.0,"1060,882,215,139",1181.14,798.7,-1.11,0.375,223.94,11430.090318020892,29.121222155335825,235.99,3039.0,"1149,812,98,55",1194.53,788.29,-1.245,-3.78,229.63,2729.857806542827,6.525075558914602,235.92,497.0,"1211,824,28,36",1226.17,805.52,8.49,0.09,231.03,63.5251255426783,0.1400402579756486,237.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.58,25
9,2006-08-12 07:00:00,3954,"889,861,79,120",921.35,804.53,0.0,0.0,221.77,7813.752417434431,32.652964534966905,232.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.77,1
10,2006-08-12 07:00:00,4443,"645,888,72,135",687.11,825.62,0.0,0.0,216.57,49.43316567091946,0.0322277566186821,231.9,2353.0,"664,872,58,93",696.7,828.79,5.79,-0.915,219.17,0.0011204590943118,1.0444263510447795e-06,231.24,2126.0,"662,856,66,95",702.78,809.07,2.85,-3.84,222.81,1.2566527382687536,0.0060859036231099,234.28,1881.0,"695,807,53,72",721.13,769.33,10.71,-17.549999999999997,221.05,0.272912688675772,0.0006188389717673,232.06,2571.0,"704,827,88,109",738.91,770.08,6.645,-10.35,221.77,1.3840756952298656,0.010783779261968,231.99,2734.0,"703,822,95,120",742.12,759.94,3.705,-16.32,219.93,2.6404052865856467,0.0031104901680567,230.75,3187.0,"700,817,101,134",746.65,749.38,4.1850000000000005,-14.535,217.83,7.658670485499941,0.0348803138668207,229.15,4018.0,"699,811,105,146",750.95,740.79,1.5,-16.965,218.52,22.059084646987078,0.0982831778637007,228.48,4981.0,"696,801,111,155",748.95,724.72,-0.795,-16.23,218.75,111.82699162709726,0.8287244452153899,229.35,5098.0,"690,785,120,162",744.97,703.33,-1.29,-22.83,219.87,13.943360555225114,0.1281595842144993,230.65,3754.0,"682,732,105,134",729.98,665.81,-3.09,-20.58,219.56,0.0937415378085598,2.097634139320393e-05,230.98,2987.0,"674,701,106,132",725.17,643.0,-2.085,-24.9,221.94,8.435124171189804e-08,1.3219569747857823e-10,233.37,1000.0,"724,674,37,61",742.79,639.59,-8.655,-25.44,222.09,6.521077164683818e-08,0.0,232.33,449.0,"715,623,19,40",724.33,602.92,-20.16,-44.505,225.73,0.0174517723543034,0.0,232.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.57,10
