storm_id,start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,rain_vol_26,rain_max_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,rain_vol_27,rain_max_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,rain_vol_28,rain_max_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,rain_vol_29,rain_max_29,tmean_29,area_30,bounds_30,clon_idx_30,clat_idx_30,PSu_30,PSv_30,tmin_30,rain_vol_30,rain_max_30,tmean_30,area_31,bounds_31,clon_idx_31,clat_idx_31,PSu_31,PSv_31,tmin_31,rain_vol_31,rain_max_31,tmean_31,area_32,bounds_32,clon_idx_32,clat_idx_32,PSu_32,PSv_32,tmin_32,rain_vol_32,rain_max_32,tmean_32,area_33,bounds_33,clon_idx_33,clat_idx_33,PSu_33,PSv_33,tmin_33,rain_vol_33,rain_max_33,tmean_33,area_34,bounds_34,clon_idx_34,clat_idx_34,PSu_34,PSv_34,tmin_34,rain_vol_34,rain_max_34,tmean_34,area_35,bounds_35,clon_idx_35,clat_idx_35,PSu_35,PSv_35,tmin_35,rain_vol_35,rain_max_35,tmean_35,area_36,bounds_36,clon_idx_36,clat_idx_36,PSu_36,PSv_36,tmin_36,rain_vol_36,rain_max_36,tmean_36,area_37,bounds_37,clon_idx_37,clat_idx_37,PSu_37,PSv_37,tmin_37,rain_vol_37,rain_max_37,tmean_37,tmin_min,mcs_thld
1,2006-08-13 07:00:00,2704,"2697,179,82,52",2737.04,153.23,0.0,0.0,221.89,4083.6566088839936,53.82536765277595,230.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.89,1
2,2006-08-13 07:00:00,25087,"2933,302,257,175",3080.77,211.71,0.0,0.0,205.14,27379.732473366552,30.780843352794506,228.0,18750.0,"2923,283,258,156",3076.11,216.45,-6.66,0.645,210.37,10255.640949180512,24.48847101767176,227.57,15948.0,"2948,307,217,193",3070.41,214.09,-2.31,0.015,216.07,6726.87952048405,30.6958253418768,227.76,15378.0,"2937,311,210,209",3052.75,212.2,-9.33,-1.545,217.57,4259.2645018155135,15.754282093257087,230.9,8584.0,"2940,238,155,121",3019.82,191.15,-10.515,-7.35,217.96,517.6772036109232,12.284962126034532,231.72,7098.0,"2924,224,153,124",2988.96,173.3,-19.995,-9.735,219.74,0.8036678782846087,0.0075361996446778,231.21,5519.0,"2912,205,144,109",2969.91,162.08,-16.830000000000002,-17.355,220.64,9.153973033516182,0.0024680242653555,232.14,1048.0,"2940,157,35,78",2955.99,112.73,-21.585,-11.895,222.86,809.2411498451702,4.413777091023092,233.05,1243.0,"2931,175,82,82",2968.11,137.14,-8.129999999999999,-5.775,222.63,2515.464837545029,22.14377642548599,233.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.14,7
3,2006-08-13 07:00:00,67732,"2703,573,453,333",2949.23,411.67,0.0,0.0,203.2,120684.79637371426,63.673763955560254,222.21,87233.0,"2666,703,633,504",2975.7,446.46,-5.415,0.8400000000000001,198.93,200431.47365914372,103.40738919083182,223.64,101209.0,"2646,706,641,545",2946.45,445.32,-3.075,1.92,199.59,177274.25923244926,81.40929559222573,222.62,125505.0,"2608,722,662,573",2919.06,433.08,-4.245,7.77,198.18,198986.0773902804,115.52334099208734,222.72,84232.0,"2552,472,429,384",2763.91,302.03,-6.029999999999999,3.075,199.87,154874.75628416362,135.02446466583572,221.5,101250.0,"2514,469,549,381",2740.54,296.52,-7.17,0.705,199.86,152056.29663559585,58.690329694697056,220.74,117347.0,"2439,476,595,401",2705.57,294.86,-3.825,5.43,200.78,126592.75748684624,54.54055516527725,221.26,131302.0,"2399,485,570,452",2684.32,283.94,-3.495,0.15,200.66,131020.71534165168,104.13761123901544,222.69,125038.0,"2374,527,546,468",2640.53,296.68,-3.615,0.885,198.44,102309.03334246443,58.508080293859415,224.04,157313.0,"2316,577,700,577",2636.02,279.32,-3.615,1.455,195.54,186179.0495674629,124.1190027639032,223.51,284782.0,"2090,803,1166,803",2674.86,377.45,-2.685,-0.09,195.65,388670.5245290004,101.87488115479746,221.56,211921.0,"2048,999,905,797",2586.28,567.67,-2.22,1.53,192.64,343279.23654996644,90.40222291396336,220.42,175400.0,"2031,1026,897,617",2610.97,641.44,-3.81,3.03,192.36,265113.50169400347,114.85307349192549,218.44,233754.0,"2009,1041,889,635",2556.75,684.44,-7.125,-0.42,190.35,300278.26018398395,100.61272032004705,217.46,251345.0,"2082,1103,1010,708",2596.07,704.52,-3.81,0.75,193.01,282736.3032961048,104.29814347748624,216.96,237931.0,"2197,1110,891,718",2619.66,760.88,-1.98,0.675,196.37,202160.01848965188,76.0354645334476,217.24,95886.0,"2524,1103,561,428",2761.1,894.77,-1.95,0.975,193.16,70514.08679177548,58.83999758985254,219.17,174416.0,"2250,1119,664,752",2663.69,722.9,1.125,0.135,191.61,169199.3950700902,50.18030152685041,221.08,101788.0,"2250,893,518,530",2582.4,609.91,-2.235,-1.155,196.63,131372.8164477516,58.30413850624595,223.81,75946.0,"2221,872,516,417",2541.93,650.5,-2.67,0.51,198.13,125065.8767393087,83.97135143588734,219.78,153783.0,"1975,1057,776,575",2377.52,753.85,-2.865,0.285,199.03,188816.25328483543,77.29509682048688,219.64,141173.0,"2212,1135,684,648",2583.49,792.95,-3.96,2.205,196.31,170675.40471779095,73.83375219697196,223.15,136528.0,"2185,1157,590,675",2556.74,796.11,-3.015,2.76,200.33,154044.61746793537,107.93806966702564,225.38,102498.0,"2326,1162,447,681",2557.3,762.58,-1.92,2.01,203.78,108535.86099734787,59.604564594734846,225.98,35297.0,"2305,712,265,235",2409.08,603.48,-3.18,0.36,205.88,54001.07113590139,102.01117834351854,223.82,33999.0,"2276,712,225,239",2389.82,601.89,-2.325,0.885,209.32,34369.91092040736,33.0924577004047,226.19,31739.0,"2255,708,241,230",2367.72,603.7,-2.565,0.4499999999999999,212.72,16370.672616027194,26.6297298570597,228.52,31620.0,"2233,717,235,242",2350.65,607.94,-3.795,-0.42,216.56,14391.015114983073,45.16185153262679,231.35,22662.0,"2207,700,228,229",2322.85,589.77,-6.315,-1.395,218.06,937.936815526032,1.1573763416690497,232.32,16660.0,"2191,682,198,216",2298.63,581.36,-12.225,-1.83,218.37,816.8856392884392,3.400382095927181,232.27,13813.0,"2160,670,209,210",2271.24,569.99,-12.78,-5.655,216.31,613.4980880257754,2.8858728362549737,232.58,6538.0,"2212,598,136,152",2290.9,517.84,-10.215,-4.62,226.2,1692.621465542522,3.978961676977924,235.78,1409.0,"2240,542,86,75",2284.24,499.73,-16.68,-9.51,231.69,62.98111692943977,0.2979693098086699,237.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.35,32
4,2006-08-13 07:00:00,12916,"3162,809,137,246",3250.07,669.73,0.0,0.0,202.89,57663.54959824015,64.83199378248793,226.46,2098.0,"3220,804,79,47",3264.15,783.88,-13.455000000000002,-5.445,223.54,0.0,0.0,233.2,1620.0,"3188,802,103,36",3241.23,785.06,-20.79,-0.615,225.22,1.290183300916497e-07,4.179240831211849e-09,233.6,1620.0,"3174,802,109,35",3227.93,784.47,-15.915,-0.27,226.47,6.792842269638199e-07,0.0,234.7,1059.0,"3188,804,88,25",3226.7,789.34,-16.935,2.7750000000000004,228.13,16.205168034219597,0.1734724110472381,235.18,724.0,"3175,806,66,24",3209.47,791.9,-15.075,3.18,230.13,1.317752401788481,0.0056331867676859,236.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.89,1
5,2006-08-13 07:00:00,46755,"9,867,401,284",227.37,730.09,0.0,0.0,202.8,230027.65498552023,80.04199678000305,223.63,57772.0,"30,863,455,271",259.93,732.58,0.36,-0.18,202.79,283206.6366210438,106.81146411422678,223.73,66163.0,"18,849,468,256",239.68,730.08,-0.51,-2.64,200.91,329478.5067043933,71.24371839133045,221.17,73776.0,"10,878,459,286",226.2,731.93,-0.39,0.81,201.76,329508.87494335737,85.26047740898625,220.47,80691.0,"23,876,417,305",210.96,728.21,-0.4499999999999999,-3.2700000000000005,202.35,308201.9672572439,94.09458220419091,220.91,87971.0,"21,889,401,340",197.99,725.88,-0.3,-0.21,202.43,305478.67672856705,99.18466833094408,222.07,90952.0,"0,903,379,364",177.12,729.1,-0.42,-0.93,202.54,298730.08043235005,84.17315932157317,221.44,95788.0,"0,917,383,381",173.61,727.14,-0.4349999999999999,1.44,202.74,297182.44899510423,112.42076732072762,221.51,104461.0,"0,931,432,402",178.95,723.24,-1.5750000000000002,2.61,200.08,302176.9028464911,125.97380131640008,222.56,111520.0,"0,986,427,465",186.55,732.62,-1.275,-1.185,200.93,292680.49101320206,86.70359910052002,223.28,98517.0,"0,946,414,430",171.83,711.65,-0.675,-0.0,203.52,221945.26180771893,70.2859140163052,224.86,87718.0,"0,921,400,411",156.81,702.81,-0.63,-4.800000000000001,205.72,180555.3452943179,61.75172403107937,226.93,68062.0,"0,937,330,416",123.55,700.65,-1.47,-2.115,209.76,130008.20377958142,58.0796141019312,228.68,35216.0,"0,942,183,408",67.77,745.75,-1.5,0.255,213.58,63905.56446350707,52.75189542006092,228.81,30065.0,"0,900,173,361",69.8,741.61,0.645,0.885,211.44,31356.29427828837,24.563126536257634,231.35,20270.0,"0,924,184,362",67.81,713.46,-3.975,0.015,211.21,31829.37261366353,88.8223987867941,231.2,10617.0,"28,817,148,205",89.33,692.7,-2.52,-0.045,211.23,21868.4551521201,66.9251335653556,230.97,7849.0,"32,719,156,122",104.39,661.7,0.03,0.015,217.01,14735.698882752322,56.43386622823376,230.5,5354.0,"57,708,127,119",114.95,652.16,-1.605,6.195,220.86,9698.53365004507,38.21764549256096,233.31,2440.0,"60,669,73,72",95.17,632.4,-8.145,-0.06,227.39,3305.6387188205754,17.217387734340488,235.61,933.0,"81,661,35,54",100.76,636.2,-12.945,-0.24,227.11,1333.4521933874992,15.51688647610485,238.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.08,20
6,2006-08-13 07:00:00,3389,"413,732,77,84",449.44,689.4,0.0,0.0,222.17,4559.956661300192,48.89818137546536,235.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.17,1
7,2006-08-13 07:00:00,3108,"958,865,48,149",985.95,790.8,0.0,0.0,222.51,1.439803957903184,0.0288264618093454,233.57,924.0,"967,821,21,78",977.5,779.84,-17.355,-10.35,230.03,6.841212875684862,0.0572180271089685,236.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.51,1
8,2006-08-13 07:00:00,35327,"438,1052,290,281",568.73,918.14,0.0,0.0,206.7,15241.399248801355,31.02473356493909,228.05,16491.0,"419,1047,202,176",510.88,973.74,-6.375,-1.755,204.56,4714.322965955518,15.22087726257963,229.02,8880.0,"400,1038,124,104",460.45,993.63,-16.305,-1.785,206.75,2703.4769367501854,11.469888353099453,221.56,9085.0,"381,1036,118,99",439.44,988.18,-5.61,-0.945,210.51,995.5091595373798,5.611264280916968,223.11,9020.0,"362,1036,118,102",421.45,985.96,-14.01,-0.18,214.66,304.43533970036674,1.2131995439107617,227.05,8381.0,"347,1037,116,107",402.65,985.69,-14.13,0.03,219.76,210.1677197856327,0.3330104422301772,229.86,6942.0,"331,1034,118,106",387.81,983.21,-12.57,-0.78,219.41,79.24083922523837,0.1367067295191649,231.78,4774.0,"316,1040,122,109",379.37,990.77,-7.050000000000001,3.3000000000000003,220.76,49.574895840331365,0.5123431116101524,231.55,2528.0,"335,1045,92,63",377.15,1013.84,-13.605,1.185,219.82,2.7520096818667588,0.0061007473033352,231.7,993.0,"325,1037,50,48",354.46,1011.2,-9.135,0.3,224.21,1.0299907816455616,0.0110768255619208,234.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.56,9
9,2006-08-13 07:00:00,4834,"2961,911,72,85",2993.91,870.24,0.0,0.0,212.29,8621.277578397237,29.773780601182374,221.88,4757.0,"2943,910,72,91",2977.8,864.21,-12.885,0.0,212.54,1952.395351312481,7.690237311667732,228.14,4345.0,"2920,910,79,98",2959.21,856.18,-8.94,0.18,217.63,122.70728306506,0.5019761426682298,230.04,3846.0,"2891,893,84,86",2931.52,848.02,-30.96,-0.93,219.65,0.359566932271362,0.0002434716559783,231.96,3047.0,"2855,877,88,72",2894.25,841.07,-30.015,-0.66,222.24,1.7274035053654306e-06,7.1396294249105804e-09,232.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.29,5
10,2006-08-13 07:00:00,33077,"625,1304,286,234",774.05,1195.02,0.0,0.0,205.46,11270.162584549316,11.096398612272491,225.53,26255.0,"627,1293,251,211",755.4,1213.18,-1.185,-0.6000000000000001,208.8,10921.38423911804,20.912473841553783,226.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.46,2
