storm_id,start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,rain_vol_26,rain_max_26,tmean_26,tmin_min,mcs_thld
1,2006-08-18 07:00:00,2979,"2146,305,69,67",2177.64,274.48,0.0,0.0,217.41,9083.754306662882,32.15898658764956,227.9,2984.0,"2140,300,74,77",2175.04,267.36,-1.92,-9.795,217.93,6620.122741472697,58.13366391393319,230.09,3471.0,"2134,299,95,100",2172.74,258.58,-0.675,-0.54,213.37,1445.8287274332963,4.479870775464097,231.25,2613.0,"2126,300,64,83",2159.91,256.68,-2.34,-1.725,216.28,1242.3288294230863,13.966846546159234,232.82,670.0,"2161,297,24,50",2173.62,272.05,-0.735,0.42,216.15,63.92617662819699,2.698720173356844,228.21,546.0,"2151,278,18,48",2160.55,254.12,-3.615,-2.355,220.62,0.0034994989680904,6.717953596929157e-08,230.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.37,4
2,2006-08-18 07:00:00,8059,"1988,402,157,139",2073.61,331.09,0.0,0.0,208.08,30840.07692100928,46.92926551899042,229.26,6243.0,"2047,407,100,142",2094.37,341.16,0.66,0.21,211.04,23533.00446643448,89.69169370802102,226.59,9835.0,"1993,411,151,157",2082.33,340.85,-2.4000000000000004,0.735,211.24,40307.53541782173,70.90958798762836,227.74,11675.0,"1983,408,168,169",2074.05,331.38,-1.4249999999999998,0.045,207.88,36943.04746509162,115.7170700222537,227.69,13701.0,"1970,405,180,173",2069.46,328.07,-0.8699999999999999,-1.6949999999999998,211.2,25745.408883752283,75.30653409463125,227.9,12481.0,"1963,400,186,129",2068.75,331.13,-1.605,-1.32,213.28,9810.145198367172,34.31850653694478,227.3,15271.0,"1977,401,231,141",2080.91,333.59,10.605,-2.07,213.82,12434.168102292271,77.02102525554349,229.6,13128.0,"1980,395,223,148",2082.36,332.6,-10.17,-0.135,211.73,4807.726534590972,9.703584914622406,228.74,7014.0,"1979,382,115,145",2041.31,315.28,-8.129999999999999,-2.19,218.92,57.77545476132559,0.3625247643339866,232.9,2999.0,"1976,364,63,96",2011.71,314.33,-14.505,-1.38,223.81,1.4578873377586767,0.0168614885767384,234.25,481.0,"1983,333,30,32",1998.59,316.72,-13.95,-2.505,229.52,2.387026738425481e-05,1.4955321134617396e-07,237.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.88,10
3,2006-08-18 07:00:00,29040,"18,673,349,153",214.01,601.44,0.0,0.0,211.23,86754.03519627525,102.82664444219544,228.77,24271.0,"0,660,356,128",192.94,597.36,0.885,-3.765,212.53,82562.12722096735,50.36887603852191,229.82,11157.0,"0,663,164,137",94.45,593.85,-0.615,-0.03,211.96,49178.6452044447,66.1210558251783,229.26,7515.0,"72,662,92,147",125.11,599.82,-5.94,-1.395,213.75,23574.157282491247,32.915341888641684,229.11,4476.0,"67,669,95,78",116.49,626.94,-1.935,-1.4249999999999998,208.95,6902.233848095033,21.782812416629877,229.65,4104.0,"52,665,110,82",106.59,627.19,-0.735,-0.81,216.08,6792.359528908618,29.787956376331355,229.02,4481.0,"52,666,105,82",95.54,623.99,-20.205,-3.6,210.57,12670.84966803945,77.18459571089282,228.69,4535.0,"41,660,99,82",87.67,617.4,0.2249999999999999,-3.885,209.68,15827.780918952454,40.64037433613423,226.72,4806.0,"36,659,98,88",82.2,612.96,-8.58,-5.595,199.39,20318.39896240824,54.51907491930621,223.48,7558.0,"30,668,144,108",91.32,618.28,-2.01,-0.975,199.1,11176.404594823243,32.84512763709058,224.63,6527.0,"16,654,100,104",69.74,603.35,-0.36,-0.645,201.05,854.3264139783477,10.246008995216592,224.95,7009.0,"11,654,153,106",71.96,602.97,-3.21,-3.24,206.53,649.7296660301763,6.088015656319462,228.76,5163.0,"9,642,151,89",73.67,603.1,-2.325,-7.83,215.38,1427.882306684823,4.291555543761606,230.26,3490.0,"9,626,94,85",55.23,585.28,-6.209999999999999,-6.375,225.01,528.5856104829331,2.3312964941161693,234.09,881.0,"29,588,53,33",57.5,568.3,-18.255,-7.5,231.13,24.27389694080184,0.0242947843041609,237.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.1,14
4,2006-08-18 07:00:00,1352,"480,569,40,43",500.16,545.78,0.0,0.0,218.43,13262.48341211808,86.9998438119443,230.35,1272.0,"480,569,39,42",498.89,546.97,-3.825,1.32,207.83,14105.047100053634,67.2009674348165,223.14,2300.0,"469,577,49,58",493.45,547.51,-5.475,0.93,208.53,15778.724564770337,44.07464779161311,221.38,3781.0,"458,593,63,77",489.04,553.98,-7.065,1.95,208.16,19031.920637603653,54.08172777871984,223.32,4913.0,"447,608,77,94",484.78,563.14,-6.045,0.405,211.92,9046.933279503284,32.74763777403247,225.41,5998.0,"427,620,95,124",478.44,564.82,0.645,2.07,220.16,6697.392663374705,30.22516233751936,230.74,6727.0,"395,619,130,133",460.21,552.19,-11.445,-3.42,206.55,30803.86104594529,49.260380945261005,231.12,7362.0,"380,616,126,141",444.3,541.77,-4.665,-3.855,211.42,31484.3607095324,56.48127021095952,230.07,11310.0,"372,638,161,174",444.19,552.72,-7.965,0.81,214.84,30953.2661518296,50.49938169888501,231.0,12694.0,"330,629,172,174",426.27,546.09,-6.84,0.48,215.82,19669.415605740374,30.70568130864713,229.76,13355.0,"316,623,164,184",415.48,536.43,-2.82,-2.16,217.18,15462.76482637562,23.294977886981336,229.8,9881.0,"340,620,120,150",404.89,535.99,-1.4249999999999998,-1.035,212.7,1994.1739114882591,4.688901749387122,231.91,2281.0,"325,557,66,56",357.09,528.68,-1.485,2.625,220.06,317.34418334922583,1.5258137554748594,230.98,1264.0,"307,545,48,41",333.43,526.66,-16.35,-7.199999999999999,216.93,211.4999529464642,1.4989398253770652,229.35,776.0,"301,532,40,30",321.86,517.4,-14.415,-19.515,227.79,56.310052157209206,0.0030052654203843,234.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.55,11
5,2006-08-18 07:00:00,104833,"1621,1004,415,464",1839.61,749.14,0.0,0.0,199.86,66879.14426710279,100.01577603149956,223.25,85327.0,"1647,962,372,417",1834.22,726.67,-1.38,-0.495,204.76,43957.58872012793,44.32201587126947,227.7,72837.0,"1635,949,375,386",1819.44,706.21,-2.31,0.795,207.05,19981.56904880351,19.33053416977968,228.55,59961.0,"1586,952,434,414",1789.46,686.89,-3.285,-3.075,209.5,6879.132052983622,11.268012083036991,228.52,47865.0,"1610,791,361,287",1793.06,636.78,-2.115,-7.935,211.47,2012.0281271521824,5.867750382467095,229.21,32616.0,"1589,728,299,246",1757.36,614.93,-1.185,-9.855,214.23,445.52294043393056,2.29657417426698,230.56,18938.0,"1618,712,252,211",1755.01,605.34,-1.35,-7.485,215.92,2929.7913179138723,17.03016581299657,231.45,10106.0,"1589,654,242,178",1710.72,546.44,-5.94,-8.805,209.16,11027.344230976862,44.176554140403326,230.54,10317.0,"1482,582,213,130",1596.02,514.71,-11.43,-5.985,198.87,26316.284615349872,74.88900706257924,222.04,14101.0,"1448,574,230,148",1579.08,498.31,-11.235,-8.655,201.18,34513.018373815976,64.19391442997716,220.59,15262.0,"1492,576,232,166",1599.79,483.76,-5.3100000000000005,-3.795,203.71,19606.315322146824,36.62919110279879,220.52,15542.0,"1478,545,215,143",1578.04,471.01,-7.274999999999999,-3.4799999999999995,211.58,6715.025006802046,44.18377807760178,224.47,10671.0,"1469,514,150,122",1557.63,457.46,-5.1,-3.045,217.52,454.3010528560608,5.421318382281143,230.08,2753.0,"1500,465,102,85",1562.74,410.11,-6.6000000000000005,-19.215,222.58,0.03381599941994,1.2667757224059915e-09,232.55,1249.0,"1535,436,49,56",1562.71,403.48,-16.47,-9.27,232.52,2.4670684644042906e-08,9.396425056939548e-11,237.56,621.0,"1545,423,40,38",1563.71,405.78,1.545,2.805,234.54,8.909618863630427e-07,3.769893948649346e-09,238.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.87,14
6,2006-08-18 07:00:00,38945,"2465,845,241,252",2579.84,709.4,0.0,0.0,207.38,24971.97744848007,29.497289417228245,225.66,27729.0,"2452,813,207,225",2558.41,691.6,-2.295,-1.56,212.2,15281.11165938468,20.106993766832677,229.37,22006.0,"2437,767,193,188",2534.37,665.63,-1.89,0.3,214.71,7361.954412422454,43.688036067792375,230.06,20735.0,"2417,762,205,184",2517.48,663.19,-3.555,-0.855,217.2,2080.8507822713223,9.941948984190583,231.38,15929.0,"2400,763,172,196",2489.21,656.29,-8.370000000000001,0.735,217.75,429.1057405104952,0.3210605649976575,231.14,5171.0,"2421,694,139,132",2513.21,621.22,-8.76,-0.3,222.91,93.38324121607054,0.327890727516435,233.14,3412.0,"2479,692,71,116",2518.6,628.06,-11.415,-2.73,222.89,34.20794630846382,0.1346188817238556,232.72,2313.0,"2465,683,71,108",2506.81,627.34,-11.565,-4.08,224.8,7.592779334500002,0.0984104952037736,233.86,976.0,"2481,648,46,51",2498.63,624.73,-12.465,-0.375,227.33,0.2250192122855975,0.0380756850459144,235.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.38,8
7,2006-08-18 07:00:00,96437,"651,1126,420,478",906.04,870.32,0.0,0.0,203.64,44748.40545589349,47.05025039781957,221.47,76753.0,"693,1117,374,461",915.45,862.22,-2.25,-0.0,201.76,31229.808792558797,47.89246154628071,227.91,68752.0,"772,1040,414,374",949.78,867.41,1.545,2.31,206.31,50150.16221082025,67.58607288761284,230.16,20272.0,"794,874,246,222",924.74,754.11,-5.625,-0.66,208.3,1308.2287518094292,3.611037742905181,227.14,10505.0,"834,846,167,206",938.47,726.41,-0.345,-0.765,209.16,78.21536991139543,0.3021188736005638,227.8,8006.0,"800,814,192,182",923.75,705.04,-1.245,-0.705,211.33,0.1340540598820414,0.000252121228358,224.85,7490.0,"781,797,206,170",912.83,692.44,-1.5750000000000002,-4.71,211.95,3.0152039522230387,0.0008825151003064,224.83,6260.0,"765,786,220,164",905.24,683.4,-1.6949999999999998,-2.835,211.76,1756.978510581936,8.441276749597684,224.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.76,8
8,2006-08-18 07:00:00,3430,"1227,731,86,73",1271.49,695.5,0.0,0.0,220.43,14193.895825363094,36.818682382135805,229.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.43,1
9,2006-08-18 07:00:00,9421,"319,829,159,102",410.09,780.8,0.0,0.0,213.98,2.7975964582574013,0.0093044412745567,231.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.98,1
10,2006-08-18 07:00:00,78326,"1119,1097,353,368",1296.18,891.36,0.0,0.0,201.88,42653.9587302111,41.55806341637773,223.68,63399.0,"1095,1080,351,437",1270.61,837.01,-1.47,0.255,196.22,84852.39668084295,54.39602751601419,225.81,60097.0,"1078,1095,366,463",1258.65,815.48,-1.065,-1.35,196.09,91551.62418896216,57.9066115476755,224.79,37285.0,"1059,875,263,254",1183.86,757.06,-3.93,-2.145,197.48,83428.80097411096,64.08305927122063,214.83,43619.0,"1045,893,254,288",1165.67,758.48,-4.32,-1.11,199.68,50209.41600323252,38.61043562093028,215.08,50658.0,"1026,905,250,307",1154.62,754.21,-0.855,-0.495,202.98,21324.80189356085,53.60992207776494,218.31,54169.0,"1004,915,267,330",1144.6,748.68,-0.915,-0.8250000000000001,205.56,4594.449240152346,13.335121854996828,222.41,52256.0,"989,901,278,295",1131.3,743.9,-0.96,-1.5750000000000002,208.13,491.11913863123294,0.6769450359856819,226.24,58418.0,"744,886,510,332",1076.74,721.95,-1.71,-1.11,205.51,16855.933730158657,24.52048370600953,228.17,51104.0,"716,903,532,361",1043.98,714.5,-1.965,-3.255,202.04,33110.63023691871,46.00336589008575,228.84,21203.0,"696,757,381,223",902.37,639.14,-4.74,-4.98,203.14,36203.25455698969,48.82811880226073,224.45,22938.0,"729,750,280,220",870.6,628.92,-14.655,-3.57,201.15,47505.50228425115,72.59281700317665,222.77,30972.0,"626,733,354,211",813.89,631.65,-2.25,-2.685,197.53,81177.9495443117,96.0505463071502,221.51,34860.0,"570,746,325,232",757.03,642.8,-2.52,-0.075,198.09,108954.82802608244,117.94167153929432,218.04,38572.0,"561,762,303,255",734.46,645.26,-1.38,-0.63,196.1,113915.39563778932,90.57416750803566,217.47,88130.0,"338,990,505,484",592.12,732.06,-3.81,-2.67,196.01,169332.42990600422,68.8187841445308,217.59,56692.0,"324,1019,285,410",474.27,828.45,-0.495,-0.135,195.13,38682.532105735045,44.878845577996096,216.6,65129.0,"326,1003,256,398",460.59,832.25,0.0,0.0,198.04,30454.962904112177,69.02262205115645,217.5,128055.0,"163,1016,666,511",503.19,752.1,-1.545,-1.7399999999999998,199.31,109568.85684418028,208.4219938210939,221.9,122726.0,"187,1030,628,525",483.04,760.43,-1.08,-1.365,200.89,64108.54662722051,94.12252102539324,223.87,58756.0,"242,1034,332,351",406.36,880.99,-1.26,-0.735,209.4,761.9392168151011,4.679023554456907,225.81,50511.0,"229,1055,322,374",393.69,880.58,-0.48,-0.315,215.52,297.2765012583655,4.22861363820538,231.68,12660.0,"324,1031,212,155",428.16,932.74,-0.06,-0.21,224.57,0.0837851717467627,0.0,235.75,2418.0,"372,970,115,84",427.52,920.78,12.705000000000002,7.995,229.46,2.2555211636875185e-06,2.19832864873043e-09,237.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.13,24
