storm_id,start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,rain_vol_26,rain_max_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,rain_vol_27,rain_max_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,rain_vol_28,rain_max_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,rain_vol_29,rain_max_29,tmean_29,area_30,bounds_30,clon_idx_30,clat_idx_30,PSu_30,PSv_30,tmin_30,rain_vol_30,rain_max_30,tmean_30,area_31,bounds_31,clon_idx_31,clat_idx_31,PSu_31,PSv_31,tmin_31,rain_vol_31,rain_max_31,tmean_31,area_32,bounds_32,clon_idx_32,clat_idx_32,PSu_32,PSv_32,tmin_32,rain_vol_32,rain_max_32,tmean_32,area_33,bounds_33,clon_idx_33,clat_idx_33,PSu_33,PSv_33,tmin_33,rain_vol_33,rain_max_33,tmean_33,area_34,bounds_34,clon_idx_34,clat_idx_34,PSu_34,PSv_34,tmin_34,rain_vol_34,rain_max_34,tmean_34,area_35,bounds_35,clon_idx_35,clat_idx_35,PSu_35,PSv_35,tmin_35,rain_vol_35,rain_max_35,tmean_35,area_36,bounds_36,clon_idx_36,clat_idx_36,PSu_36,PSv_36,tmin_36,rain_vol_36,rain_max_36,tmean_36,area_37,bounds_37,clon_idx_37,clat_idx_37,PSu_37,PSv_37,tmin_37,rain_vol_37,rain_max_37,tmean_37,area_38,bounds_38,clon_idx_38,clat_idx_38,PSu_38,PSv_38,tmin_38,rain_vol_38,rain_max_38,tmean_38,area_39,bounds_39,clon_idx_39,clat_idx_39,PSu_39,PSv_39,tmin_39,rain_vol_39,rain_max_39,tmean_39,area_40,bounds_40,clon_idx_40,clat_idx_40,PSu_40,PSv_40,tmin_40,rain_vol_40,rain_max_40,tmean_40,area_41,bounds_41,clon_idx_41,clat_idx_41,PSu_41,PSv_41,tmin_41,rain_vol_41,rain_max_41,tmean_41,area_42,bounds_42,clon_idx_42,clat_idx_42,PSu_42,PSv_42,tmin_42,rain_vol_42,rain_max_42,tmean_42,area_43,bounds_43,clon_idx_43,clat_idx_43,PSu_43,PSv_43,tmin_43,rain_vol_43,rain_max_43,tmean_43,area_44,bounds_44,clon_idx_44,clat_idx_44,PSu_44,PSv_44,tmin_44,rain_vol_44,rain_max_44,tmean_44,area_45,bounds_45,clon_idx_45,clat_idx_45,PSu_45,PSv_45,tmin_45,rain_vol_45,rain_max_45,tmean_45,area_46,bounds_46,clon_idx_46,clat_idx_46,PSu_46,PSv_46,tmin_46,rain_vol_46,rain_max_46,tmean_46,area_47,bounds_47,clon_idx_47,clat_idx_47,PSu_47,PSv_47,tmin_47,rain_vol_47,rain_max_47,tmean_47,tmin_min,mcs_thld
1,2006-08-23 07:00:00,20430,"2540,191,162,182",2621.48,97.87,0.0,0.0,205.66,14582.951178527492,39.94787187012778,224.48,18736.0,"2536,202,153,193",2614.76,103.22,-2.355,-0.12,211.56,6509.57397247607,38.8052867717028,230.96,12603.0,"2556,206,124,197",2621.42,116.77,-2.655,-0.075,214.68,877.8787194003452,7.452699570778991,231.31,8773.0,"2531,209,136,118",2598.99,145.31,-8.745000000000001,-1.515,220.84,175.41735843879175,3.7337946675338873,234.24,2506.0,"2499,154,104,68",2550.03,120.06,-16.995,-5.64,233.98,0.607212513743645,0.0112606572687099,238.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.66,5
2,2006-08-23 07:00:00,10383,"2751,269,144,127",2826.93,199.77,0.0,0.0,211.29,2489.1476818106094,25.66608644705539,227.5,6240.0,"2760,224,123,86",2827.72,182.29,0.06,-6.48,216.8,34.264477535431624,0.1455818347866548,230.18,2971.0,"2749,202,87,55",2799.98,175.78,-16.71,-9.03,222.96,0.94095303658651,0.0096207653553744,232.23,1948.0,"2755,189,58,75",2789.45,154.38,-13.35,-2.55,228.14,1.3821006578948014e-06,2.8622653775897823e-08,235.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.29,3
3,2006-08-23 07:00:00,6016,"847,635,157,145",928.16,574.01,0.0,0.0,221.42,247.27781278542804,2.33512241757303,233.75,1307.0,"836,538,61,62",868.1,505.43,-13.169999999999998,-19.965,220.35,8.9276731509666,0.081999204293841,232.77,471.0,"828,499,27,41",842.56,477.65,-18.405,-30.765,224.23,0.0306068434182484,0.0001690014345486,233.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.35,1
4,2006-08-23 07:00:00,232587,"1594,1258,960,766",2116.69,943.7,0.0,0.0,197.87,120515.96094793112,43.35634899395116,226.5,180656.0,"1573,1263,871,741",2038.94,945.37,-5.955,0.18,198.04,116258.8986426528,52.66016428804646,228.35,110317.0,"1655,1147,477,576",1917.97,879.18,-4.08,-2.82,197.39,111874.07633831022,83.87317750379556,226.34,84293.0,"1726,1047,370,488",1881.45,812.03,-7.32,-3.69,199.59,110069.23316151254,117.92497426350296,225.79,59132.0,"1704,1038,262,415",1822.6,855.66,-3.96,-0.405,198.43,98676.13311551708,128.1186733055994,222.66,57100.0,"1678,1033,265,377",1803.67,859.94,-2.64,-3.435,199.27,91046.01766167083,150.0421643666646,221.41,58816.0,"1634,1034,286,393",1779.3,855.09,-6.300000000000001,-5.415,198.15,94310.09091054204,85.3111299654543,220.61,78372.0,"1547,1081,400,446",1736.49,873.33,-8.655,-3.1049999999999995,196.57,115454.15473902016,100.59432366825082,220.41,80039.0,"1512,1091,347,486",1693.79,868.71,-7.290000000000001,-3.3000000000000003,198.03,119237.774163359,92.83854418516628,219.05,85702.0,"1472,1098,377,467",1666.21,870.3,-6.39,-1.02,195.64,139056.88515420965,90.6681400989062,217.79,89739.0,"1438,1110,393,493",1639.88,878.74,-5.324999999999999,-0.585,194.89,127556.26305313228,76.47079935950217,217.24,93822.0,"1401,1120,418,465",1615.07,896.89,-3.81,-1.455,197.07,83879.35972436948,54.51817166365256,218.47,89252.0,"1389,1128,418,446",1587.39,905.92,-2.505,0.075,200.41,38828.4917763597,47.41998187518725,220.06,80644.0,"1367,1132,420,433",1552.75,917.24,-2.055,-0.615,203.63,8922.874169561937,37.52447761315049,222.7,68940.0,"1351,1121,379,395",1517.44,925.38,-1.485,1.62,207.47,1692.5698731785924,2.245402868037581,226.66,50846.0,"1340,1080,339,342",1491.68,914.17,-1.98,-1.35,212.63,556.6551296863978,1.335219457846248,229.95,30941.0,"1331,1123,251,348",1430.94,944.3,-3.975,-3.21,213.7,363.7658697721666,0.6629668967339541,230.98,24793.0,"1321,1123,239,421",1394.95,921.0,0.4499999999999999,0.09,216.56,1342.8390117459662,52.14766771845324,232.76,7750.0,"1304,926,71,251",1339.38,808.29,-25.665,-2.535,218.4,1204.7851108956277,6.34216063733706,231.35,7646.0,"1263,936,93,232",1317.23,812.45,-26.4,-4.14,214.99,30.569285689880264,0.1197034809794437,230.24,8872.0,"1237,938,103,266",1293.77,796.28,-25.23,-3.435,216.41,42.71834305240644,0.0942545510067878,230.13,9975.0,"1207,936,115,302",1268.42,770.58,-19.38,-4.47,218.57,26.12587610417048,0.1054423098050428,231.28,8701.0,"1188,905,112,302",1245.82,748.71,-18.54,-3.675,217.09,41.95178102564198,0.4145709072853086,230.0,7553.0,"1164,900,115,307",1229.98,744.15,-17.535,-3.2700000000000005,216.68,17.352750057502757,0.1757010300344008,230.65,5504.0,"1130,793,128,215",1198.29,689.45,-14.16,-2.715,219.17,15.624242296416032,0.0916449598351963,231.77,1728.0,"1181,770,54,95",1205.52,718.27,-18.255,0.39,226.43,6.7142497409104696,0.0554536349154723,234.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.89,25
5,2006-08-23 07:00:00,2918,"1985,593,77,86",2024.69,547.92,0.0,0.0,222.32,15932.152134191416,36.26010353164089,234.13,2836.0,"1970,573,70,75",2005.68,533.09,-15.615,-12.419999999999998,224.37,4085.453025669079,25.620781580626204,233.87,2362.0,"1966,557,51,90",1993.55,514.49,-6.93,-6.315,225.86,499.6489218040484,1.029162438433707,235.26,2073.0,"1949,529,55,68",1974.57,502.49,-24.075000000000003,-9.06,224.9,446.59812701618296,1.1253354520870429,235.58,1940.0,"1903,542,88,65",1956.47,507.28,-17.115000000000002,-0.345,228.06,595.588251672003,3.936086520332509,236.97,1166.0,"1882,506,59,32",1917.41,490.07,-33.3,-10.545,225.11,87.24112694362714,0.5696987454863846,235.26,842.0,"1865,493,51,31",1892.77,478.38,-27.12,-5.49,227.43,82.21860320689922,0.1984415534924618,235.86,981.0,"1844,483,49,46",1867.85,463.72,-13.68,-17.265,229.85,1674.7723815365416,21.04983107838167,236.63,976.0,"1825,472,46,50",1844.61,450.44,-35.13,-11.01,227.42,3258.175066945683,15.40794842330212,236.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.32,3
6,2006-08-23 07:00:00,4821,"1949,698,114,151",1992.98,633.84,0.0,0.0,223.3,13728.984294033902,76.33464756624885,233.43,3383.0,"1932,697,115,105",1991.23,655.84,-14.595,2.25,222.1,19653.08383827498,105.13671907636964,233.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.1,2
7,2006-08-23 07:00:00,7795,"610,806,170,236",725.93,666.13,0.0,0.0,216.85,4221.98902173444,12.092678791899017,230.73,2978.0,"700,715,77,111",742.7,652.72,-0.03,-8.16,221.09,1695.7991671360148,7.054052694868881,231.81,2255.0,"704,703,71,107",744.43,643.49,-0.375,-16.455000000000002,223.02,1497.5697636811594,4.175459622984413,233.33,976.0,"744,693,24,76",755.56,650.29,-0.42,-5.25,223.74,638.4975109708553,2.539494736054837,232.48,806.0,"744,681,22,76",755.55,642.28,0.72,-0.3,222.92,207.39066865909413,0.657590384559972,231.63,735.0,"743,666,23,75",755.5,630.73,0.105,-10.755,223.2,96.34622041262011,0.6411757314914462,233.12,517.0,"742,641,26,59",756.01,617.73,0.72,-15.24,228.63,23.203860733618253,0.1613629977687358,236.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.85,3
8,2006-08-23 07:00:00,4967,"2561,642,121,69",2613.09,607.22,0.0,0.0,219.34,47.69262590207908,0.2189229353467338,234.19,2208.0,"2532,630,74,49",2565.07,603.56,-38.625,-8.07,224.6,10.50407633082848,0.0331436551890286,233.57,2154.0,"2505,626,75,51",2534.77,598.91,-31.995,-0.975,224.69,0.3436438834296946,0.0016766590004989,233.4,3168.0,"2462,624,93,53",2503.95,596.94,-16.02,-2.37,223.35,0.011882026461109,7.407216618384741e-06,233.57,2522.0,"2441,620,87,47",2480.44,594.68,-27.765,-2.835,225.8,0.0088757651609232,2.8029717853835727e-05,234.49,1346.0,"2411,614,59,38",2439.53,595.76,-46.41,-1.59,226.69,48.016229826663015,0.0002163569046513,234.56,1077.0,"2379,608,42,36",2400.46,590.62,-46.635,-7.125,224.38,40.28819815462367,1.0871601879475556,233.8,1348.0,"2337,604,53,36",2363.95,587.75,-38.64,-1.4249999999999998,224.63,2.9000276737818016,0.0563400920923366,232.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.34,3
9,2006-08-23 07:00:00,2108,"2018,671,98,77",2064.27,631.5,0.0,0.0,221.12,1791.1990985686475,6.348032073150488,232.75,2570.0,"2005,684,98,91",2061.67,639.49,-16.935,-1.44,216.19,1725.8007355598352,16.12151565054335,232.32,3587.0,"1994,697,108,102",2054.02,646.66,-5.385,-9.705,223.3,1486.3194473643034,4.903893841100933,233.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.19,2
10,2006-08-23 07:00:00,51370,"189,871,462,271",438.1,712.89,0.0,0.0,197.05,170238.45122912998,81.32846538976708,221.01,45569.0,"175,830,479,224",413.32,708.85,-0.255,-0.645,196.85,249379.84743117736,67.1186227557789,219.76,71327.0,"0,835,580,264",304.54,704.3,-0.4649999999999999,-0.66,196.6,291921.02174846624,93.76976464560406,220.17,77437.0,"0,844,559,264",305.86,705.27,-0.18,-0.66,201.24,290507.4255376628,82.68309220679407,220.17,83713.0,"0,850,561,284",301.71,706.16,-1.32,-0.21,200.76,294031.0656956228,141.856166689795,221.15,84239.0,"8,856,555,302",310.12,709.47,-0.36,-1.5750000000000002,202.49,269431.88398181665,102.93643753867585,222.11,97679.0,"0,886,563,329",315.37,720.45,-0.405,-0.4349999999999999,199.06,284803.98632574955,68.45407205880002,222.66,102198.0,"0,888,568,345",312.07,719.9,-0.4349999999999999,-1.065,199.42,269541.6384745156,116.65243763451664,223.4,104616.0,"0,901,569,357",314.19,721.24,-1.905,-0.075,201.31,228260.74038919364,71.78407541386846,223.57,104848.0,"0,912,543,373",310.21,716.45,-1.935,-0.405,198.56,212951.22406830927,142.43309377926053,223.9,110191.0,"0,891,673,362",326.31,722.14,-1.5750000000000002,-0.4499999999999999,200.44,185527.30233793805,125.7037761946414,224.66,99871.0,"7,887,516,362",299.9,717.85,-1.515,-2.115,199.28,144556.56179664482,138.09831217253782,226.5,83897.0,"82,882,430,349",317.25,723.7,-1.935,-3.4799999999999995,198.77,117452.13056450916,75.86592989053425,227.03,72771.0,"95,888,409,327",308.05,734.5,-1.725,-0.4499999999999999,200.41,104748.80842971968,89.18999779980021,227.88,50662.0,"75,869,382,294",279.31,734.14,-0.5549999999999999,0.375,202.76,93700.82910951492,63.79926490122232,226.5,37120.0,"67,868,341,238",256.72,754.92,-4.335,-1.11,200.73,84547.42720769944,87.8376479987005,224.46,32977.0,"47,859,370,200",245.87,764.22,-2.22,-2.13,198.89,93056.7990358094,84.4416161419179,224.19,28963.0,"27,859,383,160",231.55,765.02,0.75,0.135,198.61,95032.89309310024,57.47825686269744,222.97,29655.0,"16,870,399,179",236.6,767.81,3.225,1.4249999999999998,200.07,115609.41981443307,70.45236898123596,222.84,24551.0,"96,833,283,136",247.93,762.53,-1.32,0.93,201.98,133035.99144661595,74.15137692676225,219.73,27134.0,"97,846,291,158",249.42,762.12,0.4349999999999999,-0.045,201.69,153065.09329614,82.25855110004233,219.08,30300.0,"95,860,299,187",245.17,760.95,0.21,-0.105,202.31,155891.5665576919,111.38197356828286,220.23,32089.0,"81,836,322,171",243.81,760.51,-0.15,0.795,199.97,142123.20205319484,64.68736914629982,222.0,33102.0,"75,845,337,181",243.32,760.47,0.06,0.96,201.79,132992.25168154872,71.8290833769768,223.66,33861.0,"0,856,394,195",210.87,750.39,-0.165,0.54,205.31,113581.94214055226,66.91963099063082,225.21,43204.0,"8,808,619,207",301.46,717.9,-0.63,-0.675,206.16,179622.14892189068,71.86564339820836,225.89,37416.0,"120,816,469,216",332.13,716.73,-1.395,-1.725,202.57,159429.0572223821,81.4192862304546,226.68,32634.0,"135,809,434,211",337.11,710.5,3.135,-1.785,203.88,155322.86540076672,133.03901906182767,225.83,26523.0,"136,806,368,146",312.66,723.32,-0.075,0.315,201.58,133422.57746149795,78.28411144936342,221.87,34380.0,"0,843,490,177",276.86,723.9,-0.06,-0.255,202.43,148038.6189553889,77.97624761194078,221.46,37701.0,"51,849,440,220",310.76,721.61,-0.855,0.585,201.59,138008.8403292267,63.68379253410876,220.5,43637.0,"54,856,439,234",312.61,721.84,-0.885,0.375,201.42,148740.19601592593,71.7222300857234,220.92,46552.0,"103,822,393,205",316.16,717.87,-0.0,0.975,203.18,155558.09559375042,84.37250720862676,220.78,50395.0,"99,832,400,214",317.39,717.0,-0.2249999999999999,0.5700000000000001,202.79,136025.15266091077,85.16397788053887,221.01,55430.0,"62,849,434,240",309.72,716.95,-1.5750000000000002,0.51,202.9,114403.34767488952,68.6710190725466,221.83,58835.0,"30,856,466,241",299.31,717.25,-0.48,0.78,205.18,78867.92105371159,54.82002608513546,222.81,60567.0,"0,858,478,246",281.3,712.99,-0.75,0.24,205.82,64958.82571751619,78.99322219161424,224.64,58325.0,"10,850,477,251",276.96,709.81,-0.285,0.12,204.72,57119.22444809455,50.084880678526325,226.63,50004.0,"8,856,475,255",275.19,711.65,-0.27,-0.15,207.47,48409.17044235331,40.87069145517864,228.14,32717.0,"154,854,331,246",328.8,711.55,-0.015,0.99,207.85,27753.044754713846,32.44419303677262,228.87,19816.0,"251,857,241,251",373.3,724.07,-0.48,-2.16,208.88,19908.399390966435,57.51437142793272,228.87,7808.0,"252,822,174,128",336.08,755.21,0.0,0.0,210.62,4153.409439730342,32.00287392023658,228.08,4721.0,"265,817,103,93",314.5,767.73,-1.185,-2.715,212.65,3812.362423363415,28.58648274496887,227.75,4373.0,"265,803,102,84",313.53,764.54,-1.665,-2.7,211.88,5060.969604896962,21.656134044750587,229.91,3415.0,"273,794,90,64",312.45,764.87,-0.105,-1.935,208.47,3827.2065861662422,18.151455158989883,229.09,3195.0,"276,795,77,70",312.07,764.66,0.075,1.38,209.62,2231.9968982338046,18.97420423034793,227.04,2850.0,"264,797,72,68",305.58,765.83,-4.515,1.815,213.02,453.6091054728546,1.2064892828369946,228.5,2116.0,"267,789,63,52",301.54,763.78,-1.725,-4.98,224.25,24.14863076017624,0.3106985105788102,232.4,196.6,47
