storm_id,start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,rain_vol_26,rain_max_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,rain_vol_27,rain_max_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,rain_vol_28,rain_max_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,rain_vol_29,rain_max_29,tmean_29,area_30,bounds_30,clon_idx_30,clat_idx_30,PSu_30,PSv_30,tmin_30,rain_vol_30,rain_max_30,tmean_30,area_31,bounds_31,clon_idx_31,clat_idx_31,PSu_31,PSv_31,tmin_31,rain_vol_31,rain_max_31,tmean_31,area_32,bounds_32,clon_idx_32,clat_idx_32,PSu_32,PSv_32,tmin_32,rain_vol_32,rain_max_32,tmean_32,area_33,bounds_33,clon_idx_33,clat_idx_33,PSu_33,PSv_33,tmin_33,rain_vol_33,rain_max_33,tmean_33,area_34,bounds_34,clon_idx_34,clat_idx_34,PSu_34,PSv_34,tmin_34,rain_vol_34,rain_max_34,tmean_34,area_35,bounds_35,clon_idx_35,clat_idx_35,PSu_35,PSv_35,tmin_35,rain_vol_35,rain_max_35,tmean_35,area_36,bounds_36,clon_idx_36,clat_idx_36,PSu_36,PSv_36,tmin_36,rain_vol_36,rain_max_36,tmean_36,area_37,bounds_37,clon_idx_37,clat_idx_37,PSu_37,PSv_37,tmin_37,rain_vol_37,rain_max_37,tmean_37,area_38,bounds_38,clon_idx_38,clat_idx_38,PSu_38,PSv_38,tmin_38,rain_vol_38,rain_max_38,tmean_38,tmin_min,mcs_thld
1,2006-08-26 07:00:00,4673,"2604,314,119,79",2657.86,276.12,0.0,0.0,209.63,8031.98240578608,24.624606562786504,226.73,4779.0,"2581,308,138,54",2650.64,283.23,-3.285,4.785,211.75,2622.85107625328,13.990849123194751,224.65,5509.0,"2546,313,165,59",2635.35,282.02,2.055,1.005,212.71,45.84418735723092,0.0705932368597035,225.77,5958.0,"2496,312,204,66",2606.73,276.31,-3.4799999999999995,-3.705,215.98,5.963289046319347,0.0003039112580802,229.21,4735.0,"2454,299,187,64",2561.31,265.63,-2.0250000000000004,-8.475000000000001,223.13,2.2560612966823856,0.009237647701733,233.07,921.0,"2531,282,72,25",2562.82,269.39,-25.23,-1.11,227.96,0.331727644997661,0.0031493933606555,235.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.63,5
2,2006-08-26 07:00:00,5260,"1896,333,148,95",1976.57,294.52,0.0,0.0,222.5,5626.743614091219,27.13917786648123,234.23,3172.0,"1929,360,133,75",1996.14,321.32,-7.5,2.625,221.35,6362.580638366973,33.88852678018391,234.99,3274.0,"1929,358,114,63",1985.47,326.52,-4.1850000000000005,7.935,217.48,5619.385584611831,15.924464700933402,231.02,3095.0,"1925,359,98,50",1976.13,331.46,-8.055,2.955,221.79,3944.4065792294095,32.18888369486987,230.57,4132.0,"1902,389,153,82",1978.58,334.26,-36.36,-5.550000000000001,225.67,2729.7690853576883,24.71446933051833,233.78,3122.0,"1886,341,154,43",1956.9,318.44,-23.325000000000003,-5.97,228.16,697.678314619825,2.249013619808949,235.51,1607.0,"1874,338,84,41",1926.23,317.34,-15.330000000000002,-2.97,231.73,393.3557833912915,1.890013987432398,236.87,925.0,"1866,319,73,31",1910.06,303.63,-6.540000000000001,-11.115,232.08,0.8151362341690409,0.0312665113716996,237.8,540.0,"1863,305,50,22",1897.62,293.82,-28.26,-13.02,233.06,0.0088928302529046,0.0002555697346302,237.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.48,6
3,2006-08-26 07:00:00,1349,"2713,384,73,45",2753.24,359.63,0.0,0.0,214.84,8.988099646740816,0.0043761325872235,229.65,1144.0,"2705,390,74,33",2740.4,371.61,-6.75,10.41,224.89,7.278161889510188,0.0167668217870474,232.78,459.0,"2677,379,54,13",2705.05,372.89,-30.6,3.165,229.99,0.0193002445007,0.0008601446478048,235.6,1144.0,"2715,368,52,34",2741.3,350.99,31.815,-10.98,205.6,2533.926941450911,7.420845475050882,225.83,3570.0,"2661,380,107,62",2712.87,347.47,-13.77,1.725,206.15,510.0039898195846,9.549771643584696,220.31,6768.0,"2613,393,146,100",2680.86,344.57,-23.25,-3.09,208.44,657.8813433968407,10.649269750773398,221.03,10686.0,"2554,400,193,123",2647.08,347.31,-20.085,-1.995,206.13,1329.8773793300609,1.3221454540035429,222.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.6,3
4,2006-08-26 07:00:00,4619,"1784,403,108,58",1836.02,372.93,0.0,0.0,219.12,15315.682554839108,39.4492412644827,232.85,3027.0,"1784,382,124,47",1847.84,358.28,0.975,-0.6900000000000001,220.12,6261.887159230953,31.60939789811233,231.83,5995.0,"1761,413,140,87",1831.05,365.08,-4.44,3.51,219.27,17687.837580480693,36.32158377892991,232.47,4030.0,"1788,381,104,70",1838.63,345.13,-13.155,-5.865,220.72,3231.435080915522,52.28015837532735,234.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.12,4
5,2006-08-26 07:00:00,20868,"2918,593,381,137",3113.45,534.45,0.0,0.0,216.98,0.1381940752330074,9.891868892734507e-08,231.71,7405.0,"2867,567,301,81",3023.72,528.12,-3.0,-3.39,221.65,1.2999389459142814e-09,0.0,232.73,5388.0,"2795,538,261,80",2932.01,503.25,-27.885,-16.815,223.68,5.132196512935873e-07,3.8795675078281646e-10,234.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.98,3
6,2006-08-26 07:00:00,23360,"0,746,166,240",70.74,625.98,0.0,0.0,207.25,65533.57448515889,51.57013927888644,225.0,24527.0,"0,732,165,232",69.74,624.94,0.015,0.0,210.05,56823.68083471837,68.5189002310162,225.95,24581.0,"0,744,170,234",70.28,622.54,-0.105,0.0,211.5,36343.02929200782,51.00113561681656,226.9,23940.0,"0,729,167,236",72.01,616.36,-0.195,-0.63,212.18,26232.9484551117,27.017400417184447,228.17,20401.0,"0,732,154,222",66.97,609.55,-0.6000000000000001,-0.03,213.54,15055.14611389586,48.93469842893313,228.99,18225.0,"0,737,145,249",58.8,603.58,-1.095,-0.195,215.21,10520.988805157143,37.96451452631538,229.42,40596.0,"0,842,279,351",147.1,640.16,-9.255,-3.99,212.61,37974.81804373288,40.70669741681612,229.7,29008.0,"72,850,229,359",188.75,659.67,-15.87,-6.675000000000001,213.01,16074.702654591869,41.06896923236156,230.32,33990.0,"102,858,260,381",200.66,678.24,-13.32,-2.685,213.81,25482.63056841691,39.1156508479168,230.12,37390.0,"97,864,255,405",189.43,676.35,-13.29,-3.09,214.39,30772.04271280487,44.06601277673363,230.3,41200.0,"29,847,309,412",168.65,677.72,-14.745,-2.88,211.87,41323.61343424865,74.44445081709668,230.56,36668.0,"0,856,269,405",118.6,685.83,-11.16,-2.715,210.9,34186.84779059827,76.78582201058684,230.32,27059.0,"0,857,279,290",131.22,727.28,-10.395,-1.245,211.31,46595.600694890345,51.776433553511325,229.53,23431.0,"0,858,249,255",116.99,736.53,-2.535,0.135,211.85,42684.87599703352,70.4383997942599,229.48,20702.0,"5,839,217,242",102.5,724.18,-1.53,1.185,210.33,24950.22547481807,57.554022674317366,230.42,12479.0,"0,895,121,249",54.39,765.21,-2.925,-0.135,212.62,18485.76962661651,38.71861782858015,229.33,6397.0,"0,895,96,163",37.91,782.95,0.405,-0.03,210.62,17785.393218606972,38.85685199497699,224.72,8523.0,"0,889,129,163",44.82,779.91,-0.0,0.0,213.4,26468.042993009414,53.48407862614989,225.77,8400.0,"0,891,114,174",38.46,777.97,-0.6000000000000001,-3.1500000000000004,214.61,21562.627701160945,41.6777174901129,228.0,6413.0,"0,859,104,155",35.88,768.47,-2.22,-1.14,212.8,11151.60534538355,42.212779080874135,228.85,3820.0,"0,856,60,160",18.56,768.14,-7.545,0.015,218.58,1385.8419578113242,4.345941130168871,227.8,2395.0,"0,790,52,91",21.09,750.04,-0.18,3.54,224.54,228.94194717107848,1.5395553415251968,230.64,1734.0,"0,801,36,92",14.73,752.92,-1.6800000000000002,1.14,228.43,42.52231464938966,0.1738254669366401,234.74,733.0,"0,809,19,71",6.9,770.93,-2.79,0.0,231.07,21.464764640653787,0.2546720411180043,237.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.25,22
7,2006-08-26 07:00:00,51134,"2048,824,377,307",2206.28,664.08,0.0,0.0,203.77,47400.35282164859,37.15658002195023,225.95,18297.0,"2027,671,208,148",2129.36,592.61,-2.0250000000000004,0.015,213.39,31890.37504379023,29.459778060929104,230.87,16480.0,"2023,662,198,140",2120.58,590.86,-2.67,1.6949999999999998,213.67,18878.89125214213,17.638661706357254,231.76,11040.0,"2019,654,174,117",2101.67,587.8,-2.85,1.605,217.72,7069.357124069772,38.755605145804125,231.94,7377.0,"2010,619,154,85",2071.51,577.9,-12.63,1.92,220.68,2335.424727707966,8.536972351003136,231.56,6021.0,"2002,626,102,86",2050.55,583.65,-10.455,0.75,224.17,725.8450481066095,1.2997440956579156,234.25,2397.0,"2017,602,81,56",2055.03,575.88,-3.54,7.470000000000001,230.56,138.9042583533616,0.3919908471966503,236.83,883.0,"2016,600,61,33",2044.67,583.61,-6.255,10.485,229.96,8.303375317309007,0.213252947200623,237.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.77,7
8,2006-08-26 07:00:00,23321,"170,768,169,231",262.54,655.95,0.0,0.0,209.07,47177.962903995445,41.290537462013255,226.08,19918.0,"181,784,151,239",262.25,656.55,-1.125,-0.06,208.14,48735.6938475588,45.0332507258058,226.4,10413.0,"194,657,131,119",261.34,602.05,-1.4249999999999998,-0.165,210.87,19605.083674158675,46.28798772063334,225.73,9942.0,"192,653,133,116",255.66,596.7,-1.29,-8.955,213.74,21590.924832666067,56.12319093202522,228.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.14,4
9,2006-08-26 07:00:00,7355,"2904,673,375,105",3129.41,612.82,0.0,0.0,225.77,4.693137943105159e-06,4.4497810038669104e-08,236.03,2357.0,"2984,595,165,18",3067.46,585.2,-2.01,-8.67,219.2,0.0,0.0,230.49,2367.0,"2949,582,189,19",3044.3,573.84,-18.585,-15.3,224.0,7.936717003550273e-08,0.0,232.93,1732.0,"2936,571,147,19",3010.7,561.41,-6.105,-19.785,225.51,4.404048062631642e-06,1.954066682543553e-07,234.94,1627.0,"2884,561,148,26",2956.86,547.28,22.62,-17.94,224.37,1.9878560142645652e-07,1.5063991635800715e-09,235.12,2656.0,"2827,559,224,38",2936.61,536.37,-15.03,-17.91,219.69,63.21351307574921,0.0001594575496244,232.96,2168.0,"2918,553,114,80",2972.74,516.63,-38.13,-21.18,215.22,0.0026948647389283,2.6118414188181704e-07,232.97,1563.0,"2876,523,113,57",2924.23,491.73,-26.28,-19.305,215.58,3.730772751202199e-05,7.333689806791302e-10,230.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.22,4
10,2006-08-26 07:00:00,30306,"1575,764,288,195",1748.34,664.07,0.0,0.0,213.87,21354.494493971197,35.18117676567887,227.88,25462.0,"1560,761,270,189",1719.97,666.07,-3.21,-0.885,212.0,15518.808790939564,18.313026126242104,230.99,20916.0,"1543,764,279,191",1705.28,660.01,-2.64,-2.115,217.92,5858.22010141234,5.343197863834876,231.65,12110.0,"1615,739,161,168",1696.34,646.23,-7.965,2.235,223.78,2276.281818441885,4.391292047423611,233.45,6324.0,"1630,692,133,120",1702.05,633.88,-17.4,3.375,227.16,2018.093683232791,4.852170662012377,236.7,860.0,"1677,643,51,55",1705.89,610.86,-6.4350000000000005,-2.91,232.25,218.85440272131183,1.798670303271119,238.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.0,5
