storm_id,start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,rain_vol_26,rain_max_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,rain_vol_27,rain_max_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,rain_vol_28,rain_max_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,rain_vol_29,rain_max_29,tmean_29,area_30,bounds_30,clon_idx_30,clat_idx_30,PSu_30,PSv_30,tmin_30,rain_vol_30,rain_max_30,tmean_30,area_31,bounds_31,clon_idx_31,clat_idx_31,PSu_31,PSv_31,tmin_31,rain_vol_31,rain_max_31,tmean_31,area_32,bounds_32,clon_idx_32,clat_idx_32,PSu_32,PSv_32,tmin_32,rain_vol_32,rain_max_32,tmean_32,area_33,bounds_33,clon_idx_33,clat_idx_33,PSu_33,PSv_33,tmin_33,rain_vol_33,rain_max_33,tmean_33,area_34,bounds_34,clon_idx_34,clat_idx_34,PSu_34,PSv_34,tmin_34,rain_vol_34,rain_max_34,tmean_34,area_35,bounds_35,clon_idx_35,clat_idx_35,PSu_35,PSv_35,tmin_35,rain_vol_35,rain_max_35,tmean_35,area_36,bounds_36,clon_idx_36,clat_idx_36,PSu_36,PSv_36,tmin_36,rain_vol_36,rain_max_36,tmean_36,area_37,bounds_37,clon_idx_37,clat_idx_37,PSu_37,PSv_37,tmin_37,rain_vol_37,rain_max_37,tmean_37,area_38,bounds_38,clon_idx_38,clat_idx_38,PSu_38,PSv_38,tmin_38,rain_vol_38,rain_max_38,tmean_38,area_39,bounds_39,clon_idx_39,clat_idx_39,PSu_39,PSv_39,tmin_39,rain_vol_39,rain_max_39,tmean_39,area_40,bounds_40,clon_idx_40,clat_idx_40,PSu_40,PSv_40,tmin_40,rain_vol_40,rain_max_40,tmean_40,area_41,bounds_41,clon_idx_41,clat_idx_41,PSu_41,PSv_41,tmin_41,rain_vol_41,rain_max_41,tmean_41,area_42,bounds_42,clon_idx_42,clat_idx_42,PSu_42,PSv_42,tmin_42,rain_vol_42,rain_max_42,tmean_42,area_43,bounds_43,clon_idx_43,clat_idx_43,PSu_43,PSv_43,tmin_43,rain_vol_43,rain_max_43,tmean_43,area_44,bounds_44,clon_idx_44,clat_idx_44,PSu_44,PSv_44,tmin_44,rain_vol_44,rain_max_44,tmean_44,tmin_min,mcs_thld
1,2006-08-30 07:00:00,13264,"2318,194,238,120",2439.91,136.28,0.0,0.0,224.17,1419.7515315657402,18.066671612006527,231.97,2481.0,"2452,189,88,57",2490.29,164.03,0.015,4.14,225.84,13.264777625516082,0.0091585277222524,233.7,3261.0,"2431,199,106,72",2478.37,166.41,-7.83,1.14,226.82,2.0295862120215893,0.0103464634654879,235.55,8240.0,"2388,275,264,149",2537.06,198.86,-9.51,0.495,213.63,64.8928905507648,2.2744136673807627,229.02,6782.0,"2490,281,154,129",2570.01,215.25,-13.35,2.235,214.18,23.73447901613692,0.0001959530669494,226.2,7309.0,"2474,295,173,148",2551.34,211.18,-11.715,-0.72,217.67,5.202029290064191,0.0067916098194666,228.76,29149.0,"2453,375,349,234",2632.24,271.28,-12.255,7.5,205.13,9552.910740553214,34.09609228715171,225.09,61269.0,"2434,424,515,318",2681.47,271.35,-10.935,1.11,197.75,31770.02981412713,74.83452187244727,223.46,128908.0,"2463,575,494,567",2704.26,274.23,-4.59,1.86,195.72,103036.002533612,61.89783218615398,220.81,169767.0,"2436,587,620,587",2707.95,281.61,-5.205,-6.795,194.67,136833.71482840774,106.98796856302062,220.89,177723.0,"2385,599,552,599",2671.82,279.39,-1.53,-3.705,196.25,160130.19642665083,105.12537970014829,220.61,191848.0,"2329,607,675,607",2643.93,295.78,-3.45,-3.09,198.57,141271.2218223637,63.52150084471154,221.68,186694.0,"2315,590,689,590",2628.99,283.04,-4.305,0.195,194.79,119284.91007545126,60.18662911671903,222.78,90844.0,"2300,586,552,370",2550.41,402.05,-4.92,0.915,201.72,59273.95421785369,72.94755108897735,225.14,82812.0,"2287,550,537,334",2515.87,386.94,-2.655,-1.95,204.43,64941.04130855111,48.58496775974622,225.6,78454.0,"2249,531,507,333",2478.35,374.91,-2.25,-1.605,197.92,88503.40879827618,52.28507918829999,226.52,55916.0,"2206,539,339,364",2399.48,354.92,1.0499999999999998,-2.94,200.51,87627.0626861896,67.87601177691599,224.9,45842.0,"2175,452,328,284",2356.02,307.24,1.17,0.075,198.19,86232.55888664519,126.99480393761948,221.49,87761.0,"2122,446,564,410",2400.06,254.15,-2.67,0.51,199.78,109138.91520813166,94.44613008493778,224.61,97964.0,"2082,478,575,439",2385.7,249.28,-3.66,1.02,202.09,124993.27965779103,161.96006892322254,224.08,111008.0,"2060,593,519,571",2349.98,289.1,-4.5600000000000005,0.4499999999999999,198.45,164896.64899303642,86.90708502813247,223.45,132814.0,"2021,597,774,597",2376.69,257.02,-3.3000000000000003,-1.365,196.87,178270.12153657386,91.56909324320436,223.61,117607.0,"2021,603,480,603",2297.82,299.87,-2.715,-1.59,200.2,160375.3574459239,70.77839427683273,223.05,133284.0,"1978,783,566,783",2275.76,335.67,-3.21,-4.725,199.95,157121.0562364454,57.74141131011272,224.25,153917.0,"1949,916,509,764",2226.05,534.83,-4.335,-2.43,197.8,107050.04587422428,46.551021505098205,225.86,143733.0,"1938,918,446,780",2199.64,515.67,-1.545,0.09,201.1,97291.42271780148,58.6181854898708,227.13,103301.0,"1921,777,432,665",2181.42,427.5,-2.625,-2.985,203.62,91254.70471680484,82.85196555231155,226.64,85273.0,"1966,681,353,563",2163.15,384.58,-2.37,-2.4000000000000004,203.07,71877.40150626324,43.73800470161296,226.55,57170.0,"1961,458,329,355",2140.31,289.56,-1.38,-7.605,203.64,62496.1861457434,58.80754178064561,226.87,59199.0,"1940,441,341,332",2124.16,274.7,-1.86,-3.03,207.09,52954.33964404673,54.56684508775151,227.33,59405.0,"1914,420,362,328",2100.67,264.13,-1.59,-5.699999999999999,209.24,40878.77600316931,68.0051454184553,227.15,59603.0,"1874,408,381,350",2080.88,249.39,-1.815,-2.415,206.45,31168.705355436407,60.17336582555664,227.76,53898.0,"1851,397,382,348",2056.21,227.58,-3.84,-2.325,207.15,20910.05378873836,33.716507376594215,228.23,46095.0,"1883,351,335,253",2047.87,219.76,-3.975,-1.62,213.6,8131.277221345542,22.590234395264144,229.41,41924.0,"1873,340,307,268",2033.03,212.78,-3.24,0.09,215.02,883.2398310541272,3.715488869589577,231.68,35647.0,"1837,320,312,242",2012.08,192.61,-1.515,-3.54,222.79,222.46413084727135,1.2110902591549573,234.02,23445.0,"1823,254,314,182",1995.8,166.44,-2.205,-4.74,225.59,22.98580366429408,0.2173117096615918,235.47,11170.0,"1802,242,282,104",1947.65,180.64,-7.904999999999999,-2.595,224.83,33.01464835681562,0.5501497798436269,235.25,4313.0,"1879,205,167,73",1956.68,166.24,-16.02,-4.635,225.54,47.95681749446413,0.0845733485545249,233.81,5599.0,"1737,192,302,58",1899.14,163.59,-26.160000000000004,-8.415000000000001,226.29,2.606937011721175,0.0089953074773483,234.24,3610.0,"1842,177,169,48",1931.86,156.58,-4.68,-6.675000000000001,227.25,1.4983986106779208,0.0408600681857407,234.73,4628.0,"1743,176,258,50",1908.85,149.09,-0.0,0.0,228.75,0.8753850189486645,0.0202389497519416,234.89,3732.0,"1802,175,192,56",1913.23,142.38,-0.765,-6.39,229.26,3.540612218891376,0.0124950877628658,235.89,1184.0,"1808,142,113,28",1866.15,127.18,-0.42,-11.565,230.39,0.0751156484155111,0.0005931064727823,235.46,757.0,"1805,131,85,20",1845.01,121.24,-12.915,-7.785,232.12,4.598989071874075,0.0102748242246516,236.91,194.67,43
2,2006-08-30 07:00:00,5040,"3238,332,61,141",3264.62,267.96,0.0,0.0,225.25,15.268636764696677,0.0395879493614635,234.04,15644.0,"3163,450,123,268",3227.04,344.75,-20.265,-3.855,225.98,10.214715691672652,0.0793140242186367,233.53,19691.0,"3144,491,108,374",3203.81,345.01,-18.3,-2.46,226.02,22.389085404753388,0.1283121068067087,234.14,14192.0,"3125,490,145,229",3183.51,373.38,-20.775,0.285,226.1,13.065229956141293,0.0533253659557487,234.2,11032.0,"3106,481,127,236",3167.09,380.45,-17.115000000000002,2.16,225.89,0.7007387857288478,0.0114446308045332,233.97,9797.0,"3081,484,111,240",3139.3,388.8,-36.045,0.645,220.13,0.0363051274945074,8.577649520267582e-06,233.15,9831.0,"3036,484,116,198",3106.91,399.24,-39.735,-1.935,221.38,125.55402341662248,1.5364611295096748,232.98,3872.0,"3033,470,88,75",3072.31,432.8,-20.1,-0.78,223.82,471.91187198838577,7.176686001879943,232.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.13,8
3,2006-08-30 07:00:00,3866,"2061,369,92,76",2107.91,329.94,0.0,0.0,217.62,6417.362721181256,56.67355418842713,230.45,4135.0,"2048,396,96,107",2102.09,337.08,0.18,13.635,220.97,10452.691850300336,47.314864119422175,232.14,6059.0,"1995,398,146,121",2079.38,337.26,-7.245,-0.165,214.83,7422.040597805587,40.21241217366993,233.61,6039.0,"2004,420,172,99",2088.58,373.66,-3.0,-0.39,220.66,14659.67894506868,37.30069858300699,232.85,11783.0,"1982,463,186,204",2075.14,366.32,-4.574999999999999,-1.845,215.16,18509.499127603634,52.99889698090024,232.7,12814.0,"1962,458,191,198",2060.07,356.62,-5.265,-0.135,215.45,13371.478843317997,42.491602318305645,231.52,7097.0,"1944,443,191,163",2039.81,368.55,-8.55,-2.07,220.61,2836.875649294212,20.57583405144605,232.55,4501.0,"1946,430,185,143",2022.79,351.25,-9.765,-3.555,222.97,99.84858482930206,1.116846744722372,233.21,1884.0,"1953,414,140,82",2021.66,364.06,-21.0,-1.4249999999999998,226.65,101.7741088172031,1.630470845597603,234.83,752.0,"1926,368,76,45",1970.94,344.51,-16.575000000000003,-1.785,232.85,6.367370857692914,0.1064327486429435,237.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.83,8
4,2006-08-30 07:00:00,32530,"2514,593,191,278",2608.44,464.88,0.0,0.0,213.07,2390.623603307388,4.051222822270371,228.81,25367.0,"2492,611,175,272",2582.6,490.26,-6.855,0.36,215.56,3334.283755481372,35.45642059392155,231.09,22294.0,"2449,618,186,265",2553.74,498.88,-15.315,1.755,206.54,1259.8394184604688,7.800921712995123,231.44,20018.0,"2413,616,185,261",2518.25,495.94,-13.905,1.29,209.56,483.3319649302284,16.774900707798743,231.81,12200.0,"2401,530,164,180",2490.88,449.2,-22.41,3.075,219.09,1105.0678294526288,5.350013177951154,233.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.54,5
5,2006-08-30 07:00:00,6508,"2059,519,120,136",2119.38,449.83,0.0,0.0,222.55,10337.427753289574,23.27043987428545,234.94,2751.0,"2083,489,97,66",2139.88,461.15,1.605,-4.29,220.84,2898.082271324129,6.335595403124142,233.29,1859.0,"2127,491,48,59",2150.99,461.26,-5.595,-4.455,225.54,850.6785593701597,11.275471238223526,234.17,1153.0,"2117,471,54,41",2142.2,451.41,-8.19,-4.35,221.12,417.2282627301471,2.1720421579271934,232.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.84,2
6,2006-08-30 07:00:00,4399,"24,527,70,85",56.77,487.64,0.0,0.0,211.7,10065.35407895904,52.279616203824894,228.26,3291.0,"14,539,73,95",47.86,488.33,-0.075,0.015,213.97,8299.795443911267,90.98771703906466,230.9,2285.0,"0,511,49,84",24.66,470.48,-4.53,10.98,211.34,7575.776109682868,37.70806235626274,227.52,2012.0,"0,509,47,80",22.16,474.25,-0.0,-7.785,213.89,4487.628787970782,32.068963126652605,225.06,2230.0,"0,526,47,95",21.72,485.24,-0.0,0.09,216.65,1483.222986791645,18.645924675384908,228.61,2835.0,"0,543,84,109",27.95,501.2,0.135,2.385,220.14,770.2686175261739,2.516058919072887,232.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.34,5
7,2006-08-30 07:00:00,3058,"479,575,82,60",522.37,546.07,0.0,0.0,215.5,4721.924843059805,19.04825188384377,227.67,4951.0,"491,582,110,81",542.18,538.19,11.55,-9.225,209.01,25028.49656554951,89.02323996665166,227.44,7304.0,"484,587,137,105",549.05,530.64,0.09,0.39,205.87,45992.742238685314,165.71395460387802,224.14,8892.0,"466,577,148,98",541.96,530.11,-1.725,0.09,202.59,54988.98314461811,62.99799955852048,222.05,10257.0,"449,586,161,99",534.29,536.5,-1.17,1.755,203.41,51083.31240932551,64.34196461108533,221.11,12735.0,"428,597,184,111",530.47,541.38,-1.14,1.23,206.19,48254.30278705091,45.38250669633814,221.74,15396.0,"411,606,206,122",528.46,545.35,-1.41,2.43,207.67,38229.27687015338,54.250513836013866,223.19,29003.0,"383,802,243,324",491.03,604.85,-1.7399999999999998,1.14,196.77,44669.008031053534,41.88370408473011,221.46,36457.0,"373,813,241,329",484.52,630.05,-1.755,1.44,196.1,39023.60584133355,76.72107094407909,221.61,43800.0,"362,908,273,430",485.91,671.63,-1.995,0.4499999999999999,195.89,76650.50381842052,83.20230789744258,222.19,59584.0,"337,953,308,463",499.5,709.97,-0.975,1.755,193.52,114492.50913898004,98.10414394696568,219.58,116696.0,"330,1201,550,676",603.46,890.14,-0.5700000000000001,2.16,193.32,174274.35362518427,65.79472042155048,220.73,126406.0,"258,1197,599,703",561.62,863.12,-0.765,1.92,195.13,212494.1563776849,82.64110528963596,221.18,109241.0,"320,1210,403,676",539.64,861.46,-1.98,1.305,196.37,222406.32394083563,85.90097707217828,220.02,103394.0,"309,1148,397,590",523.36,847.65,-1.4249999999999998,-1.17,194.72,252069.96511050983,119.5018568314476,220.49,66496.0,"410,1161,296,430",543.53,939.95,-0.975,1.275,194.93,178267.1873713957,67.61602653896986,220.05,66487.0,"394,1173,284,452",533.26,924.49,-2.37,-3.69,197.21,149281.77929521629,82.91787539610931,220.8,61744.0,"377,1206,298,530",520.95,927.81,0.33,-0.39,198.71,108221.28367688366,57.61547544338328,221.54,48728.0,"355,1094,298,281",500.31,950.54,-0.81,1.62,197.88,72069.21617310308,52.1782634908632,221.66,47079.0,"370,1087,248,284",497.89,943.12,-0.5700000000000001,0.72,200.99,38191.93350610064,57.47123531625695,224.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.32,20
8,2006-08-30 07:00:00,34776,"2744,1029,313,467",2908.06,741.41,0.0,0.0,219.74,515.784654236908,0.2602304366687945,235.68,4096.0,"2844,663,90,72",2882.51,627.69,-26.64,-15.78,224.93,1.412470270393156,0.0734746178732944,233.06,5154.0,"2758,653,146,58",2835.05,625.51,-29.49,-6.12,227.95,0.0215701361916295,2.987299125505274e-05,235.03,3665.0,"2768,681,90,83",2809.74,631.44,-27.825000000000003,-29.22,228.72,0.0057803354557805,3.124070141994857e-07,235.44,1408.0,"2744,641,80,51",2786.7,617.78,-13.935,-0.975,226.86,1.20095456936132e-05,1.0506367886313969e-07,235.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.74,4
9,2006-08-30 07:00:00,3571,"195,667,72,66",232.47,633.17,0.0,0.0,197.6,10028.519238006938,57.52659317070314,211.52,4920.0,"182,675,86,81",227.38,633.59,-0.165,-0.375,201.37,8989.685763768113,44.07447292827352,215.46,5836.0,"184,683,85,92",225.28,635.64,-0.075,0.72,202.72,5441.954440325386,28.41751979787059,217.36,6781.0,"176,692,90,98",219.35,640.41,-6.300000000000001,2.52,200.1,5562.004606523121,53.591334141497285,219.71,6912.0,"152,691,113,93",213.15,640.05,-3.225,0.105,202.1,4636.859743490415,72.71225147241378,221.34,6823.0,"141,693,124,92",207.54,644.01,-2.25,3.69,207.17,5109.547062463385,22.544084338769288,222.85,7435.0,"131,700,137,99",199.6,648.06,-9.57,2.7,202.3,6847.380689740016,41.63797058998953,224.64,10062.0,"44,692,220,101",158.92,638.11,-4.53,4.515,198.11,13195.306284993414,136.87370836105984,223.46,10761.0,"35,699,189,136",140.3,634.67,-1.11,8.205,198.32,15872.033193584592,53.12130238877072,221.59,12720.0,"23,705,199,143",128.32,630.8,-1.11,2.76,198.17,15786.33503490687,38.88983394728507,218.89,13106.0,"13,715,198,153",109.65,627.98,-1.83,0.93,196.88,14829.32521901428,49.79708378831072,216.64,16759.0,"9,706,266,144",118.03,628.91,-4.29,2.01,198.78,17983.231471926487,50.07211238379752,219.57,13501.0,"18,721,133,160",88.02,633.09,-4.005,0.12,197.54,12035.032370254834,43.337581627042034,218.75,14336.0,"0,720,130,208",67.08,619.18,-4.7700000000000005,0.285,197.55,10347.622970342392,71.12690966665949,219.43,12470.0,"0,693,127,179",59.24,615.02,-1.005,-2.835,199.44,10767.951412257406,21.39162667365624,221.01,8865.0,"0,694,89,183",42.78,615.49,-8.82,0.42,201.58,6937.868915169231,37.90833846634878,219.77,7622.0,"0,691,75,190",35.14,614.89,-5.79,-0.03,204.19,819.9613194931615,14.36468880456362,221.86,5897.0,"0,693,61,155",27.51,616.15,-0.0,0.0,202.93,1139.3758438445038,6.294553342821256,227.36,3278.0,"0,702,46,161",17.2,612.3,-5.865,0.0,209.85,455.32595687312255,0.6790251064092898,229.96,1092.0,"0,628,26,86",9.62,591.93,-3.225,1.17,211.17,151.1241580571569,0.0,230.11,552.0,"0,599,10,76",4.28,567.85,-0.0,0.0,208.63,149.87982983633623,0.0,226.0,1032.0,"0,617,10,115",4.19,561.99,0.0,-0.0,210.21,7.130075741329311,0.0,223.75,1578.0,"0,625,11,173",4.15,540.24,-0.03,0.0,202.06,2.566978133081374,0.0,219.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.88,19
10,2006-08-30 07:00:00,128070,"534,1184,447,560",755.29,869.31,0.0,0.0,205.08,113746.63594024518,87.34871152611731,228.79,82079.0,"525,1167,429,547",765.6,857.81,-0.945,-0.5249999999999999,204.67,88498.65964040812,51.45738777630231,230.15,28550.0,"515,880,366,277",702.7,724.21,-0.15,-3.495,209.59,18938.05315609561,41.55213666023512,229.77,10253.0,"508,898,161,198",591.19,778.25,-2.805,4.17,211.34,353.8888653459905,3.2959553662516567,226.66,11094.0,"498,921,171,214",588.22,791.92,-2.205,3.33,213.19,215.61469164583684,1.0323119558567002,228.11,6327.0,"518,827,154,130",605.71,752.18,-1.365,6.12,217.75,44.32878596515528,0.2439252837467123,231.27,3614.0,"542,806,94,97",600.5,754.6,-2.94,5.805,218.91,0.0002930729818394,6.576039352087478e-08,232.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.67,7
