storm_id,start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,rain_vol_26,rain_max_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,rain_vol_27,rain_max_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,rain_vol_28,rain_max_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,rain_vol_29,rain_max_29,tmean_29,area_30,bounds_30,clon_idx_30,clat_idx_30,PSu_30,PSv_30,tmin_30,rain_vol_30,rain_max_30,tmean_30,area_31,bounds_31,clon_idx_31,clat_idx_31,PSu_31,PSv_31,tmin_31,rain_vol_31,rain_max_31,tmean_31,area_32,bounds_32,clon_idx_32,clat_idx_32,PSu_32,PSv_32,tmin_32,rain_vol_32,rain_max_32,tmean_32,area_33,bounds_33,clon_idx_33,clat_idx_33,PSu_33,PSv_33,tmin_33,rain_vol_33,rain_max_33,tmean_33,area_34,bounds_34,clon_idx_34,clat_idx_34,PSu_34,PSv_34,tmin_34,rain_vol_34,rain_max_34,tmean_34,area_35,bounds_35,clon_idx_35,clat_idx_35,PSu_35,PSv_35,tmin_35,rain_vol_35,rain_max_35,tmean_35,area_36,bounds_36,clon_idx_36,clat_idx_36,PSu_36,PSv_36,tmin_36,rain_vol_36,rain_max_36,tmean_36,area_37,bounds_37,clon_idx_37,clat_idx_37,PSu_37,PSv_37,tmin_37,rain_vol_37,rain_max_37,tmean_37,area_38,bounds_38,clon_idx_38,clat_idx_38,PSu_38,PSv_38,tmin_38,rain_vol_38,rain_max_38,tmean_38,tmin_min,mcs_thld
1,2006-07-25 07:00:00,8868,"2605,83,185,75",2694.39,39.89,0.0,0.0,217.18,13505.700530706832,25.034266101449308,230.43,7582.0,"2570,75,227,67",2686.04,38.33,-4.62,1.215,223.47,7377.652667725225,13.848731047740369,234.22,5250.0,"2626,69,139,61",2699.58,35.9,-0.4499999999999999,0.8699999999999999,225.09,7171.494737788563,29.654550200433164,234.82,3236.0,"2609,66,119,57",2670.32,33.74,-0.5700000000000001,-0.285,233.19,3087.4193272631514,7.286850849171532,237.32,1133.0,"2600,44,75,35",2640.82,26.11,-12.78,0.09,235.6,264.35568592533673,2.258311392927639,238.8,855.0,"2591,41,66,31",2625.27,23.05,-12.57,-0.885,235.19,6.822823118604274,0.003686172204527816,238.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.18,4
2,2006-07-25 07:00:00,27431,"2666,223,319,191",2858.34,135.73,0.0,0.0,218.94,10654.538045851945,17.317674199083,232.59,11877.0,"2794,216,177,142",2882.41,150.79,-0.72,-0.015,225.67,122.59097991411028,0.28845187120669336,235.4,8652.0,"2806,211,148,116",2879.36,153.21,-5.34,-2.055,227.13,24.612135160552246,0.19651483406908674,235.9,4010.0,"2820,196,106,105",2873.43,146.93,-5.955,2.1,228.45,0.43356151616921884,0.007493886916949501,236.4,1001.0,"2813,169,71,33",2844.53,151.7,-10.845,0.765,229.01,9.253991796609539e-07,8.672862148694972e-08,235.91,544.0,"2803,164,35,24",2822.23,150.88,-15.405,0.75,227.28,0.1050360653220296,2.969470163413119e-09,235.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.94,4
3,2006-07-25 07:00:00,704,"2736,223,31,30",2751.7,208.14,0.0,0.0,218.23,13337.933235392964,47.22799523813208,231.61,8515.0,"2649,257,115,141",2712.78,178.9,-5.595,7.26,209.47,43038.53777503865,73.42738194217375,227.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.47,1
4,2006-07-25 07:00:00,37934,"2674,450,307,198",2846.61,353.67,0.0,0.0,217.85,31256.482252135134,28.764579482723548,229.8,35736.0,"2553,449,418,196",2822.8,353.05,-0.93,1.485,216.14,21613.296728383863,29.155707426876482,234.37,33707.0,"2532,376,415,264",2724.49,262.73,-9.99,1.47,211.56,74346.13904866148,62.63282139716282,229.97,31401.0,"2528,369,216,254",2651.18,247.22,-6.0,1.665,208.54,68962.38838275241,74.8016997180651,227.59,36418.0,"2488,414,247,293",2634.32,270.34,-4.29,8.445,209.8,69734.81793039996,38.79630500801586,229.01,37992.0,"2499,427,217,291",2623.52,294.96,-5.115,3.51,207.19,79667.9872033083,76.62985460769151,229.16,38927.0,"2474,437,233,246",2601.36,321.29,-7.695,4.665,205.87,72982.36928000327,72.21454859133117,229.03,41972.0,"2446,532,257,322",2589.13,360.1,-3.39,9.735,208.82,73502.69110061681,63.563075097666434,228.69,31661.0,"2421,537,282,208",2574.29,423.46,-2.625,-7.965,210.39,65127.55346630592,59.832451943536014,225.84,53584.0,"2353,640,333,310",2532.93,479.4,-2.55,-3.165,208.45,100419.52903006626,69.08740637620734,226.7,31755.0,"2367,539,314,205",2516.57,443.95,-2.715,6.495,210.16,48355.13163611887,59.72574398877018,229.09,21833.0,"2362,545,236,168",2493.0,465.19,-1.665,0.06,212.68,15266.018007055596,20.54204321481156,229.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.87,12
5,2006-07-25 07:00:00,39502,"3066,712,233,298",3218.02,590.73,0.0,0.0,207.88,59105.482796960125,46.75777737001038,227.23,40453.0,"3055,742,244,341",3206.82,603.53,-3.915,3.825,208.27,39476.401234352335,76.64300995961841,231.33,63698.0,"3016,1003,283,577",3174.7,728.93,-6.4350000000000005,5.6850000000000005,200.13,115979.79983930856,126.63891233780625,228.35,62366.0,"2968,1010,331,433",3124.86,791.61,-7.800000000000001,3.825,202.26,141018.1615827478,106.50748064573055,223.2,72529.0,"2925,1022,372,436",3084.48,802.44,-6.945,2.55,201.32,127088.5596859289,101.70528267307114,221.84,80861.0,"2819,1020,454,396",3049.41,795.57,-7.290000000000001,3.165,203.34,108232.06971527229,51.65987140028545,222.72,85039.0,"2848,1019,419,401",3022.48,801.52,-5.655,1.38,204.71,84594.7301735927,51.98258994288796,224.15,83805.0,"2802,1023,389,398",2979.99,820.96,-1.365,0.645,205.34,87072.79182751573,67.55553346391346,225.32,89824.0,"2751,1038,391,394",2949.19,827.06,-2.385,-2.865,202.29,114692.51704707822,69.24139248160705,227.16,101194.0,"2720,1189,397,557",2919.02,853.78,-3.03,1.275,197.03,132118.83252586154,121.44815579007658,227.37,73070.0,"2687,1036,392,407",2864.94,824.53,-4.455,-0.915,196.77,130322.81865656626,137.61691137340793,225.59,75158.0,"2660,1153,359,478",2823.24,909.66,-5.43,-2.595,198.6,132527.06444449676,58.96960230723903,221.05,76866.0,"2637,1138,328,435",2782.32,935.89,-6.584999999999999,-3.015,198.85,133595.63937905306,71.00246956966761,219.91,87525.0,"2597,1227,319,509",2753.07,967.78,-5.1,0.285,198.57,133037.3281591441,48.335414656050006,221.1,114142.0,"2349,1211,534,607",2683.3,905.35,-6.045,-0.15,198.11,170443.2591687467,56.472484566508996,222.18,118126.0,"2328,1184,544,611",2651.7,903.05,-2.415,0.675,195.37,182263.89540772265,70.51578395337144,222.95,110165.0,"2309,1188,532,606",2613.39,904.06,-0.735,0.8250000000000001,197.85,180636.52096053495,86.5981720241802,224.05,99724.0,"2318,1178,497,584",2591.56,896.55,0.585,0.36,197.89,179663.8682050119,114.39521787453981,224.97,63646.0,"2286,1079,398,399",2533.13,851.78,-2.94,1.29,198.27,146001.08201289954,89.3848875003637,219.86,65525.0,"2381,1106,300,413",2532.15,874.61,1.305,-0.8999999999999999,202.61,100410.2135639074,102.23335560595142,221.18,65288.0,"2355,1127,308,410",2511.69,879.55,-3.555,1.62,203.88,62154.934330134754,39.217253920994104,223.27,63259.0,"2300,1062,346,342",2484.25,874.0,-2.805,1.515,209.61,37523.14459635347,22.271877642406437,226.57,56372.0,"2288,1070,345,343",2461.59,866.88,-1.725,4.155,214.46,27362.67332657096,32.503950456997806,230.04,34551.0,"2286,934,322,200",2450.28,827.31,-3.75,0.63,217.54,3370.5969628141243,3.0496644279618685,233.61,12427.0,"2263,857,228,111",2387.27,800.59,-6.465,6.285,220.66,405.23190081802386,2.839072336751294,233.71,4205.0,"2363,847,99,94",2409.81,808.3,-26.73,-0.66,231.19,1.9974804631851897,0.005774804825081247,236.77,1026.0,"2349,823,43,45",2372.13,805.35,-15.12,-0.12,236.54,1.1745012111714548,0.014536186137812475,238.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.37,26
6,2006-07-25 07:00:00,70907,"0,721,508,249",245.26,592.37,0.0,0.0,199.66,192004.95890131406,85.56359755163909,220.96,72765.0,"0,726,509,264",229.81,594.2,-1.6350000000000002,0.18,197.8,218207.56006731957,122.75931898567084,221.21,75818.0,"0,735,496,267",216.58,599.19,-0.6900000000000001,0.75,198.75,225360.19941119407,120.26234782205134,220.3,82921.0,"0,738,482,269",210.28,608.25,-0.285,0.075,200.88,225704.24197820862,106.92350161654534,219.98,106056.0,"0,916,504,457",232.89,641.37,-0.5549999999999999,-0.105,201.95,231399.57642025998,186.76259758275845,220.79,111554.0,"0,941,503,480",234.62,652.74,-0.735,1.155,201.31,216440.2220479188,102.31869337094918,221.85,113145.0,"0,962,501,502",232.12,654.66,-0.99,0.81,199.99,185078.98638216234,90.40631554869273,222.51,112016.0,"0,982,500,523",227.02,655.39,-0.75,2.655,201.19,151868.6043586801,70.4544732804595,223.15,106053.0,"0,849,491,395",217.41,646.94,-2.325,1.455,201.05,137362.84060682057,87.11054490997395,223.66,69246.0,"0,838,330,377",131.63,651.55,-5.699999999999999,4.335,201.67,82991.54433482538,107.47006700629836,225.21,61894.0,"0,847,271,368",113.38,651.96,-3.21,0.54,205.16,56177.75803074852,48.531663199856716,226.44,52670.0,"0,869,246,398",98.06,650.53,-5.355,2.01,208.95,30489.115683978336,40.870539255175615,228.15,38420.0,"0,848,223,373",77.08,649.65,-3.765,0.135,213.74,13716.507733440847,66.44319055602948,230.2,19644.0,"0,839,112,305",43.5,683.0,-21.555,3.6,220.13,2566.4203029284067,10.745817555601207,232.54,9288.0,"0,795,71,253",25.97,671.6,-20.085,0.975,227.2,1385.2815287548722,51.39095357030723,234.85,1991.0,"0,740,35,152",15.22,667.43,-1.89,1.515,234.35,1.0240421346056541e-08,0.0,238.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.8,15
7,2006-07-25 07:00:00,54562,"1787,857,430,280",1975.56,719.69,0.0,0.0,214.63,101730.68531781249,43.693929186074264,231.51,37293.0,"1759,798,406,223",1966.7,703.84,-4.455,-1.5,215.2,78554.28825904787,42.678679859165435,232.9,32627.0,"1721,789,431,215",1948.41,699.99,-1.6949999999999998,-0.3,217.02,44654.263630078625,40.16689704679675,233.06,18564.0,"1819,787,291,222",1983.87,671.08,-5.805,-2.67,220.33,18882.207617440854,31.009426461614364,234.35,17586.0,"1834,783,255,237",1972.47,657.09,-2.46,-5.415,223.03,7315.439321416565,4.332437162027166,234.27,18608.0,"1787,772,287,247",1947.7,638.48,-4.800000000000001,-1.32,224.03,5522.3571223733325,26.79580142494447,233.93,18855.0,"1741,771,319,269",1919.32,621.32,-8.805,-1.545,221.87,4072.464759637264,7.97815024221716,233.94,14597.0,"1696,700,335,213",1877.31,587.56,-14.445,-3.855,221.61,7381.763971334728,35.7902653652927,234.23,11418.0,"1648,674,337,190",1834.52,570.63,-16.095,-2.385,223.67,4320.487028044912,8.588857026737454,234.51,5093.0,"1610,562,195,88",1721.63,512.73,-4.905,5.76,228.63,2475.2171134282294,21.780680499900384,236.52,761.0,"1701,546,70,30",1737.2,528.11,-10.845,9.39,236.88,0.24670490497841702,0.0010714183704158096,239.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.63,10
8,2006-07-25 07:00:00,2490,"2264,667,89,79",2304.38,627.58,0.0,0.0,217.42,9394.256648440409,41.57990058494468,231.93,2646.0,"2270,666,81,56",2311.08,635.88,-7.695,2.52,219.27,12577.442352833874,23.197064574940274,231.29,3914.0,"2256,668,94,70",2300.16,632.21,-19.86,-9.165,221.83,5475.085164324104,6.524160719878879,232.51,5942.0,"2238,722,177,142",2306.1,641.74,-18.945,0.735,222.25,11539.884879103874,35.32297993620815,233.7,3662.0,"2229,672,103,104",2273.89,622.56,-2.34,-0.675,225.49,293.04411011985144,1.736079542809382,235.57,1312.0,"2206,647,93,45",2257.92,625.81,-27.255000000000003,-2.55,229.68,22.86235402573999,0.21063417268536536,236.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.42,5
9,2006-07-25 07:00:00,4455,"1281,801,85,83",1315.57,760.76,0.0,0.0,211.33,36613.749152299446,114.5621250086699,228.0,3834.0,"1263,801,87,70",1309.09,765.83,-2.655,0.705,214.98,15077.040305711958,39.95015801680445,227.35,3790.0,"1255,810,88,81",1297.29,768.72,-4.605,1.35,219.01,4233.297296674026,6.781083073862612,231.98,1579.0,"1272,796,40,61",1293.83,766.08,-6.645,1.65,230.31,396.0335161041294,2.971019583943795,236.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.33,3
10,2006-07-25 07:00:00,5424,"774,834,144,88",840.89,785.4,0.0,0.0,211.11,9708.625575915938,42.22455257307936,224.95,6755.0,"784,814,141,93",848.26,772.46,-6.255,0.765,213.65,10916.128306969458,37.80830477073085,227.05,7820.0,"761,818,150,102",835.29,771.84,-7.395,-0.8999999999999999,215.27,5177.274147372958,30.956165362922075,227.21,7434.0,"734,834,173,114",815.2,772.64,-24.225,3.4799999999999995,218.99,484.58419202662805,1.728953392505843,230.17,2630.0,"711,801,98,61",755.44,769.8,-17.700000000000003,1.905,220.59,0.0018206481643695622,6.7194512012441e-07,230.57,2477.0,"687,813,100,69",729.63,777.93,-15.36,7.515,222.26,0.031255404361818034,0.00024167957863626763,230.64,2196.0,"665,827,95,77",707.61,785.92,-17.4,-0.255,226.09,0.009357952580789183,9.269308513468738e-06,232.38,1699.0,"641,832,89,72",683.68,798.15,-19.14,2.175,227.3,0.01718505110562339,0.00019415093371096223,234.54,673.0,"623,840,66,40",648.42,820.5,-6.029999999999999,1.245,228.42,0.49830951859103156,6.362376965713049e-05,234.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.11,6
