storm_id,start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,tmin_min,mcs_thld
1,2006-07-28 07:00:00,4486,"2042,352,96,63",2095.28,322.83,0.0,0.0,215.95,15982.221150471338,62.96873230017235,229.19,4155.0,"2030,353,101,62",2084.17,325.15,-10.665,1.38,219.71,11105.223682850617,41.52664328778661,228.37,5270.0,"2011,355,117,70",2071.5,323.14,-16.155,-1.4249999999999998,220.58,14534.178792415476,107.08481851965884,229.74,7588.0,"2005,360,165,86",2082.85,319.01,-1.485,-0.345,216.59,23508.41695456313,177.79733015447192,231.68,3955.0,"1996,363,106,49",2052.48,338.88,-4.23,1.08,217.3,13083.435169428174,34.228449290541896,229.19,4194.0,"1988,366,107,57",2041.81,338.32,-7.065,-0.6900000000000001,216.48,18371.57267694799,62.591347704822496,229.56,9102.0,"1973,372,174,112",2062.4,320.02,-3.66,-0.4499999999999999,213.95,34698.304758047634,110.54170638577172,230.06,6783.0,"1963,387,114,87",2026.49,342.97,-7.41,6.645,211.23,25076.173753353087,76.29922478007074,227.6,8944.0,"1948,400,118,103",2012.63,348.43,-9.09,-0.015,210.09,28888.86903113188,72.12000560946915,226.9,10852.0,"1940,416,119,132",2001.86,352.62,-4.155,0.6000000000000001,209.6,29958.93604116566,81.29477794482253,228.32,16427.0,"1824,450,215,152",1953.5,382.51,-15.419999999999998,-0.27,209.03,33795.162869459346,66.46995653509244,228.47,21619.0,"1810,516,219,211",1941.99,408.72,-2.625,1.65,203.54,37867.397785538305,62.891722017286185,229.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.54,12
2,2006-07-28 07:00:00,24834,"2774,618,224,246",2879.96,497.83,0.0,0.0,212.56,8324.122265591299,23.92140934297143,230.67,5922.0,"2858,608,103,115",2907.13,562.49,-9.735,0.735,229.37,0.014023001082322326,4.862122847457923e-08,236.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.56,2
3,2006-07-28 07:00:00,520,"2121,502,28,24",2134.87,490.05,0.0,0.0,217.58,1818.2867828316757,6.069442246356895,231.08,1850.0,"2081,514,67,38",2113.28,496.31,-13.635,3.1500000000000004,218.57,3159.3207543969743,20.54074887324968,229.91,2378.0,"2046,520,92,48",2094.76,499.23,-13.14,4.095,222.08,2239.255197302171,7.415747752374458,231.43,2206.0,"2054,521,52,55",2081.19,493.89,-6.42,-1.005,226.52,1242.2045904486758,5.40274742539999,235.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.58,1
4,2006-07-28 07:00:00,39072,"2343,784,248,269",2454.75,638.34,0.0,0.0,215.43,51597.93121248615,33.62673283789739,228.87,30402.0,"2319,746,249,237",2427.26,622.08,-4.11,-0.015,218.91,31980.466936091158,47.28904249485903,230.58,20152.0,"2301,739,152,205",2374.15,641.56,-3.12,-0.15,221.5,16927.730676649964,56.06979247430285,231.71,17916.0,"2286,716,161,218",2362.16,614.04,-2.61,0.045,208.78,22002.984002300545,57.05539279525888,232.16,15921.0,"2252,691,153,214",2324.75,585.89,-9.585,0.27,206.65,24036.2167276746,37.76017962552966,228.64,12974.0,"2225,695,109,168",2277.68,615.72,-11.205,0.8999999999999999,209.65,19080.644151679946,52.950850695964824,224.44,22032.0,"2195,714,176,263",2271.02,585.87,-19.62,-0.045,200.22,30374.018579987547,38.21367301024156,226.4,29143.0,"2123,719,217,284",2237.19,566.1,-15.93,-2.055,203.7,43082.206693263695,65.39634437371716,226.34,32704.0,"2091,719,236,292",2217.72,561.06,-7.23,-11.88,200.06,52855.19345754906,64.64776825420006,225.02,35881.0,"2095,719,222,309",2197.37,553.38,-11.325,-1.215,197.64,50029.49362762581,79.14439406612635,224.6,41427.0,"2032,746,252,337",2166.63,564.65,-5.82,-0.51,196.37,40878.67327614317,65.92750630716044,225.17,27611.0,"2053,628,212,225",2163.91,511.32,-4.59,0.75,210.76,17650.538385609096,41.70348279826325,225.82,24374.0,"2038,605,215,208",2157.18,502.66,-1.5,1.305,216.47,5152.86901328436,11.523683543032707,229.61,17628.0,"2051,564,183,175",2154.91,491.67,-2.22,-0.18,221.77,530.4881458796762,11.52581988140694,234.08,7109.0,"2036,548,135,102",2110.56,504.38,-17.085,-0.345,223.93,654.7573109198796,58.009271316286146,235.17,2311.0,"2078,521,72,76",2118.39,491.08,-15.645,-1.17,230.8,4.130026090584554e-08,1.1195199935002353e-10,236.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.37,16
5,2006-07-28 07:00:00,3826,"2092,582,78,66",2137.08,550.47,0.0,0.0,216.98,4909.156182503272,49.09504349159808,229.05,2966.0,"2092,585,63,62",2124.86,555.85,-13.035,4.665,219.89,3191.9057690755253,16.229671699905296,232.41,2487.0,"2078,591,58,61",2107.63,562.55,-11.01,5.85,220.54,3274.9118997358078,25.84865530396973,232.56,2693.0,"2058,595,55,66",2087.05,559.88,-8.504999999999999,1.875,214.9,1566.0207469210375,0.5012757563645317,231.03,2928.0,"2027,587,63,66",2061.5,556.36,-27.69,-1.38,216.84,1796.3017920512734,3.729888833416526,228.85,3517.0,"1998,589,75,75",2039.38,554.3,-28.8,-1.92,210.44,2529.47801562322,35.944054022050544,230.49,3835.0,"1980,579,76,79",2024.15,541.7,-8.52,-1.545,207.47,4996.919243938222,33.50644606201193,227.09,5028.0,"1967,582,82,89",2007.75,537.56,-17.94,-4.425000000000001,208.63,2067.782303914086,9.381521145295046,225.16,11632.0,"1880,663,154,168",1962.53,572.93,-11.445,-2.865,200.56,12876.35355206677,37.40757887304527,223.57,18358.0,"1780,708,231,202",1916.96,593.02,-15.375,1.245,194.3,17186.94497011419,31.468045335202348,223.11,19923.0,"1747,707,230,179",1865.27,608.76,-18.855,15.15,198.97,23138.543916778555,34.20377354872958,221.05,23717.0,"1724,717,229,201",1835.68,605.75,-11.625,-1.305,199.24,24923.563241024505,45.21233941460496,222.35,40222.0,"1715,700,293,394",1864.78,512.08,-5.085,-1.11,199.9,43002.915840096095,43.21977804100165,226.57,24238.0,"1685,701,205,218",1797.59,584.05,-7.98,0.135,202.55,10275.091096639291,37.4429071396879,228.68,17162.0,"1665,654,206,183",1779.64,570.59,-3.2700000000000005,-2.355,201.89,9993.736899384909,63.06764388439198,232.39,8408.0,"1611,666,141,111",1697.46,614.84,-13.125,5.1,197.13,12839.88356283537,30.326105494217867,224.6,8357.0,"1644,681,97,132",1697.83,612.22,-16.35,-0.5249999999999999,205.44,7150.209575364624,13.923635796152526,223.68,10622.0,"1571,678,169,133",1674.23,610.72,0.795,0.0,215.99,1084.5619709876814,4.357789980548499,229.82,8663.0,"1574,673,159,133",1666.03,609.03,-7.050000000000001,-2.325,226.71,40.341792274351754,0.3873384517032988,234.88,2954.0,"1639,673,74,112",1681.96,622.52,-1.47,0.705,228.43,0.012381922465569978,3.1249817521168876e-05,236.67,2202.0,"1642,681,62,130",1683.03,608.55,-3.345,-14.025,230.49,0.01153479972219183,0.00010924874548909036,235.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.3,20
6,2006-07-28 07:00:00,4521,"2369,884,119,98",2442.23,827.75,0.0,0.0,219.9,0.0015165812822985761,7.246836740074167e-07,231.89,6018.0,"2344,888,137,100",2423.47,828.86,-10.86,0.945,219.84,7.7344606458166e-05,6.947266734350583e-07,231.11,6176.0,"2329,900,118,115",2397.27,828.01,-24.09,0.21,222.32,3.848916364939831e-05,6.562793519678367e-07,233.02,4500.0,"2304,896,119,105",2376.66,831.46,-36.645,6.48,222.56,9.009007546355816e-05,7.968983206114827e-08,234.44,3279.0,"2282,881,118,87",2350.35,831.66,-19.65,0.36,225.09,1.0329785201223632e-05,5.255731960199337e-09,233.84,3559.0,"2247,872,138,73",2323.94,829.19,-24.585,-3.945,227.99,6.811081030137024e-05,3.323746575378332e-07,234.32,2119.0,"2227,862,92,64",2273.3,833.05,-27.06,-3.135,227.21,2.1332450574530633e-05,3.667163657989584e-08,234.7,1100.0,"2202,863,69,29",2239.23,848.32,-23.685,5.76,230.64,8.474014068547042e-08,3.0111942009671834e-10,236.54,832.0,"2170,860,83,19",2215.88,850.25,18.045,-0.06,232.76,2.3418338210366446e-08,0.0,236.99,542.0,"2144,860,76,18",2179.2,851.15,-34.275000000000006,0.0,232.4,5.730157707694445e-09,0.0,237.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.84,6
7,2006-07-28 07:00:00,94814,"26,1256,502,383",244.7,1076.99,0.0,0.0,205.06,47678.198676209875,51.884768686138855,228.03,74939.0,"9,1262,349,396",189.65,1060.73,-2.43,1.245,205.58,32266.82079783394,44.998976722102064,228.84,65442.0,"7,1229,322,392",162.65,1049.37,-3.135,8.43,204.67,21561.024175419574,41.16836446481923,229.24,39708.0,"7,1241,205,387",102.41,1044.92,-5.97,-0.03,205.6,17801.91612036253,47.36379336178618,228.64,23193.0,"7,1090,195,243",85.34,989.86,-3.03,-1.32,209.28,5382.426756525021,31.06269154405253,228.35,25830.0,"7,1272,232,352",89.79,1096.72,-16.38,0.27,212.61,557.388023743531,11.310003411663391,229.5,7704.0,"7,1031,158,115",85.17,974.42,-12.9,1.95,218.67,7.438282973710458,0.03523559217327005,229.64,6830.0,"8,1032,130,105",76.62,980.37,-11.37,5.61,218.71,26.575335462045054,0.23686210209382125,230.22,6546.0,"7,1036,118,110",65.09,983.35,-22.425,-0.2249999999999999,218.68,23.144841596631466,0.11644430172718327,231.43,5595.0,"8,1040,98,119",53.03,988.9,-16.71,4.050000000000001,222.99,3.1583478650310837,0.049502903241590165,232.31,4363.0,"8,1041,79,103",41.59,995.97,-19.485,0.12,222.64,35.23619147665284,0.23227365815864076,232.88,2990.0,"8,1051,50,110",27.63,1001.98,-0.075,0.0,224.4,190.98820675632192,0.21700026509959952,234.6,742.0,"8,1026,27,48",17.16,1004.63,-12.975,1.32,231.98,2.1886511896644538e-09,3.6741437020846177e-10,236.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.67,12
8,2006-07-28 07:00:00,11893,"1094,1414,158,146",1183.46,1344.13,0.0,0.0,218.83,1001.013332911391,1.4068544739328517,229.62,10181.0,"1100,1415,142,125",1169.75,1351.03,-3.5250000000000004,1.26,220.51,122.52965684118637,0.3715081919961438,235.0,6244.0,"1107,1433,130,130",1163.85,1362.47,-7.755,0.855,225.33,3.034065244815163,0.007391718682497562,235.76,2404.0,"1148,1366,74,57",1184.22,1339.86,-19.575000000000003,-0.8999999999999999,228.95,0.021425826729959706,0.00012156916976776067,236.47,1905.0,"1136,1369,58,57",1166.68,1343.81,-19.185,3.405,230.83,0.35700434711239837,0.015778234587264933,237.41,461.0,"1133,1376,43,19",1152.44,1367.79,-22.935,13.305,235.08,0.015774855062488057,0.0012635094906635605,238.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.83,4
9,2006-07-28 08:00:00,5955,"2786,415,126,76",2851.39,374.25,-0.855,0.0,207.63,23824.430431531204,64.52738487015282,225.83,8772.0,"2763,409,134,94",2830.27,361.89,-8.55,8.459999999999999,213.36,13562.261867773339,32.1287077085293,226.47,11498.0,"2734,428,148,127",2810.71,355.44,-8.475000000000001,-3.195,218.16,9821.798887047004,26.0920523306673,231.12,9428.0,"2709,404,142,127",2770.45,340.79,-10.335,0.105,216.81,7030.0308166503055,34.59476921464108,230.94,9194.0,"2691,402,122,136",2743.66,335.0,-28.785000000000004,-0.12,213.86,8123.466722309492,28.296170109645463,230.14,7868.0,"2670,410,116,129",2721.69,351.49,-12.66,-6.885,203.05,9187.007781665468,26.606277959270738,227.7,8170.0,"2645,431,103,130",2698.05,370.81,-23.31,-0.915,201.39,7638.258806183576,29.074815953675266,220.54,11395.0,"2617,448,110,154",2671.73,375.43,-22.335,-0.4649999999999999,201.01,2002.831230888491,35.212631078601646,219.56,24386.0,"2494,533,211,230",2608.01,422.05,-12.93,-0.015,204.43,22708.309939737654,38.695427166684276,221.59,30433.0,"2457,541,221,257",2576.18,428.15,-11.28,-3.195,206.09,23897.549003223994,37.420407350299655,223.71,28975.0,"2430,537,215,259",2544.95,434.75,-10.86,-0.975,208.25,14842.055097178434,16.5855729937238,226.41,19049.0,"2421,528,206,146",2513.97,453.09,3.33,-8.94,211.55,23981.406140750874,44.061766401259334,224.96,17153.0,"2407,531,184,165",2482.28,444.28,-17.07,2.055,201.6,26453.078751457062,53.020959182603484,224.43,18022.0,"2384,534,176,188",2454.45,443.75,-12.765,-3.84,205.48,31157.460409770254,34.1640648384285,221.89,21344.0,"2356,539,183,188",2434.76,441.11,-6.51,-0.5249999999999999,207.57,38097.34868836106,84.63526684959518,222.06,23642.0,"2328,530,223,193",2417.56,425.71,-12.495,0.27,203.44,41024.4972542076,64.01014317256261,223.44,24647.0,"2318,529,223,202",2403.63,417.74,0.915,-0.135,208.63,31645.701269530444,45.00972137751101,224.06,25060.0,"2300,527,227,212",2388.91,413.67,-7.290000000000001,-2.955,210.65,26312.438489574288,42.69552098266173,226.28,25430.0,"2279,524,209,212",2365.87,404.6,-6.074999999999999,-0.765,213.38,21190.95308231044,47.053787247340054,229.69,22568.0,"2251,491,225,186",2354.23,386.37,-1.7999999999999998,-0.8250000000000001,215.91,18672.70401924903,32.45836851282724,231.9,17692.0,"2190,431,265,132",2348.16,352.05,-0.63,-3.915,216.14,12104.755618441703,79.30114329913962,231.88,11971.0,"2238,408,194,120",2346.48,346.6,-1.26,-3.885,218.9,5088.240894810405,38.698035962435654,235.09,4910.0,"2309,395,92,79",2356.91,350.49,-2.385,-4.455,223.0,753.6074268189341,4.704538161734351,234.04,3542.0,"2319,390,75,79",2358.16,347.87,-2.625,-1.065,233.03,151.76859783760716,0.9667692398083159,236.99,,,,,,,,,,,,,,,,,,,,,201.01,24
10,2006-07-28 09:00:00,2900,"165,1262,105,42",223.39,1240.3,-7.32,0.63,211.0,3514.7588619671437,31.03900816036403,224.19,4161.0,"133,1265,137,49",213.48,1238.94,-4.92,0.12,211.45,432.69452805219055,0.9767813055181975,225.64,5097.0,"109,1270,151,64",199.76,1236.8,-15.6,1.0499999999999998,212.74,189.5484972936169,0.5174323244262411,227.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.0,3
