storm_id,start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,rain_vol_26,rain_max_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,rain_vol_27,rain_max_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,rain_vol_28,rain_max_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,rain_vol_29,rain_max_29,tmean_29,area_30,bounds_30,clon_idx_30,clat_idx_30,PSu_30,PSv_30,tmin_30,rain_vol_30,rain_max_30,tmean_30,area_31,bounds_31,clon_idx_31,clat_idx_31,PSu_31,PSv_31,tmin_31,rain_vol_31,rain_max_31,tmean_31,area_32,bounds_32,clon_idx_32,clat_idx_32,PSu_32,PSv_32,tmin_32,rain_vol_32,rain_max_32,tmean_32,area_33,bounds_33,clon_idx_33,clat_idx_33,PSu_33,PSv_33,tmin_33,rain_vol_33,rain_max_33,tmean_33,area_34,bounds_34,clon_idx_34,clat_idx_34,PSu_34,PSv_34,tmin_34,rain_vol_34,rain_max_34,tmean_34,area_35,bounds_35,clon_idx_35,clat_idx_35,PSu_35,PSv_35,tmin_35,rain_vol_35,rain_max_35,tmean_35,area_36,bounds_36,clon_idx_36,clat_idx_36,PSu_36,PSv_36,tmin_36,rain_vol_36,rain_max_36,tmean_36,area_37,bounds_37,clon_idx_37,clat_idx_37,PSu_37,PSv_37,tmin_37,rain_vol_37,rain_max_37,tmean_37,area_38,bounds_38,clon_idx_38,clat_idx_38,PSu_38,PSv_38,tmin_38,rain_vol_38,rain_max_38,tmean_38,area_39,bounds_39,clon_idx_39,clat_idx_39,PSu_39,PSv_39,tmin_39,rain_vol_39,rain_max_39,tmean_39,area_40,bounds_40,clon_idx_40,clat_idx_40,PSu_40,PSv_40,tmin_40,rain_vol_40,rain_max_40,tmean_40,area_41,bounds_41,clon_idx_41,clat_idx_41,PSu_41,PSv_41,tmin_41,rain_vol_41,rain_max_41,tmean_41,area_42,bounds_42,clon_idx_42,clat_idx_42,PSu_42,PSv_42,tmin_42,rain_vol_42,rain_max_42,tmean_42,area_43,bounds_43,clon_idx_43,clat_idx_43,PSu_43,PSv_43,tmin_43,rain_vol_43,rain_max_43,tmean_43,area_44,bounds_44,clon_idx_44,clat_idx_44,PSu_44,PSv_44,tmin_44,rain_vol_44,rain_max_44,tmean_44,area_45,bounds_45,clon_idx_45,clat_idx_45,PSu_45,PSv_45,tmin_45,rain_vol_45,rain_max_45,tmean_45,area_46,bounds_46,clon_idx_46,clat_idx_46,PSu_46,PSv_46,tmin_46,rain_vol_46,rain_max_46,tmean_46,tmin_min,mcs_thld
1,2006-07-29 07:00:00,13283,"3154,314,145,150",3240.88,249.18,0.0,0.0,206.98,26661.257680524766,63.31667826555775,225.47,22555.0,"3108,466,191,310",3220.61,271.72,-5.61,-5.955,207.39,29278.331251099018,56.28459329321118,225.82,31609.0,"3070,469,229,321",3204.18,279.05,-1.785,-1.365,208.95,33412.91617590781,59.5067149458897,225.96,34584.0,"3031,477,268,286",3202.56,283.41,-0.8400000000000001,-0.27,207.52,28155.08457988772,60.554593372783295,226.06,38298.0,"3021,475,278,297",3190.37,292.82,-3.42,-0.405,208.05,15139.682628749857,25.988250628142758,226.4,40977.0,"2987,479,312,331",3171.05,295.78,-9.15,-2.475,209.47,10131.242743788187,79.03620053424501,226.08,47224.0,"2975,531,324,338",3165.21,333.41,-13.965,0.51,205.23,56577.425702476976,59.06532228989418,226.34,62266.0,"2924,562,375,445",3144.53,343.84,-8.565,1.215,202.29,63808.43679921325,45.2383842794422,225.88,90141.0,"2794,571,505,515",3078.96,334.26,-4.47,-0.27,203.71,57508.06141185114,77.63511466108129,225.45,92707.0,"2699,578,600,439",3056.33,348.51,-4.035,-4.065,206.74,55599.44569596559,83.65622256345692,226.12,47828.0,"2670,368,603,234",2975.64,252.73,-2.04,-7.26,206.6,671.7117388252015,2.1179288818041657,231.24,6701.0,"2678,276,157,85",2762.05,227.38,-19.98,-9.795,210.09,0.00042850845907200667,8.615744415914085e-08,228.78,19852.0,"2663,285,296,170",2827.46,198.78,-18.105,-9.195,216.73,300.2975684100863,0.17209434113503594,231.48,17407.0,"2691,273,248,176",2804.68,172.11,-6.12,-4.14,216.52,0.08762151384671836,4.957619010587658e-05,230.83,16275.0,"2660,268,265,196",2811.07,145.42,-11.34,-15.18,216.41,0.04735772417129841,2.4342342086649486e-07,230.77,16473.0,"2559,243,358,202",2783.02,121.3,-1.11,-8.655,218.46,0.47886424930037813,0.00034565721000879776,231.79,10172.0,"2691,222,223,182",2807.16,121.82,-2.01,-4.725,220.95,0.0002940030825552008,3.3581347676673925e-08,231.4,7398.0,"2680,208,211,185",2801.16,112.16,-0.0,0.0,225.55,2.2550422679955482e-05,0.0,234.19,1324.0,"2824,191,41,75",2846.5,148.81,-12.405,-8.25,232.0,0.0,0.0,237.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.29,18
2,2006-07-29 07:00:00,2402,"3120,219,70,54",3156.89,191.54,0.0,0.0,217.12,1823.2385976961514,8.861140093045053,232.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.12,1
3,2006-07-29 07:00:00,1037,"1950,339,80,19",1987.68,329.01,0.0,0.0,220.93,7045.411237045688,43.82734021760591,233.31,1507.0,"1963,349,65,34",1995.63,331.96,11.22,3.195,218.35,11053.746718165134,42.35719911363594,227.82,2566.0,"1943,357,82,46",1987.58,332.34,-10.74,-0.06,215.37,8010.373692119354,29.259689450421607,227.46,2954.0,"1945,358,76,52",1985.82,332.06,-2.97,-0.5700000000000001,217.32,5540.5079527314165,27.759365007728267,230.07,2104.0,"1950,353,57,53",1979.26,329.95,-3.78,-2.865,214.88,4923.702704477746,46.134593391102584,230.81,1378.0,"1950,349,41,45",1971.07,327.23,-6.15,-1.5,219.44,3906.5954191081055,22.071931262652765,231.44,951.0,"1951,349,32,50",1966.91,324.03,-4.83,-3.96,225.21,1183.3473810345813,13.968846303559564,234.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.88,2
4,2006-07-29 07:00:00,11425,"1765,465,118,140",1829.61,399.33,0.0,0.0,198.63,91738.29464539369,84.32287900052133,222.16,14679.0,"1732,472,156,155",1820.9,402.94,-1.77,2.805,200.85,123115.47447925434,112.5192574666244,221.79,18398.0,"1700,478,191,169",1808.63,400.49,-2.715,-2.85,200.08,132010.8966953957,95.95952916404794,220.85,23920.0,"1676,491,221,187",1796.29,401.98,-2.115,1.23,202.24,121996.38779407727,101.10696993221588,222.09,27490.0,"1665,497,229,193",1787.96,403.84,-0.4499999999999999,0.075,203.11,111125.02830909136,77.75384673161464,224.02,30353.0,"1681,511,221,215",1783.28,407.25,-0.705,-0.06,207.12,103074.25993687104,74.63638944593879,226.66,31963.0,"1671,522,208,241",1772.66,406.89,-1.125,1.995,211.57,84616.53807870275,63.75388888016958,229.43,31410.0,"1649,530,229,234",1759.19,408.18,-4.365,0.4649999999999999,214.8,73171.7651918429,88.41990080463282,230.78,26591.0,"1647,507,231,219",1747.04,384.46,-2.595,-0.66,215.69,65085.07740111442,147.0717787286696,232.44,19696.0,"1631,489,174,199",1720.16,385.05,-1.2000000000000002,0.135,214.41,55787.422167966295,58.08046818661111,232.48,9130.0,"1620,403,184,120",1711.49,350.91,-0.615,1.47,218.72,27335.926561724275,55.322726031505155,232.77,5996.0,"1659,386,100,88",1710.69,343.04,-1.02,-1.305,221.4,14718.101321226557,52.66174663856565,233.88,3606.0,"1657,372,89,70",1701.28,340.94,-3.87,0.0,224.25,2079.2988189144935,4.137951277282536,235.45,2019.0,"1659,370,62,54",1693.12,343.83,-4.5,2.955,231.16,278.10537624488006,5.291372430213346,237.58,952.0,"1664,361,34,42",1682.71,342.27,-2.61,21.12,236.1,71.06670357067894,1.5696749634798588,239.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.63,13
5,2006-07-29 07:00:00,5746,"2027,421,112,90",2093.36,368.89,0.0,0.0,212.0,20205.741755441028,44.73798218957181,229.04,4999.0,"2055,423,83,96",2096.3,372.71,-3.915,0.24,213.36,14580.396896349836,52.44619627236256,228.68,5058.0,"2046,425,71,107",2085.18,373.86,-12.825,0.12,216.63,17640.159892213534,44.80705092959828,229.9,4490.0,"2044,418,64,100",2078.45,368.13,-4.29,-0.39,219.45,17359.005160937508,38.39987563110243,231.48,3483.0,"2037,415,64,96",2069.36,364.49,-11.715,-1.95,217.37,15179.120968683477,43.93069387102687,230.39,3912.0,"2026,401,87,85",2064.99,358.49,-3.435,-1.2000000000000002,218.79,10686.246199183208,50.1043852153742,231.16,3537.0,"2017,402,88,92",2053.98,353.19,-7.904999999999999,-6.84,221.21,3943.744477099247,47.98824006576439,233.67,1012.0,"2025,358,41,37",2042.6,340.64,0.015,10.875,220.65,1146.1616882618948,3.5377378054226156,233.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.0,7
6,2006-07-29 07:00:00,14420,"3009,588,151,177",3082.02,512.44,0.0,0.0,212.1,14604.793226603295,50.18236409197875,230.02,10054.0,"2984,577,141,121",3054.96,517.92,-4.785,-4.14,209.83,13682.034362531222,51.369144175227675,229.68,10473.0,"2954,587,143,155",3019.14,503.34,-8.49,-11.625,216.58,2094.158410849471,18.38870829705731,229.43,14757.0,"2920,574,159,179",3004.51,485.3,-3.9,-9.6,222.59,1338.2075019701751,0.3345903796680922,232.61,18423.0,"2848,682,217,288",2977.53,499.59,-4.050000000000001,-17.805,221.96,3.0007642373999537,0.026149900928303837,233.61,19142.0,"2868,646,192,294",2968.58,461.34,-8.955,-20.01,218.3,1810.6406711028753,28.60130071299163,233.04,12929.0,"2876,463,163,147",2955.02,375.31,-6.645,-16.35,209.93,1649.2030990765809,2.857187695193205,227.59,12970.0,"2830,398,194,105",2925.98,338.14,-3.555,-21.405,211.03,396.37274732204986,4.748697549481452,225.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.83,8
7,2006-07-29 07:00:00,30430,"2624,637,311,191",2797.26,526.89,0.0,0.0,215.72,13025.522122818156,22.36811745934552,231.19,15357.0,"2720,606,195,147",2822.44,531.91,0.285,-8.565,217.63,3689.499026656754,17.700105425235247,232.62,10698.0,"2715,589,190,99",2807.96,535.86,-1.35,-1.92,221.73,211.84138376928723,0.9784463770293281,233.4,5745.0,"2716,579,113,88",2777.23,532.8,-0.045,-1.14,226.12,11.448369348793364,0.009552693329365387,235.49,1136.0,"2760,561,62,59",2798.69,538.27,-0.615,-2.205,233.16,2.050710778994397,0.010265815706505409,238.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.72,4
8,2006-07-29 07:00:00,5778,"947,733,102,134",988.06,676.72,0.0,0.0,206.63,26505.406841642354,59.09594248268231,227.26,7226.0,"924,733,98,110",971.77,681.78,-21.12,1.4249999999999998,203.96,31866.015604409276,76.39964576118165,220.69,12369.0,"889,746,128,143",956.33,678.61,-14.52,0.72,199.97,49498.41410931657,56.4623634912713,220.95,20901.0,"800,768,199,185",918.06,665.1,-3.345,0.8400000000000001,200.1,60641.69305271176,54.14416387687317,222.77,23680.0,"782,778,211,204",901.92,661.59,-8.535,0.8999999999999999,199.46,51325.38062110644,48.962334805022415,221.6,26139.0,"773,770,212,211",887.67,660.38,-0.8400000000000001,1.365,203.34,37760.26810970511,39.89286019344319,220.77,44619.0,"752,882,386,330",932.45,706.63,-2.19,5.925000000000001,197.79,67962.43512469665,46.098983790775534,221.21,52155.0,"733,900,410,362",924.92,722.81,-4.725,8.805,197.23,65359.789883820406,69.34301485571137,219.47,71341.0,"710,918,437,436",904.29,721.58,-2.79,3.435,194.86,82515.25648609994,55.93113890551191,219.38,94404.0,"665,942,488,497",879.96,719.62,-4.59,4.32,195.82,117346.22973811497,56.7611921524183,219.45,111843.0,"639,972,527,541",871.74,736.29,-3.045,4.455,196.98,152804.54756930762,79.0016034352082,218.64,151244.0,"488,995,690,576",816.92,737.6,-4.53,6.885,196.74,202180.39828886976,114.3452813928962,219.09,167009.0,"458,1015,728,598",800.22,740.17,-3.915,5.8950000000000005,196.71,227485.48941599668,121.02761466062381,219.52,100826.0,"422,904,523,487",665.51,636.23,-3.75,3.825,194.59,154160.64654409533,80.00680812808102,221.21,73584.0,"395,906,408,502",614.8,648.62,-2.61,1.92,194.9,131030.51529386902,98.51355263738263,221.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.59,15
9,2006-07-29 07:00:00,4247,"2840,724,167,118",2939.42,667.33,0.0,0.0,221.51,5.970633528369036e-05,5.696462845941723e-07,231.17,3673.0,"2830,719,166,129",2933.48,657.61,-13.605,-6.42,223.83,5.9091787104234363e-05,2.182108638862026e-06,233.53,4910.0,"2818,710,189,137",2936.87,642.05,-11.865,-7.635,226.22,3.319536046919811e-07,0.0,233.94,4428.0,"2815,697,162,146",2926.07,626.92,-10.845,-9.255,226.75,2.3222900499025564e-06,1.750950946071903e-08,234.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.51,4
10,2006-07-29 07:00:00,1918,"883,698,39,70",903.67,662.67,0.0,0.0,210.79,284.98828553674,0.08007749259073299,226.8,2706.0,"835,688,70,81",869.78,644.94,-9.915,0.315,212.14,3000.310160538739,23.285870665395894,228.77,3228.0,"816,678,85,74",850.74,634.17,-27.660000000000004,-3.99,212.86,5160.334379983485,31.35832018860446,230.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.79,2
