storm_id,start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,rain_vol_26,rain_max_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,rain_vol_27,rain_max_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,rain_vol_28,rain_max_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,rain_vol_29,rain_max_29,tmean_29,area_30,bounds_30,clon_idx_30,clat_idx_30,PSu_30,PSv_30,tmin_30,rain_vol_30,rain_max_30,tmean_30,tmin_min,mcs_thld
1,2006-07-30 07:00:00,2703,"2065,367,98,105",2117.67,315.14,0.0,0.0,222.76,6872.341516912411,54.750756173037466,234.09,2066.0,"2103,367,57,62",2132.42,338.36,-1.185,0.39,220.59,1693.4271715058694,10.288047531041665,230.84,2729.0,"2075,367,87,73",2121.89,330.57,-4.199999999999999,-6.6000000000000005,226.85,2643.156047471796,30.244418598093567,234.9,620.0,"2109,317,43,36",2129.31,299.4,0.03,-23.415,228.6,196.0486863061845,1.540941193084918,237.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.59,2
2,2006-07-30 07:00:00,1319,"366,394,43,42",388.99,375.41,0.0,0.0,225.33,10849.652725502854,32.5308673822444,231.89,2417.0,"309,423,101,78",366.08,388.03,-0.705,3.03,218.77,19340.755663273845,124.20622757758277,232.98,2400.0,"268,432,106,47",330.31,409.63,-1.275,0.8699999999999999,212.72,17082.58211685456,102.8428238638416,231.05,3483.0,"266,439,94,56",308.89,409.33,-16.365000000000002,1.935,202.74,17173.741304721858,35.189607196962974,226.59,4973.0,"237,441,116,62",295.61,408.03,-5.415,-0.03,207.99,11505.239502689132,32.76795496790096,223.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.74,4
3,2006-07-30 07:00:00,5885,"1599,447,93,94",1640.79,397.98,0.0,0.0,211.14,40867.25244540031,72.17905736008505,229.39,6130.0,"1586,456,95,104",1629.98,404.93,-0.36,0.195,211.77,41919.96350213192,180.34876051036164,227.94,9575.0,"1579,497,138,149",1638.26,423.57,-3.615,0.51,207.45,40206.34080495171,61.221087843573905,225.95,10972.0,"1558,497,155,167",1631.79,422.91,-3.255,-0.63,213.74,37263.881482130404,69.14105742553556,228.42,8975.0,"1548,495,151,122",1614.5,433.5,-6.615,-0.165,216.22,12426.93925774466,49.95333448969101,230.23,8767.0,"1532,500,147,131",1601.78,429.12,-6.93,-0.21,217.04,7847.040611679229,53.525237674861046,233.0,4147.0,"1521,436,114,68",1584.79,397.33,-1.905,-9.03,218.13,4707.234690799978,44.24769357223258,234.21,2219.0,"1553,410,85,52",1593.47,382.49,-8.565,-1.32,221.93,906.8198999211781,3.3350308688121393,233.74,724.0,"1564,371,41,26",1585.51,357.74,9.045,-31.695,225.58,85.76339201375107,0.24415546060581725,233.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.45,7
4,2006-07-30 07:00:00,4575,"554,446,107,85",606.43,405.27,0.0,0.0,215.16,28388.255012810107,50.43796208092945,234.82,2201.0,"560,418,65,55",592.88,389.85,-2.355,-0.18,214.97,14350.78560734746,63.733625624434126,232.52,2149.0,"563,402,74,44",595.91,379.13,2.64,-6.255,209.52,15075.107529344485,40.41848164524155,229.43,2690.0,"544,393,103,55",596.72,368.9,0.585,-12.3,223.84,15920.99270741916,37.306557816934,233.6,565.0,"586,382,25,47",600.19,360.95,-0.5549999999999999,-10.86,234.76,896.8698705215901,8.243230105759865,238.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.52,2
5,2006-07-30 07:00:00,2796,"280,443,83,52",320.44,417.41,0.0,0.0,219.21,9322.106430016598,61.0530246176817,233.72,674.0,"267,440,39,30",283.93,423.86,-12.075,11.43,229.87,77.9269381996956,0.01592643734162118,235.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.21,1
6,2006-07-30 07:00:00,83079,"305,812,416,390",504.1,595.38,0.0,0.0,193.99,337571.0822086332,136.71828608480396,219.63,77781.0,"280,739,385,328",484.01,587.67,-1.095,-0.8400000000000001,193.96,381241.9169827864,288.25471708323926,218.49,78750.0,"274,745,371,374",460.95,584.09,-1.005,-1.935,192.66,395120.89290756057,110.14127078155535,215.46,89747.0,"249,754,377,380",443.29,582.06,-1.6800000000000002,-0.615,192.12,395180.2533398582,177.05140426453016,215.46,97336.0,"211,773,416,381",421.98,583.51,-0.66,-0.66,192.45,361601.12378421315,123.48302164041922,215.77,112087.0,"177,790,464,422",390.49,570.44,-1.32,0.33,193.49,401567.0692377586,117.37208475666483,217.23,123804.0,"154,805,494,439",374.59,564.44,-1.41,0.6000000000000001,196.05,376770.6973565979,107.15840273327174,218.76,131568.0,"141,821,513,477",364.31,556.35,0.2249999999999999,0.33,196.92,371452.4627521152,105.43406633128421,219.65,144872.0,"120,844,505,560",352.52,542.68,-0.96,-0.63,198.38,385186.901298588,97.48401060057274,221.1,151080.0,"109,812,517,522",344.45,533.97,-1.44,-3.075,198.34,382843.40553170163,86.01455963606801,221.92,163613.0,"79,818,541,548",329.12,523.49,-1.395,-0.75,198.53,377385.4229765507,208.23991833956157,223.46,174259.0,"51,819,668,554",327.2,512.6,-0.675,-1.11,200.16,367006.3949730573,104.40355236081848,225.21,167089.0,"31,813,597,544",302.72,508.76,-1.77,-1.515,200.67,322032.2377715669,88.54836727175352,226.43,161664.0,"11,803,596,534",292.28,501.23,-1.6949999999999998,-0.915,198.79,271567.082322772,74.59256864842432,227.75,154969.0,"8,784,577,519",278.39,494.52,-2.64,-3.66,202.92,252328.47200162007,118.99416084144305,229.07,217486.0,"0,853,830,588",402.96,554.6,-2.745,-5.475,197.64,401628.1585084861,83.17344674109644,226.52,246559.0,"0,1146,927,886",534.21,665.56,-3.21,-3.9,193.62,437349.7988499664,104.59117322185512,222.44,191004.0,"376,1159,527,907",638.67,750.34,0.39,-0.4349999999999999,194.79,336419.41512615856,133.504578515903,219.83,196495.0,"366,1150,511,877",624.72,753.46,-3.42,-2.205,192.77,302964.8258722843,86.75653449360044,221.02,220935.0,"187,1149,645,862",587.84,745.14,-1.485,-1.095,194.1,334369.9335604495,68.92789303208554,223.01,217145.0,"144,1144,673,865",576.07,743.42,-2.04,-2.22,195.84,360262.8254318499,123.48464203445482,223.55,220772.0,"136,1125,682,838",550.12,711.33,-1.83,-1.26,196.31,427621.4590036026,103.51591628308776,224.47,210988.0,"7,1098,793,804",513.99,679.61,-1.755,-2.535,196.53,407599.783998066,84.82910177997562,224.94,136866.0,"331,964,456,651",584.0,640.0,-1.455,-1.23,206.98,190062.132243539,50.5857497755179,226.52,79709.0,"394,857,380,558",607.59,513.58,-0.72,-1.47,207.27,175313.11360176632,69.50873770958901,225.93,73919.0,"371,821,403,527",605.89,489.66,-0.165,-3.765,205.17,170451.15865030658,78.37766418012741,226.01,69678.0,"396,821,378,532",615.32,489.16,0.3,-4.7700000000000005,205.68,144212.41725334185,116.86230555672887,226.53,66166.0,"403,810,377,512",619.49,486.94,-0.285,-7.199999999999999,205.87,124337.8688113056,72.97998673996176,226.08,67249.0,"379,797,391,526",612.57,478.85,-0.8699999999999999,-6.6000000000000005,209.16,112941.7005003884,73.02128805095386,226.28,71562.0,"363,792,396,553",606.31,468.33,-0.975,-5.73,210.43,105391.77711992907,75.41006306043245,226.66,79497.0,"347,781,421,577",600.41,457.51,-2.325,-6.84,210.8,106946.01567825158,74.61714759588926,227.17,192.12,31
7,2006-07-30 07:00:00,853,"2191,473,51,43",2217.18,452.0,0.0,0.0,233.67,90.96304459907043,0.7155115601142599,237.92,1006.0,"2183,492,67,73",2219.52,450.44,-7.83,-3.2700000000000005,232.91,3076.409515753894,39.8521028457326,238.47,1371.0,"2184,480,60,83",2205.67,432.27,-6.51,-4.98,224.0,5365.890033185876,28.624113525065667,235.81,1584.0,"2165,433,41,60",2187.0,403.39,-0.705,-25.11,223.48,9179.886604102043,45.01123729803501,232.77,3355.0,"2085,425,119,89",2159.36,383.59,-10.005,-9.93,217.99,14280.70387792728,31.40047250886098,231.51,5757.0,"2079,424,118,99",2143.11,372.84,-8.43,-4.215,213.37,16845.17164461364,38.9625123946531,230.3,13167.0,"2058,463,216,183",2149.32,377.34,-3.915,-3.015,213.61,37868.193149675804,96.20177238804084,230.53,19050.0,"2034,468,246,205",2146.27,375.68,-3.765,-1.065,210.59,44766.66591635732,39.031685176002185,229.4,21624.0,"1997,452,282,183",2139.95,374.11,-1.485,-0.315,210.41,35328.61702217137,35.495499544591794,229.06,20175.0,"1973,452,297,150",2134.13,379.81,0.4649999999999999,-1.5,213.48,26292.37793122241,31.48748743062746,230.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.41,6
8,2006-07-30 07:00:00,43174,"1939,744,295,259",2115.33,622.51,0.0,0.0,205.27,64110.596716575514,37.745457096173084,226.21,32957.0,"1898,721,317,261",2108.72,606.15,-0.795,-1.755,209.94,58150.45421312732,56.08115227917181,229.83,28614.0,"1862,709,343,259",2105.34,594.72,-1.26,-3.78,215.23,40578.37825857381,40.95446393642683,232.08,17900.0,"2012,706,186,227",2119.6,566.66,-1.725,-2.88,219.23,21578.809226001194,34.11181872859987,232.97,9902.0,"2008,612,172,142",2116.97,534.33,-5.595,-0.855,223.76,1378.4748089671884,1.5199445884443075,233.33,9021.0,"1996,611,173,156",2102.34,519.02,-4.41,-2.04,222.92,412.0418219731605,0.788896400670898,233.64,6562.0,"1987,569,168,129",2092.28,497.2,-2.745,-4.035,224.0,5302.699560493064,37.61410699596084,233.56,4956.0,"2020,565,119,150",2078.17,484.22,-10.965,-5.8950000000000005,216.99,5497.903778664387,33.99937032913032,232.78,4053.0,"1974,495,107,91",2034.11,448.29,-11.895,-6.0600000000000005,215.65,1452.0100969361652,6.2593952839574145,231.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.27,9
9,2006-07-30 07:00:00,13489,"2745,671,223,160",2834.07,576.04,0.0,0.0,208.82,40650.225175847954,54.45401295585085,227.3,9553.0,"2719,692,104,151",2766.07,611.96,-18.435,0.63,205.88,44425.74679099506,88.56217609046912,222.61,12564.0,"2683,683,125,157",2739.98,598.07,-19.53,-5.49,205.37,29891.235544839106,38.117595328744116,220.85,17586.0,"2632,656,162,163",2712.76,575.88,-11.58,-4.11,208.41,15382.223223633004,48.41095004648586,222.3,22574.0,"2520,645,254,177",2670.48,562.97,-15.015,-13.065,211.38,10763.350737504854,48.737014063765045,225.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.37,5
10,2006-07-30 07:00:00,29920,"1358,780,196,243",1450.29,653.52,0.0,0.0,210.18,41242.33098391221,42.28605073949477,228.2,15368.0,"1346,699,158,163",1420.51,624.18,-2.805,0.315,210.45,28860.206633546193,49.149023150008794,230.36,10102.0,"1334,697,136,148",1393.9,625.4,-3.345,0.015,215.46,15897.768099418074,43.01085852129653,230.12,7811.0,"1331,701,102,149",1380.62,613.51,-3.03,-0.645,222.33,6733.775125209744,17.655304295585708,232.29,4789.0,"1321,644,95,91",1372.27,592.48,-1.02,-0.675,225.38,2324.093772160959,3.5846026604654355,235.39,1024.0,"1371,618,42,44",1394.5,599.99,-1.11,1.35,229.15,41.64328343543463,0.12016910058474124,236.49,830.0,"1338,595,36,37",1356.88,575.46,-46.95,-9.27,228.49,86.46494922721675,0.2579889177493121,234.8,1310.0,"1278,589,52,48",1300.39,566.1,-36.855,-10.68,223.59,487.91437929665034,4.280646283034718,231.9,822.0,"1275,572,27,47",1289.68,547.82,-3.96,-13.32,225.58,110.93399895131776,0.749358643700439,232.65,1770.0,"1245,603,50,90",1272.64,561.26,-16.755,2.655,214.11,6618.012849579687,43.509895817676956,231.74,3076.0,"1224,606,60,107",1258.47,563.73,-9.9,-9.285,210.54,11454.112465679318,67.42355580453786,228.14,4139.0,"1201,608,81,116",1243.58,562.44,-15.45,-2.58,212.98,9428.382060975287,41.30452919713749,229.89,1304.0,"1241,566,37,57",1259.14,536.45,-1.59,-4.695,222.46,2832.6658577735384,36.541983406118824,233.24,537.0,"1234,556,27,36",1249.96,536.28,-4.44,-7.965,225.21,721.8228162191795,1.2653601446423934,234.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.18,7
