start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,storm_id,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,rain_vol_26,rain_max_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,rain_vol_27,rain_max_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,rain_vol_28,rain_max_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,rain_vol_29,rain_max_29,tmean_29,area_30,bounds_30,clon_idx_30,clat_idx_30,PSu_30,PSv_30,tmin_30,rain_vol_30,rain_max_30,tmean_30,area_31,bounds_31,clon_idx_31,clat_idx_31,PSu_31,PSv_31,tmin_31,rain_vol_31,rain_max_31,tmean_31,area_32,bounds_32,clon_idx_32,clat_idx_32,PSu_32,PSv_32,tmin_32,rain_vol_32,rain_max_32,tmean_32,area_33,bounds_33,clon_idx_33,clat_idx_33,PSu_33,PSv_33,tmin_33,rain_vol_33,rain_max_33,tmean_33,area_34,bounds_34,clon_idx_34,clat_idx_34,PSu_34,PSv_34,tmin_34,rain_vol_34,rain_max_34,tmean_34,area_35,bounds_35,clon_idx_35,clat_idx_35,PSu_35,PSv_35,tmin_35,rain_vol_35,rain_max_35,tmean_35,area_36,bounds_36,clon_idx_36,clat_idx_36,PSu_36,PSv_36,tmin_36,rain_vol_36,rain_max_36,tmean_36,area_37,bounds_37,clon_idx_37,clat_idx_37,PSu_37,PSv_37,tmin_37,rain_vol_37,rain_max_37,tmean_37,area_38,bounds_38,clon_idx_38,clat_idx_38,PSu_38,PSv_38,tmin_38,rain_vol_38,rain_max_38,tmean_38,area_39,bounds_39,clon_idx_39,clat_idx_39,PSu_39,PSv_39,tmin_39,rain_vol_39,rain_max_39,tmean_39,tmin_min,mcs_thld
2006-08-31 07:00:00,8175,"2566,93,132,93",2634.63,42.63,0.0,0.0,199.71,18116.64385052843,60.47202366834458,220.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.71,1
2006-08-31 07:00:00,120996,"1828,482,756,477",2320.88,229.5,0.0,0.0,201.36,189487.7186496,106.1807106454072,223.28,117249.0,"1892,491,780,491",2341.35,212.68,-0.675,0.045,199.82,239064.5034389635,60.10150492877675,224.4,64842.0,"1913,438,513,313",2194.69,279.93,-1.305,-0.48,201.92,119259.66430525245,82.84813984139468,222.8,117695.0,"1860,454,796,454",2293.62,201.87,-1.095,-0.27,201.62,189069.44583156856,58.96496502713857,222.48,78026.0,"1817,461,539,326",2143.48,271.5,-2.595,-2.76,201.67,91783.77219011671,87.70884107710212,222.86,88177.0,"1781,443,573,332",2127.22,259.28,-2.715,-1.6949999999999998,201.66,78431.32617559245,128.584084262443,224.06,93558.0,"1824,433,518,348",2110.79,250.33,-3.24,-0.81,205.83,69963.06282432967,62.86994115286775,225.5,136370.0,"1717,427,839,427",2184.65,195.33,-1.83,0.51,205.55,127504.39690953924,55.75573505405286,227.46,91717.0,"1760,413,547,404",2070.23,233.08,-3.69,-2.55,204.78,66868.60403241015,55.05213688038563,227.71,84818.0,"1739,398,524,352",2041.68,228.48,-3.06,-2.4000000000000004,204.98,37710.33573590543,63.20333739927324,228.44,73420.0,"1716,385,523,302",2028.11,234.98,-2.25,-0.315,207.38,17145.232884964375,28.330468283703127,229.52,65193.0,"1782,396,400,324",1996.98,229.03,-1.335,-1.56,211.1,5704.673359997155,46.121343688027615,230.72,41628.0,"1748,314,417,244",2001.8,190.12,-1.35,-3.465,216.42,1310.7363797391363,2.789892515837478,232.8,25273.0,"1720,270,410,215",1965.02,189.88,-3.345,-3.6,219.27,257.8874740483537,1.8501747412599134,233.71,6118.0,"1830,203,211,169",1956.26,142.27,-9.105,-1.59,222.79,24.29494223254877,0.3984076411419981,235.09,2780.0,"1875,173,123,83",1945.41,133.74,-6.915000000000001,-4.23,223.55,0.6368990011654073,0.02637407804435433,234.43,1185.0,"1868,142,80,67",1904.52,106.78,-21.48,-1.83,226.72,3.9773655889958766e-05,5.280562153051296e-07,234.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.82,16
2006-08-31 07:00:00,21599,"1936,535,185,169",2033.61,452.26,0.0,0.0,216.28,4960.632766896869,7.745668380576035,229.82,15511.0,"1941,541,175,168",2042.25,450.03,-0.345,-0.045,224.19,1181.9616201492236,6.199734023603649,233.82,10836.0,"1921,525,194,130",2041.31,448.51,-2.34,0.195,227.48,569.4319443864466,2.249648166171018,236.48,2693.0,"1899,438,183,35",2001.79,423.6,-7.14,-2.22,225.11,165.296635162151,0.5827500140442122,235.3,1714.0,"1879,434,149,26",1960.86,423.08,-22.365,-4.5600000000000005,224.77,12.221908355747908,0.04365919182693438,233.15,1488.0,"1863,431,147,30",1942.61,419.42,-18.345,-4.71,226.89,28.027440334194974,0.0888123793832639,235.08,764.0,"1859,424,103,11",1910.49,418.76,-15.735,-2.7,231.01,0.005116034823963656,1.855721836136258e-05,235.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.28,4
2006-08-31 07:00:00,11550,"8,688,158,146",76.9,619.95,0.0,0.0,197.98,55554.04407758329,89.60643220764953,219.75,12191.0,"0,713,218,143",102.32,648.15,-0.315,2.55,195.53,69313.01858877584,60.10536830634223,217.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.53,2
2006-08-31 07:00:00,87401,"168,1025,427,458",374.42,781.16,0.0,0.0,194.48,242048.84533811125,129.71806832873418,220.61,75173.0,"183,970,339,419",360.3,761.92,-0.8400000000000001,1.755,193.41,277856.52997136244,168.33971633243866,219.72,85462.0,"0,945,508,453",297.9,718.43,-0.045,3.195,194.09,353951.23826980917,163.03627809005712,214.21,101667.0,"0,960,512,467",294.84,726.48,-0.36,2.64,195.21,357053.69401905907,128.2205782406509,214.22,114290.0,"0,963,519,469",292.77,722.44,-0.195,3.63,194.64,339190.1648294766,149.10228669486222,215.18,129312.0,"0,1003,528,501",289.02,728.83,-0.39,2.415,196.64,311943.6006657157,101.553689163276,217.16,138467.0,"0,1021,537,543",290.37,727.14,-0.18,2.835,196.49,294046.1256207647,100.5759145390528,218.35,145389.0,"0,1041,546,567",290.17,724.8,-0.135,3.03,196.93,247123.63224460973,94.32191845017663,219.19,147127.0,"0,1056,554,575",289.06,717.72,0.06,3.255,197.01,202757.96328044665,114.88976719470084,219.47,153468.0,"0,1003,554,520",287.22,707.93,-0.315,-0.6000000000000001,198.68,196210.48309760386,90.25315993983024,220.69,163981.0,"0,982,555,515",285.93,705.74,-0.18,0.855,198.82,168177.17627552804,148.15558356391364,222.79,169119.0,"0,996,568,540",289.17,709.7,-0.03,1.905,198.86,122020.66456673406,69.91892520597831,224.5,166315.0,"0,999,552,533",289.22,712.47,-0.06,-2.64,200.12,86905.37087575119,78.60245341465125,226.54,167680.0,"0,1011,708,545",308.5,720.26,-0.39,-0.855,192.36,129634.06459505994,65.18680248337107,226.86,100047.0,"0,983,469,549",209.62,662.93,-2.01,0.27,202.36,48978.56319931085,58.96547288802885,228.45,65868.0,"0,953,287,558",146.3,643.09,-3.06,1.6350000000000002,204.53,20646.074281121524,47.989651515469994,228.35,49127.0,"0,874,276,507",128.68,603.71,-5.1,-7.23,202.94,16574.53800383095,41.018642798464285,228.19,26387.0,"0,882,225,475",106.48,630.36,0.0,0.0,206.5,14985.759939593252,40.96520910407615,228.3,19522.0,"0,888,197,490",87.57,626.35,-7.274999999999999,-0.4349999999999999,208.92,10850.985389365116,34.97735434908289,227.62,10436.0,"15,750,118,322",67.16,582.33,-15.24,-6.779999999999999,215.01,6606.623135756527,34.49083040429001,228.6,10342.0,"16,742,130,297",70.41,577.56,-16.799999999999997,-8.084999999999999,214.18,6028.041365148843,47.70053056623372,230.14,9720.0,"0,726,129,255",59.43,567.04,-8.28,-10.245,209.54,1121.4919683817275,3.940474546978403,229.04,6593.0,"0,637,110,156",54.98,566.49,-1.935,-3.735,214.59,7760.146711888051,43.448369185625374,226.73,6540.0,"0,644,145,163",55.65,571.4,-4.0200000000000005,-1.5750000000000002,209.79,7761.18061676846,34.62721076114318,227.83,2420.0,"0,585,57,95",25.01,542.83,-1.14,2.955,207.46,2180.2045268875468,40.620821061809636,225.6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.36,25
2006-08-31 07:00:00,82276,"2088,988,451,397",2295.5,764.87,0.0,0.0,201.99,41379.69570847962,49.26381354950984,227.71,38092.0,"2106,920,290,303",2254.53,754.32,-5.46,-1.155,203.38,26173.039555620493,44.83387276958701,227.49,23169.0,"2037,784,288,155",2187.85,709.58,-13.02,0.165,206.67,12679.251849087184,26.65767306598212,225.42,24480.0,"1978,777,324,163",2157.38,701.92,-9.675,0.975,208.91,7322.959989368921,12.06768442289656,226.05,23209.0,"1925,771,352,141",2129.76,702.03,-24.075000000000003,-0.0,208.81,7536.011833665666,47.88978738599722,227.23,26305.0,"1874,769,376,198",2085.99,691.42,-28.59,6.18,202.78,10674.401796153476,48.32635522806933,229.22,21593.0,"1831,759,348,165",2027.04,686.01,-11.895,8.565,203.01,5878.667174393664,33.158836484940046,226.21,12981.0,"1961,750,176,152",2058.55,670.59,-31.200000000000003,-3.495,205.37,5364.135560872074,25.632378907555914,222.78,14940.0,"1909,751,202,158",2019.0,666.82,-18.165,6.029999999999999,205.52,2890.6385545216262,17.542327079562124,222.26,20697.0,"1861,754,233,220",1984.72,641.04,-18.105,2.235,207.28,7444.803225720291,24.670872514690217,224.94,20698.0,"1820,725,222,192",1941.7,633.71,-15.93,-0.075,208.49,23068.460030409824,63.15310435807366,227.81,15273.0,"1779,723,223,165",1887.28,623.03,-9.33,3.3000000000000003,200.04,29291.88983404566,72.67521015795006,227.61,9299.0,"1735,651,136,103",1806.71,594.74,-10.965,0.315,201.03,15694.691571981855,47.82879260795172,217.23,12614.0,"1693,654,160,115",1781.37,592.12,-22.83,0.705,207.44,7961.122644376716,24.788923116126742,219.89,14077.0,"1654,655,177,126",1754.64,586.88,-11.46,-0.09,206.9,2775.6302996608297,6.9260178239667365,226.49,8168.0,"1622,609,178,89",1731.42,568.29,-3.555,-7.23,212.55,192.75236761523874,1.8172623702410027,228.88,3395.0,"1689,603,79,78",1727.18,566.3,-16.845,0.27,221.96,35.53897196985297,0.10227343457761057,230.2,1251.0,"1679,584,45,35",1700.38,565.0,1.53,0.06,232.96,6.017437428079563,0.05724343643464197,237.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.04,17
2006-08-31 07:00:00,76566,"1085,1220,440,342",1277.38,1036.2,0.0,0.0,212.63,4183.007608003207,4.5680218755064015,229.82,38485.0,"1068,1124,430,210",1243.11,1009.55,-4.245,0.375,217.13,2100.7633080787514,1.3420851668569855,233.38,7271.0,"1196,1118,140,110",1272.08,1056.34,0.27,0.5700000000000001,224.56,4.842948056056086,0.021803532975560504,235.66,654.0,"1258,1076,39,30",1278.1,1063.2,-6.15,2.16,222.45,0.008943451157979078,4.825105781045615e-06,234.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.63,3
2006-08-31 08:00:00,638,"3057,500,43,23",3075.21,489.53,65.025,-36.495,234.74,0.0,0.0,238.16,1683.0,"3010,499,91,34",3052.77,481.16,-11.31,-11.055,229.18,2.3025912478692615e-05,2.613180475007136e-08,235.97,8739.0,"2942,551,336,98",3085.89,495.49,7.32,2.67,226.4,2.9385758598888392e-05,3.21903682394662e-08,235.14,11553.0,"2916,560,343,115",3069.12,497.03,-1.665,4.800000000000001,224.6,0.00020772675267609656,5.976000026108952e-08,232.94,15158.0,"2890,606,409,172",3063.95,504.54,-2.46,6.9750000000000005,222.11,0.0047702284230978316,1.5495012137395208e-05,232.04,16528.0,"2858,617,441,192",3051.84,508.5,-1.275,7.035,221.2,0.051341084745191716,3.085813530972887e-05,231.16,14545.0,"2809,618,490,171",3053.71,521.95,-3.165,2.085,218.67,1445.353808505316,13.532378159845194,231.6,23440.0,"2926,717,373,238",3165.45,622.47,-7.98,0.015,197.2,28408.309217276194,39.35696358760073,219.93,41461.0,"3000,733,299,256",3172.05,627.72,-10.035,2.745,191.38,65351.10380449283,53.14327393016045,214.19,66563.0,"2813,752,474,284",3108.92,627.71,-15.51,-1.275,194.28,97325.41219944059,54.88607906267148,212.2,84388.0,"2784,776,482,321",3076.89,624.94,-3.4799999999999995,-0.405,191.86,90086.56100775392,58.40489007422596,212.13,165442.0,"2294,907,960,463",2861.53,691.74,-7.665000000000001,0.675,191.82,149820.40536876817,79.19588804303888,210.88,103149.0,"2792,810,445,382",3057.11,623.21,-1.515,-0.165,197.47,39692.16071872452,43.01513615928101,216.12,103438.0,"2814,824,398,406",3047.73,615.99,-3.1500000000000004,0.135,203.84,28379.199440857752,32.13104940537323,220.01,108809.0,"2800,846,499,435",3047.38,610.08,-2.445,0.915,198.24,25764.041919057567,43.8829550815744,224.16,93354.0,"2780,776,519,370",3025.72,599.72,-3.42,0.18,193.92,48932.73391258101,53.3292171009668,225.82,38520.0,"2732,791,312,283",2897.85,651.85,0.495,-0.06,193.68,57459.150168190594,50.9713843587553,215.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.38,15
2006-08-31 08:00:00,5625,"2321,981,118,148",2374.05,894.31,-21.33,-0.045,219.51,0.018354190229414525,0.0003732876969712892,233.28,5700.0,"2291,985,130,164",2357.36,895.64,-24.765,-0.21,216.37,6.635866507450827e-05,3.903188803162669e-08,230.45,7028.0,"2256,985,143,187",2335.41,891.7,-25.665,-1.56,214.7,0.00020251231851304235,3.3633017707017676e-06,230.09,9492.0,"2163,983,220,195",2290.49,893.41,-26.22,-1.11,215.51,20.846466191600467,0.28201384580720584,230.64,6574.0,"2141,988,185,127",2245.38,914.47,-27.375,-0.99,216.53,11.22685623180614,0.09732749552227819,230.54,4047.0,"2216,990,97,131",2263.51,913.24,-29.25,-2.745,214.2,0.0,0.0,229.01,6341.0,"2205,947,114,176",2263.32,860.47,-24.615,-6.39,215.51,8.31616872030551e-09,0.0,228.42,3954.0,"2181,943,92,94",2225.03,893.12,-27.255000000000003,-8.73,213.71,0.0,0.0,228.66,4182.0,"2157,935,93,90",2203.46,886.91,-28.335,-8.475000000000001,215.87,3.4137475647121024e-07,0.0,230.55,2860.0,"2139,921,89,75",2185.43,886.45,-26.76,-4.545,218.65,0.0,0.0,231.66,1430.0,"2123,915,73,51",2160.93,892.47,-28.29,-2.445,220.1,0.0,0.0,232.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.71,10
2006-08-31 08:00:00,716,"1381,1186,32,37",1398.13,1166.19,46.485,-0.2249999999999999,224.5,0.0,0.0,235.95,1120.0,"1366,1192,45,46",1389.92,1172.85,-1.41,12.555,221.88,3.2197119827449667e-08,0.0,235.41,3445.0,"1313,1243,110,93",1359.48,1192.17,-14.775,7.14,215.96,6.670856651887837e-05,2.680799829916562e-07,233.72,2004.0,"1323,1200,88,41",1366.36,1176.51,-4.275,2.835,215.58,2.710945377079021e-06,1.524245790090701e-08,228.82,1917.0,"1316,1195,80,37",1354.8,1175.51,-4.574999999999999,0.255,217.84,5.980995744285446e-06,2.983108293054591e-08,227.78,3027.0,"1305,1238,86,83",1344.18,1186.08,-6.209999999999999,-1.41,218.89,3.6088195614615235e-05,1.1512318307237083e-07,229.87,4392.0,"1233,1197,159,69",1310.38,1162.1,-6.51,-1.485,219.56,0.00349265147603647,7.91744212474256e-06,230.61,4721.0,"1227,1195,166,70",1302.69,1158.89,-8.925,-2.16,220.46,0.000850040769132649,3.84808442008269e-06,231.24,4018.0,"1219,1190,167,68",1293.48,1157.39,-6.525,-2.73,222.05,0.0004685908296471911,4.886912992160214e-06,232.9,2178.0,"1261,1189,108,59",1306.92,1161.36,-17.265,-0.975,223.62,6.797360357543687e-08,0.0,233.55,851.0,"1286,1192,69,31",1316.54,1179.47,-16.169999999999998,5.355,225.99,1.2275876297836653e-09,0.0,233.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.58,5
