storm_id,start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,rain_vol_26,rain_max_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,rain_vol_27,rain_max_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,rain_vol_28,rain_max_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,rain_vol_29,rain_max_29,tmean_29,area_30,bounds_30,clon_idx_30,clat_idx_30,PSu_30,PSv_30,tmin_30,rain_vol_30,rain_max_30,tmean_30,area_31,bounds_31,clon_idx_31,clat_idx_31,PSu_31,PSv_31,tmin_31,rain_vol_31,rain_max_31,tmean_31,tmin_min,mcs_thld
1,2006-07-27 07:00:00,104306,"2675,474,538,384",2917.69,275.38,0.0,0.0,204.21,117982.06473528732,87.23161952602,224.07,89007.0,"2655,449,619,355",2930.18,288.73,-0.195,0.075,200.8,177536.72511811892,76.82308206879948,225.7,87922.0,"2622,462,637,332",2929.81,286.09,-1.335,-0.8999999999999999,203.71,138211.30309855586,56.85124785751197,223.97,93884.0,"2620,428,633,319",2914.8,281.84,-1.785,0.045,206.8,88448.57583719907,44.84669545820292,224.7,102954.0,"2584,445,715,349",2901.72,284.37,-7.709999999999999,1.545,207.84,61977.74879203934,65.21656068831123,226.9,59533.0,"2541,459,354,386",2744.94,267.47,-8.28,1.965,210.08,35306.80301847436,60.089483064349096,228.45,49934.0,"2480,393,397,318",2690.19,263.79,-2.01,0.675,203.2,28745.822276223455,41.56885613366256,227.07,45951.0,"2439,404,332,240",2627.01,291.43,-8.955,-1.155,206.81,21703.36877766088,56.45981901941216,223.22,53994.0,"2394,476,395,280",2596.71,320.69,-9.09,3.075,205.24,16220.305977014732,39.06036729438417,222.95,73586.0,"2357,557,428,358",2551.86,366.32,-8.774999999999999,2.595,207.96,17562.8077338927,57.44497807356011,224.61,122448.0,"2303,617,514,616",2538.85,334.09,-10.47,-2.475,198.9,69721.60863347843,53.1308831642384,226.07,102324.0,"2195,633,590,455",2500.51,437.21,-8.535,4.005,203.71,38110.38205375007,35.333068384755045,224.9,62035.0,"2243,646,512,269",2532.21,500.24,-7.515,-3.39,208.08,20322.05618626641,55.16660265174539,222.68,58918.0,"2258,654,462,275",2510.33,496.33,-11.79,-1.455,207.15,14956.55894809438,44.62919608206447,224.48,52417.0,"2232,656,449,270",2467.74,491.71,-4.92,3.78,207.03,15755.605308722294,41.793861573418496,227.38,34423.0,"2187,536,232,302",2293.52,382.76,-14.1,-1.65,205.83,15638.944344103904,65.49046772349622,227.52,30552.0,"2162,543,205,306",2266.27,407.41,-8.7,-1.605,209.87,9319.021517474095,38.09389539325818,227.81,27704.0,"2111,536,238,210",2253.78,429.33,0.375,-0.03,213.1,2625.950830850885,27.29023540009196,227.56,26790.0,"2088,541,247,226",2239.39,424.48,-9.135,-2.85,217.8,345.9552066861794,1.149046831525596,230.29,21885.0,"2088,528,226,221",2218.97,414.27,-17.91,1.605,220.52,623.6673219932544,2.0130840193474024,233.1,17200.0,"2061,517,209,186",2188.77,411.91,-3.51,-0.915,222.67,4606.692849316093,13.50236973348412,235.46,3732.0,"2064,482,145,79",2155.35,435.2,-0.54,1.77,224.57,2906.357216430903,18.258087409431543,235.69,983.0,"2119,449,73,21",2156.63,438.32,-12.36,7.59,234.2,1178.6404530771115,19.351634583516848,237.85,2313.0,"2143,475,100,39",2189.35,458.52,21.495,26.025,217.53,18131.208647045627,53.73077902010304,232.44,4548.0,"2119,489,127,62",2181.25,461.1,-4.050000000000001,6.404999999999999,212.93,21293.758110795472,64.40376420962205,228.99,6817.0,"2097,495,138,81",2160.36,458.66,-8.49,2.28,216.28,26215.437350064043,40.0056087877144,229.21,7940.0,"2080,497,144,88",2139.36,455.81,-13.53,1.71,217.42,17700.940500042685,42.22413881713408,230.23,8218.0,"2058,497,193,81",2136.01,460.39,-3.675,4.335,221.08,11185.190851606658,22.34000470248501,232.37,7517.0,"2056,500,183,80",2146.07,464.93,0.075,3.06,218.76,7738.881172273883,25.73165000512138,233.78,5947.0,"2089,514,139,78",2163.19,471.97,-4.53,5.385,223.0,680.6840016631439,15.9616254120848,233.9,,,,,,,,,,,,,,,,,,,,,198.9,29
2,2006-07-27 07:00:00,2335,"3222,358,71,64",3257.96,324.29,0.0,0.0,209.26,18176.231482923307,93.41438777404032,226.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.26,1
3,2006-07-27 07:00:00,5879,"16,517,109,103",73.75,457.13,0.0,0.0,219.83,4145.808373672543,42.83546091520487,231.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.83,1
4,2006-07-27 07:00:00,17072,"0,715,142,243",50.33,609.23,0.0,0.0,204.2,72731.30627098525,102.9142272950405,220.5,20242.0,"0,720,122,299",48.55,583.68,-2.61,-0.495,200.53,76133.78391458547,94.79101509550767,221.76,32443.0,"0,828,161,385",61.13,652.17,-2.535,3.705,200.13,104805.36607276765,89.6423438909913,216.77,37583.0,"0,881,256,446",68.31,675.49,-6.720000000000001,-1.62,203.53,81797.70184247966,54.37626296418205,218.51,41882.0,"0,881,213,458",67.93,669.23,-2.175,3.195,202.18,104477.78681423471,83.40741315250419,219.84,59502.0,"0,873,349,430",117.25,689.13,-10.02,-0.195,200.54,96568.48132999684,69.84996589348191,223.35,46903.0,"0,852,240,419",87.66,679.51,-2.655,-1.53,201.7,71769.5069027811,72.73708751868197,222.86,45044.0,"0,842,225,402",85.49,671.89,-1.6949999999999998,-0.66,202.36,79679.22866134594,60.93302125736544,224.08,44060.0,"0,866,214,433",83.87,675.8,-13.89,-1.155,201.59,71821.42004891715,102.3170273782534,224.08,39951.0,"0,800,251,349",83.16,661.17,-10.47,-4.425000000000001,203.13,61704.74920578182,59.64759852542661,224.27,43546.0,"0,790,232,307",92.2,647.53,-4.305,-1.4249999999999998,204.94,66505.81321564774,57.31072122618745,224.48,48605.0,"0,882,214,397",81.37,674.33,-2.805,-2.355,201.09,58537.17894470055,64.1385407763322,224.97,40040.0,"0,875,182,389",68.31,663.57,-0.4499999999999999,-1.6350000000000002,202.79,33458.03906639823,55.35900118893756,225.18,30248.0,"0,849,174,379",58.86,648.0,-0.81,-6.285,207.98,19030.08674854064,33.37045098588676,225.77,17858.0,"0,703,138,247",50.26,599.29,-2.7750000000000004,-0.6000000000000001,209.95,3565.9547699871646,9.745332228419883,227.79,11441.0,"0,694,118,207",45.01,613.26,-2.79,-0.4649999999999999,219.3,250.26579401093173,0.8764579218960231,232.45,3529.0,"0,656,94,100",38.86,612.48,-2.25,-5.8950000000000005,226.48,17.572925616041104,0.1254659979096499,236.37,522.0,"22,628,28,32",33.27,612.39,0.0,-0.0,232.2,4.585386677354269,0.0102141635615561,237.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.13,17
5,2006-07-27 07:00:00,5667,"323,667,93,146",366.59,602.13,0.0,0.0,223.38,8893.422244745932,32.80769719808316,234.73,3634.0,"306,685,56,146",334.32,601.09,-17.009999999999998,10.65,212.19,9149.673127673592,68.7681108468016,231.57,2447.0,"287,612,51,90",312.57,572.77,-23.1,0.66,210.44,2279.7860096405634,18.064047148689383,227.06,2242.0,"263,588,64,49",297.46,565.28,-18.525,-12.75,217.45,977.0366721981547,39.122613611026985,230.19,1322.0,"248,574,57,34",277.57,556.9,-18.105,-2.925,226.25,10.090988975533929,0.0938686254938383,234.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.44,4
6,2006-07-27 07:00:00,63054,"19,1010,349,359",201.62,813.16,0.0,0.0,202.31,38852.393546829415,62.78284439838685,222.71,54856.0,"32,974,296,381",191.03,801.43,-4.095,1.02,198.87,51825.27517221376,51.04620536370111,227.08,31606.0,"44,953,355,475",217.83,769.67,-10.215,-3.405,208.07,19628.678755314988,54.53763236417032,229.27,12039.0,"213,786,171,139",302.91,726.86,-12.03,-0.03,212.2,10676.774022713582,41.549785101280825,228.36,12207.0,"192,786,176,148",289.21,720.12,-9.12,-0.255,213.41,7521.766323533966,56.95830425339287,230.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.87,5
7,2006-07-27 07:00:00,993,"3257,746,42,81",3285.99,719.69,0.0,0.0,222.54,64.81723558271489,0.0,235.15,919.0,"3274,738,25,58",3290.79,713.65,-0.18,-1.4249999999999998,218.64,1.5030458869012888,0.0,230.27,1536.0,"3259,734,40,54",3284.07,710.26,-3.1049999999999995,-6.57,218.14,0.0001160021046169,0.0,228.14,2357.0,"3231,729,68,71",3275.58,702.68,-12.225,-7.365,218.91,0.0003415241211249,0.0,230.2,3456.0,"3208,726,91,83",3266.15,689.98,-22.77,-5.715,222.24,0.0005763516747428,3.20173950415038e-09,231.93,2980.0,"3190,718,109,71",3255.06,685.18,-27.27,-9.03,220.27,0.0001582897023888,0.0,233.37,1535.0,"3219,693,80,43",3267.26,673.97,-2.745,-11.865,224.1,2.596870215736378e-05,0.0,233.2,1254.0,"3226,689,73,38",3262.88,673.43,-32.985,-7.62,229.47,2.081803581724898e-05,0.0,235.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.14,3
8,2006-07-27 07:00:00,1062,"390,748,38,40",410.21,727.6,0.0,0.0,219.03,3789.797947173964,17.771603683922976,230.6,2428.0,"360,765,58,68",389.95,732.01,-16.455000000000002,3.555,216.51,7977.931105417732,78.57970102801157,230.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.51,1
9,2006-07-27 07:00:00,3558,"907,1028,112,112",953.05,980.46,0.0,0.0,221.55,1.2780251968325038,0.0261207757295383,233.3,1307.0,"886,952,58,55",915.4,923.94,-18.84,2.565,225.06,1.2065372579043791e-09,0.0,232.9,1420.0,"854,938,72,58",893.31,908.24,-20.115,-13.215,221.8,0.0,0.0,232.14,969.0,"842,918,62,48",870.67,891.51,-16.695,-12.825,225.59,4.770855613743216e-09,0.0,234.47,1052.0,"787,901,96,51",840.32,872.87,-23.67,-14.37,231.24,9.19908605414368e-07,6.815673604902388e-09,237.1,607.0,"785,868,44,28",803.17,851.65,-19.065,-23.76,232.93,0.0014318193895197,2.936259021518559e-07,237.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.55,1
10,2006-07-27 07:00:00,27936,"983,1216,215,215",1098.33,1103.69,0.0,0.0,213.83,20117.333576505123,21.909586708043257,227.83,20242.0,"998,1198,160,189",1077.98,1106.65,-4.59,2.73,218.81,9514.967382427352,11.276069083277289,232.67,13908.0,"980,1184,153,169",1049.07,1099.34,-5.025,0.405,223.49,1847.5863492519509,2.7856958043116964,234.97,7573.0,"956,1139,133,117",1034.25,1075.15,-6.135,-5.115,225.25,327.8664159044756,0.689239915696193,235.85,4551.0,"940,1125,120,114",1012.91,1061.61,-11.235,-6.165000000000001,225.49,27.27054219511666,0.170195447994777,236.48,2828.0,"950,1101,90,86",1000.25,1063.84,-18.33,-1.815,226.85,5.774131504966616,0.1204366860152219,234.57,2176.0,"940,1100,86,54",987.01,1070.88,-17.25,0.03,228.61,0.7808569726044992,0.0121153881749712,234.7,1879.0,"926,1097,90,56",967.53,1069.5,-15.615,-0.12,229.06,1.354658044379885,0.0002840585437211,235.35,1367.0,"896,1092,70,46",937.75,1066.29,-15.225,-3.1500000000000004,228.77,0.0695711483833479,3.091243608841341e-05,235.63,993.0,"903,1093,49,60",927.46,1062.83,-16.875,-2.46,230.12,0.7976770786306783,0.2232385268827677,236.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.83,6
