storm_id,start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,rain_vol_26,rain_max_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,rain_vol_27,rain_max_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,rain_vol_28,rain_max_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,rain_vol_29,rain_max_29,tmean_29,area_30,bounds_30,clon_idx_30,clat_idx_30,PSu_30,PSv_30,tmin_30,rain_vol_30,rain_max_30,tmean_30,area_31,bounds_31,clon_idx_31,clat_idx_31,PSu_31,PSv_31,tmin_31,rain_vol_31,rain_max_31,tmean_31,area_32,bounds_32,clon_idx_32,clat_idx_32,PSu_32,PSv_32,tmin_32,rain_vol_32,rain_max_32,tmean_32,area_33,bounds_33,clon_idx_33,clat_idx_33,PSu_33,PSv_33,tmin_33,rain_vol_33,rain_max_33,tmean_33,area_34,bounds_34,clon_idx_34,clat_idx_34,PSu_34,PSv_34,tmin_34,rain_vol_34,rain_max_34,tmean_34,area_35,bounds_35,clon_idx_35,clat_idx_35,PSu_35,PSv_35,tmin_35,rain_vol_35,rain_max_35,tmean_35,area_36,bounds_36,clon_idx_36,clat_idx_36,PSu_36,PSv_36,tmin_36,rain_vol_36,rain_max_36,tmean_36,area_37,bounds_37,clon_idx_37,clat_idx_37,PSu_37,PSv_37,tmin_37,rain_vol_37,rain_max_37,tmean_37,area_38,bounds_38,clon_idx_38,clat_idx_38,PSu_38,PSv_38,tmin_38,rain_vol_38,rain_max_38,tmean_38,area_39,bounds_39,clon_idx_39,clat_idx_39,PSu_39,PSv_39,tmin_39,rain_vol_39,rain_max_39,tmean_39,area_40,bounds_40,clon_idx_40,clat_idx_40,PSu_40,PSv_40,tmin_40,rain_vol_40,rain_max_40,tmean_40,area_41,bounds_41,clon_idx_41,clat_idx_41,PSu_41,PSv_41,tmin_41,rain_vol_41,rain_max_41,tmean_41,area_42,bounds_42,clon_idx_42,clat_idx_42,PSu_42,PSv_42,tmin_42,rain_vol_42,rain_max_42,tmean_42,area_43,bounds_43,clon_idx_43,clat_idx_43,PSu_43,PSv_43,tmin_43,rain_vol_43,rain_max_43,tmean_43,area_44,bounds_44,clon_idx_44,clat_idx_44,PSu_44,PSv_44,tmin_44,rain_vol_44,rain_max_44,tmean_44,area_45,bounds_45,clon_idx_45,clat_idx_45,PSu_45,PSv_45,tmin_45,rain_vol_45,rain_max_45,tmean_45,area_46,bounds_46,clon_idx_46,clat_idx_46,PSu_46,PSv_46,tmin_46,rain_vol_46,rain_max_46,tmean_46,tmin_min,mcs_thld
1,2006-07-30 07:00:00,2703,"2065,367,98,105",2117.7,315.17,0.0,0.0,222.55,6668.28662704129,53.87631788919661,234.09,2059.0,"2103,367,57,62",2132.33,338.04,0.675,0.945,220.96,2021.53481089908,45.8504956791987,230.48,2497.0,"2075,368,85,75",2119.65,330.83,-4.74,-9.195,225.69,3383.029722748495,34.14603174202253,233.19,1795.0,"2070,369,77,75",2108.79,332.5,-5.805,-3.09,229.89,1595.6244918741863,6.06101610177587,235.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.96,2
2,2006-07-30 07:00:00,1316,"366,394,43,42",389.03,375.37,0.0,0.0,225.34,11678.315615812751,31.978483108490323,231.87,2463.0,"307,424,103,79",365.65,388.04,-2.865,3.06,217.23,19240.297387637074,108.72023593745892,232.71,3141.0,"276,435,135,92",343.25,397.89,-1.29,-0.27,213.57,18691.91890627289,64.65738061158014,232.41,3446.0,"261,439,88,56",306.11,409.51,-10.26,-2.565,205.45,18105.56439504384,47.14466752903097,227.77,4755.0,"232,438,118,62",294.75,405.89,-4.74,-0.855,212.24,18633.24262489777,25.75305805981321,226.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.45,4
3,2006-07-30 07:00:00,5888,"1599,447,93,94",1640.8,397.97,0.0,0.0,211.13,40909.32277588351,87.67553435938578,229.39,6132.0,"1586,456,96,104",1630.06,404.67,8.925,0.165,210.88,44499.58891806303,114.6813551644032,227.82,9521.0,"1580,497,138,149",1638.36,422.74,-2.7,0.42,207.36,37947.66271475841,54.11274944763082,225.97,10942.0,"1556,497,160,166",1630.94,422.18,-3.63,-0.4649999999999999,212.27,37867.22443337474,61.82350093885714,228.71,8993.0,"1536,495,164,122",1611.67,432.52,-9.21,0.03,217.54,13869.709422919505,41.29617049697771,230.44,8374.0,"1532,502,142,136",1602.04,425.64,-4.574999999999999,1.095,216.79,8926.30080258635,37.00944612964774,233.2,4117.0,"1525,448,112,95",1593.66,398.98,-2.19,-5.1450000000000005,223.93,4868.357975936456,41.203376830701394,233.0,3012.0,"1550,437,88,84",1599.25,394.03,-2.97,-0.4349999999999999,226.51,1535.8716297804442,10.21469552566048,236.11,642.0,"1567,392,34,33",1588.03,373.93,-10.68,-13.005,229.14,53.09545802661968,0.4819853196890051,236.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.36,8
4,2006-07-30 07:00:00,4573,"554,446,107,85",606.44,405.28,0.0,0.0,215.18,27588.98528114504,45.93748087460299,234.82,2185.0,"560,418,65,55",592.69,389.82,-1.62,-0.645,215.61,14018.262639031153,50.47723326098698,232.61,2075.0,"563,407,74,50",596.85,378.81,3.135,-10.725,209.43,15643.04106158163,55.14382089417748,230.27,2271.0,"562,393,83,44",600.41,370.98,0.51,-8.715,222.65,10960.781589027763,38.23386341260603,234.14,856.0,"567,376,43,40",589.72,357.9,7.02,-12.735,231.76,3952.095647069775,12.301631452490216,238.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.43,2
5,2006-07-30 07:00:00,2798,"280,443,83,52",320.45,417.4,0.0,0.0,219.22,10509.062010512956,40.96990429905847,233.73,658.0,"268,440,39,29",284.01,424.03,-11.1,11.7,230.74,152.69840633203157,0.01671932907483,235.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.22,1
6,2006-07-30 07:00:00,83080,"305,812,416,390",504.1,595.4,0.0,0.0,194.02,340168.34538694046,201.64011727866864,219.63,77808.0,"280,739,385,327",483.97,587.71,-1.23,-3.78,193.37,382870.50342791015,153.32778210053837,218.5,78800.0,"274,745,371,376",460.88,583.89,-1.005,-1.86,192.67,395301.1925988266,157.64316680918634,215.45,89996.0,"249,755,376,382",442.97,581.73,-2.175,-0.885,192.79,384611.4695670886,128.47242293761394,215.53,97021.0,"211,774,417,384",421.9,583.14,-0.6000000000000001,0.15,192.67,368469.5844204258,113.2381984905788,215.76,112962.0,"171,791,471,419",392.29,569.79,-1.665,-0.42,193.25,397571.7301057301,114.47505402504017,217.51,124691.0,"158,805,495,448",375.97,564.24,-1.77,1.395,194.5,384970.7633231686,163.59703334627255,219.04,131061.0,"142,819,516,470",363.35,557.39,-1.155,0.045,197.26,368290.40619033016,72.36179585594344,219.44,143746.0,"116,823,539,540",352.32,542.69,-0.735,-1.5,196.54,375839.8502415114,107.52209011716462,220.71,151384.0,"87,834,541,552",339.34,533.99,-1.02,-1.365,199.18,383622.0615726271,96.58233390406316,221.72,167266.0,"69,843,655,574",344.88,513.31,-1.785,-2.115,202.0,405124.3497122467,82.83818937957686,223.63,165876.0,"52,846,570,579",314.33,514.49,-2.64,-0.5700000000000001,200.01,346134.46623417165,106.20050185418512,224.77,164439.0,"19,808,605,549",308.78,498.37,-1.35,-0.72,197.22,318031.2938188808,154.2083151730497,226.46,164104.0,"8,817,607,555",298.3,493.85,-1.32,-0.4499999999999999,197.93,267661.79988036363,133.30069819154852,228.35,152139.0,"8,797,601,540",274.42,485.53,-2.445,-1.155,200.71,258222.65592779385,71.53690639445418,229.67,757.0,"374,516,42,26",393.7,502.36,-1.38,-7.14,232.61,2.3879023841429348,0.0035710093255098,237.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.67,15
7,2006-07-30 07:00:00,856,"2191,473,51,43",2217.2,452.02,0.0,0.0,233.68,93.10507023854504,0.5225065130331246,237.91,1025.0,"2183,491,68,72",2219.77,450.76,-7.215,-10.17,232.77,2891.460711710586,27.91042990486221,238.4,1261.0,"2183,473,48,73",2204.08,430.61,-1.89,-2.55,223.12,5024.998931647436,29.435121684501297,235.78,1467.0,"2167,432,41,63",2188.48,404.39,-8.459999999999999,-8.415000000000001,223.82,10586.175914177951,41.2520178580634,233.3,4151.0,"2074,427,132,127",2146.89,372.75,-2.865,-1.2000000000000002,216.77,12746.796779755898,47.61294193000179,233.16,6216.0,"2078,426,122,135",2146.81,369.41,-3.42,-1.185,217.38,13601.832573233058,27.80747084043403,231.5,11893.0,"2070,456,204,183",2160.01,383.86,0.33,-3.345,214.92,40832.94975249718,43.223358282568405,230.59,16585.0,"2042,450,229,156",2153.15,382.45,-4.035,-2.085,209.95,42001.67677345652,64.0625759182034,228.01,20566.0,"2018,451,259,149",2137.97,380.62,-2.4000000000000004,-0.99,210.36,37763.586956304345,56.88737870799077,227.53,23078.0,"1988,457,293,160",2118.5,376.65,5.1,-7.005,210.32,25010.42119746784,105.58195730249894,229.98,15107.0,"1955,453,204,158",2068.57,381.95,-4.245,-2.325,209.42,34257.377474548484,109.6461211916392,230.31,15293.0,"1902,456,222,136",2026.01,395.35,-6.465,0.48,208.52,32264.649429943925,55.556595169735424,228.51,13705.0,"1904,483,224,139",2020.05,409.67,-0.63,1.905,210.05,32671.528710519564,52.72994876129259,226.87,10603.0,"1919,443,167,116",2004.55,398.67,-0.63,-0.75,210.42,17099.906911040496,31.405301850142845,227.28,9312.0,"1924,443,157,120",2001.45,402.92,-1.035,2.175,216.24,9102.873499328874,57.744919535932056,228.88,7215.0,"1932,440,135,78",2000.95,402.61,-1.245,-3.405,223.53,7053.719096427435,24.32811463528548,232.83,3176.0,"1948,430,101,61",2006.24,402.64,-1.89,-3.135,223.7,3094.1166454029053,9.773504973327068,236.41,1184.0,"1990,434,46,38",2012.42,415.13,-0.045,-0.015,222.42,794.505849163444,7.495596019022141,232.6,981.0,"1980,435,40,40",1997.05,416.87,-14.82,-0.06,232.01,7.953969575284577,0.0037997847304546,237.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.52,13
8,2006-07-30 07:00:00,43182,"1939,744,295,260",2115.34,622.51,0.0,0.0,205.37,65831.14144347017,52.29183835656399,226.22,34114.0,"1898,721,317,296",2110.27,600.99,-0.945,-1.92,209.41,56948.87362377916,58.125938226907365,230.08,28493.0,"1862,709,343,255",2105.15,594.67,-2.13,-4.1850000000000005,213.52,39014.80331915386,30.91881510925588,232.07,17586.0,"2011,706,186,226",2119.79,566.99,-0.4649999999999999,-3.435,220.0,19471.09447757838,52.51830164602645,233.03,10036.0,"2008,609,172,142",2117.19,534.02,-0.4349999999999999,-4.0200000000000005,222.98,1813.209686110876,39.77730650442493,233.14,9554.0,"1993,608,177,161",2102.42,519.73,-3.615,-3.375,222.6,678.7766391212696,1.3657997447307044,233.62,7606.0,"1985,588,172,165",2093.28,504.39,-4.83,-4.875,224.49,4808.104540280773,69.44237199089167,234.17,6147.0,"1960,549,178,132",2064.37,474.65,-13.365,-8.55,216.18,6395.957590694378,32.3157311479989,233.54,4651.0,"1959,508,133,116",2029.56,447.39,-14.205000000000002,-6.4350000000000005,217.06,2094.467269576443,5.722504256053165,231.39,4006.0,"1956,477,99,106",2000.54,423.59,-8.865,-20.34,223.88,2669.541954269225,30.720584119382718,232.04,3546.0,"1909,438,108,89",1965.58,397.43,-9.255,-3.6,223.42,2451.9073775032857,29.80329521907917,233.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.37,11
9,2006-07-30 07:00:00,13490,"2745,671,223,160",2834.1,576.05,0.0,0.0,208.79,40399.136881154845,59.72116579823474,227.28,9576.0,"2719,692,104,151",2766.07,611.88,-18.105,-9.945,206.29,47930.40584201023,75.42924271633794,222.54,12613.0,"2682,682,125,157",2739.84,597.66,-18.915,-5.94,205.17,27998.11476762349,46.73468464971309,220.68,17894.0,"2632,667,163,173",2712.2,577.99,-15.044999999999998,-5.324999999999999,207.91,13666.73246038841,40.71058564917006,222.69,22338.0,"2521,645,249,177",2669.57,562.82,-20.49,-4.83,212.69,9615.7108333179,23.45269818495476,225.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.17,5
10,2006-07-30 07:00:00,29915,"1358,780,196,243",1450.3,653.54,0.0,0.0,210.27,41398.401779880645,42.93449744453413,228.2,15359.0,"1346,699,158,163",1420.58,624.14,-3.3600000000000003,0.105,210.59,28504.2471797972,54.56485874115067,230.37,10084.0,"1334,696,137,145",1393.79,625.56,-3.165,0.015,214.51,15961.163529732492,36.78399215352745,230.24,7731.0,"1330,701,102,146",1381.51,613.98,-2.055,0.045,219.6,6888.492583614862,79.69295793952907,231.97,4924.0,"1320,644,96,91",1373.87,592.18,-0.285,-5.535,226.77,2703.2296778189184,4.559969127941647,234.55,1885.0,"1335,619,64,73",1366.94,577.16,-5.445,-6.779999999999999,226.79,320.1256637345142,1.997031368023908,235.99,929.0,"1333,603,39,47",1355.91,577.62,-6.99,-7.949999999999999,228.38,100.90056712384042,0.4332325350089188,235.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.27,5
