storm_id,start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,rain_vol_26,rain_max_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,rain_vol_27,rain_max_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,rain_vol_28,rain_max_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,rain_vol_29,rain_max_29,tmean_29,area_30,bounds_30,clon_idx_30,clat_idx_30,PSu_30,PSv_30,tmin_30,rain_vol_30,rain_max_30,tmean_30,area_31,bounds_31,clon_idx_31,clat_idx_31,PSu_31,PSv_31,tmin_31,rain_vol_31,rain_max_31,tmean_31,area_32,bounds_32,clon_idx_32,clat_idx_32,PSu_32,PSv_32,tmin_32,rain_vol_32,rain_max_32,tmean_32,area_33,bounds_33,clon_idx_33,clat_idx_33,PSu_33,PSv_33,tmin_33,rain_vol_33,rain_max_33,tmean_33,area_34,bounds_34,clon_idx_34,clat_idx_34,PSu_34,PSv_34,tmin_34,rain_vol_34,rain_max_34,tmean_34,area_35,bounds_35,clon_idx_35,clat_idx_35,PSu_35,PSv_35,tmin_35,rain_vol_35,rain_max_35,tmean_35,area_36,bounds_36,clon_idx_36,clat_idx_36,PSu_36,PSv_36,tmin_36,rain_vol_36,rain_max_36,tmean_36,area_37,bounds_37,clon_idx_37,clat_idx_37,PSu_37,PSv_37,tmin_37,rain_vol_37,rain_max_37,tmean_37,area_38,bounds_38,clon_idx_38,clat_idx_38,PSu_38,PSv_38,tmin_38,rain_vol_38,rain_max_38,tmean_38,tmin_min,mcs_thld
1,2006-08-04 07:00:00,51698,"2684,468,615,413",2932.98,305.85,0.0,0.0,220.42,5.084293148132766,0.0239705623310451,233.13,46545.0,"2677,460,622,410",2939.48,274.36,0.855,-8.955,213.76,3.331327412469597,0.0445750759581649,230.93,50085.0,"2751,459,548,413",2955.56,264.81,1.65,-1.65,213.56,0.94445944984548,0.0042292529919012,227.47,65253.0,"2745,465,554,441",2956.49,251.49,0.8250000000000001,1.365,212.86,0.7219116128180959,0.0118114251736214,227.26,74953.0,"2722,468,577,450",2953.34,251.07,-0.885,-0.03,211.5,3.487422071991709,0.0175576987292654,227.0,74076.0,"2683,469,616,461",2938.26,251.99,-0.2249999999999999,-0.405,210.16,1.3439082437205514,0.0287447392268352,225.96,70275.0,"2636,452,663,445",2914.08,252.22,-1.65,0.03,208.53,461.7364689121087,0.0268001506976193,224.61,71152.0,"2629,440,670,433",2898.27,243.24,-2.64,-0.8699999999999999,207.7,2830.4168398276597,0.0044018317794785,224.14,77473.0,"2445,436,854,428",2847.32,221.51,-4.5600000000000005,-4.755,209.84,4209.784983331687,1.7168521701707768,224.83,74702.0,"2438,434,861,426",2815.78,206.13,-0.975,-1.6800000000000002,208.58,4035.107248136711,0.012861655269123,225.32,64406.0,"2431,402,852,394",2778.01,184.02,-0.705,-1.59,209.0,4.469489730986379e-05,4.4023618415636493e-07,227.01,35857.0,"2484,241,436,241",2688.58,124.58,-0.36,-3.615,210.49,2.3459614658288917e-05,7.977024168325524e-08,227.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.7,12
2,2006-08-04 07:00:00,1592,"1707,361,114,125",1764.9,294.09,0.0,0.0,224.6,0.4757545091587244,0.0091534768204823,236.0,1617.0,"1713,350,101,119",1765.59,294.52,-16.68,-7.949999999999999,223.69,2.0248546618021529e-07,0.0,235.31,1795.0,"1736,340,82,69",1772.68,307.68,-4.86,-13.05,226.44,0.0017793406081739,4.249292941592092e-07,234.14,1027.0,"1738,333,60,38",1765.11,314.09,-23.91,-11.865,226.31,0.0011182488494098,2.2498576740262163e-06,234.2,993.0,"1718,331,63,35",1750.68,311.2,-16.155,-8.19,224.17,1.478692578869067e-08,9.384603283700434e-11,233.25,1672.0,"1701,358,83,64",1741.47,319.46,-15.105,-2.505,220.45,1.8697511695521309e-06,2.3812223736078216e-08,232.44,1626.0,"1680,326,70,41",1710.8,306.15,-18.045,-0.945,219.12,2.394843182132107e-06,0.0,229.88,1989.0,"1657,336,82,51",1695.45,307.45,-22.575000000000003,-1.32,220.92,9.35773023852478e-07,0.0,231.98,3659.0,"1598,334,135,85",1659.98,288.82,-18.33,0.075,220.26,1.904942465509173e-05,3.5540892036507675e-08,233.5,2600.0,"1572,302,90,62",1620.0,268.97,-16.725,-3.045,223.12,1.3642484723350624e-05,1.104749387719496e-09,233.74,2828.0,"1545,298,121,68",1602.38,266.1,-20.28,-0.33,224.55,9.397803622175024e-08,0.0,236.15,2844.0,"1532,282,71,85",1567.1,235.46,-22.545,-0.33,226.94,0.0,0.0,236.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.12,4
3,2006-08-04 07:00:00,220665,"1881,1102,616,864",2229.0,743.87,0.0,0.0,208.79,160016.72464013618,58.86097926343333,230.64,199681.0,"1945,1096,545,890",2251.33,738.01,-2.085,0.5700000000000001,203.29,111345.41269215965,45.51359545390406,231.57,201810.0,"1961,1096,549,924",2272.42,704.71,-1.2000000000000002,0.42,206.82,84918.92328429058,49.18700684159752,230.18,206433.0,"1938,1097,551,904",2262.71,703.54,-1.905,-0.045,212.27,59203.96725170814,40.32466132159245,229.21,214187.0,"1897,1119,582,998",2237.09,680.1,-2.595,-0.615,212.31,45391.44645258037,30.70344307860406,228.98,206356.0,"1892,1122,588,1008",2228.38,675.76,-2.535,-0.8999999999999999,211.1,42423.472705611166,48.043405419521626,228.37,205570.0,"1884,1126,574,1029",2208.08,664.95,-4.065,1.7399999999999998,210.8,43450.49574705416,50.80943012023989,227.81,205800.0,"1855,1132,593,1037",2174.86,660.28,-5.19,-0.645,208.92,57238.2848350077,47.27185985267724,227.54,224603.0,"1687,1133,831,1046",2137.01,650.98,-5.445,-2.1,207.79,56958.39507825393,51.58273831140685,227.98,174855.0,"1797,911,632,671",2109.08,621.91,-4.125,-0.735,207.19,63845.70426446364,48.90478336238246,227.95,152955.0,"1766,879,590,686",2070.71,592.8,-2.955,-2.16,204.96,85654.28332179811,82.98560464503048,228.81,123286.0,"1767,780,561,586",2076.2,556.94,-3.87,-2.37,203.94,68162.26202685009,77.42006032479263,230.56,90403.0,"1622,736,684,460",2064.83,524.15,-0.8999999999999999,0.6000000000000001,217.48,6545.886772751087,17.58132276571842,233.55,21252.0,"1916,558,308,257",2076.08,422.24,-0.8250000000000001,-2.265,218.06,68.84590816457833,0.6758636635757005,232.86,15209.0,"1950,536,252,227",2074.64,423.77,-0.5549999999999999,0.615,220.02,61.5445049898044,0.7539090090352656,231.66,14695.0,"1932,534,260,224",2067.15,423.84,-4.995,3.54,219.73,53.46350909385768,1.5161457496922084,232.33,10544.0,"1914,510,255,196",2054.26,413.49,-1.5,2.46,221.56,12.40078616197408,0.0320560235290931,233.43,7843.0,"1881,439,240,123",2028.88,383.67,-0.015,-0.015,223.94,1.859205154656128,0.0155372968547134,233.67,8765.0,"1863,451,248,178",2019.67,371.73,-3.015,-4.44,222.2,1.2278863526335968,0.0095307735915203,234.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.29,19
4,2006-08-04 07:00:00,45105,"0,753,387,448",192.22,559.73,0.0,0.0,198.89,151798.04182688272,68.78202764468769,222.35,17915.0,"158,714,179,184",247.43,615.19,0.09,1.395,202.94,35192.6348994089,46.36836388704256,221.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.89,2
5,2006-08-04 07:00:00,3247,"0,622,46,109",17.52,566.09,0.0,0.0,203.31,4547.770228049175,10.407391412679155,217.36,4327.0,"0,629,58,122",21.9,570.83,2.1,-0.0,201.54,8385.371543063606,8.138962161823713,220.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.54,2
6,2006-08-04 07:00:00,10714,"321,730,149,187",407.24,628.31,0.0,0.0,208.7,27195.75958193165,49.325662041760935,229.94,7905.0,"337,777,141,167",417.82,684.14,1.6800000000000002,-1.83,207.75,13453.35193716764,20.66827614911801,229.07,10375.0,"381,734,117,182",444.82,629.56,3.87,-0.18,202.28,34719.690442193576,56.28266536273492,223.05,11976.0,"378,733,130,199",446.97,619.85,0.855,-6.135,204.61,43000.36757044795,64.35290991349775,221.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.28,4
7,2006-08-04 07:00:00,7636,"9,785,170,96",102.26,737.77,0.0,0.0,215.14,551.4270468869184,1.159867110082963,230.75,2190.0,"30,774,83,67",70.87,739.49,-2.595,0.315,217.96,20.94172323875109,0.0647607162694939,230.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.14,1
8,2006-08-04 07:00:00,16721,"2791,874,222,164",2910.86,795.35,0.0,0.0,202.22,38326.07149783596,42.88095916333064,224.15,15871.0,"2813,870,173,185",2892.45,787.97,-5.6850000000000005,-8.91,207.41,22942.87437037426,46.09429113680101,227.14,16329.0,"2807,864,146,195",2876.94,781.75,-8.715,-0.105,216.58,11840.623321534791,24.092734986642974,230.17,18832.0,"2755,864,187,204",2857.77,783.16,-7.965,-3.405,219.72,5886.127859873166,13.438891738640017,232.81,14898.0,"2743,860,174,152",2838.52,791.66,-3.855,-2.865,221.88,2339.392125436865,1.889530932417668,234.09,5327.0,"2805,857,95,135",2860.29,787.14,-12.21,-6.165000000000001,226.59,485.5760457776612,0.7528251463338523,236.48,637.0,"2842,787,28,37",2856.19,768.01,-19.455,-0.36,230.79,58.57100430067972,0.3059867425444085,236.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.22,6
9,2006-08-04 07:00:00,15388,"115,951,240,156",232.59,872.22,0.0,0.0,204.01,4693.119749496442,13.790991307945813,227.06,13903.0,"127,965,211,153",220.18,879.65,-5.415,3.2700000000000005,202.91,2971.799583059547,31.178017148986992,226.87,4675.0,"115,880,106,68",169.39,844.33,-9.6,1.905,203.59,844.1108541825414,6.591666298824727,219.04,5127.0,"88,885,127,69",159.18,850.09,-10.635,8.055,205.66,68.76377691944559,0.1296389905470606,218.85,4959.0,"78,890,126,69",148.08,857.41,-9.06,9.03,208.52,22.49100624917716,0.1151328258709148,223.32,3747.0,"89,893,100,54",140.6,865.1,-7.83,7.83,212.52,55.87887943776312,0.1226662433173149,225.34,3714.0,"74,904,105,57",132.1,871.83,-7.935,9.06,218.5,30.25156031603222,0.077973889801107,228.25,3392.0,"68,915,99,59",116.33,882.21,-15.435,13.59,217.83,10.415203065367605,0.1097063298400733,229.66,2826.0,"56,925,99,61",101.03,895.04,-4.38,2.31,221.07,0.7015923163809847,0.0010008748163577,231.48,1399.0,"39,922,56,42",67.52,904.52,-22.26,-0.6000000000000001,225.78,0.0044622928810296,0.0002778163107467,234.11,519.0,"37,928,38,26",60.24,917.1,-1.275,4.305,228.48,0.0,0.0,235.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.91,9
10,2006-08-04 07:00:00,76513,"557,1302,357,483",721.26,1071.72,0.0,0.0,204.24,16685.63545355371,16.934612301810542,223.14,56096.0,"518,1287,297,327",673.95,1118.64,-1.47,1.53,209.41,16159.821642090525,15.21059077853865,228.56,51419.0,"482,1297,322,337",657.62,1113.29,-1.47,-2.055,206.46,10767.30212753186,14.36684759846262,231.21,24345.0,"596,1226,232,269",721.29,1065.21,-1.02,-9.81,215.05,15.21697172171847,0.0627176798787922,233.97,17084.0,"572,1223,227,280",721.25,1071.74,-1.77,-10.665,215.1,0.4065672626566312,0.002282632463035,232.94,10984.0,"677,1221,116,226",747.03,1112.45,-4.845,-12.135,212.73,1.6089999280497523e-05,3.377237759386448e-09,229.65,10884.0,"669,1222,114,255",738.87,1104.12,-11.22,-9.87,214.9,1.3949519698434952e-05,4.417882000376916e-08,229.84,8523.0,"660,1215,109,203",725.39,1118.3,-11.835,-13.725,213.38,1.8288924859310649e-06,6.182217188051864e-09,230.65,6714.0,"686,1203,76,211",726.17,1097.78,-12.330000000000002,-16.799999999999997,216.24,1.908071312829181e-08,0.0,230.05,5044.0,"641,1191,116,147",713.04,1126.21,-13.395,-14.16,218.87,2.9098134169568856e-08,0.0,231.71,3446.0,"625,1169,126,101",695.61,1115.7,-11.055,-16.725,220.16,2.0563531792445973e-08,0.0,233.7,2431.0,"638,1131,101,88",682.02,1091.2,-10.74,-20.745,219.34,3.840076759253025e-09,0.0,232.91,1949.0,"633,1097,69,64",666.15,1068.28,-16.395,-19.635,223.74,0.0,0.0,234.07,1507.0,"622,1081,46,64",649.18,1048.91,-8.355,-23.475,224.72,0.0,0.0,234.89,759.0,"619,1054,23,50",630.5,1029.08,-27.915,-23.595,230.37,0.0,0.0,236.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.24,12
