storm_id,start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,rain_vol_26,rain_max_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,rain_vol_27,rain_max_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,rain_vol_28,rain_max_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,rain_vol_29,rain_max_29,tmean_29,area_30,bounds_30,clon_idx_30,clat_idx_30,PSu_30,PSv_30,tmin_30,rain_vol_30,rain_max_30,tmean_30,area_31,bounds_31,clon_idx_31,clat_idx_31,PSu_31,PSv_31,tmin_31,rain_vol_31,rain_max_31,tmean_31,area_32,bounds_32,clon_idx_32,clat_idx_32,PSu_32,PSv_32,tmin_32,rain_vol_32,rain_max_32,tmean_32,area_33,bounds_33,clon_idx_33,clat_idx_33,PSu_33,PSv_33,tmin_33,rain_vol_33,rain_max_33,tmean_33,area_34,bounds_34,clon_idx_34,clat_idx_34,PSu_34,PSv_34,tmin_34,rain_vol_34,rain_max_34,tmean_34,tmin_min,mcs_thld
1,2006-08-12 07:00:00,32485,"200,791,306,272",380.05,661.11,0.0,0.0,199.2,101562.8673252134,86.63897020683493,222.37,31423.0,"212,805,284,292",383.89,667.1,-0.8699999999999999,2.355,198.38,92523.7724565847,108.49598331130387,221.83,35316.0,"124,805,373,307",363.04,655.81,-1.905,0.24,202.54,97208.55008082165,78.75468979449641,220.89,71833.0,"100,890,400,402",307.87,707.84,-1.395,2.34,199.63,144771.22468006235,63.85954590620173,218.84,40382.0,"94,827,416,348",364.42,666.02,-1.86,-0.705,205.04,58604.70156785269,54.41400768640842,224.63,3832.0,"106,631,140,86",169.21,583.52,-6.959999999999999,2.355,214.36,4075.480846038487,54.46811932367125,228.83,3612.0,"99,630,136,88",157.08,584.15,-6.015,1.155,209.56,1813.2130142614385,21.765541123816284,229.58,3433.0,"61,617,130,72",132.28,582.09,-5.385,0.735,211.09,4884.622578229908,51.84688763917488,227.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.38,8
2,2006-08-12 07:00:00,82554,"2425,1056,330,476",2588.71,795.21,0.0,0.0,203.65,82508.66925052418,58.09377470150184,226.71,58102.0,"2401,926,309,335",2563.15,740.9,-2.7750000000000004,6.27,204.57,58314.372064684045,42.48057401898622,227.04,50459.0,"2375,904,326,327",2543.14,727.96,-3.465,-2.805,207.36,34450.39326865239,78.38485871657844,226.06,50320.0,"2345,914,343,351",2524.15,727.09,-5.655,2.475,210.46,13313.103119972708,29.391055649345503,227.25,52576.0,"2310,924,362,375",2502.02,722.84,-7.199999999999999,2.295,208.38,26500.68674545117,50.38921039824585,228.58,60160.0,"2280,934,382,453",2473.04,694.63,-13.2,2.7,205.11,38707.69703284284,57.74440764001442,228.46,47776.0,"2325,819,319,356",2486.29,628.06,-11.31,2.37,205.9,34481.183510291085,39.262004539359616,226.81,35492.0,"2226,670,437,223",2431.37,555.65,-4.800000000000001,-1.515,208.82,21124.075780881147,47.89034123261742,223.77,58909.0,"2129,709,502,368",2365.6,518.96,-12.165,-1.935,209.24,38615.62450219245,51.77149560806582,226.02,56356.0,"2082,661,417,335",2313.97,503.47,-5.565,2.115,207.62,42629.3184181719,52.711218742889216,226.66,52061.0,"2066,648,411,315",2279.44,494.65,-5.175000000000001,2.355,205.09,36936.83785153657,44.60974626716354,227.53,63085.0,"2049,640,547,326",2300.52,452.75,-0.93,-2.7,203.82,36177.25761860153,59.804069865632,226.7,46594.0,"2025,511,550,199",2301.92,410.08,-1.995,-1.38,202.6,31138.91840843858,43.818673371698246,223.82,44863.0,"2021,505,521,193",2294.19,408.26,-1.215,0.195,202.29,18673.027918708,52.12847081187996,223.83,46331.0,"2024,503,460,198",2282.66,402.73,-2.58,0.5700000000000001,199.79,13405.534215337486,54.25216038012182,224.2,44589.0,"2062,495,401,192",2278.34,397.13,-2.31,0.075,201.54,5229.539429826085,27.56794202587037,224.73,35675.0,"2118,478,329,193",2296.02,386.34,-0.81,-0.015,205.54,1867.170864828404,17.178250253437454,223.44,31323.0,"2145,472,283,180",2283.85,379.89,-0.915,-0.06,210.64,457.0073387323031,2.148319473420424,224.37,30508.0,"2079,472,324,193",2261.41,370.16,-1.5750000000000002,-0.03,214.74,558.4604455937618,2.414555902251135,226.95,30398.0,"2069,479,300,211",2228.83,363.32,-8.385,-0.51,219.0,1339.5275878740692,2.128025893958559,230.38,26543.0,"2019,492,332,244",2194.17,356.01,-5.73,-2.115,221.89,1504.6665373497824,9.334860931105316,233.69,7429.0,"2085,490,139,189",2151.08,388.06,-10.23,0.105,221.11,516.6884547237055,1.4387031730723383,234.96,1467.0,"2127,422,52,62",2150.85,390.26,-28.965,-1.26,230.48,112.926446790763,2.8588174842819964,237.01,645.0,"2103,395,41,27",2126.64,382.67,-47.07,-2.625,227.93,0.7217488328657621,0.0241611324746617,234.66,629.0,"2080,388,49,26",2105.47,375.07,-26.895,-9.645,229.0,0.1002224579927575,0.0002690811838323,235.14,704.0,"2059,382,53,26",2086.7,369.54,-8.67,-0.8400000000000001,229.49,0.0186715056652761,4.307632303929365e-06,235.09,752.0,"2037,375,57,26",2065.8,362.21,-26.805,-9.645,229.84,1.0235273157654767e-06,3.931057243469738e-09,235.45,620.0,"2019,366,52,24",2043.61,354.52,-16.68,-2.955,232.09,0.0005500060020623,5.472660084102822e-07,236.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.79,22
3,2006-08-12 07:00:00,29728,"1749,883,253,302",1894.63,721.45,0.0,0.0,212.42,37224.90456112316,31.399174147689333,233.07,24376.0,"1677,894,281,287",1869.62,746.21,-4.425000000000001,4.71,212.25,24234.785444609275,26.16965122214762,233.62,16199.0,"1648,906,302,253",1843.43,777.25,-9.225,3.885,214.25,9271.357563141592,20.85790556497696,233.08,8431.0,"1794,835,139,126",1863.08,773.27,-5.01,6.6000000000000005,219.53,4399.245995638532,9.053659975600722,230.49,8731.0,"1781,843,140,134",1855.32,776.48,-2.43,9.63,219.16,2588.2117932848105,29.882517340851912,231.13,11842.0,"1751,855,210,142",1855.69,783.95,-8.834999999999999,3.33,216.0,3376.0880551676564,26.13260452802989,232.28,13396.0,"1727,853,223,130",1847.65,782.85,-5.865,0.5549999999999999,217.55,1666.2579212347002,4.145634960184723,232.34,8480.0,"1731,857,193,138",1834.68,793.9,-18.93,3.33,220.89,55.76055171121276,0.2422164844664992,233.48,7623.0,"1697,856,173,130",1792.68,794.7,-15.735,1.86,221.79,303.320892248621,1.3557108680392895,233.44,5783.0,"1692,855,162,126",1777.64,797.53,-14.565,1.92,225.76,27.11534269101098,0.1077051987053754,235.04,1882.0,"1747,852,93,56",1794.11,821.16,-15.72,1.65,231.59,0.8023685676963955,0.0044335336551668,237.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.25,10
4,2006-08-12 07:00:00,5354,"1259,682,136,66",1323.38,652.84,0.0,0.0,217.31,12117.350024742842,21.366530739023247,231.0,4359.0,"1265,682,130,67",1326.2,654.2,0.8999999999999999,-1.29,220.35,6980.358108314173,16.149658837442445,233.15,4410.0,"1250,685,130,62",1316.67,653.87,-10.785,-0.48,220.45,4192.0752047641,10.625831949421835,234.76,2061.0,"1274,682,66,51",1304.41,659.4,-4.455,3.225,226.25,1273.6474470997869,9.743176402450471,234.96,1300.0,"1265,680,52,48",1289.46,660.8,-13.11,0.585,234.35,169.924703894336,1.5534204748464464,238.02,474.0,"1252,668,45,19",1271.29,659.77,-23.88,0.855,234.81,10.351142682918285,0.1013361464115538,238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.31,3
5,2006-08-12 07:00:00,10228,"107,750,133,108",177.92,695.84,0.0,0.0,199.62,12570.216498523643,32.60510079559085,219.37,8016.0,"118,758,111,117",174.73,707.09,-2.055,1.965,201.82,11311.499520058353,30.89870186395764,220.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.62,2
6,2006-08-12 07:00:00,763,"802,702,52,47",826.77,677.26,0.0,0.0,228.53,0.0843377210507421,1.0963879694006883e-10,236.45,1294.0,"801,699,76,38",836.11,682.11,0.93,-5.025,222.56,0.0086253504241509,5.586834364850988e-07,231.84,3911.0,"805,732,134,71",872.9,694.84,-11.88,6.09,221.02,0.0317622503082355,1.9281195008965533e-05,231.32,4915.0,"824,741,112,78",876.23,702.22,-3.51,-6.36,220.44,0.0146649183884416,8.606974029006186e-06,232.2,3067.0,"787,735,120,61",855.37,707.97,-0.5249999999999999,-10.47,225.26,0.0013623568277295,2.063930198625744e-06,233.6,735.0,"823,713,39,32",842.66,697.41,-1.47,-12.195,231.53,0.0158071533978432,0.0001743750518008,235.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.44,3
7,2006-08-12 07:00:00,8605,"227,819,133,101",287.1,775.16,0.0,0.0,197.1,34180.907542893074,80.17223419631001,211.67,11409.0,"213,832,142,121",280.72,779.36,-2.19,3.21,197.01,46326.22074384312,79.08884469078122,210.32,24747.0,"120,861,239,196",241.97,763.5,-0.42,3.945,197.6,56371.92741835007,122.13405766101104,212.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.01,3
8,2006-08-12 07:00:00,31335,"1496,1009,326,280",1673.52,816.73,0.0,0.0,207.94,33172.084873793734,42.21112847445305,227.33,26884.0,"1471,906,312,214",1649.57,799.07,-2.835,0.5249999999999999,208.75,31906.276220196865,38.390381298416514,230.28,22142.0,"1486,881,304,191",1656.61,786.57,-13.35,0.105,212.86,23484.72197085753,30.910642629409367,230.6,17714.0,"1579,870,179,226",1664.99,756.25,-6.404999999999999,-0.315,213.54,13593.334575140074,43.53491540066804,230.92,14399.0,"1547,812,193,170",1639.67,743.63,-30.0,-0.3,218.15,11592.88062043273,45.44434646635799,232.18,10025.0,"1517,787,203,125",1613.38,728.03,-11.535,-1.275,211.96,13435.529822878343,68.35627171862961,231.51,9851.0,"1475,772,228,99",1585.23,725.98,-2.61,15.78,210.15,18395.250178712708,61.401964440572925,228.3,9070.0,"1451,771,152,101",1542.02,723.52,-10.08,0.015,208.72,19304.822146155348,47.26342200552045,224.15,13001.0,"1427,775,172,107",1520.01,726.96,-3.81,-0.51,204.36,30149.28950360234,39.22331510912836,222.99,16715.0,"1398,785,200,124",1502.02,727.75,-3.615,3.405,202.08,33948.372310990104,70.91615496651913,223.35,22103.0,"1300,798,288,144",1458.72,732.92,-8.774999999999999,-0.075,201.87,40433.965771002935,93.79192900177064,222.74,18753.0,"1356,794,202,144",1465.43,728.83,-5.61,-0.51,204.85,23870.922698222992,83.5318031691588,221.27,38115.0,"1276,927,279,282",1418.54,781.52,-6.24,-4.065,195.73,69794.6252966907,56.98269438194632,216.31,36763.0,"1235,935,224,281",1361.76,804.48,-4.11,-8.475000000000001,196.07,56677.9499256919,54.98229485447615,215.54,42712.0,"1200,949,254,280",1336.76,818.9,-4.7700000000000005,-2.22,197.33,55983.314014175055,55.32017215198931,215.66,45116.0,"1187,932,268,247",1313.95,811.15,-3.375,-3.4799999999999995,199.52,63878.569982083376,52.03213720661112,217.05,45634.0,"1173,937,264,273",1299.92,808.63,-0.8400000000000001,-0.675,197.72,50981.299848685245,48.54853584874834,219.11,40954.0,"1141,942,249,241",1267.89,815.15,-0.8250000000000001,-0.015,197.73,54949.45326790801,84.38666625995839,218.53,43179.0,"1112,945,266,254",1240.08,805.01,-3.315,0.015,201.66,47612.63355523981,61.127718688445945,219.33,1087.0,"1243,910,72,30",1281.41,895.77,-4.11,-0.645,225.2,267.2785714235098,0.0390993573898586,233.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.73,19
9,2006-08-12 07:00:00,3955,"889,861,79,120",921.36,804.51,0.0,0.0,221.77,7693.9929755192015,30.47823700886656,232.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.77,1
10,2006-08-12 07:00:00,4444,"645,888,72,135",687.1,825.61,0.0,0.0,216.56,50.66508166407053,0.0371994365014536,231.91,2357.0,"664,872,58,92",696.69,828.81,5.79,-0.855,219.59,0.000545224959111,1.2025999354210963e-06,231.28,2125.0,"662,856,66,95",702.77,808.99,2.88,-3.75,222.82,1.9206582061702808,0.0059020648030337,234.33,1848.0,"695,807,53,72",721.04,769.37,10.65,-19.185,220.96,0.2455104390768943,0.0006585058413474,232.07,1964.0,"704,800,55,81",727.59,760.44,7.154999999999999,-10.725,221.69,1.2763489782614008,0.0056017389339874,231.18,2717.0,"703,820,95,118",741.38,759.28,4.155,-10.95,219.45,0.9561958786409084,0.001567514618306,230.92,3137.0,"700,815,101,132",746.55,749.26,5.46,-12.105,217.61,1.485570791270744,0.0063726863562677,229.25,3866.0,"701,809,103,142",750.65,740.26,1.5750000000000002,-14.565,218.01,12.072601907830844,0.4355350930958101,228.49,4737.0,"698,799,109,151",749.71,725.36,0.78,-15.765,218.56,94.83909454419634,0.8622605958855086,229.48,4963.0,"692,783,119,157",746.07,704.16,-0.585,-22.68,219.92,6.405388264969397,0.0847727322270766,231.02,3527.0,"684,723,105,123",732.27,667.37,-4.605,-17.025,219.41,0.0395742642318838,0.0019449456362399,231.25,1370.0,"730,697,49,54",754.03,668.38,-1.6350000000000002,-28.65,221.2,6.280912308237971e-06,0.0,232.0,957.0,"726,676,33,64",743.61,639.77,-5.97,-11.505,222.29,9.240443761246419e-10,0.0,232.27,618.0,"716,636,34,53",730.76,605.07,-13.095,-22.635,225.74,0.0,0.0,235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.56,8
