storm_id,start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,rain_vol_26,rain_max_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,rain_vol_27,rain_max_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,rain_vol_28,rain_max_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,rain_vol_29,rain_max_29,tmean_29,area_30,bounds_30,clon_idx_30,clat_idx_30,PSu_30,PSv_30,tmin_30,rain_vol_30,rain_max_30,tmean_30,area_31,bounds_31,clon_idx_31,clat_idx_31,PSu_31,PSv_31,tmin_31,rain_vol_31,rain_max_31,tmean_31,area_32,bounds_32,clon_idx_32,clat_idx_32,PSu_32,PSv_32,tmin_32,rain_vol_32,rain_max_32,tmean_32,area_33,bounds_33,clon_idx_33,clat_idx_33,PSu_33,PSv_33,tmin_33,rain_vol_33,rain_max_33,tmean_33,area_34,bounds_34,clon_idx_34,clat_idx_34,PSu_34,PSv_34,tmin_34,rain_vol_34,rain_max_34,tmean_34,area_35,bounds_35,clon_idx_35,clat_idx_35,PSu_35,PSv_35,tmin_35,rain_vol_35,rain_max_35,tmean_35,area_36,bounds_36,clon_idx_36,clat_idx_36,PSu_36,PSv_36,tmin_36,rain_vol_36,rain_max_36,tmean_36,area_37,bounds_37,clon_idx_37,clat_idx_37,PSu_37,PSv_37,tmin_37,rain_vol_37,rain_max_37,tmean_37,area_38,bounds_38,clon_idx_38,clat_idx_38,PSu_38,PSv_38,tmin_38,rain_vol_38,rain_max_38,tmean_38,area_39,bounds_39,clon_idx_39,clat_idx_39,PSu_39,PSv_39,tmin_39,rain_vol_39,rain_max_39,tmean_39,area_40,bounds_40,clon_idx_40,clat_idx_40,PSu_40,PSv_40,tmin_40,rain_vol_40,rain_max_40,tmean_40,area_41,bounds_41,clon_idx_41,clat_idx_41,PSu_41,PSv_41,tmin_41,rain_vol_41,rain_max_41,tmean_41,area_42,bounds_42,clon_idx_42,clat_idx_42,PSu_42,PSv_42,tmin_42,rain_vol_42,rain_max_42,tmean_42,tmin_min,mcs_thld
1,2006-08-13 07:00:00,2706,"2697,179,82,52",2737.04,153.22,0.0,0.0,221.89,4209.298256570634,51.3890325922473,230.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.89,1
2,2006-08-13 07:00:00,25088,"2933,302,257,175",3080.78,211.73,0.0,0.0,205.19,27461.87730739037,31.91317595838717,228.0,18729.0,"2923,284,258,157",3075.98,216.47,-5.34,0.885,210.38,10101.71371154622,19.14806798952819,227.52,15757.0,"2948,300,217,186",3070.38,213.61,-3.615,-0.4649999999999999,215.6,6696.106245880863,35.19746351106015,227.56,15350.0,"2937,310,210,208",3052.69,212.07,-9.795,-1.515,217.54,4350.462513597638,18.537796582268573,230.76,12271.0,"2941,307,154,194",3024.3,208.72,-11.19,-10.305,218.57,1955.1703951812367,22.08782722014939,232.1,7395.0,"2923,225,153,125",2990.66,173.66,-14.31,-16.68,219.58,0.0678115577200212,3.0498581939046097e-06,231.61,5122.0,"2902,209,109,148",2947.45,143.86,-26.625,-14.294999999999998,216.24,2018.589485587303,14.013022564312864,231.37,3182.0,"2879,175,93,76",2927.28,138.25,-14.325,-8.445,221.27,138.49508882726977,0.4177963228118002,231.14,798.0,"2929,148,39,47",2945.04,128.11,-5.655,13.59,221.5,336.56067483933447,4.928945200475685e-07,231.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.19,8
3,2006-08-13 07:00:00,67725,"2703,572,453,332",2949.23,411.67,0.0,0.0,203.2,119880.84768995528,64.27473593770199,222.21,87256.0,"2666,703,633,504",2975.8,446.5,-2.535,0.96,199.61,199816.8968333997,141.55035349462364,223.62,100837.0,"2646,706,640,545",2946.84,445.68,-3.81,0.4649999999999999,199.99,180570.88754005023,112.87040563516656,222.56,123926.0,"2608,723,674,571",2920.13,437.87,-6.915000000000001,6.36,198.41,197245.0151478985,101.98829817852568,222.61,84170.0,"2552,472,428,384",2762.71,303.21,-7.814999999999999,6.105,200.82,159217.32661630958,69.07892855811636,221.57,101526.0,"2481,470,569,390",2737.91,298.31,-5.295,2.37,200.23,147027.32713145023,63.51140110552669,221.26,116877.0,"2440,478,571,397",2703.9,297.05,-5.355,2.325,196.84,127577.1797408196,81.32230107301237,221.61,124584.0,"2400,486,557,424",2671.06,295.92,-2.4000000000000004,0.765,197.28,99812.0366259276,79.69609801166274,222.77,166559.0,"2379,550,863,550",2717.9,244.8,-2.145,1.4249999999999998,195.52,172585.6863964678,79.52008970995685,222.74,89667.0,"2334,573,373,381",2526.89,387.36,-4.0200000000000005,3.375,202.7,121765.7674828759,58.018087376234384,224.2,198103.0,"2040,954,971,740",2607.26,548.57,-4.515,1.665,196.41,315083.1451688224,117.68064463226436,220.52,215528.0,"2045,1002,917,789",2588.27,576.55,-3.795,1.26,192.49,341688.8186328129,101.919117668535,219.94,271438.0,"2021,1009,917,817",2550.11,619.3,-3.855,1.32,192.14,349811.9531608531,87.0855985985399,219.46,280070.0,"2023,1015,881,827",2527.36,623.0,-4.815,1.5750000000000002,193.49,369922.4428586421,83.50524874700976,219.15,256072.0,"2046,1021,828,660",2527.08,666.98,-3.255,0.345,193.31,312585.87173441227,74.53501877125397,218.3,201720.0,"2171,960,686,569",2571.93,705.12,-2.67,0.375,196.93,159605.31480022898,80.79152115815937,217.86,203473.0,"2177,978,664,597",2558.62,706.67,-1.395,0.4499999999999999,198.2,194469.82666022735,87.44549748182621,220.23,199929.0,"2155,989,673,617",2526.17,703.88,0.8250000000000001,0.09,195.18,227326.51895616745,66.6070122097048,222.78,180626.0,"2130,1002,639,643",2482.74,712.91,-3.96,2.625,193.52,264412.3289451907,87.88607709250576,223.09,154192.0,"2080,980,666,523",2435.75,729.84,-5.58,0.51,194.31,240330.59939968665,94.26619433390668,221.14,90907.0,"2330,938,378,469",2516.1,677.21,-8.58,1.35,199.22,137125.43079720568,83.55975417886127,220.21,91016.0,"2312,966,380,538",2504.86,671.25,-2.64,-0.585,200.73,100893.90637119694,130.88867985067114,221.87,90441.0,"2296,986,394,564",2497.56,666.13,-2.28,0.39,198.69,90400.42223732737,58.81981202314241,223.88,88568.0,"2274,995,421,585",2478.74,664.91,-5.46,-0.345,202.17,77891.94880677843,89.43120626011178,225.9,79259.0,"2242,880,477,476",2469.47,649.62,-5.475,-1.605,206.38,57180.49077895329,60.61535036743091,228.02,54173.0,"2297,979,287,536",2416.26,646.95,-7.785,-0.66,212.5,28418.18628494861,36.87950069332253,229.3,40179.0,"2273,854,222,401",2376.98,629.55,-14.505,0.0,211.76,20092.032384119582,24.84821444527425,230.53,31254.0,"2248,817,243,361",2356.75,627.78,-13.68,-1.71,212.17,7284.045974776042,21.36408107399844,232.01,19506.0,"2237,974,228,324",2327.13,769.66,-28.455,-0.885,216.0,9959.457338256176,42.01409953674113,231.17,2700.0,"2206,876,99,59",2265.47,841.95,-26.805,-5.415,219.43,0.5155842674752001,0.004380828728189,230.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.14,30
4,2006-08-13 07:00:00,12939,"3162,809,137,246",3250.04,669.84,0.0,0.0,202.9,56834.90994136551,154.33812836382,226.47,2115.0,"3220,804,79,47",3264.23,783.94,-13.44,-5.43,223.67,0.0,0.0,233.23,1613.0,"3188,802,103,36",3241.28,785.18,-19.92,-0.66,225.39,2.711919342557051e-07,0.0,233.61,1498.0,"3174,802,109,34",3227.35,785.6,-15.96,-0.15,227.56,2.271012383986169e-08,0.0,234.79,666.0,"3188,805,50,26",3213.64,789.3,-21.465,3.555,228.62,8.595060476705036,0.0979645437340667,234.72,532.0,"3175,805,53,24",3202.11,790.83,-0.945,3.2700000000000005,231.1,1.324086628116709,0.0431241634329035,236.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.9,1
5,2006-08-13 07:00:00,46767,"9,867,401,284",227.35,730.09,0.0,0.0,202.76,227924.6479146539,97.46829282510365,223.64,57767.0,"30,863,455,271",259.33,732.39,0.78,-0.585,202.56,283030.5745450857,140.6325937405229,223.75,66309.0,"17,848,469,255",238.81,730.1,-0.495,-1.23,200.95,327484.555930368,100.4170413248214,221.19,75277.0,"0,878,468,285",221.03,733.08,-0.405,-0.24,201.47,330432.09365665785,84.87909775729705,220.57,80614.0,"29,877,409,305",211.35,727.5,-0.4649999999999999,-1.6350000000000002,201.78,306932.5814273435,76.53259821543364,221.17,86659.0,"17,893,407,340",194.5,725.79,-0.585,-5.3100000000000005,202.38,301500.97463164217,102.60612772598698,222.0,93166.0,"0,907,432,363",182.24,728.62,-0.54,-1.905,201.6,300069.2882089832,61.339271669829785,221.91,99086.0,"0,918,439,378",181.58,727.35,-0.4649999999999999,2.91,201.79,309166.587246094,85.61566774627265,221.96,104144.0,"0,932,440,422",180.07,723.44,-0.675,-2.7750000000000004,199.95,311710.4931116006,73.95994125102786,222.63,104353.0,"0,953,418,437",179.62,718.15,-1.215,0.165,201.35,272044.7491065817,66.08124492773307,223.53,95802.0,"0,934,409,431",169.28,699.65,-0.675,-4.065,203.18,226798.1688100587,138.03656390362622,225.09,85941.0,"0,939,339,458",146.63,697.58,0.315,-1.71,204.33,186697.78133494483,74.86960453863576,227.09,66003.0,"0,942,315,436",121.51,704.5,-1.95,-6.779999999999999,206.24,152119.77787256413,59.60661514213157,228.51,45814.0,"0,889,254,296",102.34,731.5,-1.5750000000000002,-3.96,209.4,105021.27627112904,56.93487667759508,229.14,33823.0,"0,893,239,321",87.73,716.33,-3.06,-0.66,206.66,50810.65946451176,39.4551081927789,229.77,24754.0,"0,904,210,305",90.18,717.7,-1.77,-0.285,211.22,44152.69239485828,37.77569078455717,231.36,11988.0,"8,790,150,187",81.67,686.11,-1.665,0.855,214.18,20331.69172510345,54.54025951938009,229.62,6448.0,"67,717,121,117",119.31,665.64,0.0,0.0,214.46,23919.44033542818,59.11702763017898,230.19,6543.0,"56,713,128,113",114.4,659.47,-2.385,-0.015,214.91,17565.28211442455,32.363216786549465,230.53,4008.0,"91,710,73,83",127.92,669.22,-2.535,0.045,213.95,16245.852024921198,39.31596844532503,229.24,3571.0,"88,697,69,82",118.75,660.62,2.94,-0.705,216.49,12963.69164576893,30.96747088299099,230.69,2950.0,"72,693,78,66",107.73,665.1,-16.29,-5.13,219.19,14569.63866568882,32.55145610136582,229.87,2990.0,"60,684,79,64",98.25,654.54,-8.024999999999999,-12.0,224.08,12937.114865309071,48.24949236976118,231.72,2641.0,"53,682,77,65",92.45,647.79,-2.52,-7.439999999999999,220.95,7042.791648918094,30.971743564874615,233.06,4363.0,"43,683,157,73",119.3,653.04,-7.725,-6.9750000000000005,217.47,16368.015625860153,36.49006453198033,231.45,2335.0,"103,681,83,46",143.42,658.38,-10.875,-5.445,220.44,7370.893213864576,34.56689824958615,232.29,1671.0,"102,676,68,41",138.48,655.02,-4.199999999999999,-1.4249999999999998,227.49,2747.573506010712,36.23147375166708,234.76,636.0,"114,667,34,34",135.01,649.04,-13.485,-6.615,232.46,34.97360865881649,0.0177781276359323,237.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.95,26
6,2006-08-13 07:00:00,3391,"413,732,77,84",449.45,689.41,0.0,0.0,222.62,4674.145840367191,50.788356563951005,235.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.62,1
7,2006-08-13 07:00:00,3107,"958,865,48,149",985.96,790.78,0.0,0.0,222.47,1.423192068100181,0.0293448217579181,233.56,917.0,"967,821,21,78",977.5,779.79,-17.655,-8.399999999999999,229.94,7.0185218687134,0.0411054390185959,236.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.47,1
8,2006-08-13 07:00:00,35347,"438,1052,290,281",568.68,918.14,0.0,0.0,206.65,15533.722575203725,45.76571264102868,228.06,16542.0,"420,1047,201,176",510.65,973.62,-12.075,-1.23,204.41,4575.06066942184,18.203799420934534,229.03,8871.0,"399,1038,125,106",460.44,993.43,-15.87,-0.06,206.72,2811.393351110253,15.884604841494191,221.63,8897.0,"382,1036,116,101",439.18,988.06,-8.265,-1.11,211.04,1214.9271001126644,2.419762497995344,222.92,8920.0,"363,1034,116,102",422.42,985.03,-6.9750000000000005,-0.18,212.38,401.9754982420517,1.8586011705791767,226.62,8306.0,"348,1035,109,105",404.31,984.83,-14.475,0.075,216.86,186.3188302877403,0.8579312403590478,229.19,6762.0,"334,1033,113,102",388.48,983.83,-13.32,0.015,218.96,91.1377954837944,0.2439256653629682,230.81,4930.0,"320,1036,114,105",378.29,989.14,-5.91,1.7399999999999998,219.25,70.32307738481353,0.3655985245816342,231.13,4473.0,"306,1042,119,124",370.34,991.52,-12.0,2.67,219.73,9.620224308422603,0.0958564257949441,231.22,1191.0,"342,1044,60,43",368.96,1017.38,-10.44,3.2700000000000005,220.01,6.291006618373907,0.0340568007905653,230.17,902.0,"338,1048,42,42",357.15,1022.66,-14.085,7.965,220.48,0.7143294570622055,0.0045399480209339,232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.41,9
9,2006-08-13 07:00:00,4832,"2961,911,72,85",2993.91,870.23,0.0,0.0,212.3,8324.975140413128,30.391486897589893,221.87,4778.0,"2943,910,73,91",2977.72,864.1,-12.915,-0.045,213.0,2045.189277366436,8.314392632930018,228.06,4479.0,"2918,910,81,99",2958.79,855.54,-5.91,-0.195,218.04,139.45341261279393,1.0015425528384032,229.9,3899.0,"2889,892,86,83",2931.16,848.56,-24.33,-1.005,220.4,2.1396399592649358,0.0229604509794418,231.83,3181.0,"2852,877,90,73",2892.4,840.53,-29.94,-0.2249999999999999,222.64,3.764296411346792e-06,0.0,231.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.3,5
10,2006-08-13 07:00:00,33082,"625,1304,286,234",774.01,1195.01,0.0,0.0,205.49,11057.403747585731,11.062390510627344,225.53,26192.0,"627,1293,250,211",755.65,1213.12,-0.945,0.39,208.99,10770.877731559049,20.186671327829696,226.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.49,2
