storm_id,start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,rain_vol_26,rain_max_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,rain_vol_27,rain_max_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,rain_vol_28,rain_max_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,rain_vol_29,rain_max_29,tmean_29,area_30,bounds_30,clon_idx_30,clat_idx_30,PSu_30,PSv_30,tmin_30,rain_vol_30,rain_max_30,tmean_30,area_31,bounds_31,clon_idx_31,clat_idx_31,PSu_31,PSv_31,tmin_31,rain_vol_31,rain_max_31,tmean_31,area_32,bounds_32,clon_idx_32,clat_idx_32,PSu_32,PSv_32,tmin_32,rain_vol_32,rain_max_32,tmean_32,area_33,bounds_33,clon_idx_33,clat_idx_33,PSu_33,PSv_33,tmin_33,rain_vol_33,rain_max_33,tmean_33,area_34,bounds_34,clon_idx_34,clat_idx_34,PSu_34,PSv_34,tmin_34,rain_vol_34,rain_max_34,tmean_34,area_35,bounds_35,clon_idx_35,clat_idx_35,PSu_35,PSv_35,tmin_35,rain_vol_35,rain_max_35,tmean_35,area_36,bounds_36,clon_idx_36,clat_idx_36,PSu_36,PSv_36,tmin_36,rain_vol_36,rain_max_36,tmean_36,area_37,bounds_37,clon_idx_37,clat_idx_37,PSu_37,PSv_37,tmin_37,rain_vol_37,rain_max_37,tmean_37,area_38,bounds_38,clon_idx_38,clat_idx_38,PSu_38,PSv_38,tmin_38,rain_vol_38,rain_max_38,tmean_38,area_39,bounds_39,clon_idx_39,clat_idx_39,PSu_39,PSv_39,tmin_39,rain_vol_39,rain_max_39,tmean_39,area_40,bounds_40,clon_idx_40,clat_idx_40,PSu_40,PSv_40,tmin_40,rain_vol_40,rain_max_40,tmean_40,tmin_min,mcs_thld
1,2006-08-15 07:00:00,2247,"2884,116,68,51",2914.96,89.16,0.0,0.0,222.98,3723.4811002050233,10.134522405240933,231.88,1989.0,"2877,128,69,58",2912.32,97.88,-0.99,5.775,218.43,3562.893909111406,32.09080065378543,232.1,1735.0,"2865,126,66,44",2905.2,101.62,0.045,0.015,222.21,1805.5664533360973,14.184357367859269,231.47,1274.0,"2866,117,48,51",2890.14,90.59,-4.005,-0.015,225.59,0.5077704833144278,2.0586559812084e-05,234.64,664.0,"2845,89,45,37",2867.8,70.62,-0.09,1.965,225.18,1.6335718356545228,0.0016239883151546,232.0,467.0,"2823,73,47,33",2848.12,57.49,-0.165,-1.095,223.87,0.031050589614363,0.0001463495900878,232.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.43,1
2,2006-08-15 07:00:00,3882,"2946,201,103,97",3000.81,151.65,0.0,0.0,227.77,3749.463784549896,18.099763613396103,235.05,895.0,"2980,175,35,35",2995.95,156.09,5.265,-0.015,219.27,94.21337414411624,0.5352907983082152,233.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.27,1
3,2006-08-15 07:00:00,13510,"2863,326,192,120",2946.62,260.39,0.0,0.0,206.25,98946.682901189,81.66886979047558,224.94,16512.0,"2825,316,222,126",2922.02,256.27,-14.43,-1.665,208.5,80664.72507350723,69.2954832193058,224.73,18655.0,"2793,324,189,157",2883.34,248.59,-8.145,-0.39,206.7,80841.93630681412,79.19690526344513,223.61,32649.0,"2747,468,226,327",2844.33,281.71,-6.75,1.665,198.27,135930.09639537524,165.94797249869274,223.82,51813.0,"2707,478,300,364",2834.43,305.68,-8.370000000000001,-3.63,200.87,199962.49856843788,112.92363080508426,222.48,55346.0,"2663,510,276,368",2791.75,319.2,-5.385,0.75,200.76,215485.40680863048,79.49766001962176,218.59,73426.0,"2627,529,301,448",2774.97,317.84,-6.9750000000000005,5.865,198.63,206074.3728607121,103.2226661809284,219.42,93878.0,"2561,549,361,468",2750.06,328.68,-5.85,1.14,201.45,160016.46632337366,64.57162036402202,221.66,181637.0,"2518,702,781,634",2868.77,421.71,-2.475,2.97,195.75,210212.67681649132,56.793509875626135,222.57,221327.0,"2152,787,1130,728",2806.82,452.02,-4.86,0.645,197.36,249674.56291875572,77.2109119061989,225.01,219558.0,"2059,797,1144,731",2739.57,474.0,-5.699999999999999,0.03,201.66,233917.55452733889,85.23961199486774,225.9,208938.0,"2099,789,1091,729",2690.39,483.66,-5.415,-0.8699999999999999,204.62,212159.58970739663,79.1381092472518,225.78,209069.0,"2075,835,1086,636",2641.04,532.51,-3.165,-0.6900000000000001,196.8,277733.9891769617,160.22482579439566,225.16,202474.0,"2058,834,989,624",2597.1,540.22,-2.19,-1.395,196.78,271706.81933985115,73.4915038249928,224.48,87864.0,"2027,596,708,271",2399.36,472.73,-0.765,-1.785,200.42,104525.58836095364,86.64173423255687,224.16,62820.0,"2070,579,500,326",2328.02,437.11,-3.18,-4.199999999999999,203.19,68934.85263193406,48.20528159484333,225.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.75,16
4,2006-08-15 07:00:00,12080,"2953,441,313,101",3098.17,387.81,0.0,0.0,205.57,38664.60083737649,42.391299978121,231.24,4539.0,"2957,423,93,73",3000.22,384.2,-6.2250000000000005,-3.18,205.54,27798.42865398761,69.42939178826508,224.39,8004.0,"2931,432,164,96",2992.85,388.27,-1.125,0.795,208.31,24923.195774970616,38.79377379823566,225.69,9800.0,"2890,434,154,104",2960.85,380.49,-10.875,-1.275,214.6,30707.53613474812,62.38511674152806,227.38,1281.0,"2946,372,89,44",2996.49,350.6,-0.51,-3.795,223.2,171.93432602289303,0.2822802038284216,234.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.54,4
5,2006-08-15 07:00:00,2230,"2873,464,108,34",2937.14,446.78,0.0,0.0,213.43,3871.29403287695,23.22618574227192,227.84,2093.0,"2881,469,89,40",2927.65,448.53,-19.455,1.155,221.93,512.9882633427678,4.825476575395653,232.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.43,1
6,2006-08-15 07:00:00,10184,"7,624,172,100",75.52,579.19,0.0,0.0,204.31,88151.1189510468,72.08689266251268,224.67,9664.0,"6,626,163,99",67.37,576.45,-1.44,-0.8699999999999999,201.85,87746.50251768483,64.04951007710902,221.73,9862.0,"6,633,160,114",61.76,576.06,-0.915,-2.145,202.43,81687.02895289668,106.03637817069462,220.23,9293.0,"6,646,157,114",60.25,580.31,-0.75,1.41,205.81,68775.39839083614,91.46615623336764,222.94,7258.0,"6,645,126,132",50.49,574.6,-4.455,-0.54,211.82,42075.92955626095,81.50364895166028,227.97,3115.0,"0,631,50,98",22.45,581.92,-7.470000000000001,1.845,215.74,12491.749881028478,22.38881749003235,227.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.85,6
7,2006-08-15 07:00:00,2994,"60,714,87,60",104.14,685.16,0.0,0.0,223.29,3276.327420269215,6.716228058173321,231.91,4663.0,"22,709,142,62",97.16,676.03,-6.765,-3.75,209.58,12888.7862035793,32.27483000035694,230.41,5146.0,"8,695,143,53",82.38,667.93,-1.6350000000000002,-6.584999999999999,208.84,28380.377214711538,61.86802686301281,224.72,5810.0,"8,700,128,60",73.62,671.2,-1.77,2.955,211.22,28444.965466310045,65.41644739538094,222.18,6570.0,"7,712,111,73",61.25,674.5,-3.855,2.07,205.82,39736.00395975079,64.06226592893603,221.46,7704.0,"6,744,98,123",53.96,676.36,-2.07,2.16,206.78,46045.2516541792,66.77902569918851,222.36,9102.0,"0,737,91,184",39.17,660.73,-1.38,-0.045,208.07,43311.10671783105,56.02089441803278,223.46,9391.0,"0,843,79,242",29.41,698.41,-10.455,0.24,207.38,32702.05786497964,38.45288147410957,223.75,13348.0,"0,859,185,258",58.47,750.7,-5.055,1.905,206.3,60531.68190581446,58.76103340869079,225.33,17271.0,"0,865,178,272",72.79,768.59,-7.245,-0.015,204.91,59964.44414072782,107.79208286517613,225.49,15594.0,"0,940,168,188",79.54,843.01,-1.14,1.23,205.09,47223.78595109958,44.39284297847999,222.19,16072.0,"0,947,157,187",72.15,842.16,-5.43,-0.03,206.67,66371.84120802573,101.68574630228936,222.33,14098.0,"0,917,148,161",67.93,831.46,-3.18,0.03,204.7,72705.63639093797,119.0027214933584,222.61,15214.0,"6,912,164,169",68.27,820.88,-3.885,-0.105,203.47,65673.09696540676,132.72796848690422,224.74,9146.0,"6,918,106,180",39.4,827.06,-2.91,0.075,207.26,45603.7570442745,68.19322859807639,224.35,5802.0,"7,905,60,169",29.05,825.08,-3.345,0.06,207.54,22511.74561156075,56.34601487015853,225.7,1961.0,"7,820,48,72",22.73,781.97,-11.535,-7.68,220.11,2248.518058032527,42.518708345150266,228.01,1133.0,"8,809,29,63",18.69,771.59,0.0,0.0,219.87,1861.7270157720147,2.686154975379926,231.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.47,16
8,2006-08-15 07:00:00,153471,"1217,1178,618,477",1515.69,943.21,0.0,0.0,207.4,109270.42990257732,50.58747332899301,227.83,110179.0,"1203,1167,592,455",1465.11,943.6,-0.855,0.495,207.12,84994.4877281369,62.22133168683448,230.4,83801.0,"1235,1169,452,453",1453.43,944.04,-3.435,-1.83,206.02,77206.39074901115,31.31338258021681,229.95,36756.0,"1242,1171,272,270",1375.46,1046.32,-3.09,-3.135,205.23,48466.5091116677,27.7573016063349,227.41,39914.0,"1220,1196,290,251",1358.48,1068.65,-2.67,-0.54,204.44,24270.87848209476,21.75248001178472,226.81,39727.0,"1201,1200,314,248",1337.99,1076.78,-1.725,-0.4649999999999999,203.82,18146.49575319434,27.57083255569933,225.87,38952.0,"1161,1181,346,220",1311.76,1078.95,-3.3600000000000003,-0.615,203.93,19231.52465955091,19.776365427016643,223.92,43375.0,"1115,1178,388,221",1284.52,1076.58,-2.19,-3.72,201.74,16497.727267765287,16.968301731057693,223.78,46334.0,"1062,1216,344,246",1226.44,1082.76,-6.12,-1.11,197.71,16297.850299275522,18.12291894582105,221.18,57304.0,"999,1233,353,263",1165.15,1098.08,-7.635,-2.34,194.52,67524.3857642197,49.95498798087643,218.66,63228.0,"945,1259,331,297",1107.12,1113.48,-1.5750000000000002,-0.885,194.19,79220.82446891238,44.82261386552721,214.66,79541.0,"884,1292,360,339",1064.75,1129.99,-5.82,-0.5700000000000001,192.67,106271.55885634564,58.53208243145607,213.04,97543.0,"829,1324,403,373",1021.95,1139.96,-3.075,-1.14,193.7,138917.45241452972,79.61598115848815,211.53,117019.0,"765,1347,419,412",980.65,1142.54,-5.175000000000001,-1.665,192.84,140850.68774598808,103.02710344692794,211.78,152005.0,"696,1429,477,514",929.0,1159.81,-3.9,-1.335,194.46,178591.6579410701,59.40035076125783,213.92,193729.0,"594,1431,584,570",879.29,1152.48,-4.305,-0.5549999999999999,195.36,236894.4715573889,55.66824171422456,216.51,200836.0,"583,1433,534,584",824.25,1161.53,-2.085,0.21,193.61,265616.38040714094,110.3258158955873,215.95,229292.0,"537,1447,558,704",784.13,1148.03,0.15,0.24,193.35,313897.9128438561,115.71500403860514,216.91,234927.0,"477,1470,616,741",739.62,1151.43,-2.895,-0.585,192.68,301153.2248465251,120.19107213241048,217.54,229671.0,"462,1471,625,755",692.68,1141.12,-2.745,-0.39,194.44,263174.50750534795,97.88609111751984,217.48,234072.0,"425,1466,633,723",655.84,1131.75,-2.16,-0.015,194.77,215330.99827354617,68.05000729491802,218.74,217825.0,"389,1444,500,690",602.42,1106.59,-4.7700000000000005,-0.75,196.97,196947.0732290757,69.1070933719581,220.19,205827.0,"353,1430,483,669",563.39,1095.9,-1.725,0.195,198.31,151354.82517403277,61.089516064907656,222.74,187341.0,"309,1414,463,671",529.95,1067.89,-0.915,0.81,201.06,89570.63450052477,54.32598913659638,225.26,156126.0,"263,1359,479,592",496.64,1046.46,-2.835,0.6900000000000001,203.32,42299.40106585217,56.45440591538393,226.41,149067.0,"8,1323,713,548",420.75,1028.58,-1.32,0.585,200.2,105175.16207035,144.5928842352477,227.33,120642.0,"9,1243,683,439",403.03,1015.77,-5.085,-1.455,199.81,85039.28616443984,89.79434175196148,228.27,94568.0,"49,1194,618,388",365.82,1006.72,-4.485,-0.0,199.16,54852.62054174718,101.83093429035222,228.04,64785.0,"10,1149,548,304",284.38,1022.99,-5.085,1.245,200.68,27918.86967632641,94.0027461437163,226.38,57316.0,"8,1189,555,351",247.56,1024.69,-10.245,1.815,203.67,7505.003060401539,28.03600171933028,226.2,44739.0,"0,1195,479,367",182.76,1019.35,-10.29,0.795,199.07,35551.0249058544,87.87658998976372,224.06,36251.0,"0,1209,337,298",119.91,1047.77,-9.03,2.115,200.98,16324.18828417335,27.999168150695805,223.02,36223.0,"0,1205,251,355",92.69,1035.28,-8.865,3.24,205.51,5581.851549283972,52.41955405860788,224.52,29736.0,"0,1218,287,372",90.32,1057.6,-5.865,2.25,209.65,1784.045643361268,75.13771362729022,227.47,14483.0,"0,1226,145,214",73.7,1119.1,-2.175,5.235,212.46,21.90031080803909,0.0978326411051767,226.72,16009.0,"8,1201,155,218",70.62,1085.42,-6.525,2.565,215.29,1.631470196206949e-05,2.578700003604816e-07,228.68,13467.0,"8,1194,138,206",54.44,1089.13,-7.08,8.565,216.9,1.8909208115244688e-07,9.90819907640936e-10,229.83,8610.0,"8,1204,80,208",40.12,1105.96,-17.25,-0.8250000000000001,221.41,4.312013778305811e-06,1.75847523869865e-07,232.3,2098.0,"8,1226,65,76",41.54,1186.84,-6.09,21.09,217.29,0.0007333319485812,6.0537016564296735e-05,230.99,1738.0,"8,1239,70,80",42.19,1202.13,0.27,14.385,218.07,0.6807393057062163,8.76550088324161e-06,230.3,1211.0,"9,1243,68,66",41.75,1210.38,-0.0,0.735,223.07,0.1991388499762476,0.0049536114345095,233.96,192.67,38
9,2006-08-15 07:00:00,3696,"0,795,109,58",47.49,769.65,0.0,0.0,222.01,3648.028102514893,23.21777024401693,233.53,1804.0,"0,794,72,53",28.79,772.13,0.06,1.59,226.33,4218.322358998162,35.788757512297295,234.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.01,1
10,2006-08-15 07:00:00,90307,"360,1232,361,407",535.13,1044.92,0.0,0.0,209.08,16092.66325160286,10.988074974088752,225.12,78355.0,"329,1237,336,411",502.94,1043.86,-2.055,1.7399999999999998,214.5,6246.750773266614,6.590673955914203,229.58,66895.0,"298,1258,331,443",477.26,1034.12,-3.075,3.495,215.79,1367.4400153184024,1.069885037818529,231.05,50175.0,"271,1185,346,380",443.95,1008.76,-6.345000000000001,0.315,216.55,761.7661811411031,0.2855684497606222,232.55,13346.0,"352,1024,162,192",439.58,921.42,-14.595,0.51,220.45,0.4688977190215086,0.0056688766820599,232.96,12124.0,"315,1023,179,200",413.7,914.23,-17.384999999999998,-1.515,218.63,0.9979784041554371,0.0100540632185755,232.0,7303.0,"322,1015,156,199",414.37,894.87,-19.02,-2.325,218.25,17.30210014972437,0.1505690484281401,231.02,6987.0,"256,935,134,152",328.64,862.46,-25.725,-2.085,217.63,37.360761998341616,0.0683298103665872,230.73,4549.0,"245,908,110,117",308.68,854.89,-27.39,-3.495,217.47,32.5773587874529,3.4361110483305937,231.14,2344.0,"247,875,86,80",299.7,829.47,-26.445,-4.485,217.61,0.1172266056462536,2.7449281202846934e-08,230.2,2064.0,"246,872,63,83",281.95,827.69,-30.96,-6.69,219.44,0.1760720940992766,4.184038976538269e-07,229.56,2199.0,"223,869,63,87",259.85,826.62,-31.44,-4.89,220.22,0.0055502318387475,1.8120241355889505e-07,229.9,2124.0,"212,857,56,82",238.27,823.94,-18.735,2.715,222.12,6.641067132443786,0.0037794470835981,232.6,2010.0,"191,851,61,85",218.66,816.69,-21.555,-1.485,224.15,2.534681358800511,0.0033120444524297,234.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.08,10
