storm_id,start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,rain_vol_26,rain_max_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,rain_vol_27,rain_max_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,rain_vol_28,rain_max_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,rain_vol_29,rain_max_29,tmean_29,area_30,bounds_30,clon_idx_30,clat_idx_30,PSu_30,PSv_30,tmin_30,rain_vol_30,rain_max_30,tmean_30,area_31,bounds_31,clon_idx_31,clat_idx_31,PSu_31,PSv_31,tmin_31,rain_vol_31,rain_max_31,tmean_31,area_32,bounds_32,clon_idx_32,clat_idx_32,PSu_32,PSv_32,tmin_32,rain_vol_32,rain_max_32,tmean_32,area_33,bounds_33,clon_idx_33,clat_idx_33,PSu_33,PSv_33,tmin_33,rain_vol_33,rain_max_33,tmean_33,area_34,bounds_34,clon_idx_34,clat_idx_34,PSu_34,PSv_34,tmin_34,rain_vol_34,rain_max_34,tmean_34,area_35,bounds_35,clon_idx_35,clat_idx_35,PSu_35,PSv_35,tmin_35,rain_vol_35,rain_max_35,tmean_35,area_36,bounds_36,clon_idx_36,clat_idx_36,PSu_36,PSv_36,tmin_36,rain_vol_36,rain_max_36,tmean_36,area_37,bounds_37,clon_idx_37,clat_idx_37,PSu_37,PSv_37,tmin_37,rain_vol_37,rain_max_37,tmean_37,tmin_min,mcs_thld
1,2006-08-16 07:00:00,104168,"2165,827,481,422",2432.34,630.0,0.0,0.0,204.0,104394.06082390864,63.84890623829492,226.12,48068.0,"2174,812,299,384",2323.2,627.32,-2.67,-6.449999999999999,204.31,84329.57656093886,63.16448529014159,224.36,50731.0,"2116,807,340,388",2303.16,620.17,-3.0,-5.235,205.13,66750.11339053388,50.75172005001894,223.81,56418.0,"2128,816,295,412",2284.84,628.05,-4.155,-8.94,205.91,57511.73092070452,61.40095934617003,225.14,59335.0,"2057,819,345,426",2260.3,638.02,-3.435,-1.005,206.97,46583.68506553023,49.04681161005075,225.99,56071.0,"2017,821,349,385",2230.81,653.98,-4.199999999999999,-4.5,207.9,45247.59275222757,63.79052720115951,225.83,51225.0,"1981,827,374,307",2210.53,663.94,-4.485,-3.405,208.27,31325.96164106836,35.036052061971375,225.29,50711.0,"1973,829,392,299",2196.57,657.56,-6.165000000000001,0.5700000000000001,210.33,23927.26228503027,26.35620881648633,225.75,53120.0,"1941,822,386,295",2173.13,651.08,-13.11,-0.93,207.45,9775.443868961433,18.42872297335592,227.45,57204.0,"1924,803,403,284",2140.82,641.65,-8.370000000000001,-1.125,209.13,6306.466775913816,23.07495864828305,230.0,57423.0,"1911,804,374,364",2117.44,614.95,-3.1049999999999995,1.275,209.07,8822.869885820344,23.515766580194946,231.55,39681.0,"1947,767,313,318",2096.55,598.88,-3.72,-2.715,210.86,11815.526331558262,34.52786537860747,231.38,16374.0,"1928,640,217,203",2046.17,538.31,-2.895,-0.735,216.68,9955.439912211325,28.0184138826187,230.65,14700.0,"1908,609,206,181",2021.85,520.19,-1.485,-1.485,215.03,17991.492629310775,36.52022297208716,232.09,6397.0,"1973,499,138,87",2034.62,452.89,-13.605,-2.505,204.43,26276.586313632397,64.63360598972736,226.7,8258.0,"1948,496,155,95",2025.07,446.42,-3.255,-4.11,210.55,26770.69191778554,49.07633801567059,226.02,10279.0,"1935,504,152,113",2013.1,443.59,-2.745,-6.51,214.67,35616.82127176732,95.9475007595509,228.66,11665.0,"1936,524,119,146",2000.68,446.71,0.0,-0.0,210.1,44921.89892024927,54.712444750117456,230.25,11550.0,"1918,539,130,176",1997.21,463.7,-1.53,7.515,207.41,51761.0723511885,73.4061272885039,228.23,11174.0,"1932,541,123,123",1991.44,480.19,-0.21,0.36,206.76,53757.6113637172,100.85064575401202,225.74,13389.0,"1914,552,142,131",1988.16,481.52,-1.245,0.0,205.85,66517.69022692883,103.87272168310663,225.57,15338.0,"1900,562,153,148",1980.27,483.59,-1.065,-0.0,206.47,86171.15984724252,81.49496751759301,225.15,17985.0,"1891,568,157,166",1973.07,481.74,-1.6949999999999998,-2.325,209.38,93064.40977058285,77.44648776303974,226.0,19519.0,"1884,577,165,180",1966.27,482.35,-1.095,-0.255,207.89,81190.33121976662,59.97371391084367,226.77,28310.0,"1869,697,169,310",1961.11,514.43,-5.205,1.08,209.01,78223.37513606076,63.25321533254856,227.84,25782.0,"1849,650,178,265",1943.47,497.07,-5.175000000000001,0.8699999999999999,208.85,76118.1893941217,95.32974949306252,228.55,17116.0,"1838,536,173,160",1922.44,452.88,-2.4000000000000004,0.585,208.9,60194.54777631955,61.07334100453612,227.25,19583.0,"1824,563,193,223",1906.8,450.02,-8.94,-0.66,208.35,71893.93369705213,61.116810847112745,227.35,22401.0,"1803,562,215,222",1891.9,445.46,-3.45,0.09,208.37,83683.64889722699,70.38478539399438,227.46,22731.0,"1792,576,165,242",1872.37,441.46,-4.335,0.075,208.11,72658.82033425993,54.92202219195679,227.28,24072.0,"1780,593,167,270",1860.07,432.15,-8.115,-0.735,209.94,61565.86536450437,54.31131478602708,227.78,25877.0,"1763,536,182,222",1854.09,423.69,-2.04,-2.685,208.73,46191.54288921408,40.16475822340477,228.89,23564.0,"1751,512,202,202",1845.87,416.91,-2.13,-0.63,213.24,26637.16108581625,23.53865700963497,228.58,24570.0,"1738,497,204,181",1837.23,408.65,-1.32,-0.585,216.32,18642.806918946382,16.53057685091534,230.29,20375.0,"1722,487,202,167",1827.58,398.38,0.015,-4.050000000000001,218.25,12350.80693002332,25.650501750214357,232.34,14092.0,"1720,464,176,156",1806.82,389.83,-1.44,-1.275,222.4,5691.256965323024,33.36750641373104,233.86,5676.0,"1740,433,113,119",1797.59,373.14,0.075,-3.69,219.98,1019.8458708764796,3.9044618403834894,235.72,1341.0,"1764,380,46,42",1788.87,361.49,-4.47,-23.01,228.02,76.4115379854237,0.5270602244343764,235.56,204.0,37
2,2006-08-16 07:00:00,7661,"2585,699,142,107",2661.93,646.14,0.0,0.0,217.68,2912.977624847133,9.021581783314067,230.98,3459.0,"2603,685,95,61",2661.56,656.91,-25.05,-5.595,226.13,350.1810160410963,5.565604216494435,235.2,469.0,"2619,671,28,27",2633.8,656.27,-11.73,-2.295,228.43,25.12425066210835,0.3224281142299454,237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.68,2
3,2006-08-16 07:00:00,1904,"185,647,91,35",232.82,630.25,0.0,0.0,222.74,8151.283846299772,32.18270576564442,231.64,2483.0,"192,655,83,39",236.63,635.17,2.34,7.755,216.25,12541.139270193977,51.03920951460876,229.15,3539.0,"169,665,114,52",221.57,641.97,-12.825,1.71,211.96,16256.241166126543,56.34453248478888,229.29,6282.0,"135,691,174,71",222.48,656.57,-18.06,1.77,213.28,20160.056266506966,53.54640756217753,229.17,9589.0,"95,699,198,113",183.38,645.24,-10.62,4.62,207.99,24399.55415025865,32.70352527767915,230.11,9068.0,"69,693,167,100",154.96,643.91,-28.35,4.245,210.08,12333.416966804853,30.83146683172542,228.63,8720.0,"47,688,188,74",149.58,653.93,-4.23,6.885,211.14,4922.115880837789,29.487294884083955,226.83,9080.0,"25,699,200,75",131.17,659.54,-1.995,2.115,212.7,1154.8636583477587,17.5113774977554,226.92,9879.0,"0,714,236,83",114.28,669.91,-3.9,9.855,212.65,1141.1837441346515,7.694282626931052,227.64,10854.0,"0,758,249,127",102.19,681.09,-10.44,4.86,212.61,564.9128616185595,4.836677351088704,227.45,8183.0,"0,805,126,219",54.32,684.13,-3.45,6.209999999999999,206.27,121.78115887200768,0.1783472153118765,226.61,6353.0,"0,805,89,219",31.95,685.95,-1.965,1.545,203.69,196.16325616443905,5.820647885950284e-05,225.14,5438.0,"0,805,66,263",20.72,678.49,-1.875,-0.03,205.69,29.112220876768717,0.0009181605012414,228.17,2918.0,"0,784,32,244",7.41,665.22,0.015,-0.63,212.56,0.6153223310672977,2.897092251557535e-07,229.51,2200.0,"0,795,14,250",4.15,668.24,-0.21,-1.965,226.07,0.5909825732240997,0.0,232.91,855.0,"0,666,8,109",3.67,609.1,-0.4499999999999999,0.0,228.8,0.0,0.0,235.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.69,13
4,2006-08-16 07:00:00,5007,"3060,816,94,76",3106.11,778.28,0.0,0.0,215.03,5843.5076806229645,9.12297308955935,229.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.03,1
5,2006-08-16 07:00:00,1347,"2903,796,43,43",2923.84,773.65,0.0,0.0,220.54,2310.1019398499634,6.447279660086782,230.22,1947.0,"2875,793,54,57",2903.04,761.75,-15.555,-18.735,216.79,4071.399034889605,25.647360051711328,230.15,3820.0,"2846,795,73,79",2882.76,750.3,-14.16,-8.655,214.21,8057.65763177315,21.703159211028005,226.49,6083.0,"2820,792,89,94",2862.93,742.23,-24.405,-6.495,206.14,16651.86953220648,25.44491346120956,225.78,7523.0,"2785,790,109,110",2834.73,741.78,-22.155,-0.285,206.92,23191.440526111368,34.72765591490319,222.1,12623.0,"2719,795,154,134",2806.02,735.21,-15.24,0.2249999999999999,207.65,35408.880052227665,42.78673299105659,222.01,18630.0,"2687,795,184,174",2783.22,718.08,-3.9,-0.675,208.58,43525.22150572404,50.401801709046,223.54,44768.0,"2655,791,431,227",2846.04,683.83,-6.824999999999999,-8.535,201.34,110898.92949574476,50.30020581395908,224.45,46742.0,"2614,784,376,236",2790.08,669.93,-9.585,-3.2700000000000005,204.69,95994.93616575,61.03022681745606,222.68,52203.0,"2581,785,399,238",2766.78,660.86,-6.165000000000001,-4.17,204.46,58430.07492651916,40.17812313232383,223.22,35132.0,"2561,785,213,262",2675.78,661.69,-5.865,-2.43,206.76,32729.905073786067,45.49986862171619,222.62,38931.0,"2541,777,217,299",2653.78,643.68,-5.205,-8.925,212.58,27468.955574487594,54.88167724081342,225.8,53220.0,"2529,774,296,357",2648.61,585.53,-7.649999999999999,-3.1049999999999995,202.99,84173.2318873057,80.9973937815727,227.64,51470.0,"2510,751,307,366",2645.06,552.63,-1.515,-10.935,199.01,113954.35375299132,60.35596235736045,226.09,47003.0,"2470,727,349,346",2649.57,502.08,-1.6949999999999998,-0.915,199.45,110400.05673767193,59.73043581321605,221.54,50597.0,"2432,625,386,254",2639.85,474.65,-0.93,0.645,200.11,83581.41548946642,46.56466960273734,220.27,60681.0,"2402,615,411,269",2634.32,464.67,-0.5700000000000001,-0.6900000000000001,205.95,56221.56968784447,51.14580477367714,222.55,73196.0,"2394,630,420,307",2633.58,462.93,-0.03,-0.315,208.34,52132.18013175893,46.491606387373466,225.55,82197.0,"2421,691,396,400",2629.5,464.26,-0.585,-0.4349999999999999,211.61,43788.67558755802,68.91086685928288,228.43,74401.0,"2400,654,438,399",2626.45,466.6,0.03,-0.675,210.18,31034.161738723276,30.11732358533301,230.38,49558.0,"2450,636,380,415",2663.4,463.61,-1.32,0.4349999999999999,220.72,6562.030504021177,8.387101277563126,233.33,33354.0,"2502,594,319,376",2665.58,452.87,-1.335,-1.62,223.49,2819.6789231676,4.458262998276683,235.02,11855.0,"2571,595,231,136",2709.69,538.84,-0.63,-1.005,223.36,737.8614596229168,0.8481863025837318,233.14,10179.0,"2549,591,247,125",2710.33,543.27,-2.595,-2.85,227.13,555.8997651074051,1.0093563789065,235.45,10197.0,"2653,583,148,283",2753.96,458.81,-0.96,0.4649999999999999,227.15,98.8694930874199,0.2505686412105683,235.82,5499.0,"2705,519,86,227",2764.4,416.74,-11.94,-0.54,228.02,1.2418804649110171,0.0280111641714836,236.07,5958.0,"2681,509,103,254",2746.64,383.93,-11.265,-3.225,228.61,86.13906590326566,0.3878846055320594,235.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.01,25
6,2006-08-16 07:00:00,126564,"283,1353,414,594",476.4,1068.94,0.0,0.0,206.27,17298.68093041601,46.17741046083019,229.19,67908.0,"252,1144,447,348",478.76,991.91,-1.005,-4.305,212.51,5420.410219235749,34.09107463328688,230.54,61763.0,"126,1149,582,311",426.97,981.96,-0.93,0.8699999999999999,200.77,41678.16012397934,60.88340260989973,230.22,45118.0,"82,1078,572,217",380.14,979.56,-5.265,0.09,202.06,26512.802761910312,92.80202987305148,228.2,23067.0,"51,1094,323,145",190.25,1013.0,-9.225,-1.11,204.81,16101.75167566273,44.09422182554955,222.94,23346.0,"42,1103,302,158",163.14,1016.13,-6.465,-0.42,204.96,1680.893608927584,3.556009785055366,223.85,26077.0,"5,1183,224,307",106.82,1019.36,-8.49,2.25,198.86,46511.10511171822,113.7237018249459,223.81,22396.0,"0,1130,199,251",82.3,1023.76,-9.78,5.1450000000000005,201.63,26173.70301257784,74.07811935467555,224.04,17995.0,"0,1144,148,251",62.43,1037.99,-7.904999999999999,3.6,205.99,3712.138732778984,16.369283726982463,225.74,14263.0,"0,1154,154,225",63.82,1062.51,-3.21,19.35,210.05,9.07937941108798,0.1402161163738486,227.32,11831.0,"0,1164,135,232",59.59,1074.6,-5.355,3.87,214.34,0.1527712538659262,1.601503121826961e-09,228.11,7992.0,"8,1181,100,137",59.36,1107.77,-13.5,8.145,218.07,0.0006428128841059,3.431702977796536e-07,228.84,8849.0,"0,1190,97,239",42.11,1094.53,-8.16,11.13,219.34,1.5847492798069744,0.0037078556710971,230.75,5155.0,"0,1201,88,198",37.04,1119.42,-21.12,0.495,220.76,6.774882993859114,0.0114260921647084,231.54,546.0,"34,1209,47,31",58.66,1192.73,-3.285,13.065,222.74,0.2479743911430233,0.0028117092765728,232.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.86,14
7,2006-08-16 07:00:00,1714,"307,832,99,34",353.32,816.28,0.0,0.0,223.24,1.500800057737193,0.0189359476001547,231.69,1436.0,"294,829,89,27",332.03,818.35,-15.18,1.005,221.95,1.2732427981993724,0.0148664869046881,232.7,1680.0,"239,842,105,32",290.1,825.06,-36.6,-0.03,223.42,0.6184402629676047,0.0138910261236255,232.49,2361.0,"204,853,118,40",266.46,830.99,-19.950000000000003,6.165000000000001,221.45,82.07078468008635,0.0075769098270229,232.77,3014.0,"179,857,157,48",247.55,831.09,-11.145,1.815,222.1,26.707261338581443,2.039368945574802,233.68,2030.0,"151,853,140,46",216.45,826.68,-21.165,3.135,224.3,0.1488167494837967,0.000199496603528,233.96,1097.0,"126,862,69,39",165.15,836.68,-21.09,4.89,226.35,268.0000257681099,1.2580969398185415,233.5,471.0,"106,853,47,27",129.39,838.89,-7.365,5.61,230.79,956.8778199802168,13.482299668234145,236.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.45,2
8,2006-08-16 07:00:00,8795,"3010,917,131,101",3082.77,869.52,0.0,0.0,212.35,6463.417287132932,18.441031980172525,224.58,11571.0,"3020,900,109,168",3077.13,823.08,-5.28,-9.045,213.85,10361.590312988124,25.558365950455705,232.06,6274.0,"3004,801,103,86",3054.08,761.58,-4.98,-2.625,207.93,18375.606982561843,31.096986150619305,227.2,9075.0,"2976,801,116,104",3034.59,754.42,-11.325,-0.78,208.02,16867.56670098594,31.231967258429176,225.0,11808.0,"2953,805,136,128",3017.45,742.43,-6.705,-2.235,209.23,7448.217021468085,22.67024815361909,225.35,13224.0,"2930,790,140,133",3001.44,724.01,-1.89,-6.9750000000000005,214.72,6925.407030784385,32.95733532197563,226.41,15997.0,"2906,774,157,158",2992.58,698.81,-2.505,-7.334999999999999,205.09,24873.052453668097,93.46207264515142,227.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.09,7
9,2006-08-16 07:00:00,3208,"2933,896,69,65",2967.66,864.98,0.0,0.0,220.35,2101.4899928171817,12.313549302347406,229.04,574.0,"2939,857,36,33",2956.61,840.42,2.64,-36.345,229.87,356.9668563156452,1.358556583705587,236.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.35,1
10,2006-08-16 07:00:00,824,"59,906,50,23",85.18,893.97,0.0,0.0,214.82,9957.638794407363,70.12778495889131,227.19,2063.0,"32,920,82,40",69.35,899.74,-5.955,3.84,209.91,12569.734784989325,43.86755440657859,225.08,5051.0,"7,934,137,57",68.74,903.05,-26.835,7.56,209.16,25350.60615549126,98.09366377149748,223.1,5489.0,"6,941,130,67",66.13,905.48,-1.56,3.2700000000000005,207.87,17035.385173096376,38.76355159539817,220.04,5639.0,"3,945,115,70",56.09,908.75,-0.96,1.92,209.17,21412.65060521481,53.00665359500542,222.23,5268.0,"6,961,94,86",44.84,914.72,-3.51,4.574999999999999,200.71,33429.26635420139,98.46796367312834,221.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.71,4
