storm_id,start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,rain_vol_26,rain_max_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,rain_vol_27,rain_max_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,rain_vol_28,rain_max_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,rain_vol_29,rain_max_29,tmean_29,area_30,bounds_30,clon_idx_30,clat_idx_30,PSu_30,PSv_30,tmin_30,rain_vol_30,rain_max_30,tmean_30,area_31,bounds_31,clon_idx_31,clat_idx_31,PSu_31,PSv_31,tmin_31,rain_vol_31,rain_max_31,tmean_31,area_32,bounds_32,clon_idx_32,clat_idx_32,PSu_32,PSv_32,tmin_32,rain_vol_32,rain_max_32,tmean_32,area_33,bounds_33,clon_idx_33,clat_idx_33,PSu_33,PSv_33,tmin_33,rain_vol_33,rain_max_33,tmean_33,area_34,bounds_34,clon_idx_34,clat_idx_34,PSu_34,PSv_34,tmin_34,rain_vol_34,rain_max_34,tmean_34,area_35,bounds_35,clon_idx_35,clat_idx_35,PSu_35,PSv_35,tmin_35,rain_vol_35,rain_max_35,tmean_35,area_36,bounds_36,clon_idx_36,clat_idx_36,PSu_36,PSv_36,tmin_36,rain_vol_36,rain_max_36,tmean_36,tmin_min,mcs_thld
1,2006-08-17 07:00:00,98271,"2940,482,359,459",3114.7,282.05,0.0,0.0,204.81,237250.16202996645,74.73534456394488,225.04,92820.0,"2926,491,373,469",3107.32,286.34,-2.55,2.94,203.26,217737.32992400628,48.60048626350836,227.98,89262.0,"2886,503,413,428",3093.37,290.53,-2.28,-3.885,200.47,165930.2151485594,54.61623177548655,226.86,89787.0,"2867,518,432,418",3085.92,298.3,-2.49,0.27,202.0,112562.49135799996,49.66608353004254,226.29,94021.0,"2858,504,441,440",3073.19,288.53,-4.08,-3.645000000000001,200.36,68436.02453000103,22.651657008330087,226.98,96248.0,"2801,517,498,469",3059.62,289.02,-7.41,-3.225,201.62,63624.00691161349,46.186875655066544,228.04,86893.0,"2767,451,532,419",3045.56,275.61,-4.23,-3.21,203.87,53479.075621113625,85.86962411723677,227.77,79820.0,"2740,469,497,469",2973.65,235.98,-8.64,-0.81,197.5,85670.02883204234,89.10963019733849,222.73,80619.0,"2702,524,493,524",2923.29,229.33,-6.2250000000000005,0.855,198.5,117465.98747371588,109.9910965574633,219.01,113557.0,"2529,549,692,549",2893.81,237.31,-7.1850000000000005,-1.785,197.97,99030.34944118696,60.416233199219626,220.91,132672.0,"2723,698,576,698",2971.21,310.47,-2.85,2.43,197.89,91744.73362903282,47.81780298662596,221.06,81788.0,"2699,692,600,543",2920.04,447.81,-8.43,1.095,205.99,46956.660682479865,55.21188988791649,226.68,36887.0,"2764,683,533,216",3013.38,586.8,-0.675,4.199999999999999,201.56,69908.07800611042,43.98430290879123,226.7,25242.0,"2759,675,276,210",2899.39,580.16,-1.065,9.255,200.23,54209.07103507767,62.50107743728316,220.12,29619.0,"2738,692,293,217",2883.73,591.91,-2.43,8.61,206.16,31697.940884710537,50.03997534439766,219.56,34795.0,"2707,700,317,210",2866.99,596.81,-1.305,1.965,204.14,26878.63637088625,46.00020733839585,222.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.5,16
2,2006-08-17 07:00:00,1704,"2640,241,51,53",2667.2,212.03,0.0,0.0,214.87,5058.674628800855,40.54527758128202,226.03,3953.0,"2614,250,77,81",2652.17,208.66,-12.21,-0.075,207.25,2100.716650335472,10.62697309658578,223.78,6291.0,"2585,261,109,114",2631.38,206.68,-13.919999999999998,3.0,208.43,2346.838398296915,15.91856855694108,223.64,7798.0,"2557,259,126,126",2607.92,201.13,-20.685,-0.0,213.02,2338.0725144097064,12.445467078270823,227.19,8173.0,"2537,246,124,128",2586.37,191.26,-18.0,-0.705,220.77,1157.238915860704,9.56879379800547,231.65,6451.0,"2514,238,136,110",2568.84,187.12,-19.365,-12.735,227.14,1807.6666385380172,23.5149630222808,235.16,3071.0,"2474,188,95,97",2526.84,152.06,-25.005000000000003,-17.52,227.07,359.5038472616791,5.572350523874196,236.91,685.0,"2507,159,44,31",2532.74,145.99,-17.115000000000002,-18.33,231.79,0.0089724275224875,5.621437974220383e-08,237.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.25,6
3,2006-08-17 07:00:00,4589,"2061,339,87,78",2105.86,298.71,0.0,0.0,211.08,29930.248355711643,67.70247613294923,232.65,3539.0,"2049,353,94,66",2099.22,314.6,-4.68,-0.42,208.24,30041.849001564213,88.89175562280406,228.06,4748.0,"2038,362,90,90",2086.28,318.16,-13.26,-0.21,209.1,24065.96281931169,37.72090483737136,226.57,5658.0,"2032,352,107,87",2082.65,315.29,-2.865,-3.24,213.33,22895.7625789444,73.66298157523576,227.92,6225.0,"2022,349,114,84",2078.67,311.86,-0.72,-7.425000000000001,207.76,24188.76498091101,51.427027578785406,228.54,6229.0,"2011,343,122,80",2074.93,306.42,-2.145,-3.63,211.82,20275.250204496864,36.823512917004194,227.91,6812.0,"2002,341,123,84",2066.02,300.37,-4.125,-4.14,216.11,16108.922356382198,44.12939072857868,229.17,6547.0,"1992,350,128,116",2060.22,294.24,-2.79,-6.8100000000000005,218.64,5091.305816967765,18.659779456751608,231.64,4010.0,"2023,334,83,117",2068.37,288.19,-2.505,-6.885,218.83,448.6226988493851,1.1559490215587185,233.39,1452.0,"2049,312,41,63",2067.11,282.72,-9.9,-19.155,228.97,8.946491128566711,0.1012761361878574,236.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.76,9
4,2006-08-17 07:00:00,21639,"1843,594,171,197",1923.85,487.03,0.0,0.0,204.69,106281.78864512008,72.07819130208709,227.08,18723.0,"1837,594,150,206",1907.5,481.62,-3.3600000000000003,-0.09,206.24,82315.83483488654,82.35390806132429,225.55,20442.0,"1820,566,143,193",1897.63,469.71,-1.59,-2.685,211.29,53784.940442385225,65.17449780847467,225.07,23998.0,"1799,555,172,192",1890.99,466.02,-0.48,-0.075,208.61,37458.54096494026,28.312875505056564,227.37,26942.0,"1786,555,192,215",1881.55,455.53,-0.42,-0.105,212.07,45207.11655391322,72.39007909855222,229.43,24939.0,"1770,548,214,213",1864.46,448.56,-2.175,-0.06,206.03,34005.27184315853,60.78226846506932,229.32,25117.0,"1755,540,227,210",1852.35,443.1,-0.6900000000000001,0.375,207.66,30277.883229991367,45.442396044127314,229.65,19877.0,"1737,537,184,215",1837.03,419.43,-0.66,-2.19,207.08,28523.369603739284,43.99494372936109,228.75,17863.0,"1731,487,190,161",1825.06,403.26,-1.305,-0.03,208.54,21096.43359741809,34.1441085551892,227.95,17822.0,"1715,471,182,153",1808.68,391.53,-0.8400000000000001,-1.095,212.74,17385.186287062665,50.99316445583637,229.48,15519.0,"1698,465,183,152",1796.26,382.04,-0.18,-5.295,217.93,16845.18970580324,37.84436115348482,231.84,10166.0,"1700,423,164,117",1780.09,365.61,0.12,0.255,221.6,14200.822420093407,34.85550162419538,233.84,3539.0,"1700,376,105,64",1763.05,341.1,-12.87,-20.745,224.87,4252.182063900872,36.32467159685063,235.89,868.0,"1708,341,55,28",1732.32,330.16,-46.155,0.975,225.82,1594.3323245944027,7.382409986571834,234.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.69,13
5,2006-08-17 07:00:00,23797,"343,709,243,200",474.25,616.96,0.0,0.0,205.34,80142.56083485894,74.80649883786167,225.0,22148.0,"346,713,230,212",467.6,620.01,-3.4799999999999995,-0.24,204.72,76332.72335780833,105.0711589227556,224.17,17949.0,"372,712,202,139",487.3,644.54,-0.6900000000000001,1.0499999999999998,204.03,56920.95887775567,73.8979627332373,221.96,18724.0,"373,710,186,143",471.79,643.12,-4.725,0.6000000000000001,206.11,46247.89618546027,91.6097387130107,223.56,18778.0,"347,721,186,162",449.71,639.24,-1.83,0.5549999999999999,204.91,44940.15425945995,80.18818642690674,224.63,30024.0,"262,747,255,279",404.4,639.47,-4.23,-0.045,201.29,81731.04535747535,84.32707141132101,225.47,30492.0,"240,751,267,225",389.34,639.63,-4.365,0.645,203.21,81148.49389278692,69.85905886801642,226.49,31697.0,"215,753,293,238",379.11,638.98,-1.77,-0.165,207.64,70991.71593922582,92.43408522356928,227.01,33164.0,"188,759,310,253",367.8,638.71,-2.28,-3.225,205.2,77181.61225999724,54.43540091045461,227.19,34870.0,"183,766,310,262",355.42,643.85,-3.765,-1.32,203.46,63711.16674076583,71.2876817208531,228.19,32333.0,"162,765,313,270",339.79,654.94,-2.895,-1.89,199.01,57493.183248558365,86.69595202651564,227.56,27459.0,"173,763,294,188",324.28,675.14,-0.8400000000000001,0.21,202.8,38712.00997228178,63.56890520558271,226.27,27802.0,"175,762,283,177",314.22,674.43,-1.215,-2.13,208.12,29576.25559026893,53.858432053100174,227.9,21508.0,"167,756,209,174",284.18,672.23,-1.785,0.06,211.24,19068.648215658257,55.858797440641325,228.88,19800.0,"156,752,228,177",276.64,666.17,-1.44,0.06,211.58,14826.169242917396,48.08454194497978,230.89,12361.0,"184,750,161,140",258.63,674.97,-1.395,-1.485,220.43,2320.0704809157382,3.711110744574916,232.54,7363.0,"179,693,124,90",240.02,645.09,-5.82,-3.225,224.51,4216.663972148354,8.368860059683726,234.52,9834.0,"167,700,221,132",288.04,618.98,-0.0,0.0,203.68,36896.31768149232,59.34845335462687,229.38,7570.0,"257,652,129,91",328.01,602.03,-1.875,-2.085,205.0,36373.570404122,128.35386361220066,224.02,8636.0,"258,656,126,105",326.51,602.53,-0.915,-0.5249999999999999,207.17,35350.60283999313,79.4981015041202,224.35,9432.0,"259,660,117,112",320.79,603.88,-6.84,-0.0,206.42,32859.57824111599,59.1225772506562,224.12,10561.0,"240,662,133,118",309.14,604.87,-7.605,-0.045,207.56,37877.27881901,59.25874900144637,224.93,11047.0,"229,668,123,129",292.86,604.62,-8.22,-4.545,209.29,35433.351163777006,61.619927698938326,225.25,22862.0,"0,667,336,135",190.24,608.07,-3.06,-1.62,209.46,87886.66221808027,87.27735973259985,225.73,25052.0,"0,668,332,136",179.88,606.61,-1.41,-3.3000000000000003,207.01,95408.3224445047,75.49915004516558,225.99,15133.0,"0,674,232,124",109.06,606.73,-0.5549999999999999,-2.985,207.95,64050.29028389123,111.94871061498128,226.15,23629.0,"15,671,303,131",175.25,602.1,-1.44,-1.275,208.76,74014.0089210035,68.93307971394074,228.57,21400.0,"9,661,297,129",169.98,592.43,4.755,-0.4349999999999999,211.0,67818.36977765222,154.78018306417306,229.59,10632.0,"9,666,187,138",106.51,584.52,-1.08,-3.33,218.11,36499.55495529185,51.33756166081584,231.59,7065.0,"8,604,157,80",78.07,562.57,-1.905,-8.295,218.37,27107.112148445583,43.83881800888004,233.05,5840.0,"9,591,130,80",74.57,551.03,-0.39,-13.5,218.11,20163.28819763737,45.67664959133584,233.33,7201.0,"22,588,163,91",93.81,541.72,-2.715,-7.995,222.06,25392.08988110199,54.81328210226234,234.36,4484.0,"17,571,112,81",76.57,528.36,-0.045,-15.84,218.96,15589.423337347169,67.96701229654553,234.98,4309.0,"9,563,129,88",78.52,522.34,-1.41,-3.39,219.26,10725.466193090491,32.578958985682725,234.06,3688.0,"35,556,101,67",83.22,522.2,-3.495,-5.79,225.84,4244.288764532417,24.42553146784114,234.43,2836.0,"38,547,85,56",76.88,520.47,-7.545,-7.035,231.47,3106.667765275288,15.860107484114916,237.11,886.0,"32,537,40,34",53.78,520.88,-2.49,1.26,235.87,40.476910381640735,0.0029228191618303,239.12,199.01,36
6,2006-08-17 07:00:00,754,"505,557,36,34",522.23,542.93,0.0,0.0,217.53,6651.338442039481,60.91100575489755,229.35,1590.0,"488,555,56,43",516.48,533.36,-1.65,-0.885,210.0,8473.687473918179,63.69128269033333,227.1,2282.0,"471,554,66,55",510.42,524.27,-3.045,-1.56,216.75,8492.888122152322,45.49793920677914,228.28,1875.0,"478,545,45,58",500.5,513.25,-11.61,-1.92,224.61,6657.874448058178,19.863374696418173,233.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,1
7,2006-08-17 07:00:00,2611,"741,628,89,58",793.85,599.15,0.0,0.0,216.33,12194.775043546344,58.88108845746565,229.54,1974.0,"759,625,72,42",800.03,605.96,1.545,5.535,217.03,10521.892534941033,40.81442847400015,228.15,2478.0,"749,631,80,51",795.2,608.02,-5.715,2.46,218.94,9392.202230129144,37.04092669438754,230.49,2144.0,"750,637,69,48",787.34,611.22,-8.34,3.96,219.54,9612.037953730109,71.32415695565632,229.6,2090.0,"746,636,70,45",777.94,612.7,-4.095,0.045,219.63,6122.648958632323,25.65770752363815,229.96,1851.0,"740,641,61,49",769.36,615.76,-3.555,4.755,222.62,1589.179481799281,14.421945832126692,231.85,1114.0,"737,646,44,51",760.35,618.83,-5.64,2.13,225.18,185.60997147093588,0.3240284084690199,234.2,610.0,"704,616,35,27",722.17,601.75,-20.13,-7.515,222.34,1978.584803154417,11.954352821730236,235.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.33,2
8,2006-08-17 07:00:00,21838,"871,776,283,163",1013.95,687.62,0.0,0.0,207.92,14369.832280099496,42.47369952681108,226.51,8849.0,"989,717,138,106",1063.72,668.64,-21.12,-0.66,209.7,2166.5685923568603,4.4822875834311295,225.88,9443.0,"982,727,143,111",1053.4,673.34,-1.41,1.11,212.79,373.0301113482346,1.8409247069035968,226.91,9387.0,"984,737,136,117",1046.66,680.26,-4.68,7.949999999999999,217.84,1.3935933965538054,0.0056142088387121,229.09,7660.0,"983,737,114,106",1039.38,683.9,-1.125,1.035,221.38,0.0021005263571798,2.9483380997025774e-05,233.16,4804.0,"971,745,110,99",1029.85,690.19,-7.245,6.8100000000000005,224.05,9.128566972568236e-06,5.915022622209326e-09,235.44,2148.0,"991,741,74,66",1031.77,709.65,-9.72,-0.63,225.64,5.8245360287966094e-08,8.175006322013677e-09,234.94,942.0,"987,734,50,51",1016.29,708.07,-12.51,4.11,227.83,1.525162583648868e-06,2.2876303055759227e-09,236.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.92,6
9,2006-08-17 07:00:00,26718,"212,903,205,253",318.26,783.1,0.0,0.0,203.96,19919.83991745699,33.85195339191168,226.27,17879.0,"208,894,168,178",291.11,800.35,-4.665,0.0,205.71,8036.709352343237,25.25856715434141,226.63,13611.0,"197,869,154,156",278.03,791.84,-16.575000000000003,0.12,211.49,2558.70031497711,36.25085375570579,225.85,13599.0,"176,870,162,160",259.42,794.19,-17.535,-0.0,218.52,170.61177187668318,1.5087616385839886,231.51,10051.0,"164,870,145,154",239.24,785.94,-23.745,-3.03,225.75,19.07246527441273,0.2811817790611779,234.66,3945.0,"175,810,116,93",246.62,770.19,-15.75,0.675,227.58,38.01364424413579,0.5330815815292617,235.64,2545.0,"185,803,92,67",236.88,769.31,-6.855,0.5549999999999999,227.05,1.055171074514093,0.0373616276268457,235.58,2679.0,"129,803,140,68",214.07,764.31,-9.795,-2.115,226.7,0.6822847292558674,0.0025232445499836,234.85,1497.0,"104,775,115,44",179.11,754.41,-17.52,-7.77,228.86,0.0130973457866342,8.863889242174929e-09,235.99,843.0,"109,773,97,35",168.74,752.0,-12.21,-2.115,231.79,0.0139122013092697,1.791067880193847e-09,237.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.96,8
10,2006-08-17 08:00:00,931,"2693,238,57,43",2727.05,216.85,-5.625,0.2249999999999999,224.84,2677.155497747416,27.420699092667054,233.01,2279.0,"2667,241,96,69",2721.17,209.74,-1.38,2.25,209.07,2526.448797027328,14.273386954449748,227.14,4182.0,"2671,245,96,87",2716.05,209.43,-17.88,-0.24,212.17,627.9045356363705,1.7742462666855972,224.2,5467.0,"2649,240,108,87",2701.26,201.23,-15.735,-2.64,219.71,3.0107794727540607,0.1128793609740098,228.08,4778.0,"2632,220,104,84",2682.62,184.08,-20.97,-21.045,226.02,31.92345567087445,0.0997014460770737,233.07,3598.0,"2612,206,93,90",2654.78,164.3,-30.825000000000003,-18.855,227.79,40.244572771919536,0.1913949099406909,235.32,2096.0,"2601,181,61,87",2625.9,136.62,-24.51,-22.35,226.59,33.77400544933091,0.1011234589080564,235.8,895.0,"2578,122,43,46",2600.05,100.54,-31.35,-27.78,228.31,8.488588493637268,0.2059835585603595,234.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.07,5
