storm_id,start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,rain_vol_26,rain_max_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,rain_vol_27,rain_max_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,rain_vol_28,rain_max_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,rain_vol_29,rain_max_29,tmean_29,area_30,bounds_30,clon_idx_30,clat_idx_30,PSu_30,PSv_30,tmin_30,rain_vol_30,rain_max_30,tmean_30,area_31,bounds_31,clon_idx_31,clat_idx_31,PSu_31,PSv_31,tmin_31,rain_vol_31,rain_max_31,tmean_31,area_32,bounds_32,clon_idx_32,clat_idx_32,PSu_32,PSv_32,tmin_32,rain_vol_32,rain_max_32,tmean_32,area_33,bounds_33,clon_idx_33,clat_idx_33,PSu_33,PSv_33,tmin_33,rain_vol_33,rain_max_33,tmean_33,area_34,bounds_34,clon_idx_34,clat_idx_34,PSu_34,PSv_34,tmin_34,rain_vol_34,rain_max_34,tmean_34,area_35,bounds_35,clon_idx_35,clat_idx_35,PSu_35,PSv_35,tmin_35,rain_vol_35,rain_max_35,tmean_35,area_36,bounds_36,clon_idx_36,clat_idx_36,PSu_36,PSv_36,tmin_36,rain_vol_36,rain_max_36,tmean_36,area_37,bounds_37,clon_idx_37,clat_idx_37,PSu_37,PSv_37,tmin_37,rain_vol_37,rain_max_37,tmean_37,area_38,bounds_38,clon_idx_38,clat_idx_38,PSu_38,PSv_38,tmin_38,rain_vol_38,rain_max_38,tmean_38,area_39,bounds_39,clon_idx_39,clat_idx_39,PSu_39,PSv_39,tmin_39,rain_vol_39,rain_max_39,tmean_39,area_40,bounds_40,clon_idx_40,clat_idx_40,PSu_40,PSv_40,tmin_40,rain_vol_40,rain_max_40,tmean_40,area_41,bounds_41,clon_idx_41,clat_idx_41,PSu_41,PSv_41,tmin_41,rain_vol_41,rain_max_41,tmean_41,area_42,bounds_42,clon_idx_42,clat_idx_42,PSu_42,PSv_42,tmin_42,rain_vol_42,rain_max_42,tmean_42,area_43,bounds_43,clon_idx_43,clat_idx_43,PSu_43,PSv_43,tmin_43,rain_vol_43,rain_max_43,tmean_43,area_44,bounds_44,clon_idx_44,clat_idx_44,PSu_44,PSv_44,tmin_44,rain_vol_44,rain_max_44,tmean_44,area_45,bounds_45,clon_idx_45,clat_idx_45,PSu_45,PSv_45,tmin_45,rain_vol_45,rain_max_45,tmean_45,area_46,bounds_46,clon_idx_46,clat_idx_46,PSu_46,PSv_46,tmin_46,rain_vol_46,rain_max_46,tmean_46,area_47,bounds_47,clon_idx_47,clat_idx_47,PSu_47,PSv_47,tmin_47,rain_vol_47,rain_max_47,tmean_47,tmin_min,mcs_thld
1,2006-08-22 07:00:00,97585,"2110,731,486,399",2370.36,503.53,0.0,0.0,200.3,178202.78413025782,68.6297897382469,224.3,81017.0,"2078,718,503,396",2366.82,504.47,-0.885,-4.995,200.28,141475.90545499203,124.05284775974108,226.94,59986.0,"2043,606,529,292",2361.51,466.75,-1.725,-5.265,203.05,103554.03488410366,68.84170136377321,227.5,55246.0,"2005,602,547,306",2330.77,457.07,-2.46,-6.029999999999999,203.39,90888.8387084109,58.10843123640227,227.19,36041.0,"2119,594,285,240",2271.46,473.28,-2.205,-8.055,205.78,82883.7367345209,59.7758573612896,224.53,39545.0,"2095,595,295,265",2254.22,463.79,-6.135,-6.87,209.32,69493.3764185559,48.402352180488485,226.22,43124.0,"2081,597,295,287",2237.6,455.14,-5.385,-7.574999999999999,214.21,50976.63299877265,48.5240149026099,228.1,45034.0,"2064,596,304,304",2222.02,447.1,-3.195,-6.675000000000001,214.79,42869.537567693726,41.83924703607578,229.71,110786.0,"1837,949,503,674",2087.29,575.54,-9.24,-8.82,199.37,106404.13529607016,76.64271125049711,228.63,35768.0,"1833,946,303,402",1946.9,737.64,-15.18,-9.63,201.06,10771.0917558645,36.24041050676425,227.16,12775.0,"1827,912,194,148",1938.14,831.6,-14.355,-4.62,200.39,5739.290012023957,21.590189553215893,221.4,28737.0,"1830,990,238,234",1947.19,886.45,-10.455,-3.585,195.87,34994.68228487614,45.46570110661675,215.93,32669.0,"1810,988,248,271",1926.17,889.66,-8.040000000000001,-1.605,196.38,32910.711424278656,77.31924974296525,215.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.87,13
2,2006-08-22 07:00:00,11889,"1532,663,140,250",1611.15,556.47,0.0,0.0,225.23,7560.40120038286,16.717969074055276,235.52,10504.0,"1525,704,157,314",1626.73,563.12,-0.48,-1.725,222.42,4188.911805495589,13.71302121884528,235.39,11735.0,"1560,708,144,265",1626.47,576.91,-7.800000000000001,-6.105,226.24,1369.8011838697523,1.4936424204604652,234.78,15438.0,"1537,671,305,247",1657.78,581.01,-3.57,1.995,220.62,948.9869648325542,2.240864274608212,233.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.62,4
3,2006-08-22 07:00:00,28832,"128,674,452,177",369.67,575.07,0.0,0.0,201.47,95310.6306325106,108.24592197934317,222.68,34321.0,"82,671,499,171",364.87,583.81,2.325,1.545,201.09,113673.9797226363,84.01101127374676,222.25,23024.0,"297,671,273,175",454.93,579.18,-6.209999999999999,3.645000000000001,202.48,73343.2869565051,105.50571258191428,219.68,47878.0,"95,688,581,225",381.56,586.12,-1.185,1.86,200.28,133296.77344789047,50.36396355755638,219.9,60003.0,"73,719,571,252",355.55,600.99,-0.8699999999999999,0.5249999999999999,199.11,165586.85801206544,87.13519958735584,220.94,65493.0,"47,734,495,244",324.88,613.89,-1.02,0.135,200.25,172945.69515957657,112.13489316652432,220.89,71143.0,"0,755,548,264",307.24,621.14,-1.35,1.275,200.26,172921.79534770685,85.35491371006594,221.18,76008.0,"0,771,553,282",291.04,625.81,-0.51,0.15,200.5,172823.8450433384,109.70411067619074,221.18,106492.0,"0,929,635,422",287.47,672.48,-1.17,1.14,200.63,178977.38747338078,90.52827511137504,220.85,105670.0,"0,928,558,431",267.05,680.24,-1.62,0.615,200.43,148610.50873332488,72.83503227151547,220.96,113466.0,"0,932,547,428",260.22,681.8,-0.6900000000000001,-0.165,199.43,146317.52420103652,78.39511574201109,221.92,135190.0,"0,945,761,436",297.46,680.75,-0.8400000000000001,-0.12,204.81,140433.4866401934,70.30113832683847,223.49,186511.0,"0,957,783,455",374.85,729.91,-0.96,0.63,194.27,216213.3965501754,106.74646790670268,222.81,179664.0,"0,967,778,477",368.67,736.54,-0.615,-1.185,194.05,234154.26690974116,90.72971222471908,223.79,164953.0,"0,982,775,513",380.38,742.35,-0.8250000000000001,1.545,196.47,212882.7801916209,75.949524636569,224.61,219941.0,"21,997,1158,542",622.04,742.05,-2.475,-1.665,197.57,326677.51595671184,66.85886388494812,221.71,121249.0,"20,969,703,436",454.75,768.47,-3.69,-0.705,201.13,202370.17653494663,64.99173370821742,223.63,122988.0,"8,979,721,467",447.82,766.65,-0.0,0.0,200.11,168891.24084008706,137.51707947279823,224.62,210458.0,"217,970,971,466",660.58,740.49,-0.5549999999999999,0.4649999999999999,197.9,241876.4270772436,113.8582006097866,223.01,195836.0,"206,967,983,435",667.67,744.82,-0.315,-0.3,197.19,195545.05893387937,97.80371099744912,223.73,198442.0,"0,955,1146,426",626.38,730.5,-0.645,-1.2000000000000002,198.57,244694.74757837356,78.87879385262409,224.69,180708.0,"75,949,1048,433",613.74,732.11,-0.255,-1.365,199.11,227434.01788716984,65.35679801363456,225.09,147613.0,"0,954,889,400",499.77,751.69,-1.005,-2.595,196.82,264187.99562830565,137.00619647451936,223.26,84623.0,"126,949,505,346",389.82,750.67,-0.24,-0.75,196.81,184557.5935125349,85.93410148101628,222.14,75333.0,"131,926,502,328",394.03,737.98,-0.18,-0.12,197.11,190641.6221520389,104.89223317978376,220.86,82902.0,"0,902,559,303",309.95,728.2,-0.075,0.405,197.6,289140.8570294719,97.33313984740232,219.02,77674.0,"0,820,559,230",292.4,703.81,-0.135,0.5700000000000001,200.61,300784.6165723414,130.1666516240825,218.74,83838.0,"0,834,559,254",290.85,701.46,-0.03,-0.03,200.2,301913.2628767501,73.54961112009244,220.01,92356.0,"0,886,557,315",294.87,707.24,-1.485,0.24,201.54,298484.1042164309,95.2744407156678,221.99,90932.0,"0,887,555,318",289.98,704.74,-0.36,0.105,202.84,267891.98877939454,88.55772680675426,222.79,87871.0,"0,892,556,335",273.57,704.59,-0.495,-1.56,201.81,245378.52411810175,88.92396493405326,223.06,89714.0,"0,875,556,327",268.53,703.45,-0.855,-2.745,202.88,220989.59507087755,67.12657995903332,223.86,89960.0,"0,893,541,357",266.26,700.49,-0.78,-1.7399999999999998,202.89,177466.78615375317,61.23518242896685,224.37,87271.0,"0,866,538,337",264.37,695.55,-0.885,-1.86,203.62,158865.61002847983,111.07316351849995,225.0,84395.0,"0,860,514,347",269.14,693.68,-1.245,-0.81,206.09,118180.66050764002,85.04480132524841,226.11,80771.0,"0,855,478,340",264.84,696.15,-2.01,0.4349999999999999,202.7,95511.67801885652,59.79437045022004,227.73,63887.0,"28,851,425,307",270.84,702.31,-1.17,-0.345,201.42,86924.44409709447,73.55439023346383,228.62,44726.0,"41,852,385,288",248.99,716.17,-3.06,0.705,202.59,74435.50901653526,103.77981749828872,227.43,31453.0,"0,857,354,185",196.11,756.71,-5.265,-1.29,203.21,69286.91988434599,85.76801951365917,224.85,30902.0,"0,856,354,181",185.61,755.61,-4.245,-1.44,204.77,69263.40986803264,97.7399397266476,225.4,18680.0,"65,853,303,148",228.82,770.96,-6.195,0.15,202.4,63981.2253373044,70.11208034691579,222.68,21357.0,"50,853,328,148",231.07,771.38,0.03,-0.0,201.3,87161.82422339803,80.44311409540464,222.15,23292.0,"77,837,311,129",240.61,770.13,0.345,0.5249999999999999,197.5,101871.05206285208,53.26139352192616,222.69,24487.0,"76,839,321,133",248.49,770.02,-1.125,0.09,199.78,107338.73885114196,71.12517036640587,222.43,25742.0,"60,843,344,138",247.12,771.25,-2.61,0.495,200.91,120804.53122189236,75.23076660758738,221.48,27097.0,"43,852,365,149",255.92,771.24,-0.0,0.75,200.12,127916.79070150296,71.05575317564139,221.67,29686.0,"28,865,385,169",255.95,769.94,-0.06,-0.4349999999999999,203.9,120574.66245674629,104.77535994638274,222.16,30075.0,"34,866,378,162",258.76,771.01,-2.64,0.5700000000000001,205.04,110633.87589295371,76.27191232951905,223.13,194.05,48
4,2006-08-22 07:00:00,18551,"1348,727,205,199",1475.23,631.39,0.0,0.0,215.04,28956.25022428061,23.92654451765329,231.12,12462.0,"1378,720,170,170",1486.4,641.43,0.12,-10.305,216.87,11804.325940192995,11.625228965712612,231.85,10129.0,"1373,695,171,139",1479.03,630.56,-1.98,-4.62,222.47,5116.224908415723,9.053671809961628,233.08,7348.0,"1327,687,212,129",1467.31,613.65,-2.1,-6.87,224.51,1351.175628565465,5.348411848689032,235.38,2371.0,"1415,670,119,73",1477.31,628.52,-6.705,-10.035,225.6,523.5891108745682,3.894634263986081,235.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.04,5
5,2006-08-22 07:00:00,10194,"556,667,175,100",653.56,612.09,0.0,0.0,210.32,9725.735842417444,48.61267621779737,228.79,6021.0,"576,659,145,92",662.46,609.88,-0.72,-0.015,218.06,10209.140163674698,57.3618658342147,231.44,3328.0,"605,626,107,54",659.39,600.5,-3.765,-2.175,215.22,10761.748698292557,44.568577506896624,232.73,1239.0,"646,610,61,38",676.31,594.92,-3.375,1.53,224.77,4569.3202643529385,31.467310945186668,233.61,1839.0,"580,628,118,47",642.96,604.47,-8.774999999999999,-1.92,219.25,11937.372505676833,73.89644812746957,233.86,1441.0,"604,619,84,36",643.91,604.19,-1.875,1.245,215.96,4479.362263879478,9.022237234665743,229.55,2087.0,"594,625,91,36",638.39,606.26,-0.975,3.465,215.31,2673.3049898509294,15.027483810865736,227.75,2813.0,"560,633,128,44",628.09,609.54,-3.3600000000000003,1.14,215.69,620.5126663773024,2.340815747852204,226.75,3546.0,"551,641,163,53",622.21,611.35,-0.5700000000000001,-0.33,218.11,561.267682022536,1.197604495249157,228.34,14415.0,"414,798,306,213",570.38,668.96,-2.985,0.3,205.92,17910.991083924146,76.12588215346278,224.12,17054.0,"426,762,313,170",565.74,677.17,-2.91,-0.03,207.38,15918.45784526707,50.700067851929774,222.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.92,7
6,2006-08-22 07:00:00,5050,"25,646,117,68",86.7,613.29,0.0,0.0,214.59,1736.141882107241,13.31598799434285,228.54,1195.0,"39,621,68,38",74.88,602.69,0.165,3.21,226.64,128.06400034463292,0.3986430082623181,233.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.59,1
7,2006-08-22 07:00:00,44078,"1783,958,373,353",1960.44,746.42,0.0,0.0,207.17,85569.92391166477,74.29212439862957,227.74,43252.0,"1773,969,368,377",1947.4,753.77,-2.145,-1.0499999999999998,204.1,64462.32962075989,44.91149067903295,229.45,18343.0,"1860,866,170,215",1951.88,739.05,-1.32,0.645,213.13,8484.207898933111,16.6419931362219,228.86,20188.0,"1853,880,165,244",1948.27,743.27,-7.274999999999999,-8.175,211.56,2864.4844893361624,13.146364257943738,228.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.1,4
8,2006-08-22 07:00:00,2032,"1761,673,109,38",1806.07,652.84,0.0,0.0,223.03,0.0409172147591242,0.000130994663054,233.51,1474.0,"1732,663,99,38",1775.1,642.53,-11.925,-7.62,225.06,0.0238728781256522,0.000449971804126,233.61,2591.0,"1690,661,118,57",1747.21,634.0,-9.36,-0.21,220.58,0.954760198227806,0.0050470085045519,230.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.58,1
9,2006-08-22 07:00:00,4904,"462,774,185,106",574.14,723.7,0.0,0.0,222.4,14.712945108176362,0.0604322112118971,234.11,1136.0,"548,727,82,28",593.51,713.81,-9.585,-0.285,227.06,0.0318682029046286,0.0005210788010552,234.66,1192.0,"526,726,102,20",582.38,716.18,-9.495,5.535,227.57,5.377877622323404e-05,7.505419200036928e-08,235.56,522.0,"505,725,72,15",537.98,717.74,-31.815,-0.15,229.07,0.0115763527990334,9.141600104498948e-11,235.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.4,1
10,2006-08-22 07:00:00,15501,"977,833,204,156",1080.11,748.63,0.0,0.0,197.56,9774.014906273149,23.317798367697467,223.44,11507.0,"1010,783,181,106",1103.98,728.4,0.135,-0.33,203.93,2587.4426208331474,13.97099156949802,225.86,8071.0,"1056,763,138,90",1127.03,718.09,-0.195,-0.375,209.12,2055.891198791552,11.797485938971896,225.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.56,3
