storm_id,start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,rain_vol_26,rain_max_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,rain_vol_27,rain_max_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,rain_vol_28,rain_max_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,rain_vol_29,rain_max_29,tmean_29,area_30,bounds_30,clon_idx_30,clat_idx_30,PSu_30,PSv_30,tmin_30,rain_vol_30,rain_max_30,tmean_30,area_31,bounds_31,clon_idx_31,clat_idx_31,PSu_31,PSv_31,tmin_31,rain_vol_31,rain_max_31,tmean_31,area_32,bounds_32,clon_idx_32,clat_idx_32,PSu_32,PSv_32,tmin_32,rain_vol_32,rain_max_32,tmean_32,area_33,bounds_33,clon_idx_33,clat_idx_33,PSu_33,PSv_33,tmin_33,rain_vol_33,rain_max_33,tmean_33,area_34,bounds_34,clon_idx_34,clat_idx_34,PSu_34,PSv_34,tmin_34,rain_vol_34,rain_max_34,tmean_34,area_35,bounds_35,clon_idx_35,clat_idx_35,PSu_35,PSv_35,tmin_35,rain_vol_35,rain_max_35,tmean_35,area_36,bounds_36,clon_idx_36,clat_idx_36,PSu_36,PSv_36,tmin_36,rain_vol_36,rain_max_36,tmean_36,area_37,bounds_37,clon_idx_37,clat_idx_37,PSu_37,PSv_37,tmin_37,rain_vol_37,rain_max_37,tmean_37,area_38,bounds_38,clon_idx_38,clat_idx_38,PSu_38,PSv_38,tmin_38,rain_vol_38,rain_max_38,tmean_38,area_39,bounds_39,clon_idx_39,clat_idx_39,PSu_39,PSv_39,tmin_39,rain_vol_39,rain_max_39,tmean_39,area_40,bounds_40,clon_idx_40,clat_idx_40,PSu_40,PSv_40,tmin_40,rain_vol_40,rain_max_40,tmean_40,area_41,bounds_41,clon_idx_41,clat_idx_41,PSu_41,PSv_41,tmin_41,rain_vol_41,rain_max_41,tmean_41,area_42,bounds_42,clon_idx_42,clat_idx_42,PSu_42,PSv_42,tmin_42,rain_vol_42,rain_max_42,tmean_42,area_43,bounds_43,clon_idx_43,clat_idx_43,PSu_43,PSv_43,tmin_43,rain_vol_43,rain_max_43,tmean_43,area_44,bounds_44,clon_idx_44,clat_idx_44,PSu_44,PSv_44,tmin_44,rain_vol_44,rain_max_44,tmean_44,tmin_min,mcs_thld
1,2006-08-23 07:00:00,20430,"2540,191,162,182",2621.48,97.87,0.0,0.0,205.66,14135.725291781864,33.47082537777196,224.48,18757.0,"2536,202,153,193",2614.75,103.28,-2.175,-0.105,211.57,5960.177128782266,32.935535903606215,230.95,12637.0,"2555,206,124,197",2621.33,116.91,-2.085,2.325,216.76,977.4833089954464,7.552666533317065,231.3,8894.0,"2531,211,136,120",2598.37,145.81,-7.755,-1.26,222.02,207.223834967322,3.4180602682208123,234.19,4343.0,"2498,200,103,113",2554.28,145.13,-16.71,1.65,228.85,95.11487559421764,0.1401129738977729,237.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.66,5
2,2006-08-23 07:00:00,10383,"2751,269,144,127",2826.93,199.78,0.0,0.0,211.34,2561.207310722498,19.948980776078216,227.5,6239.0,"2760,224,122,86",2827.69,182.29,0.195,-6.6000000000000005,216.71,40.37171997560009,0.1302762095275617,230.13,3050.0,"2749,202,92,55",2801.36,176.12,-22.065,-8.61,222.32,2.12354500418771,0.005167501025426,232.25,1733.0,"2756,188,57,64",2788.9,158.79,-11.295,-3.09,228.07,1.154757566956247e-06,4.325207167386921e-09,235.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.34,3
3,2006-08-23 07:00:00,6014,"847,635,157,145",928.19,574.03,0.0,0.0,221.44,249.8653989950649,2.7173182168878878,233.75,1307.0,"836,538,61,62",868.13,505.49,-12.465,-19.845,220.29,9.493761258864984,0.0583374860660597,232.8,470.0,"828,499,27,41",842.5,477.56,-18.465,-26.385,224.89,0.0561413834331671,0.0001487758587261,233.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.29,1
4,2006-08-23 07:00:00,232567,"1594,1258,960,767",2116.69,943.71,0.0,0.0,197.91,120872.52818544072,81.15613422861504,226.5,180612.0,"1573,1263,871,741",2038.84,945.47,-5.8950000000000005,0.345,197.13,115539.74555261468,52.49134164563195,228.35,111055.0,"1655,1148,477,577",1917.55,877.91,-3.855,-1.485,197.02,116154.08305447116,115.34585071224342,226.41,85206.0,"1726,1047,373,491",1883.19,813.46,-6.69,-8.805,199.34,116372.02222446556,268.6683253477517,225.89,59489.0,"1706,1038,261,416",1821.9,857.0,-4.095,0.165,198.3,103784.22774418256,101.75592501832688,222.72,57147.0,"1682,1033,260,377",1802.84,861.31,-3.555,-4.065,198.94,90804.49037095468,85.2350603039515,221.23,62454.0,"1615,1034,306,392",1773.45,860.7,-6.945,-3.585,196.73,96876.34432784346,155.8643423150546,220.65,69664.0,"1591,1038,359,401",1753.21,857.49,-5.535,-1.665,196.74,98769.54118614284,103.9509111302013,220.41,68326.0,"1553,1030,305,414",1716.37,845.5,-3.24,-1.185,197.82,101034.6930639788,98.38945060290548,219.13,87164.0,"1467,1094,377,463",1664.08,872.54,-5.94,-1.5750000000000002,195.47,104243.84900133256,81.39506695534085,218.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.47,10
5,2006-08-23 07:00:00,2916,"1985,593,77,86",2024.67,547.9,0.0,0.0,222.29,16112.453920850763,34.029462514163555,234.11,2811.0,"1970,573,67,76",2005.6,532.95,-17.205000000000002,-10.755,224.94,3928.445555592012,15.691915085051486,233.82,2350.0,"1968,557,50,90",1993.73,514.51,-8.19,-5.16,226.15,514.5054343004113,0.9497020079851444,235.38,1995.0,"1950,529,54,66",1974.2,502.83,-21.18,-9.885,226.01,365.2075954678999,1.3304889439751668,235.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.29,3
6,2006-08-23 07:00:00,4821,"1949,698,114,151",1992.93,633.79,0.0,0.0,223.55,13775.611562591168,44.01890975784886,233.44,3396.0,"1932,698,115,106",1991.02,655.7,-15.765,2.565,222.51,19084.34306073794,52.43020595291408,234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.51,2
7,2006-08-23 07:00:00,7789,"610,806,170,236",725.99,666.18,0.0,0.0,216.89,4239.471687621751,11.215334643998444,230.73,2984.0,"699,715,78,111",742.69,652.79,0.06,-5.85,221.22,1723.3939816054108,3.9662385526236936,231.84,2247.0,"704,703,71,105",744.57,643.7,-0.345,-16.485,223.09,1409.7212629966753,2.86109319883214,233.32,993.0,"744,693,24,76",755.32,650.23,-0.165,-5.115,224.29,584.537289806032,1.8557854165616363,232.72,793.0,"744,682,22,77",755.44,642.66,1.0499999999999998,-0.135,222.14,199.6673911470257,0.6178775356598236,231.89,709.0,"743,667,23,76",755.44,630.56,0.255,-10.155,223.79,70.89203853125336,0.4116023234731183,232.78,513.0,"742,642,26,58",756.09,616.72,0.735,-17.055,230.38,37.41948794381273,0.1238716445591961,236.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.89,3
8,2006-08-23 07:00:00,4965,"2561,642,121,69",2613.11,607.22,0.0,0.0,219.3,44.44479240831575,0.2133268602942611,234.19,2201.0,"2532,630,74,49",2565.07,603.61,-31.755000000000003,-9.165,224.53,9.156089340227888,0.0900272726462898,233.55,2159.0,"2504,626,76,51",2534.84,598.86,-39.765,-6.645,224.65,0.3809066142837964,0.0040986585108531,233.37,3147.0,"2462,624,93,52",2503.96,597.06,-14.64,-2.895,223.21,0.0092231268450134,1.5002765480762934e-06,233.58,2435.0,"2441,620,87,46",2479.78,595.11,-27.450000000000003,-2.205,225.74,0.0081254521060965,5.520313265086341e-06,234.33,1345.0,"2411,614,58,39",2439.25,595.64,-42.0,-5.715,226.74,380.7869321526729,0.0143653720491056,234.59,1092.0,"2379,608,43,37",2401.06,590.32,-43.845,-9.27,224.06,64.01022849985671,1.6009949497216085,233.58,1401.0,"2336,604,60,36",2364.19,587.99,-37.575,-4.245,224.49,5.755941724046821,0.2546506058484731,232.4,2377.0,"2303,603,53,68",2332.33,570.54,-19.29,0.8250000000000001,223.33,1805.5258210119664,18.765488927842995,233.59,1405.0,"2279,596,48,43",2304.52,577.11,-35.925,0.51,225.0,83.571973667798,1.556026415226096,232.39,983.0,"2243,595,53,32",2275.28,581.58,-36.75,0.8999999999999999,228.79,15.535354618390224,0.6600781564891431,234.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.3,4
9,2006-08-23 07:00:00,2118,"2018,672,98,78",2064.52,631.75,0.0,0.0,220.82,1947.5197213472572,5.551660196450983,232.81,2541.0,"2006,685,93,91",2061.29,639.48,-17.009999999999998,-0.8999999999999999,214.78,2035.817864745808,19.067329162420634,232.22,3454.0,"1994,696,106,101",2052.73,645.65,-5.745,13.26,221.28,1456.1338638935329,5.648865318112639,233.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.78,2
10,2006-08-23 07:00:00,51358,"189,871,462,271",438.12,712.89,0.0,0.0,197.11,169767.84711583413,85.41565394404728,221.0,63600.0,"0,877,654,271",323.34,711.74,-0.2249999999999999,-0.6900000000000001,197.07,247725.34701321655,112.08237803349384,220.77,71152.0,"0,835,580,266",303.89,704.44,-0.4499999999999999,-0.5700000000000001,197.28,286867.0054748493,81.89387100605994,220.07,77778.0,"0,844,558,263",303.33,705.52,-0.27,-0.285,201.39,290148.463465177,174.88430057419384,220.26,83363.0,"0,850,560,283",299.52,705.68,-0.405,-0.4499999999999999,199.95,292531.1020972192,118.5142874769556,221.07,83198.0,"8,857,557,308",311.05,708.73,-2.205,-0.09,200.73,270367.3007189371,148.4379911251997,222.1,96566.0,"0,880,566,321",313.51,719.0,-0.585,-1.365,199.59,277045.4915240114,126.01211561681264,222.66,101896.0,"0,883,570,336",311.6,720.19,-0.54,-0.33,198.72,268469.83099312853,92.21588450772651,223.25,104288.0,"0,895,569,357",315.1,721.64,-1.755,-1.35,199.48,229148.1231122248,69.3186892388096,223.49,104386.0,"0,901,554,364",309.09,718.71,-2.52,-0.18,198.95,207683.5865765716,190.97329065477663,223.67,99481.0,"0,901,538,370",306.9,716.17,-2.64,-0.975,200.82,172915.61278779645,82.7965517073824,224.07,97512.0,"8,887,526,364",294.95,715.36,-2.25,-0.48,198.73,145356.82658027209,71.78929816547074,225.58,82905.0,"104,892,416,348",305.67,723.63,-2.85,-1.5750000000000002,196.84,113314.3935234412,66.42600344740413,226.31,66898.0,"90,892,365,314",283.31,741.79,-2.445,-0.09,199.9,101494.8001256318,127.89546819783264,226.37,53990.0,"78,900,371,318",271.23,744.63,-2.745,-4.3950000000000005,200.51,91568.93148718165,90.36352482321426,226.26,37907.0,"53,875,401,261",264.55,753.59,-2.43,-0.285,199.01,94661.8451828098,113.20063214033738,223.75,30824.0,"34,883,356,190",239.36,772.85,-7.1850000000000005,-0.405,202.24,91581.1606100836,75.06307369824177,221.26,30220.0,"30,860,354,161",228.91,768.49,0.63,0.0,202.6,90577.13489543792,114.11682931445915,221.77,32447.0,"17,871,369,178",219.44,768.51,-5.505,0.51,204.14,105744.61530571054,59.27284774989405,223.0,29290.0,"57,845,331,153",232.48,766.27,-1.935,0.6000000000000001,202.31,125735.75046774132,97.04270150854586,222.62,28526.0,"46,850,335,165",233.25,762.39,-0.3,0.2249999999999999,201.33,142610.47574482582,79.18255024283498,223.3,27198.0,"29,838,357,142",230.78,760.62,0.0,0.6900000000000001,199.82,150770.83566701823,88.35557238722001,222.2,29797.0,"0,844,377,164",219.44,758.36,-0.42,0.21,202.07,160391.80308244465,72.36172216254299,222.26,28939.0,"56,845,325,174",237.07,758.95,-2.295,-0.5249999999999999,201.6,138521.50278400767,72.3702100832314,222.79,25384.0,"43,848,305,178",222.39,756.06,-3.21,-0.045,200.79,120751.6160652508,58.49353057706836,222.16,21919.0,"82,813,262,137",220.62,742.99,0.24,0.27,205.19,96435.5162001512,97.006558932593,221.6,23648.0,"9,818,343,155",213.0,740.55,0.345,0.42,205.05,87862.96289433812,66.65321596022632,223.56,42750.0,"53,805,521,210",313.42,718.05,-0.8400000000000001,-1.35,200.89,143166.71053111015,60.72094325403712,223.95,41402.0,"60,815,499,191",310.3,722.25,-0.765,-1.83,202.03,134113.3658811381,57.440152570396535,223.94,45254.0,"63,821,485,230",326.55,715.13,-1.395,-0.765,202.48,147450.56603562026,70.31062438495724,223.91,45870.0,"85,827,388,242",313.31,721.57,-0.96,-1.215,202.25,116045.92926260436,58.37252913548622,222.66,52488.0,"0,836,465,263",295.42,722.4,-0.3,4.44,202.05,104969.30237627435,58.87405343551701,222.61,56468.0,"0,850,472,272",292.29,726.7,-2.445,4.08,202.71,73938.34126274205,43.96826848231808,222.97,60333.0,"0,870,471,296",289.87,730.79,-1.545,4.965,204.71,70234.68626513628,86.06837001152287,223.45,67559.0,"0,871,497,299",296.62,726.69,-2.64,0.5249999999999999,207.29,74567.88652623864,45.16317975922732,224.58,63300.0,"0,886,484,312",302.38,727.58,-0.4499999999999999,-0.03,207.61,57827.29385332064,55.85892128628467,225.35,52627.0,"219,907,311,324",366.45,750.63,-1.125,1.275,204.34,45487.47286413316,33.88095327003918,225.85,45909.0,"228,924,297,314",370.79,758.0,-0.48,-0.27,204.71,26065.8935849339,45.46078387369432,226.76,32099.0,"135,889,286,279",317.96,737.01,-0.645,-0.18,206.64,16539.798485567866,32.68438931220594,229.16,20550.0,"197,887,218,261",337.28,736.23,-0.5700000000000001,0.15,211.7,11981.00455730924,45.0914278902596,229.22,13708.0,"254,862,182,230",350.51,741.26,-1.485,-0.33,213.14,2618.952556895926,5.931807677784355,230.29,5077.0,"271,830,127,91",342.79,785.29,0.0,-0.0,219.53,1071.3700047363145,2.815998695741243,231.83,1172.0,"265,811,58,54",295.01,782.59,-0.105,-1.455,222.52,72.06796790946034,0.2944566746156411,231.62,620.0,"269,801,47,44",293.99,778.11,-8.805,-3.93,225.37,45.838997356089045,0.3100647777581856,233.01,,,,,,,,,,,196.84,42
