storm_id,start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,rain_vol_26,rain_max_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,rain_vol_27,rain_max_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,rain_vol_28,rain_max_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,rain_vol_29,rain_max_29,tmean_29,area_30,bounds_30,clon_idx_30,clat_idx_30,PSu_30,PSv_30,tmin_30,rain_vol_30,rain_max_30,tmean_30,area_31,bounds_31,clon_idx_31,clat_idx_31,PSu_31,PSv_31,tmin_31,rain_vol_31,rain_max_31,tmean_31,area_32,bounds_32,clon_idx_32,clat_idx_32,PSu_32,PSv_32,tmin_32,rain_vol_32,rain_max_32,tmean_32,area_33,bounds_33,clon_idx_33,clat_idx_33,PSu_33,PSv_33,tmin_33,rain_vol_33,rain_max_33,tmean_33,area_34,bounds_34,clon_idx_34,clat_idx_34,PSu_34,PSv_34,tmin_34,rain_vol_34,rain_max_34,tmean_34,area_35,bounds_35,clon_idx_35,clat_idx_35,PSu_35,PSv_35,tmin_35,rain_vol_35,rain_max_35,tmean_35,area_36,bounds_36,clon_idx_36,clat_idx_36,PSu_36,PSv_36,tmin_36,rain_vol_36,rain_max_36,tmean_36,area_37,bounds_37,clon_idx_37,clat_idx_37,PSu_37,PSv_37,tmin_37,rain_vol_37,rain_max_37,tmean_37,area_38,bounds_38,clon_idx_38,clat_idx_38,PSu_38,PSv_38,tmin_38,rain_vol_38,rain_max_38,tmean_38,area_39,bounds_39,clon_idx_39,clat_idx_39,PSu_39,PSv_39,tmin_39,rain_vol_39,rain_max_39,tmean_39,tmin_min,mcs_thld
1,2006-08-25 07:00:00,2427,"2052,301,88,92",2098.29,258.8,0.0,0.0,225.76,5440.430132197109,40.37082339858682,234.63,1835.0,"2067,293,67,82",2093.58,256.09,2.16,-1.5750000000000002,227.14,6408.789065345759,27.28579355252877,236.2,797.0,"2079,283,41,53",2100.81,261.72,-8.504999999999999,-7.095000000000001,221.78,3159.22147028624,13.404489086270624,232.53,1218.0,"2066,279,43,57",2089.77,252.91,-14.985,-7.199999999999999,224.93,2522.615711162101,35.95000496762099,232.52,1521.0,"2049,271,54,59",2075.17,241.88,-0.375,-1.7399999999999998,223.58,547.4927471003597,8.186629763001116,232.7,2168.0,"2028,267,69,82",2061.39,227.91,-6.285,-0.015,225.42,2236.8248290818137,12.684593181261496,233.76,1652.0,"2013,236,65,68",2046.18,203.01,0.405,-1.095,227.33,0.4081146960556494,0.0060105204980716,234.53,1410.0,"1996,207,68,59",2031.65,180.17,-2.61,-1.86,229.77,5.059799386160714e-06,2.6904680055059502e-09,235.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.78,1
2,2006-08-25 07:00:00,2224,"1945,289,92,53",1990.21,259.7,0.0,0.0,224.38,2576.209925274609,5.298363024863765,234.05,1267.0,"1969,285,72,37",2010.33,264.9,0.75,-2.535,221.41,6153.772913995881,54.99924566901984,233.62,2187.0,"1976,295,58,64",2005.98,260.63,-11.505,-7.949999999999999,221.42,5857.630745276659,42.50895309251336,231.09,4330.0,"1956,295,95,88",1999.07,248.93,-15.87,-5.6850000000000005,220.48,3796.828661440672,17.076120644787196,232.86,4308.0,"1923,290,112,79",1986.37,252.18,0.18,3.075,222.21,2719.178867417444,7.613278650461213,232.64,5554.0,"1905,282,133,69",1975.97,245.5,-6.33,0.195,217.15,5239.221714188968,53.88864205569782,232.11,6122.0,"1892,284,143,90",1979.71,234.85,-0.12,0.585,219.4,3710.4224971284048,31.659707760629345,232.18,6023.0,"1922,287,104,114",1974.49,226.96,-6.18,-1.515,223.43,912.2619185540864,12.45776545038257,233.15,5260.0,"1908,282,96,122",1957.99,218.46,-6.615,-8.805,227.76,171.93559983994606,0.5658110899927408,235.1,2629.0,"1897,238,83,91",1945.06,201.7,-2.835,-12.12,230.42,6.321858728390515,0.0730782569779271,237.14,839.0,"1891,213,64,35",1924.04,197.87,-26.880000000000003,-0.165,236.38,0.0965604451734913,0.0006362922060283,239.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.15,8
3,2006-08-25 07:00:00,72983,"1703,750,336,368",1852.57,564.9,0.0,0.0,211.42,77526.8118382425,46.84937896012236,229.46,63982.0,"1679,740,337,368",1832.8,554.31,-0.855,-2.295,215.17,46960.301821448025,55.801506973811136,231.37,52715.0,"1666,734,295,372",1811.46,551.37,-0.66,-4.845,213.88,23812.471520239684,61.86561164497557,231.34,45949.0,"1637,725,302,360",1793.9,545.19,-2.82,-5.37,214.12,16145.335601235694,56.4439252092797,232.36,41641.0,"1608,720,316,363",1785.81,532.52,-2.835,-3.945,211.68,14288.808999501549,44.964375823952,232.57,39789.0,"1614,719,304,371",1777.41,516.66,-5.46,-2.79,215.37,9589.799459130129,39.67577883158876,232.13,35442.0,"1591,664,311,326",1758.97,491.88,-6.885,-4.26,220.44,4789.255567172842,4.211674897839964,232.19,26927.0,"1607,560,291,229",1745.6,449.47,-13.035,-8.235,220.86,2638.614121801478,4.591487453765496,232.51,23311.0,"1594,539,245,217",1727.05,438.65,-6.195,-3.06,220.46,3600.971919516062,31.36538584621316,232.57,21559.0,"1574,533,252,203",1716.36,430.72,-6.6000000000000005,-3.12,221.92,1044.2844822597854,2.390931757306201,233.2,18669.0,"1554,521,260,194",1684.92,421.35,-4.695,-3.975,222.21,357.18395231380293,1.8498662924853253,234.48,8190.0,"1553,447,208,114",1652.3,382.55,-7.665000000000001,1.32,224.14,4.033682499501078,0.0507221138869411,234.12,7267.0,"1529,430,190,91",1633.26,379.97,1.755,3.1049999999999995,226.12,3.3101690780762527,0.0499528602407618,235.23,5664.0,"1518,436,179,99",1617.15,382.2,-2.385,3.4799999999999995,228.33,5.837811092921316,0.057885523687088,235.78,3547.0,"1507,404,167,58",1590.07,374.56,-10.11,-3.075,226.62,0.8001881699519995,0.0230367063686967,235.39,2252.0,"1468,394,176,51",1557.91,365.77,-14.07,-10.47,229.95,5.899216992811601e-07,0.0,236.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.42,16
4,2006-08-25 07:00:00,13136,"3044,742,255,173",3211.68,647.15,0.0,0.0,220.53,2170.786972587563,3.4878251510989,232.16,8195.0,"3051,738,248,148",3203.14,652.44,-6.779999999999999,1.905,219.38,5395.039452041643,42.07837759292235,234.92,2156.0,"3179,663,71,56",3218.21,629.62,-14.46,-3.03,226.62,40.58814624503409,0.2329590118417795,234.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.38,2
5,2006-08-25 07:00:00,20984,"304,768,270,190",449.31,683.47,0.0,0.0,203.17,78377.09189127086,54.72252705099996,223.48,22717.0,"281,766,273,179",440.28,683.1,-0.15,-5.1,201.35,88743.96604441018,64.28988650175687,222.84,29105.0,"261,767,332,174",434.37,680.73,0.4349999999999999,-3.5250000000000004,201.29,92975.28085416772,79.86721086198096,221.29,45442.0,"129,848,440,266",376.57,686.06,-1.875,-0.045,202.1,136423.41084865862,129.20964057416606,220.48,51727.0,"136,849,437,283",367.62,680.87,-0.2249999999999999,0.975,203.91,141796.36089264406,56.02842208747288,221.54,60242.0,"10,822,558,256",328.74,672.91,-0.12,-1.02,204.64,168848.32554800287,109.81553643103057,222.63,63426.0,"120,816,417,268",332.73,675.5,-0.6000000000000001,-0.405,205.22,172085.18975205743,96.01907141780114,222.14,83279.0,"0,811,540,281",281.62,668.41,0.5700000000000001,-0.15,203.2,241996.61615904784,83.18661558382429,222.55,89652.0,"0,816,520,290",265.24,661.92,-0.375,-0.24,203.36,246380.267508691,79.51345592924929,222.82,95100.0,"0,803,522,285",254.38,658.96,-0.42,-0.3,204.2,228810.94923038397,73.90123998497353,223.55,98030.0,"0,808,479,309",237.88,653.3,-0.255,-0.18,204.05,210906.17271558827,67.54408262960472,224.49,97363.0,"0,809,472,337",229.03,649.57,-0.5700000000000001,-1.38,204.42,178016.9267469069,62.69266403814646,225.68,94647.0,"0,812,468,342",222.86,643.87,-0.93,-0.39,202.82,156087.7686813134,123.685848166215,227.23,82621.0,"0,819,431,364",203.92,642.05,-0.81,-0.2249999999999999,202.83,156590.73736546765,78.20358015884823,227.57,61630.0,"0,754,488,287",183.91,619.31,-0.18,-2.79,201.79,162213.0645551493,74.99123502122538,226.84,42607.0,"0,750,336,266",132.22,627.26,-0.27,-3.435,201.92,128173.29771282357,52.91830703572119,223.7,28139.0,"0,754,188,247",74.99,650.46,-0.93,-0.18,202.56,93135.9987781455,64.99228110948303,220.61,29539.0,"0,757,186,230",77.41,653.6,0.0,-0.0,204.66,80268.95618713096,75.7107513662607,221.63,29857.0,"0,764,189,246",73.69,650.54,-0.03,-0.015,203.33,81104.74996222093,62.6096293480281,222.42,31191.0,"0,767,183,255",73.03,645.34,0.24,-0.39,203.6,83844.26623124666,114.03573919001202,224.14,30077.0,"0,768,180,259",72.29,638.36,-0.075,1.02,206.88,72602.93740043211,56.7309218437691,225.09,28075.0,"0,759,178,264",70.28,634.13,-0.4349999999999999,0.105,205.63,68555.75132493598,51.58878249791248,225.83,22073.0,"0,754,159,241",56.2,623.31,-0.6000000000000001,0.0,203.62,65112.6226670131,87.02617319072077,223.83,23065.0,"0,756,174,251",63.36,619.47,0.285,-0.015,207.21,64282.553809492674,74.04116597914548,222.89,24996.0,"0,760,177,263",67.29,617.21,0.5249999999999999,0.405,206.56,45969.338987452655,84.65089560519851,223.99,24709.0,"0,715,168,222",67.74,617.27,-0.075,0.06,210.27,33787.271629334355,48.34696201139318,224.2,25825.0,"0,774,221,279",70.69,614.89,-0.48,-1.02,211.04,25264.47742789738,45.631405958057314,226.43,24480.0,"0,733,179,229",66.85,608.48,-0.06,-0.015,210.52,20618.823199722217,40.88280800891148,228.79,22605.0,"0,743,171,246",64.84,607.03,-0.375,-1.785,213.2,13100.127397347818,40.78427023369064,230.94,17795.0,"0,747,172,254",57.5,604.08,-0.48,0.5249999999999999,213.33,17116.418939827043,75.08357719751592,230.69,15940.0,"0,758,160,305",55.92,590.04,-2.22,-3.765,212.01,18755.93007511713,36.1214086856488,230.85,7063.0,"0,691,70,153",28.1,620.44,-1.305,3.915,213.27,5553.691838680388,28.224644249414983,227.79,8709.0,"0,699,70,224",25.14,592.82,-1.71,0.285,216.91,951.3700254110915,1.474945484600222,230.88,9752.0,"0,707,163,233",46.75,628.36,-10.14,-0.645,217.25,53458.06664427369,55.98339447704786,230.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.29,34
6,2006-08-25 07:00:00,10351,"771,826,133,209",844.41,745.77,0.0,0.0,213.07,3355.270325243025,6.268090012198664,229.74,5944.0,"794,849,115,134",848.67,786.93,-1.29,1.98,216.43,1038.5651333182357,3.351214688536644,231.31,6293.0,"780,874,144,154",851.77,800.16,-12.675,0.21,217.52,667.8318670359885,1.86544033136779,233.32,2132.0,"840,892,87,70",887.38,854.33,-2.265,11.445,218.96,0.5295256045340857,0.000830223401077,231.29,1324.0,"855,894,58,59",888.32,862.53,-11.625,-0.39,224.67,0.1013815344518513,5.013439593140144e-06,232.9,874.0,"804,862,73,31",851.78,844.47,-17.865000000000002,-2.58,225.65,0.0007561827546098,5.3214962417241056e-08,234.71,2004.0,"754,863,108,57",814.99,831.25,-15.825,-2.565,222.14,3.723544020709254,0.2657112790797829,233.07,1167.0,"766,848,51,49",793.68,825.37,-8.834999999999999,-5.79,224.42,6.696430169066141,0.008341220637891,231.45,1484.0,"756,845,52,55",783.42,821.43,-12.78,-3.825,224.68,13.27310851077586,0.0673893708174525,233.34,872.0,"743,833,56,29",771.07,819.95,-13.065,-6.42,227.0,5.742448441622231,0.1179447288278806,234.42,992.0,"720,859,46,53",740.59,828.67,-12.87,-3.1500000000000004,212.27,29.67614566324685,0.0836117749673839,231.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.27,3
7,2006-08-25 07:00:00,4090,"140,690,105,60",194.58,662.26,0.0,0.0,212.47,7263.79030817845,45.997721471563,225.06,5109.0,"149,691,149,62",216.29,658.98,2.055,-7.14,207.6,25107.952309461078,70.31490745520836,226.84,5283.0,"146,681,142,63",221.44,653.5,-1.02,-2.01,204.88,31349.854451774303,49.1681808563887,221.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.88,3
8,2006-08-25 07:00:00,2587,"297,741,106,49",340.45,715.2,0.0,0.0,221.56,942.7800902503116,8.240048762754984,231.29,909.0,"330,714,52,31",351.82,699.12,-2.205,-9.6,225.45,321.1142850864957,2.047985421162051,234.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.56,1
9,2006-08-25 07:00:00,86233,"2843,1041,456,317",3118.3,866.49,0.0,0.0,195.11,94426.02349933553,57.154260116979714,220.34,83040.0,"2908,1008,391,305",3121.55,846.6,-0.4349999999999999,-0.51,196.64,95793.9904042594,46.14253764191567,225.2,74899.0,"2890,952,409,278",3123.76,807.3,-0.5549999999999999,0.39,199.79,48257.769275670165,52.42677469029211,223.42,74912.0,"2839,957,460,320",3112.97,788.79,-1.995,-1.5,205.98,25767.678026603404,26.13533902263569,223.75,80302.0,"2837,1006,462,374",3102.64,783.53,-1.14,-0.495,212.43,12179.828012201791,16.16170095820402,226.04,85880.0,"2793,1005,506,396",3086.41,778.09,-2.745,-0.12,211.62,16391.330043096645,43.06655695385892,228.66,68545.0,"2752,877,479,281",3022.92,741.79,-9.93,-2.385,213.56,3089.888470106313,30.945326382218123,231.33,54061.0,"2701,876,598,297",2987.81,726.56,-17.73,-3.285,207.88,9762.215873154571,33.49171117819157,232.42,19514.0,"2732,770,237,199",2863.36,682.44,-23.325000000000003,-0.105,202.93,7789.22845262633,30.006429952781364,226.67,20703.0,"2685,778,232,173",2805.89,698.9,-3.435,-0.5249999999999999,204.77,10013.616083355208,41.08466323695725,221.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.11,10
10,2006-08-25 07:00:00,3492,"136,788,94,54",187.13,762.09,0.0,0.0,215.45,999.6947719274144,2.1902924032937685,228.53,1114.0,"183,785,44,39",207.56,768.17,5.699999999999999,-0.33,223.88,130.8525004551836,0.7204095082311655,234.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.45,1
