storm_id,start_time,area_00,bounds_00,clon_idx_00,clat_idx_00,PSu_00,PSv_00,tmin_00,rain_vol_00,rain_max_00,tmean_00,area_01,bounds_01,clon_idx_01,clat_idx_01,PSu_01,PSv_01,tmin_01,rain_vol_01,rain_max_01,tmean_01,area_02,bounds_02,clon_idx_02,clat_idx_02,PSu_02,PSv_02,tmin_02,rain_vol_02,rain_max_02,tmean_02,area_03,bounds_03,clon_idx_03,clat_idx_03,PSu_03,PSv_03,tmin_03,rain_vol_03,rain_max_03,tmean_03,area_04,bounds_04,clon_idx_04,clat_idx_04,PSu_04,PSv_04,tmin_04,rain_vol_04,rain_max_04,tmean_04,area_05,bounds_05,clon_idx_05,clat_idx_05,PSu_05,PSv_05,tmin_05,rain_vol_05,rain_max_05,tmean_05,area_06,bounds_06,clon_idx_06,clat_idx_06,PSu_06,PSv_06,tmin_06,rain_vol_06,rain_max_06,tmean_06,area_07,bounds_07,clon_idx_07,clat_idx_07,PSu_07,PSv_07,tmin_07,rain_vol_07,rain_max_07,tmean_07,area_08,bounds_08,clon_idx_08,clat_idx_08,PSu_08,PSv_08,tmin_08,rain_vol_08,rain_max_08,tmean_08,area_09,bounds_09,clon_idx_09,clat_idx_09,PSu_09,PSv_09,tmin_09,rain_vol_09,rain_max_09,tmean_09,area_10,bounds_10,clon_idx_10,clat_idx_10,PSu_10,PSv_10,tmin_10,rain_vol_10,rain_max_10,tmean_10,area_11,bounds_11,clon_idx_11,clat_idx_11,PSu_11,PSv_11,tmin_11,rain_vol_11,rain_max_11,tmean_11,area_12,bounds_12,clon_idx_12,clat_idx_12,PSu_12,PSv_12,tmin_12,rain_vol_12,rain_max_12,tmean_12,area_13,bounds_13,clon_idx_13,clat_idx_13,PSu_13,PSv_13,tmin_13,rain_vol_13,rain_max_13,tmean_13,area_14,bounds_14,clon_idx_14,clat_idx_14,PSu_14,PSv_14,tmin_14,rain_vol_14,rain_max_14,tmean_14,area_15,bounds_15,clon_idx_15,clat_idx_15,PSu_15,PSv_15,tmin_15,rain_vol_15,rain_max_15,tmean_15,area_16,bounds_16,clon_idx_16,clat_idx_16,PSu_16,PSv_16,tmin_16,rain_vol_16,rain_max_16,tmean_16,area_17,bounds_17,clon_idx_17,clat_idx_17,PSu_17,PSv_17,tmin_17,rain_vol_17,rain_max_17,tmean_17,area_18,bounds_18,clon_idx_18,clat_idx_18,PSu_18,PSv_18,tmin_18,rain_vol_18,rain_max_18,tmean_18,area_19,bounds_19,clon_idx_19,clat_idx_19,PSu_19,PSv_19,tmin_19,rain_vol_19,rain_max_19,tmean_19,area_20,bounds_20,clon_idx_20,clat_idx_20,PSu_20,PSv_20,tmin_20,rain_vol_20,rain_max_20,tmean_20,area_21,bounds_21,clon_idx_21,clat_idx_21,PSu_21,PSv_21,tmin_21,rain_vol_21,rain_max_21,tmean_21,area_22,bounds_22,clon_idx_22,clat_idx_22,PSu_22,PSv_22,tmin_22,rain_vol_22,rain_max_22,tmean_22,area_23,bounds_23,clon_idx_23,clat_idx_23,PSu_23,PSv_23,tmin_23,rain_vol_23,rain_max_23,tmean_23,area_24,bounds_24,clon_idx_24,clat_idx_24,PSu_24,PSv_24,tmin_24,rain_vol_24,rain_max_24,tmean_24,area_25,bounds_25,clon_idx_25,clat_idx_25,PSu_25,PSv_25,tmin_25,rain_vol_25,rain_max_25,tmean_25,area_26,bounds_26,clon_idx_26,clat_idx_26,PSu_26,PSv_26,tmin_26,rain_vol_26,rain_max_26,tmean_26,area_27,bounds_27,clon_idx_27,clat_idx_27,PSu_27,PSv_27,tmin_27,rain_vol_27,rain_max_27,tmean_27,area_28,bounds_28,clon_idx_28,clat_idx_28,PSu_28,PSv_28,tmin_28,rain_vol_28,rain_max_28,tmean_28,area_29,bounds_29,clon_idx_29,clat_idx_29,PSu_29,PSv_29,tmin_29,rain_vol_29,rain_max_29,tmean_29,area_30,bounds_30,clon_idx_30,clat_idx_30,PSu_30,PSv_30,tmin_30,rain_vol_30,rain_max_30,tmean_30,area_31,bounds_31,clon_idx_31,clat_idx_31,PSu_31,PSv_31,tmin_31,rain_vol_31,rain_max_31,tmean_31,area_32,bounds_32,clon_idx_32,clat_idx_32,PSu_32,PSv_32,tmin_32,rain_vol_32,rain_max_32,tmean_32,area_33,bounds_33,clon_idx_33,clat_idx_33,PSu_33,PSv_33,tmin_33,rain_vol_33,rain_max_33,tmean_33,area_34,bounds_34,clon_idx_34,clat_idx_34,PSu_34,PSv_34,tmin_34,rain_vol_34,rain_max_34,tmean_34,area_35,bounds_35,clon_idx_35,clat_idx_35,PSu_35,PSv_35,tmin_35,rain_vol_35,rain_max_35,tmean_35,area_36,bounds_36,clon_idx_36,clat_idx_36,PSu_36,PSv_36,tmin_36,rain_vol_36,rain_max_36,tmean_36,area_37,bounds_37,clon_idx_37,clat_idx_37,PSu_37,PSv_37,tmin_37,rain_vol_37,rain_max_37,tmean_37,area_38,bounds_38,clon_idx_38,clat_idx_38,PSu_38,PSv_38,tmin_38,rain_vol_38,rain_max_38,tmean_38,area_39,bounds_39,clon_idx_39,clat_idx_39,PSu_39,PSv_39,tmin_39,rain_vol_39,rain_max_39,tmean_39,area_40,bounds_40,clon_idx_40,clat_idx_40,PSu_40,PSv_40,tmin_40,rain_vol_40,rain_max_40,tmean_40,area_41,bounds_41,clon_idx_41,clat_idx_41,PSu_41,PSv_41,tmin_41,rain_vol_41,rain_max_41,tmean_41,tmin_min,mcs_thld
1,2006-08-29 07:00:00,94373,"2980,466,319,404",3159.78,258.22,0.0,0.0,205.11,130501.87053702964,51.77078220017507,225.47,73694.0,"2977,469,322,410",3168.2,282.14,0.72,-0.4499999999999999,207.5,126724.47267005975,57.238087917719,229.05,65941.0,"2958,493,341,447",3162.13,297.82,-3.33,-2.235,198.99,35514.61168704708,29.39664962968065,228.61,66320.0,"2954,667,345,473",3167.89,388.29,-5.8950000000000005,-0.585,197.0,58412.686650265256,47.62803625854136,223.86,62963.0,"2956,664,343,526",3175.71,403.62,-6.735,-5.16,196.93,54802.12197854569,52.29127231581443,220.47,65199.0,"2996,660,303,526",3164.92,427.84,-10.86,6.48,198.16,100489.89920541458,126.03468069503226,218.51,72021.0,"2946,693,353,472",3133.6,477.76,-12.975,-3.3600000000000003,196.6,169277.00313635878,86.34846500509059,217.16,91056.0,"2886,743,413,519",3105.02,513.4,-13.62,-0.27,196.61,262898.9998961883,51.69344469969428,216.13,126445.0,"2854,979,445,683",3087.96,595.17,-9.285,1.86,195.95,330121.4829755419,99.88698020596728,215.84,127011.0,"2835,994,424,711",3032.86,636.08,-9.66,0.795,194.86,137799.0064975945,65.51553722586684,216.52,159095.0,"2795,1177,504,911",3032.34,714.02,-7.995,2.265,199.17,126019.18391546977,75.31837144866795,219.19,192476.0,"2753,1003,546,803",3037.61,584.31,-3.5250000000000004,1.26,200.41,151832.95284942552,68.77644727432428,220.62,130775.0,"2704,962,402,546",2939.68,669.48,-3.645000000000001,-0.345,201.84,63440.60463505109,71.58283428567941,222.83,227521.0,"2680,977,619,755",3009.89,563.08,-3.2700000000000005,0.75,198.57,117730.83961603355,55.99117117286036,225.58,291770.0,"2700,1131,599,916",3017.8,652.38,-1.6800000000000002,1.845,195.03,185703.44090025572,68.89281960811134,226.71,241453.0,"2660,1145,639,981",2963.52,628.37,-1.455,0.375,194.25,164136.37104057622,80.55390566591109,224.89,153285.0,"2624,702,675,641",3039.96,416.57,-2.52,0.195,205.44,20657.72284878108,37.81264726292176,229.79,132161.0,"2685,629,614,595",3060.89,359.91,0.3,-0.54,205.0,18057.963597597747,60.39950294058714,230.9,78519.0,"2759,602,468,340",3006.28,403.11,-1.605,0.3,216.0,312.62117660477884,0.4830049180666089,233.2,46042.0,"2747,599,424,325",2969.99,423.21,-4.245,0.495,216.26,108.72374128434652,0.3873403791627079,233.49,4155.0,"2999,541,93,115",3046.55,488.76,-19.695,6.915000000000001,229.16,1.1216722176828628e-05,8.883248697122931e-09,237.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.25,21
2,2006-08-29 07:00:00,2525,"2077,356,78,64",2118.84,322.3,0.0,0.0,225.75,13066.20795067706,38.65668318767514,235.92,1212.0,"2084,348,65,46",2120.11,327.32,0.885,5.79,221.06,5168.575328523215,32.17094838817227,232.37,2375.0,"2084,354,82,51",2129.5,329.27,1.545,3.375,220.56,16300.820064236246,65.60908073420485,230.84,3537.0,"2085,357,84,65",2130.43,327.19,1.485,-1.4249999999999998,223.57,19701.60963647765,32.900656886374726,232.59,3511.0,"2070,357,90,70",2121.11,323.06,-2.955,-1.125,225.1,18107.07007311049,47.57591465200008,234.11,3942.0,"2054,354,102,79",2113.76,318.64,-0.75,-0.135,225.31,13305.138318607496,21.594997251014668,234.1,3937.0,"2055,350,100,92",2110.68,313.02,-2.0250000000000004,-4.050000000000001,224.32,8839.798956915643,25.14320342812087,234.04,3602.0,"2070,342,95,78",2114.9,306.54,-4.095,-10.995,225.64,6705.571262220182,51.9689975219348,234.39,1934.0,"2066,320,69,58",2102.09,292.3,-5.775,-4.305,230.32,2368.89833093642,47.49556518432539,235.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.56,7
3,2006-08-29 07:00:00,5532,"0,511,90,124",36.53,441.52,0.0,0.0,207.22,10418.619959042082,32.488197207435974,228.27,2633.0,"29,494,59,109",55.51,448.05,2.61,0.975,213.69,2949.070345785984,10.046590035789231,228.99,3384.0,"33,493,69,100",65.57,443.97,-0.015,-2.13,208.93,7417.789740996226,72.97511543781786,226.62,3188.0,"30,474,66,70",62.82,434.74,-2.415,-0.21,208.42,8338.10473979185,34.96710289816335,224.12,2568.0,"24,451,69,50",54.03,427.58,-10.215,-0.27,211.96,3548.786645096919,15.0140824765734,223.81,2687.0,"14,451,66,55",45.07,424.66,-0.645,-2.385,217.91,1155.6252289613744,3.478037797304924,227.07,2675.0,"0,452,75,64",35.67,423.02,-0.63,-0.165,218.24,2419.277550162124,40.84024575504664,231.45,1934.0,"0,473,65,81",23.23,422.45,-1.44,-9.495,223.14,1530.2881761799213,4.5080649697537005,234.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.22,7
4,2006-08-29 07:00:00,14878,"2029,571,152,165",2109.14,489.22,0.0,0.0,214.68,11667.211125114243,24.98206376180498,229.22,7908.0,"2038,562,114,129",2097.79,499.82,-2.01,-1.005,217.58,2367.508788285926,6.875932368506664,233.41,3328.0,"2031,510,106,53",2090.86,481.07,-0.405,-3.255,224.88,1579.788471502149,2.504321106588368,234.47,1253.0,"2023,498,64,43",2061.32,475.01,-4.965,-7.814999999999999,230.97,6.736784770692792,0.0018909731906578,236.88,1995.0,"2014,531,84,81",2065.7,489.99,-15.195,-10.53,228.16,8.999785344201921,0.0185501434948492,235.98,2051.0,"1995,521,95,74",2056.65,484.34,6.87,-0.405,226.88,128.91516698540278,4.497191583188719,236.35,1286.0,"2024,512,48,58",2054.45,484.05,-6.584999999999999,0.0,226.94,36.75320287022232,0.975944480772324,234.52,579.0,"2025,487,30,36",2042.6,467.94,-10.335,-13.98,229.48,1.0255901680583648,0.0011458373014402,234.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.68,3
5,2006-08-29 07:00:00,6917,"213,518,120,88",268.94,473.52,0.0,0.0,205.97,14396.75241190241,34.44590257303414,230.4,4268.0,"203,511,95,90",253.77,470.0,-6.255,-3.795,207.8,15273.138690968415,36.64761160313682,224.68,5458.0,"189,521,111,97",246.85,473.16,-0.645,-0.105,211.31,21615.502392947303,44.60854071395153,224.72,6407.0,"178,531,116,112",237.99,470.24,-4.32,-3.09,209.77,28051.417473145422,79.19300706777169,226.41,7514.0,"172,536,114,128",230.36,468.78,-4.29,-1.245,207.52,31806.308037456783,104.73993763048767,225.79,7924.0,"163,536,112,136",218.88,469.52,-3.6,0.5549999999999999,209.35,19647.09825200288,56.23219712994677,225.6,8544.0,"152,535,111,139",208.58,469.66,-8.76,0.015,216.62,12044.22753807598,38.1598229036565,229.12,8086.0,"140,533,116,142",199.75,466.35,-5.595,-0.345,218.02,6591.085885024454,12.07942452779923,231.4,6758.0,"145,538,101,135",192.87,473.34,-9.915,-0.255,218.57,1684.6613048214674,35.29422991786613,233.26,3976.0,"140,514,87,93",178.74,465.22,-8.535,-0.72,220.18,619.7055727091903,6.8042258328716345,233.29,2860.0,"132,496,62,79",159.72,456.79,-9.705,-0.03,221.33,762.1934580556147,8.909286534717763,232.15,2977.0,"122,503,68,93",155.17,459.16,-5.1450000000000005,-1.08,224.08,419.4704377583906,1.158693377523103,233.42,1405.0,"112,482,69,40",145.75,464.11,-12.465,0.285,224.68,0.0287386498254933,0.0015171809271235,235.1,856.0,"103,476,52,28",131.92,463.47,-12.24,-5.97,227.44,0.0087186276557077,0.0003934779868064,237.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.97,12
6,2006-08-29 07:00:00,2561,"324,541,59,65",355.71,509.5,0.0,0.0,218.6,397.5166210250986,2.870893855581035,232.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.6,1
7,2006-08-29 07:00:00,11893,"358,644,155,153",445.98,569.53,0.0,0.0,201.31,21248.1039894119,50.22137293279996,221.84,8306.0,"379,620,103,127",438.52,557.05,-4.574999999999999,1.335,203.8,22684.81148936324,53.0552523686768,222.74,5543.0,"390,572,84,85",433.49,532.63,-1.35,0.03,208.02,11790.792967770984,37.894376300571146,222.3,5626.0,"384,573,83,93",425.02,529.75,-8.22,0.015,211.19,8141.326517287338,37.92148935560192,226.23,4794.0,"376,572,73,91",410.74,524.89,-10.695,-0.855,211.53,10134.445387558157,47.65685293089153,227.57,4738.0,"359,568,75,97",397.33,519.07,-6.885,-0.18,212.89,9692.97500497454,18.620600365810848,227.15,4352.0,"349,565,69,101",385.22,514.25,-7.035,-0.09,214.01,6716.706218027978,50.97578870100937,228.66,3473.0,"342,568,68,107",375.56,514.05,-10.305,-0.99,219.88,2878.8204553512887,29.52251840790684,231.16,2990.0,"341,568,60,107",367.99,512.5,-17.745,13.215,212.07,9995.574107578446,93.5895975251774,231.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.31,9
8,2006-08-29 07:00:00,41223,"1936,888,297,360",2053.15,696.1,0.0,0.0,203.46,59636.39696333335,61.81947375697828,227.39,24993.0,"1923,813,166,304",2006.5,668.37,-6.720000000000001,2.97,206.49,59985.09222984584,78.8408340571885,227.25,23375.0,"1903,787,170,278",1984.42,665.14,-4.275,-2.94,209.72,43233.80082429503,50.33287277517306,225.6,23261.0,"1885,798,174,212",1966.01,690.68,-4.800000000000001,-0.315,211.6,22992.814729469897,23.76530421962216,226.81,25604.0,"1865,804,181,291",1947.93,680.2,-3.63,-1.29,217.01,11810.53479024458,36.28501739617646,230.6,19444.0,"1833,757,197,193",1940.41,664.0,-6.87,-0.39,216.86,4523.269714983158,8.29410784427748,231.38,18345.0,"1814,746,203,191",1929.18,661.29,-3.84,-1.875,217.64,1785.3024063926505,3.7111841103099295,231.79,14922.0,"1792,730,213,167",1913.37,662.0,-15.21,-5.055,216.28,1021.2822447530384,4.719976177079884,231.66,13721.0,"1774,726,214,175",1894.11,658.52,-14.235,-3.21,217.43,139.7254730000582,1.5072345075268283,232.85,9927.0,"1755,717,215,132",1877.23,651.43,-16.095,-7.050000000000001,221.46,3.7555364036463055,0.0119353658258863,234.43,4870.0,"1757,687,153,103",1844.74,638.4,-11.28,-1.92,224.48,0.0406509787298951,0.0013058966053491,235.68,837.0,"1771,671,69,30",1815.2,660.32,-17.805,1.875,231.37,0.0,0.0,237.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.46,11
9,2006-08-29 07:00:00,5288,"594,639,110,91",648.25,590.86,0.0,0.0,218.9,5041.836807815039,19.857732678226512,231.86,3330.0,"604,639,72,86",640.09,592.6,-3.315,3.09,221.0,500.7951455375477,16.5063097088252,233.51,1976.0,"599,620,54,50",626.02,594.99,-7.125,0.075,228.73,12.592601119534384,0.0308165449258804,235.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.9,2
10,2006-08-29 07:00:00,92994,"1018,1097,357,505",1184.75,825.59,0.0,0.0,194.87,248197.6064994966,97.90632081815195,223.18,39168.0,"1050,1076,227,285",1171.63,926.84,-1.71,-5.775,194.15,234170.64477013893,94.93816104845052,215.18,47604.0,"1033,1061,245,275",1161.31,918.27,-1.44,-2.64,194.6,266829.0630093558,162.1414401313755,213.11,62337.0,"1004,1074,287,302",1156.37,914.15,0.5700000000000001,-2.7,195.04,280467.849780945,75.00758683694626,214.89,75008.0,"973,1083,333,338",1149.33,906.21,0.18,-0.165,195.6,259585.26011468912,89.13743204504536,216.44,83597.0,"965,1086,359,364",1144.97,897.28,-0.48,-0.0,195.96,200277.10824770707,56.92715673883058,217.21,91852.0,"955,1094,378,389",1139.7,891.17,-0.5249999999999999,-0.705,196.29,140466.64301340954,41.40835554375853,217.71,104813.0,"907,1092,437,411",1132.62,881.73,-1.185,-1.11,197.21,143643.52276121647,76.32175639935555,218.72,117391.0,"892,1092,452,427",1122.41,871.72,-0.2249999999999999,-0.27,199.08,144732.31833808776,134.59482630450373,219.85,125930.0,"865,1084,475,441",1107.85,859.05,-0.63,-1.965,196.07,139307.5373604192,60.89269881625764,220.66,162568.0,"830,1197,518,578",1077.79,899.86,-1.7999999999999998,-0.8400000000000001,190.0,261912.74993055887,80.97753836489883,217.43,180391.0,"800,1212,519,568",1047.46,911.36,-1.35,-1.44,191.83,355312.29314336926,85.61467716590994,215.49,180887.0,"784,1227,508,605",1002.12,925.33,-0.72,-0.285,193.15,362869.3299563685,89.61955246665052,213.44,200455.0,"732,1249,562,647",983.5,919.42,-1.41,-0.105,191.28,380142.4680660719,62.50747237873463,214.43,208729.0,"702,1264,558,679",953.57,907.13,-1.35,-0.6000000000000001,190.82,389174.8893437253,85.49622433601998,215.15,213698.0,"679,1270,502,706",931.25,897.92,-0.78,-0.42,190.67,388857.8158895469,93.46763113793205,216.74,208942.0,"659,1284,510,744",907.64,886.05,-1.035,0.285,191.59,361775.8124880659,116.69057886854208,217.77,191234.0,"637,1265,497,718",877.85,880.0,0.255,0.15,191.01,361235.1658565557,109.76483833950816,217.3,186202.0,"614,1265,524,719",857.63,876.65,-0.78,-0.705,191.7,319709.05239118414,103.01900849736896,217.28,170684.0,"595,1207,512,648",832.17,871.79,-0.8250000000000001,0.42,193.49,299226.4930522184,64.65858889986498,216.17,160572.0,"581,1201,530,653",810.25,862.85,-1.905,-0.27,195.29,256462.1590242352,63.1626928098188,215.34,157273.0,"571,1161,490,612",783.24,874.4,-0.72,-1.905,197.91,186126.04133112647,70.40762351329744,216.69,166578.0,"569,1222,444,642",769.19,889.07,-0.63,-0.2249999999999999,200.59,143474.31595137806,67.91922515878562,220.52,163009.0,"553,1195,457,566",763.06,885.96,-0.39,-1.92,200.52,126609.11261258664,53.99064192479602,223.83,154198.0,"540,1191,465,566",757.68,875.7,-0.33,2.07,203.28,124712.04095658696,77.0368697265227,227.11,127528.0,"532,1203,445,580",744.49,862.78,-0.24,3.0,202.43,92241.88007370471,66.24996501905359,228.92,48636.0,"705,1062,235,428",814.86,841.26,-0.075,0.6000000000000001,206.27,65367.152326307005,45.28137929814716,227.87,21146.0,"698,923,165,271",791.6,759.94,-0.24,-2.91,215.93,403.12706698171695,0.4858213667812447,230.44,16283.0,"722,914,141,262",798.07,759.19,-0.8250000000000001,-0.345,217.98,168.1548475972637,0.6290375060658902,231.72,10135.0,"714,844,155,195",806.58,757.46,-0.21,-5.73,221.9,54.22553119008485,0.1220171221682092,231.91,8968.0,"705,836,164,186",809.53,753.62,-0.6000000000000001,-8.399999999999999,222.24,6.34598988278784,0.0269089874258647,232.85,7146.0,"749,807,120,163",819.25,739.82,-0.6900000000000001,-10.23,222.35,327.0473260770233,4.144540224049,232.09,7061.0,"748,798,120,186",821.5,722.39,-1.89,-13.29,221.46,748.8708469799224,2.454040828592894,232.64,6264.0,"749,790,103,191",815.64,708.44,-3.885,-9.42,222.3,904.1394642937076,3.6827500011882073,233.42,4468.0,"790,765,62,179",818.85,689.6,-5.355,-11.94,218.32,5900.973800400496,56.1296390529037,233.31,1590.0,"783,724,51,59",807.24,696.27,-6.69,-31.815,211.29,4659.452634851547,59.6956729050251,228.61,2038.0,"766,726,55,62",796.21,693.01,-7.245,-8.28,215.86,3581.4746026098624,26.05194511251228,230.74,1661.0,"766,718,40,66",787.9,691.98,-8.370000000000001,-0.075,219.24,3917.325422215807,7.50450904894393,229.99,1413.0,"763,723,41,54",781.16,695.84,-7.949999999999999,1.545,217.09,4234.66546104553,10.806298991291149,232.85,822.0,"755,711,33,37",771.51,692.61,-12.315,-5.324999999999999,225.75,2199.768295581894,8.471211812268342,235.03,,,,,,,,,,,,,,,,,,,,,190.0,35
